Date,Open_MTB,High_MTB,Low_MTB,Close_MTB,Volume_MTB,AdjClose_MTB
2015-06-08,123.540001,124.75,123.160004,123.970001,710700,121.016292
2015-06-09,123.849998,125.480003,123.620003,124.839996,545900,121.865558
2015-06-10,125.230003,127.129997,125.120003,126.43,544900,123.417679
2015-06-11,126.480003,127.0,125.860001,126.209999,498300,123.202919
2015-06-12,125.949997,126.220001,125.419998,126.129997,320300,123.124824
2015-06-15,125.290001,126.449997,124.739998,125.75,482600,122.75388
2015-06-16,125.639999,126.580002,125.32,126.330002,346600,123.320063
2015-06-17,126.839996,126.879997,125.129997,125.300003,748900,122.314605
2015-06-18,125.769997,126.959999,124.940002,126.57,814000,123.554342
2015-06-19,126.209999,126.639999,125.540001,125.629997,1069700,122.636737
2015-06-22,126.75,127.230003,126.589996,127.019997,565700,123.993618
2015-06-23,127.599998,128.619995,127.269997,128.160004,642300,125.106463
2015-06-24,127.839996,128.699997,127.489998,127.510002,516300,124.471948
2015-06-25,128.119995,128.449997,127.010002,127.300003,562300,124.266953
2015-06-26,127.989998,128.479996,127.639999,127.959999,349300,124.911224
2015-06-29,126.57,127.040001,124.620003,124.660004,512500,121.689854
2015-06-30,126.110001,126.889999,124.580002,124.93,750100,121.953418
2015-07-01,126.57,127.410004,125.839996,127.290001,794000,124.257189
2015-07-02,126.949997,127.540001,125.269997,125.910004,426900,122.910072
2015-07-06,124.339996,125.690002,123.970001,125.639999,410200,122.6465
2015-07-07,125.330002,125.480003,123.07,125.029999,593800,122.051034
2015-07-08,123.889999,124.559998,122.650002,123.010002,455900,120.079165
2015-07-09,124.699997,125.110001,123.43,124.190002,490200,121.231051
2015-07-10,126.010002,126.480003,125.300003,126.209999,604000,123.202919
2015-07-13,127.309998,127.75,126.949997,127.309998,466400,124.276709
2015-07-14,126.760002,127.690002,126.559998,127.18,869800,124.149809
2015-07-15,127.43,128.449997,126.839996,127.980003,789700,124.930751
2015-07-16,127.110001,131.110001,126.120003,130.809998,1140000,127.693318
2015-07-17,130.309998,131.449997,129.990005,131.220001,906700,128.093553
2015-07-20,131.5,132.440002,130.990005,132.0,763800,128.854968
2015-07-21,132.119995,133.190002,131.080002,131.860001,861100,128.718304
2015-07-22,131.770004,133.779999,131.770004,133.199997,553700,130.026373
2015-07-23,133.630005,134.0,132.059998,132.270004,489700,129.118539
2015-07-24,131.940002,132.369995,131.289993,131.610001,459600,128.47426
2015-07-27,130.610001,131.050003,130.0,130.729996,548100,127.615222
2015-07-28,131.580002,131.880005,130.259995,131.809998,588400,128.669492
2015-07-29,131.990005,132.800003,130.600006,132.160004,788000,129.011159
2015-07-30,132.0,132.729996,131.589996,132.220001,426800,129.069727
2015-07-31,132.210007,132.309998,130.979996,131.149994,511900,128.025214
2015-08-03,131.100006,131.369995,129.529999,130.649994,624700,127.537127
2015-08-04,130.949997,132.009995,130.360001,131.050003,418600,127.927605
2015-08-05,131.699997,133.149994,131.479996,132.240005,444700,129.089255
2015-08-06,132.460007,132.460007,131.169998,131.619995,490200,128.484017
2015-08-07,131.550003,132.0,129.75,130.770004,414000,127.654278
2015-08-10,131.199997,132.830002,130.979996,132.740005,465700,129.577342
2015-08-11,131.869995,131.929993,130.470001,130.979996,530300,127.859266
2015-08-12,129.979996,129.979996,127.370003,128.949997,553000,125.877634
2015-08-13,129.279999,129.800003,128.660004,129.520004,492000,126.43406
2015-08-14,129.550003,130.889999,129.490005,130.470001,536500,127.361423
2015-08-17,129.589996,131.610001,129.110001,130.910004,500900,127.790942
2015-08-18,131.100006,131.770004,130.229996,131.169998,413100,128.044741
2015-08-19,130.850006,131.350006,129.649994,129.910004,906100,126.814768
2015-08-20,128.009995,129.309998,125.440002,125.440002,880400,122.451269
2015-08-21,124.830002,124.980003,122.269997,122.290001,873700,119.376319
2015-08-24,117.839996,119.849998,114.239998,116.110001,1082300,113.343563
2015-08-25,121.489998,121.489998,112.860001,112.959999,911200,110.268614
2015-08-26,115.660004,117.800003,113.910004,117.690002,1224000,114.88592
2015-08-27,119.32,121.150002,118.489998,120.669998,814900,117.794914
2015-08-28,119.519997,119.93,118.129997,119.019997,594000,116.862142
2015-08-31,118.199997,118.82,117.620003,118.239998,838800,116.096285
2015-09-01,115.470001,116.220001,111.860001,112.650002,779700,110.607636
2015-09-02,114.459999,115.269997,112.790001,115.269997,903500,113.18013
2015-09-03,115.529999,118.690002,115.489998,118.260002,1483200,116.115927
2015-09-04,117.120003,117.68,116.300003,117.059998,1603700,114.937678
2015-09-08,119.620003,120.419998,118.760002,120.139999,650700,117.961839
2015-09-09,121.970001,122.690002,120.199997,120.410004,979500,118.226948
2015-09-10,120.029999,121.389999,119.800003,120.400002,591700,118.217127
2015-09-11,119.889999,121.080002,118.889999,121.029999,629800,118.835703
2015-09-14,120.970001,122.300003,120.260002,121.769997,634700,119.562284
2015-09-15,121.889999,123.18,121.459999,122.800003,814800,120.573616
2015-09-16,122.529999,122.779999,120.809998,122.080002,922000,119.866669
2015-09-17,122.139999,123.889999,119.589996,120.379997,978200,118.197486
2015-09-18,118.739998,118.800003,116.870003,118.330002,1860900,116.184657
2015-09-21,119.160004,120.440002,118.769997,120.059998,988400,117.883288
2015-09-22,118.230003,119.080002,117.07,117.989998,544900,115.850818
2015-09-23,117.669998,118.739998,117.089996,117.989998,381500,115.850818
2015-09-24,116.620003,119.879997,115.57,119.050003,1514400,116.891605
2015-09-25,120.879997,121.970001,120.519997,121.209999,779800,119.01244
2015-09-28,120.400002,121.150002,119.760002,119.919998,943500,117.745827
2015-09-29,120.129997,120.639999,118.879997,120.099998,725500,117.922563
2015-09-30,121.040001,123.300003,119.330002,121.949997,4744200,119.739021
2015-10-01,121.620003,122.199997,116.269997,117.150002,3195100,115.026051
2015-10-02,114.440002,116.660004,111.5,116.660004,2426100,114.544936
2015-10-05,117.32,118.589996,117.059998,118.279999,862400,116.135561
2015-10-06,118.010002,118.860001,116.459999,117.43,1097000,115.300973
2015-10-07,118.269997,119.639999,117.860001,119.620003,925300,117.45127
2015-10-08,118.870003,120.599998,118.480003,120.199997,985100,118.020749
2015-10-09,120.0,120.940002,118.970001,119.580002,926200,117.411994
2015-10-12,119.57,120.360001,119.029999,120.169998,513200,117.991294
2015-10-13,119.470001,120.300003,118.970001,119.25,740900,117.087976
2015-10-14,119.029999,119.080002,115.989998,116.110001,881500,114.004905
2015-10-15,117.029999,119.379997,116.550003,119.309998,1528700,117.146885
2015-10-16,119.82,119.989998,117.0,117.0,1229200,114.878769
2015-10-19,117.25,118.110001,112.610001,113.419998,2864800,111.363673
2015-10-20,113.540001,115.75,113.25,115.5,2676000,113.405964
2015-10-21,115.5,116.959999,114.900002,115.169998,1898000,113.081945
2015-10-22,115.980003,119.400002,115.980003,118.800003,2265600,116.646137
2015-10-23,120.110001,122.599998,119.470001,122.599998,1880200,120.377238
2015-10-26,122.220001,123.220001,120.940002,123.220001,1775400,120.986
2015-10-27,122.290001,123.540001,121.510002,123.160004,1703300,120.92709
2015-10-28,122.389999,125.559998,122.269997,125.559998,2318900,123.988276
2015-10-29,125.360001,126.160004,122.779999,123.019997,1975100,121.48007
2015-10-30,123.099998,123.690002,119.849998,119.849998,3524600,118.349753
2015-11-02,120.93,121.57,120.059998,120.269997,1883200,118.764494
2015-11-03,120.370003,120.900002,119.660004,120.139999,956900,118.636124
2015-11-04,120.32,120.699997,119.139999,119.559998,820000,118.063382
2015-11-05,119.57,121.309998,119.5,120.599998,969400,119.090365
2015-11-06,122.5,124.410004,122.010002,123.660004,1484100,122.112066
2015-11-09,122.980003,123.790001,121.610001,123.629997,2899500,122.082435
2015-11-10,123.0,124.120003,122.07,123.5,2384800,121.954065
2015-11-11,124.099998,125.349998,123.57,124.559998,1412900,123.000794
2015-11-12,123.790001,124.599998,123.389999,124.050003,1829400,122.497183
2015-11-13,123.720001,124.379997,121.610001,122.459999,1673500,120.927083
2015-11-16,122.379997,123.629997,121.790001,123.480003,995600,121.934319
2015-11-17,124.059998,125.809998,123.080002,124.269997,1152700,122.714423
2015-11-18,124.790001,125.300003,122.43,125.300003,1226400,123.731536
2015-11-19,125.419998,126.129997,124.43,125.43,694300,123.859906
2015-11-20,126.260002,126.489998,124.480003,125.080002,733900,123.514289
2015-11-23,125.260002,125.849998,124.57,125.080002,564100,123.514289
2015-11-24,123.980003,124.809998,123.010002,124.589996,1055200,123.030417
2015-11-25,124.650002,125.410004,123.870003,124.940002,689900,123.376042
2015-11-27,125.199997,125.510002,124.169998,125.449997,236200,123.879653
2015-11-30,125.43,125.959999,124.660004,125.330002,1089400,123.76116
2015-12-01,126.129997,126.730003,124.889999,126.150002,552900,124.570895
2015-12-02,126.32,126.68,124.809998,125.07,678100,123.504412
2015-12-03,125.519997,125.879997,122.440002,122.790001,946300,121.252954
2015-12-04,123.660004,126.43,123.129997,126.059998,1147200,124.482018
2015-12-07,125.610001,126.0,124.419998,125.589996,830600,124.0179
2015-12-08,124.370003,124.989998,123.279999,123.559998,841500,122.013312
2015-12-09,123.010002,123.790001,120.190002,120.980003,989500,119.465613
2015-12-10,121.279999,123.93,120.690002,122.650002,873400,121.114707
2015-12-11,120.610001,121.269997,119.5,120.410004,836400,118.902748
2015-12-14,121.029999,121.580002,118.639999,120.870003,1158100,119.356989
2015-12-15,122.279999,124.870003,121.650002,124.260002,891500,122.704554
2015-12-16,124.989998,126.739998,123.389999,126.419998,1036000,124.837512
2015-12-17,126.989998,127.389999,124.660004,124.739998,1062700,123.178541
2015-12-18,124.169998,124.220001,119.980003,120.029999,3568400,118.5275
2015-12-21,121.209999,122.160004,119.370003,120.639999,726500,119.129865
2015-12-22,121.059998,122.029999,119.949997,121.769997,591500,120.245717
2015-12-23,122.309998,123.370003,121.699997,123.25,406200,121.707195
2015-12-24,122.889999,124.0,122.57,123.330002,510700,121.786195
2015-12-28,122.620003,122.720001,121.080002,122.660004,419500,121.124584
2015-12-29,123.190002,124.230003,122.900002,124.0,409700,122.447806
2015-12-30,123.849998,123.989998,122.599998,122.639999,310000,121.10483
2015-12-31,121.800003,122.900002,121.18,121.18,797100,119.663107
2016-01-04,119.239998,119.239998,116.230003,117.480003,1143600,116.009425
