Date,Open_MUR,High_MUR,Low_MUR,Close_MUR,Volume_MUR,AdjClose_MUR
2013-06-14,63.079998,64.379996,62.840004,63.06,1478100,49.150218
2013-06-17,63.639999,63.849999,63.220004,63.619997,1226500,49.58669
2013-06-18,63.479995,64.330004,63.420002,63.599999,1678600,49.571104
2013-06-19,63.409997,63.909996,62.67,62.709995,1669200,48.877417
2013-06-20,61.959992,62.079996,60.910003,61.149997,2326500,47.661523
2013-06-21,61.579997,61.779996,60.769997,61.289998,2103900,47.770643
2013-06-24,60.629996,60.820002,59.290007,60.309993,1736000,47.006808
2013-06-25,61.059996,61.559999,60.699999,61.230001,1541600,47.72388
2013-06-26,61.550003,61.730004,60.550001,61.190005,2619100,47.692707
2013-06-27,61.640003,62.050006,61.050004,61.550003,1727000,47.973296
2013-06-28,61.289998,61.890003,60.890001,60.890001,1793600,47.458877
2013-07-01,61.410002,61.710006,61.079994,61.190005,1170800,47.692707
2013-07-02,61.450001,61.52,60.449995,60.890001,2028800,47.458877
2013-07-03,60.890001,61.550003,60.289996,61.190005,1348100,47.692707
2013-07-05,61.61,61.710006,60.769997,61.590003,951700,48.004472
2013-07-08,61.930003,62.380001,61.579997,61.779996,1555700,48.152557
2013-07-09,62.360003,62.950002,62.279995,62.649998,1784300,48.830654
2013-07-10,62.720001,63.319997,62.509996,62.889996,1216400,49.017713
2013-07-11,63.810003,64.499995,63.360005,64.179997,1232200,50.023166
2013-07-12,64.049997,64.580004,63.619997,64.580004,1137500,50.334939
2013-07-15,64.609998,65.059996,64.400003,64.879995,1202000,50.568758
2013-07-16,64.909998,65.18,64.089997,64.379996,981700,50.179049
2013-07-17,64.490003,65.030002,64.330004,65.030002,917400,50.685676
2013-07-18,65.129994,65.989995,65.109997,65.730004,1202500,51.231272
2013-07-19,65.980003,66.899997,65.489996,66.899997,1288900,52.143188
2013-07-22,67.000003,67.470003,66.750003,67.299994,1149300,52.454953
2013-07-23,67.290002,68.76,67.180004,68.55,1921100,53.429233
2013-07-24,67.899999,68.650002,67.209994,67.709997,1561200,52.774518
2013-07-25,67.770003,68.519993,67.36,68.319994,1205300,53.249962
2013-07-26,67.930007,68.179993,67.31,67.689999,1172400,52.758931
2013-07-29,67.529996,67.720002,66.669995,67.169998,1029900,52.353632
