Date,Open_NAVI,High_NAVI,Low_NAVI,Close_NAVI,Volume_NAVI,AdjClose_NAVI
2015-06-08,19.049999,19.23,19.01,19.059999,1270600,18.082277
2015-06-09,19.120001,19.190001,18.85,18.9,1779400,17.930485
2015-06-10,18.940001,19.4,18.83,19.4,1741600,18.404837
2015-06-11,19.379999,19.594999,19.309999,19.530001,1745200,18.528169
2015-06-12,19.52,19.57,19.32,19.43,972300,18.433298
2015-06-15,19.26,19.26,18.98,19.09,1381600,18.110739
2015-06-16,19.110001,19.360001,18.940001,19.139999,1887700,18.158174
2015-06-17,19.209999,19.24,18.42,18.639999,2300100,17.683822
2015-06-18,18.629999,19.035,18.6,18.985001,2723900,18.011126
2015-06-19,18.889999,18.950001,18.719999,18.93,5057800,17.958947
2015-06-22,19.09,19.205,19.01,19.059999,1546200,18.082277
2015-06-23,19.1,19.254999,19.09,19.1,1635600,18.120226
2015-06-24,19.110001,19.23,18.809999,18.83,2881300,17.864076
2015-06-25,18.83,18.85,18.540001,18.555,1486600,17.603183
2015-06-26,18.66,18.809999,18.43,18.440001,3702100,17.494083
2015-06-29,18.360001,18.549999,18.09,18.110001,1975700,17.181011
2015-06-30,18.200001,18.389999,18.09,18.209999,1641600,17.27588
2015-07-01,18.360001,18.51,18.23,18.450001,2452600,17.50357
2015-07-02,18.540001,18.6,18.365,18.450001,1941300,17.50357
2015-07-06,18.209999,18.620001,18.209999,18.610001,2253700,17.655362
2015-07-07,18.66,19.0,18.48,18.969999,2725000,17.996894
2015-07-08,18.860001,18.889999,18.540001,18.57,1865500,17.617413
2015-07-09,18.790001,18.92,18.5,18.530001,1421500,17.579466
2015-07-10,18.780001,18.780001,18.33,18.370001,2492900,17.427674
2015-07-13,17.43,18.5,17.43,18.360001,2258700,17.418186
2015-07-14,15.9,17.02,15.76,16.42,8538100,15.577702
2015-07-15,16.66,16.68,16.34,16.559999,4133500,15.71052
2015-07-16,16.690001,16.690001,16.49,16.67,3180500,15.814878
2015-07-17,16.459999,16.9,16.450001,16.860001,3114800,15.995132
2015-07-20,16.969999,16.969999,16.389999,16.42,4692600,15.577702
2015-07-21,16.469999,16.754999,16.469999,16.6,3615900,15.748469
2015-07-22,16.67,16.67,16.16,16.23,3441300,15.397448
2015-07-23,16.33,16.475,16.16,16.389999,2610800,15.54924
2015-07-24,16.450001,16.559999,16.200001,16.219999,2282200,15.387961
2015-07-27,16.15,16.450001,15.72,15.72,2518500,14.91361
2015-07-28,15.8,15.9,15.75,15.83,2273000,15.017967
2015-07-29,15.77,15.91,15.73,15.77,2008200,14.961046
2015-07-30,15.7,15.78,15.49,15.53,2955200,14.733356
2015-07-31,15.82,15.9,15.65,15.7,2987200,14.894636
2015-08-03,15.77,15.88,15.555,15.66,2110000,14.856688
2015-08-04,15.6,15.745,15.53,15.58,1749400,14.780792
2015-08-05,15.62,15.94,15.595,15.61,2891300,14.809252
2015-08-06,15.66,15.66,15.2,15.37,3549600,14.581564
2015-08-07,15.34,15.625,15.3,15.61,2263100,14.809252
2015-08-10,15.69,16.0,15.69,15.91,1713100,15.093863
2015-08-11,15.53,15.9,15.36,15.39,2697600,14.600538
2015-08-12,15.49,15.49,15.11,15.31,2995500,14.524642
2015-08-13,15.25,15.32,14.75,14.79,3443400,14.031316
2015-08-14,14.83,14.87,14.58,14.76,4360300,14.002855
2015-08-17,14.76,14.96,14.61,14.83,3503000,14.069264
2015-08-18,14.88,15.0,14.6,14.77,2603700,14.012343
2015-08-19,14.66,14.73,14.55,14.62,1921600,13.870037
2015-08-20,14.43,14.485,14.05,14.06,3007700,13.338764
2015-08-21,13.98,14.27,13.89,13.89,2829300,13.177484
2015-08-24,13.34,14.0,12.89,13.06,7450700,12.390061
2015-08-25,13.23,13.23,12.02,12.04,9032800,11.422383
2015-08-26,12.25,12.55,12.01,12.52,4831200,11.877761
2015-08-27,12.81,13.085,12.67,13.0,4580200,12.333138
2015-08-28,12.93,13.15,12.8,13.05,2634700,12.380573
2015-08-31,12.93,12.98,12.68,12.79,5772300,12.13391
2015-09-01,12.51,12.65,12.3,12.35,3658500,11.716482
2015-09-02,12.4,12.53,11.97,12.16,3843300,11.687646
2015-09-03,12.2,12.37,12.09,12.15,3555300,11.678034
2015-09-04,11.96,12.1,11.79,11.94,3019900,11.476192
2015-09-08,12.74,12.99,12.13,12.3,5676800,11.822208
2015-09-09,12.44,12.54,12.21,12.29,4643500,11.812596
2015-09-10,12.31,12.68,12.26,12.64,5694700,12.149001
2015-09-11,12.52,12.57,12.225,12.45,7487700,11.966381
2015-09-14,12.44,12.52,12.28,12.44,4123200,11.956769
2015-09-15,12.74,12.74,12.275,12.37,4439800,11.889489
2015-09-16,12.37,12.71,12.37,12.65,7558000,12.158612
2015-09-17,12.66,12.91,12.48,12.55,5278400,12.062497
