Date,Open_NBL,High_NBL,Low_NBL,Close_NBL,Volume_NBL,AdjClose_NBL
2015-06-08,44.34,44.759998,44.110001,44.689999,5231500,43.97667
2015-06-09,45.43,46.560001,45.41,45.75,6903900,45.019752
2015-06-10,46.610001,46.900002,46.209999,46.630001,4936200,45.885707
2015-06-11,46.669998,46.93,46.169998,46.639999,3634300,45.895545
2015-06-12,46.41,46.759998,46.080002,46.369999,3494100,45.629855
2015-06-15,45.950001,46.330002,45.349998,45.380001,3411400,44.655659
2015-06-16,45.279999,45.68,45.009998,45.5,3532100,44.773742
2015-06-17,45.93,46.290001,44.740002,44.91,3652200,44.19316
2015-06-18,45.150002,45.389999,44.389999,44.459999,3456200,43.750342
2015-06-19,44.18,44.540001,43.32,43.529999,4021400,42.835186
2015-06-22,43.740002,44.599998,43.200001,44.32,2786600,43.612577
2015-06-23,44.349998,45.040001,44.130001,44.799999,3567000,44.084915
2015-06-24,44.540001,44.91,44.110001,44.73,3339700,44.016032
2015-06-25,44.919998,45.299999,44.66,44.93,3961600,44.212841
2015-06-26,44.82,44.98,44.450001,44.810001,8807300,44.094757
2015-06-29,44.119999,44.509998,42.439999,42.66,5670300,41.979073
2015-06-30,43.209999,43.27,42.130001,42.68,5329400,41.998755
2015-07-01,43.029999,43.029999,41.07,41.299999,4585600,40.640781
2015-07-02,41.139999,41.740002,40.93,41.02,3578900,40.365251
2015-07-06,40.25,40.73,39.709999,40.189999,4776200,39.548498
2015-07-07,40.330002,40.98,38.779999,40.77,5919700,40.119242
2015-07-08,40.349998,40.610001,38.720001,39.060001,5533500,38.436537
2015-07-09,39.869999,40.119999,39.310001,39.310001,4453300,38.682547
2015-07-10,39.669998,39.950001,38.889999,39.060001,3640100,38.436537
2015-07-13,39.23,39.23,38.59,38.900002,4769600,38.279091
2015-07-14,39.240002,39.709999,38.73,39.599998,5447500,38.967915
2015-07-15,39.310001,39.919998,38.580002,38.75,4132100,38.131484
2015-07-16,39.07,39.07,38.209999,38.380001,3424400,37.767391
2015-07-17,38.380001,38.880001,37.540001,38.34,5592600,37.728028
2015-07-20,38.09,38.09,36.91,36.970001,9410600,36.379897
2015-07-21,37.029999,37.540001,36.82,36.849998,7612100,36.26181
2015-07-22,36.939999,37.279999,36.41,36.900002,7017200,36.311015
2015-07-23,36.939999,37.189999,36.209999,36.700001,3993200,36.114206
2015-07-24,36.830002,36.84,35.32,35.369999,4751500,34.805433
2015-07-27,34.75,35.470001,34.25,34.73,4661800,34.175649
2015-07-28,35.360001,37.07,34.73,35.5,8547300,34.933359
2015-07-29,35.34,36.450001,35.240002,36.16,6516300,35.582825
2015-07-30,35.98,36.650002,35.540001,36.150002,4844900,35.75095
2015-07-31,35.900002,36.290001,34.990002,35.23,5629100,34.841103
2015-08-03,34.970001,34.970001,33.669998,33.75,6915300,33.377441
2015-08-04,34.060001,34.75,33.709999,34.009998,5022000,33.634569
2015-08-05,34.540001,35.07,33.369999,33.41,4921400,33.041194
2015-08-06,33.060001,33.990002,32.389999,33.91,6189300,33.535675
2015-08-07,33.75,34.240002,32.439999,32.700001,4168400,32.339033
2015-08-10,32.799999,34.32,32.610001,34.240002,4565700,33.862034
2015-08-11,33.290001,34.209999,32.98,34.169998,4045800,33.792803
2015-08-12,33.950001,35.599998,33.880001,35.310001,5075800,34.920222
2015-08-13,35.869999,36.32,34.849998,36.299999,12258600,35.899292
2015-08-14,36.209999,37.099998,35.82,36.0,6692400,35.602604
2015-08-17,35.349998,36.099998,35.189999,35.439999,4279400,35.048784
2015-08-18,35.57,35.650002,34.84,35.099998,5064600,34.712537
2015-08-19,34.84,35.099998,33.720001,34.220001,4985000,33.842254
2015-08-20,34.110001,34.48,33.119999,33.119999,4247000,32.754395
2015-08-21,32.91,33.349998,32.380001,32.849998,5688200,32.487375
2015-08-24,29.200001,32.369999,29.17,31.17,9179600,30.825921
2015-08-25,32.610001,32.630001,30.6,30.700001,6645300,30.36111
2015-08-26,31.49,31.77,30.84,31.75,5143900,31.399519
2015-08-27,32.459999,34.240002,32.259998,33.669998,7281700,33.298322
2015-08-28,33.419998,35.27,33.32,34.529999,5596700,34.14883
2015-08-31,32.5,34.09,31.559999,33.41,13431700,33.041194
2015-09-01,32.369999,32.52,30.68,31.110001,10712900,30.766584
2015-09-02,31.68,31.76,29.48,30.34,14312000,30.005084
2015-09-03,30.76,31.690001,29.9,30.209999,13545900,29.876518
2015-09-04,29.889999,31.120001,29.559999,30.73,15210700,30.390778
2015-09-08,31.32,31.559999,30.360001,31.42,9292300,31.073162
2015-09-09,30.940001,31.719999,29.889999,30.190001,10660300,29.85674
2015-09-10,30.18,31.08,29.959999,30.75,6811600,30.410558
2015-09-11,30.379999,31.200001,30.030001,31.190001,7003800,30.845701
2015-09-14,31.08,31.15,30.450001,30.9,7121600,30.558901
2015-09-15,31.110001,31.799999,30.9,31.549999,5139800,31.201726
2015-09-16,31.84,33.310001,31.83,33.25,7470600,32.882961
2015-09-17,33.200001,33.990002,32.82,33.110001,7894100,32.744507
2015-09-18,32.439999,32.740002,31.950001,32.330002,7277800,31.973118
2015-09-21,32.66,33.099998,32.299999,32.75,4928600,32.38848
2015-09-22,32.169998,33.389999,32.0,32.310001,4683900,31.953338
2015-09-23,32.48,32.919998,31.68,31.870001,5384600,31.518195
2015-09-24,31.57,32.540001,31.309999,32.18,4764600,31.824772
2015-09-25,32.52,32.650002,31.42,31.610001,4580000,31.261065
2015-09-28,31.32,31.33,29.559999,29.58,5472200,29.253473
2015-09-29,29.969999,30.030001,29.129999,29.700001,4043000,29.372149
2015-09-30,30.0,30.540001,29.6,30.18,4035300,29.84685
2015-10-01,30.690001,31.34,29.700001,30.110001,5501500,29.777623
2015-10-02,29.85,31.629999,29.559999,31.620001,4287200,31.270955
2015-10-05,31.99,33.27,31.870001,33.259998,5348300,32.892849
2015-10-06,33.369999,34.599998,33.169998,34.509998,6563600,34.12905
2015-10-07,35.07,35.68,34.330002,35.049999,6751500,34.66309
2015-10-08,35.02,37.41,34.799999,37.27,9433200,36.858585
2015-10-09,37.509998,37.880001,36.389999,36.720001,5885600,36.314657
2015-10-12,36.700001,36.759998,34.98,35.48,4368800,35.088344
2015-10-13,34.990002,35.57,34.490002,34.560001,4697900,34.178501
2015-10-14,34.540001,35.049999,34.299999,34.779999,4731700,34.39607
2015-10-15,34.599998,36.810001,34.57,36.41,5661800,36.008078
2015-10-16,36.490002,37.200001,35.959999,37.099998,5018600,36.69046
2015-10-19,36.110001,36.720001,35.98,36.209999,5159800,35.810285
2015-10-20,36.18,36.919998,36.02,36.529999,3194300,36.126752
2015-10-21,36.32,36.720001,35.77,35.849998,3688200,35.454258
2015-10-22,36.209999,36.740002,35.849998,36.48,4813300,36.077305
2015-10-23,36.240002,36.360001,35.540001,35.93,3912700,35.533377
2015-10-26,35.790001,35.860001,34.450001,34.59,3915900,34.208169
2015-10-27,33.689999,34.02,32.82,32.98,10418100,32.615941
2015-10-28,33.110001,35.139999,32.91,34.84,5612400,34.455409
2015-10-29,34.529999,35.599998,34.400002,35.099998,4357400,34.892809
2015-10-30,35.27,36.450001,34.509998,35.84,5208800,35.628443
2015-11-02,36.450001,38.560001,36.0,37.970001,7692200,37.745871
2015-11-03,38.52,39.849998,38.389999,38.700001,6031400,38.471561
2015-11-04,38.689999,38.880001,37.09,37.84,4486800,37.616637
2015-11-05,37.419998,38.650002,37.080002,37.650002,3703500,37.42776
2015-11-06,37.139999,37.650002,36.290001,36.790001,3698300,36.572836
2015-11-09,36.849998,37.52,36.330002,37.220001,3291900,37.000298
2015-11-10,37.029999,38.299999,36.810001,37.84,3180900,37.616637
2015-11-11,37.799999,37.860001,36.52,36.880001,4342400,36.662305
2015-11-12,35.970001,36.43,35.189999,35.279999,3917800,35.071747
2015-11-13,35.150002,35.310001,34.25,35.200001,4561600,34.992221
2015-11-16,35.240002,37.040001,35.09,37.0,3698300,36.781595
2015-11-17,35.240002,37.0,35.240002,36.459999,3664300,36.244782
2015-11-18,36.689999,37.529999,36.34,37.400002,4017000,37.179236
2015-11-19,36.959999,37.16,35.98,36.599998,2304400,36.383955
2015-11-20,36.540001,36.560001,35.18,35.66,4051400,35.449505
