Date,Open_NTRS,High_NTRS,Low_NTRS,Close_NTRS,Volume_NTRS,AdjClose_NTRS
2013-06-14,57.700001,57.73,56.73,57.119999,837600,53.720689
2013-06-17,57.59,58.200001,57.349998,58.049999,1466600,54.595344
2013-06-18,58.110001,58.400002,57.84,58.360001,1262600,54.886897
2013-06-19,58.209999,59.09,57.82,57.900002,1996000,54.454273
2013-06-20,57.470001,58.790001,57.34,58.110001,3001500,54.651774
2013-06-21,58.689999,58.82,57.509998,57.990002,2570400,54.538917
2013-06-24,57.540001,57.66,56.790001,57.080002,1599700,53.683073
2013-06-25,57.529999,57.98,57.080002,57.150002,2699300,53.748907
2013-06-26,57.639999,57.790001,57.200001,57.299999,2040800,53.889978
2013-06-27,57.740002,58.360001,57.650002,58.310001,1667200,54.839873
2013-06-28,58.02,58.57,57.509998,57.900002,2903700,54.454273
2013-07-01,58.130001,59.650002,58.130001,58.759998,1397300,55.26309
2013-07-02,58.459999,59.189999,58.080002,58.630001,1315300,55.140829
2013-07-03,58.299999,58.849998,58.040001,58.830002,367000,55.328927
2013-07-05,59.34,60.380001,59.099998,60.34,1094500,56.749063
2013-07-08,60.52,60.669998,60.040001,60.599998,852900,56.993588
2013-07-09,61.009998,61.189999,60.369999,61.130001,1354100,57.492049
2013-07-10,61.0,61.360001,60.779999,61.16,1036300,57.520263
2013-07-11,61.740002,61.84,60.59,60.889999,1116200,57.266331
2013-07-12,60.889999,61.529999,60.889999,61.509998,782700,57.849432
2013-07-15,61.650002,61.790001,61.34,61.73,597000,58.056341
2013-07-16,62.02,62.02,60.689999,60.75,1309600,57.134663
2013-07-17,59.380001,60.099998,58.52,59.41,2670900,55.874409
2013-07-18,58.939999,59.389999,58.130001,59.130001,3038700,55.611073
2013-07-19,59.490002,59.490002,58.619999,59.139999,2083500,55.620476
2013-07-22,58.93,59.630001,58.82,59.419998,1072900,55.883812
2013-07-23,59.560001,60.439999,59.490002,60.110001,1858500,56.532751
2013-07-24,60.150002,60.150002,58.98,59.110001,1155700,55.592263
2013-07-25,58.860001,59.48,58.709999,59.150002,1164500,55.629883
2013-07-26,58.639999,59.0,58.490002,58.959999,784700,55.451188
2013-07-29,58.599998,59.34,58.259998,58.389999,789100,54.91511
2013-07-30,58.68,58.849998,58.150002,58.290001,815100,54.821063
2013-07-31,58.619999,59.220001,58.310001,58.540001,1155600,55.056185
2013-08-01,58.970001,59.66,58.599998,59.509998,943700,55.968456
2013-08-02,59.200001,59.490002,59.110001,59.209999,757800,55.68631
2013-08-05,59.049999,59.09,58.380001,58.5,1018900,55.018564
2013-08-06,58.459999,58.66,58.0,58.34,1201300,54.868086
2013-08-07,58.259998,58.34,57.599998,57.639999,877400,54.209744
2013-08-08,58.099998,58.23,57.220001,57.68,823300,54.247364
2013-08-09,57.709999,58.080002,57.43,57.860001,816900,54.416652
2013-08-12,57.459999,57.810001,56.799999,57.060001,1056200,53.664262
2013-08-13,57.09,57.830002,56.970001,57.57,654000,54.14391
2013-08-14,57.290001,57.869999,57.02,57.32,657800,53.908788
2013-08-15,56.959999,57.09,56.349998,56.599998,807200,53.231635
2013-08-16,56.459999,57.169998,56.380001,56.619999,583800,53.250445
2013-08-19,56.549999,57.0,56.02,56.040001,821000,52.704964
2013-08-20,56.099998,56.59,55.790001,56.5,842400,53.137588
2013-08-21,56.200001,56.490002,55.759998,56.040001,866200,52.704964
2013-08-22,56.07,57.119999,55.990002,57.060001,479200,53.664262
2013-08-23,57.400002,57.400002,56.799999,57.029999,548200,53.636045
2013-08-26,57.040001,57.16,56.369999,56.369999,615700,53.015323
2013-08-27,55.59,56.02,54.59,54.77,1177100,51.510543
2013-08-28,54.860001,55.290001,54.709999,54.990002,757600,51.717452
2013-08-29,54.759998,55.5,54.75,55.099998,722300,51.820903
2013-08-30,55.169998,55.66,54.599998,54.869999,682100,51.604591
2013-09-03,55.380001,55.950001,54.82,55.200001,1418800,51.914954
2013-09-04,54.700001,55.860001,54.189999,55.5,1258000,52.49189
2013-09-05,55.41,55.919998,55.41,55.470001,989100,52.463518
2013-09-06,55.599998,55.889999,54.599998,55.470001,1639800,52.463518
2013-09-09,55.57,55.77,55.32,55.599998,1200200,52.586469
2013-09-10,55.959999,56.299999,55.830002,56.02,1141100,52.983707
2013-09-11,56.040001,56.299999,55.34,55.41,1419900,52.406768
2013-09-12,55.310001,55.43,54.900002,55.009998,1323100,52.028447
2013-09-13,55.009998,55.25,54.740002,54.810001,1030400,51.83929
2013-09-16,55.490002,55.560001,55.0,55.299999,1354300,52.30273
2013-09-17,55.439999,55.619999,55.049999,55.610001,1155800,52.595929
2013-09-18,55.689999,56.82,55.48,56.009998,1810400,52.974247
2013-09-19,55.990002,56.349998,55.09,56.02,1772500,52.983707
2013-09-20,56.310001,56.450001,55.529999,55.639999,3166400,52.624302
2013-09-23,55.330002,55.48,54.77,55.209999,1290800,52.217608
2013-09-24,55.400002,55.720001,54.98,55.09,1565400,52.104113
2013-09-25,55.009998,55.990002,54.740002,55.52,1384200,52.510807
2013-09-26,55.509998,55.880001,54.950001,55.290001,958700,52.293273
2013-09-27,54.900002,55.119999,54.52,54.779999,1007500,51.810913
2013-09-30,54.209999,54.529999,53.919998,54.380001,1159200,51.432596
2013-10-01,54.439999,54.98,54.310001,54.73,924500,51.763624
2013-10-02,54.23,54.290001,53.59,53.68,1320800,50.770535
2013-10-03,53.380001,53.66,52.66,53.150002,2644200,50.269262
