Date,Open_O,High_O,Low_O,Close_O,Volume_O,AdjClose_O
2015-06-08,45.330002,45.970001,45.330002,45.619999,2290900,43.633546
2015-06-09,45.5,45.790001,44.950001,45.009998,1533700,43.050107
2015-06-10,45.16,45.57,44.669998,45.16,1619700,43.193577
2015-06-11,45.52,45.84,45.349998,45.59,1448400,43.604854
2015-06-12,45.52,45.68,45.259998,45.34,1367700,43.36574
2015-06-15,45.389999,45.52,45.049999,45.07,1292100,43.107496
2015-06-16,45.189999,45.400002,45.029999,45.310001,1377500,43.337047
2015-06-17,45.380001,46.009998,45.099998,45.919998,1765200,43.920483
2015-06-18,46.049999,47.049999,46.049999,46.639999,1983700,44.609133
2015-06-19,46.560001,46.610001,46.07,46.07,3243300,44.063953
2015-06-22,46.18,46.32,45.450001,45.490002,1704400,43.50921
2015-06-23,45.52,45.52,44.919998,45.110001,1461300,43.145755
2015-06-24,45.130001,45.310001,44.709999,44.779999,1194300,42.830123
2015-06-25,44.779999,45.049999,44.23,44.419998,2018800,42.485798
2015-06-26,44.43,45.040001,44.299999,44.939999,1436300,42.983156
2015-06-29,44.759998,45.240002,44.349998,44.369999,1703900,42.618159
2015-06-30,44.599998,44.990002,44.349998,44.389999,1915900,42.63737
2015-07-01,44.470001,45.099998,44.200001,45.099998,1966000,43.319336
2015-07-02,45.5,46.189999,45.259998,45.389999,1698900,43.597887
2015-07-06,45.169998,46.02,45.169998,45.93,1886200,44.116568
2015-07-07,46.130001,46.610001,45.849998,46.330002,2406000,44.500776
2015-07-08,46.150002,46.43,46.049999,46.27,1615500,44.443144
2015-07-09,46.5,46.68,45.810001,45.950001,1727800,44.135778
2015-07-10,46.099998,46.630001,45.91,46.360001,1684800,44.52959
2015-07-13,46.43,46.849998,45.790001,46.16,1722200,44.337486
2015-07-14,46.330002,46.5,46.009998,46.450001,1173200,44.616037
2015-07-15,46.290001,46.759998,46.240002,46.709999,1170700,44.86577
2015-07-16,46.849998,47.220001,46.630001,47.200001,1282000,45.336425
2015-07-17,47.200001,47.310001,46.830002,46.990002,1229500,45.134717
2015-07-20,46.860001,47.189999,46.66,47.189999,945900,45.326818
2015-07-21,47.130001,47.400002,47.0,47.0,1536600,45.144321
2015-07-22,47.060001,47.400002,47.060001,47.27,1057900,45.403661
2015-07-23,47.200001,47.25,46.48,46.779999,1410600,44.933006
2015-07-24,46.700001,47.27,46.669998,47.080002,1450000,45.221164
2015-07-27,46.990002,47.5,46.990002,47.220001,1571100,45.355636
2015-07-28,47.279999,47.68,47.07,47.419998,1694500,45.547736
2015-07-29,47.400002,47.939999,47.099998,47.830002,1681700,45.941552
2015-07-30,47.5,47.990002,47.209999,47.610001,1620000,45.912621
2015-07-31,47.900002,48.459999,47.849998,48.290001,3067100,46.568378
2015-08-03,48.279999,48.830002,48.150002,48.779999,1575300,47.040907
2015-08-04,48.5,48.880001,48.040001,48.139999,1526600,46.423724
2015-08-05,48.040001,48.220001,47.049999,47.380001,1869200,45.690821
2015-08-06,47.32,47.650002,46.950001,47.529999,1807300,45.835471
2015-08-07,47.5,47.560001,46.970001,47.459999,1861100,45.767967
2015-08-10,47.630001,47.639999,47.16,47.360001,1171000,45.671534
2015-08-11,47.200001,47.830002,47.139999,47.450001,1363500,45.758326
2015-08-12,47.380001,47.669998,47.150002,47.619999,1750000,45.922263
2015-08-13,47.68,47.77,47.099998,47.540001,1642900,45.845117
2015-08-14,47.560001,47.849998,47.27,47.84,1191600,46.134421
2015-08-17,47.610001,48.09,47.52,48.02,1274600,46.308004
2015-08-18,47.889999,48.459999,47.849998,48.459999,1228000,46.732316
2015-08-19,48.189999,48.299999,47.650002,48.049999,1444400,46.336933
2015-08-20,47.82,48.650002,47.700001,48.099998,1561400,46.38515
2015-08-21,48.139999,48.34,47.610001,47.619999,2205100,45.922263
2015-08-24,46.459999,46.75,45.599998,45.82,3713100,44.186437
2015-08-25,46.509998,46.900002,44.450001,44.470001,2889100,42.884568
2015-08-26,45.200001,45.540001,44.470001,45.470001,2467300,43.848916
2015-08-27,46.029999,46.709999,45.529999,46.360001,1877000,44.707186
2015-08-28,46.060001,46.220001,45.610001,45.939999,1641500,44.484469
2015-08-31,45.98,46.0,44.669998,44.689999,2131800,43.274074
2015-09-01,44.290001,44.57,43.630001,43.939999,2283600,42.547836
2015-09-02,44.43,44.52,43.82,44.23,1804700,42.828649
2015-09-03,44.43,44.5,44.009998,44.169998,1312300,42.770548
2015-09-04,43.860001,43.900002,43.150002,43.380001,1853000,42.005581
2015-09-08,44.439999,44.439999,43.799999,44.310001,1944800,42.906116
2015-09-09,44.689999,44.740002,43.889999,43.970001,2588700,42.576888
2015-09-10,44.0,44.619999,43.919998,44.200001,1464300,42.7996
2015-09-11,44.16,45.09,44.09,45.080002,1380900,43.65172
2015-09-14,45.18,45.450001,45.02,45.349998,1411400,43.913162
2015-09-15,45.490002,45.91,45.080002,45.799999,1437000,44.348906
2015-09-16,45.689999,46.400002,45.599998,46.279999,1233600,44.813697
2015-09-17,46.299999,47.720001,46.009998,46.889999,2115200,45.404371
2015-09-18,46.369999,48.299999,46.369999,47.490002,3631000,45.985363
2015-09-21,47.639999,48.09,47.529999,47.669998,1714200,46.159657
2015-09-22,47.400002,47.75,46.950001,47.139999,1922300,45.64645
2015-09-23,47.200001,47.619999,47.029999,47.330002,1234700,45.830433
2015-09-24,47.279999,47.43,46.689999,46.970001,1421100,45.481838
2015-09-25,47.09,47.389999,46.84,47.060001,1581500,45.568987
2015-09-28,46.939999,47.200001,46.18,46.639999,1920200,45.162292
2015-09-29,46.41,47.150002,46.369999,47.110001,1490800,45.804983
2015-09-30,47.330002,47.830002,46.919998,47.389999,2145100,46.077225
2015-10-01,47.619999,47.619999,46.970001,47.349998,1426100,46.038333
2015-10-02,47.349998,47.349998,45.650002,46.0,11940000,44.725731
2015-10-05,46.099998,47.110001,46.080002,47.110001,4673000,45.804983
2015-10-06,47.040001,47.16,46.84,46.990002,2032300,45.688308
2015-10-07,47.220001,47.43,46.830002,47.43,2460500,46.116118
2015-10-08,47.450001,47.77,47.130001,47.650002,2330300,46.330025
2015-10-09,47.68,47.799999,47.32,47.77,1353700,46.4467
2015-10-12,47.77,48.68,47.529999,48.16,2807100,46.825896
2015-10-13,48.0,48.369999,47.880001,48.080002,1307000,46.748114
2015-10-14,48.110001,48.310001,47.529999,47.68,1613900,46.359193
2015-10-15,47.82,48.549999,47.759998,48.509998,1443900,47.166199
2015-10-16,48.66,48.91,48.560001,48.610001,3770000,47.263431
2015-10-19,48.599998,48.939999,48.52,48.880001,1359100,47.525952
2015-10-20,48.779999,49.029999,48.610001,48.959999,1509900,47.603734
2015-10-21,49.169998,49.259998,48.82,48.880001,1316000,47.525952
2015-10-22,49.369999,50.5,49.299999,50.189999,2537700,48.799661
2015-10-23,50.099998,50.400002,49.5,49.900002,1655200,48.517697
2015-10-26,49.970001,50.259998,49.68,50.25,1564600,48.858
2015-10-27,50.119999,50.450001,49.810001,50.310001,1936500,48.916339
2015-10-28,50.099998,50.98,49.75,50.599998,2914800,49.198303
2015-10-29,49.09,50.0,49.049999,49.68,3167800,48.486813
2015-10-30,49.66,49.990002,49.41,49.459999,3956800,48.272096
2015-11-02,49.400002,50.599998,49.27,50.59,2284100,49.374957
2015-11-03,50.400002,50.400002,49.810001,50.139999,1611100,48.935764
2015-11-04,50.0,50.189999,49.240002,49.450001,1880300,48.262338
2015-11-05,49.41,50.049999,49.119999,50.0,1818600,48.799127
2015-11-06,49.060001,49.080002,47.139999,47.470001,3896600,46.329893
2015-11-09,47.41,47.41,45.98,46.389999,2676900,45.27583
2015-11-10,46.459999,47.07,46.389999,46.939999,2323400,45.812619
2015-11-11,47.029999,47.700001,46.810001,47.439999,1656900,46.300611
2015-11-12,47.360001,47.799999,47.169998,47.439999,2010400,46.300611
2015-11-13,47.5,47.849998,47.02,47.439999,2188000,46.300611
2015-11-16,47.43,48.189999,47.25,48.189999,2162800,47.032598
2015-11-17,48.040001,48.669998,47.799999,48.439999,2287200,47.276593
2015-11-18,48.48,49.240002,48.43,49.220001,2428100,48.037862
2015-11-19,49.450001,49.459999,49.110001,49.369999,1886100,48.184257
2015-11-20,49.41,50.040001,49.369999,49.669998,3168400,48.477051
2015-11-23,49.82,50.150002,49.549999,49.720001,1523900,48.525853
2015-11-24,49.509998,49.580002,48.950001,49.450001,1558800,48.262338
2015-11-25,49.450001,49.700001,49.349998,49.610001,1565300,48.418495
2015-11-27,49.389999,50.060001,49.380001,50.029999,1015000,49.017123
2015-11-30,50.130001,50.490002,49.419998,49.619999,4731900,48.615424
2015-12-01,49.990002,50.68,49.790001,50.619999,2302800,49.595178
2015-12-02,50.189999,50.470001,49.540001,49.610001,2102300,48.605628
2015-12-03,49.419998,49.639999,48.619999,48.779999,2538600,47.792429
2015-12-04,49.07,50.080002,49.0,50.009998,2044200,48.997527
2015-12-07,49.990002,50.459999,49.810001,50.27,2005700,49.252266
2015-12-08,50.189999,50.490002,50.009998,50.139999,2861700,49.124896
2015-12-09,49.740002,50.110001,49.34,49.619999,1673300,48.615424
2015-12-10,49.57,49.919998,48.919998,48.939999,1927900,47.94919
2015-12-11,48.630001,49.02,48.369999,48.650002,2328600,47.665064
2015-12-14,48.57,49.380001,48.509998,49.34,2071100,48.341093
2015-12-15,49.779999,50.380001,49.630001,49.939999,2213600,48.928945
2015-12-16,50.200001,51.259998,50.099998,51.23,2309500,50.192829
2015-12-17,51.209999,51.279999,50.849998,51.0,2450200,49.967486
2015-12-18,50.91,51.810001,50.75,51.080002,5277300,50.045868
2015-12-21,51.580002,51.580002,50.75,51.080002,1520500,50.045868
2015-12-22,51.32,51.779999,51.16,51.18,1364100,50.143842
2015-12-23,51.25,51.549999,51.169998,51.509998,1777000,50.467159
2015-12-24,51.43,51.509998,51.119999,51.299999,662600,50.261412
2015-12-28,51.259998,51.759998,51.080002,51.75,1094600,50.702302
2015-12-29,51.919998,52.25,51.73,52.18,1517900,51.123597
2015-12-30,52.080002,52.41,51.849998,51.919998,1290400,51.055743
2015-12-31,52.0,52.150002,51.540001,51.630001,1242800,50.770573
2016-01-04,51.139999,51.419998,50.470001,51.18,2030700,50.328063
2016-01-05,51.389999,52.43,51.209999,52.290001,1944200,51.419586
2016-01-06,51.860001,52.599998,51.860001,52.599998,1769000,51.724424
2016-01-07,51.68,52.490002,50.639999,51.689999,2146000,50.829572
2016-01-08,51.759998,52.130001,51.099998,51.169998,1581900,50.318227
2016-01-11,51.389999,52.540001,51.299999,52.27,2261100,51.399919
2016-01-12,52.52,52.59,51.759998,52.43,2794900,51.557255
2016-01-13,52.450001,53.169998,51.700001,51.84,2608700,50.977076
2016-01-14,51.98,52.779999,51.650002,52.25,2713400,51.380251
2016-01-15,51.68,52.290001,51.09,52.189999,3406000,51.321249
2016-01-19,52.509998,53.279999,52.299999,53.009998,1986700,52.127599
2016-01-20,52.709999,52.84,50.959999,51.869999,2865600,51.006576
2016-01-21,52.290001,53.299999,51.720001,52.52,1897400,51.645757
2016-01-22,52.990002,54.200001,52.880001,54.040001,1816600,53.140456
2016-01-25,54.119999,54.720001,53.610001,53.889999,2039100,52.992951
2016-01-26,54.049999,55.360001,54.049999,55.200001,2639700,54.281147
2016-01-27,54.990002,55.740002,54.43,55.080002,2403500,54.163145
2016-01-28,54.849998,55.52,54.619999,54.869999,3329900,54.152286
2016-01-29,55.299999,55.880001,55.009998,55.790001,4807600,55.060254
2016-02-01,55.560001,57.200001,55.189999,56.650002,3282800,55.909006
2016-02-02,56.73,57.419998,56.32,57.220001,2182900,56.47155
