Date,Open_OKE,High_OKE,Low_OKE,Close_OKE,Volume_OKE,AdjClose_OKE
2015-06-08,39.700001,40.040001,39.34,39.459999,2163600,36.52211
2015-06-09,39.77,40.009998,39.330002,39.439999,1811700,36.503598
2015-06-10,39.959999,40.049999,39.290001,39.32,2336200,36.392534
2015-06-11,39.459999,39.669998,39.099998,39.380001,3169400,36.448068
2015-06-12,39.200001,39.209999,38.439999,38.830002,3557400,35.939017
2015-06-15,38.59,39.529999,38.529999,39.02,2526700,36.11487
2015-06-16,39.0,39.380001,38.509998,38.950001,2475700,36.050082
2015-06-17,39.07,39.290001,38.669998,39.209999,1709100,36.290723
2015-06-18,39.290001,39.490002,38.75,39.27,1688600,36.346257
2015-06-19,39.189999,39.549999,38.810001,39.040001,2078700,36.133381
2015-06-22,39.790001,41.299999,39.790001,40.790001,3713800,37.75309
2015-06-23,40.82,41.080002,40.59,40.639999,1801600,37.614256
2015-06-24,40.540001,40.82,40.27,40.360001,1501200,37.355104
2015-06-25,40.209999,40.360001,39.299999,39.310001,1796300,36.38328
2015-06-26,39.259998,39.93,38.939999,39.919998,1906600,36.947861
2015-06-29,39.349998,39.880001,39.07,39.110001,1582300,36.19817
2015-06-30,39.450001,39.630001,38.959999,39.48,2106100,36.540621
2015-07-01,39.540001,39.740002,38.639999,38.799999,2362700,35.911248
2015-07-02,39.07,39.529999,38.759998,39.220001,1136500,36.29998
2015-07-06,38.77,38.98,37.779999,37.93,1708500,35.106023
2015-07-07,37.860001,39.23,37.459999,39.119999,2565500,36.207423
2015-07-08,38.93,39.759998,38.279999,38.509998,2173000,35.642839
2015-07-09,39.240002,39.93,39.049999,39.139999,1893600,36.225935
2015-07-10,39.16,39.610001,38.799999,39.540001,1693700,36.596155
2015-07-13,39.950001,41.380001,39.950001,41.200001,2168400,38.132564
2015-07-14,41.130001,41.490002,41.02,41.400002,1890900,38.317675
2015-07-15,41.0,41.189999,40.32,40.630001,1924800,37.605002
2015-07-16,40.77,41.0,40.549999,40.98,1638400,37.928943
2015-07-17,40.82,40.880001,40.27,40.389999,2053300,37.382869
2015-07-20,40.25,40.400002,38.84,39.09,2581200,36.179658
2015-07-21,39.09,39.619999,38.900002,39.48,2749800,36.540621
2015-07-22,39.259998,39.279999,38.02,38.299999,2938900,35.448475
2015-07-23,38.32,38.73,37.950001,38.669998,3573900,35.790926
2015-07-24,38.77,38.82,37.599998,37.68,2937800,34.874636
2015-07-27,37.400002,38.150002,36.919998,37.869999,1830400,35.050489
2015-07-28,37.84,39.200001,37.599998,38.759998,2537200,35.874226
2015-07-29,38.59,40.080002,38.139999,40.0,2572100,37.021906
2015-07-30,39.130001,39.790001,37.41,37.91,2686500,35.626361
2015-07-31,38.040001,38.380001,37.73,37.790001,2633800,35.513591
2015-08-03,37.549999,37.549999,36.41,36.57,2783200,34.367081
2015-08-04,36.5,36.650002,35.52,35.689999,3039800,33.540089
2015-08-05,38.52,38.869999,34.630001,34.82,5601700,32.722498
2015-08-06,34.77,35.639999,33.720001,35.310001,3157900,33.182983
2015-08-07,35.18,35.759998,34.150002,34.32,1911700,32.252617
2015-08-10,34.779999,35.720001,34.540001,35.700001,2419000,33.549489
2015-08-11,35.169998,36.060001,34.720001,36.040001,2545300,33.869008
2015-08-12,35.869999,37.939999,35.869999,37.759998,2472100,35.485396
2015-08-13,37.529999,38.220001,35.959999,36.34,5006800,34.150936
2015-08-14,36.509998,36.77,35.919998,36.279999,3051500,34.094549
2015-08-17,36.259998,36.790001,36.16,36.59,2615700,34.385876
2015-08-18,36.849998,36.919998,34.84,35.619999,3506900,33.474306
2015-08-19,35.279999,35.560001,33.75,34.990002,4263200,32.882259
2015-08-20,35.029999,35.700001,34.529999,34.880001,4488700,32.778885
2015-08-21,34.580002,35.16,33.990002,34.130001,3383500,32.074064
2015-08-24,32.82,33.68,31.43,32.169998,4431900,30.232128
2015-08-25,33.540001,33.540001,31.620001,31.629999,3818000,29.724658
2015-08-26,32.599998,32.610001,31.59,32.560001,3317900,30.598638
2015-08-27,32.959999,34.669998,32.509998,34.48,2767900,32.402979
2015-08-28,34.549999,36.080002,34.490002,35.630001,3194300,33.483706
2015-08-31,35.310001,36.360001,34.57,36.009998,3446300,33.840813
2015-09-01,34.799999,35.41,34.689999,34.939999,4036500,32.835268
2015-09-02,35.630001,35.700001,34.220001,35.34,2606100,33.211174
2015-09-03,35.59,36.459999,35.18,35.669998,2218700,33.521294
2015-09-04,34.52,35.599998,34.349998,35.400002,3084300,33.267561
2015-09-08,35.369999,36.48,35.240002,36.43,2414000,34.235515
2015-09-09,36.32,36.939999,35.709999,35.84,2607600,33.681055
2015-09-10,36.080002,36.279999,35.290001,36.16,2126200,33.981779
2015-09-11,35.380001,35.759998,34.689999,35.189999,1935400,33.070209
2015-09-14,35.029999,35.110001,34.369999,34.5,2105000,32.421774
2015-09-15,34.959999,35.209999,34.57,34.849998,2458700,32.75069
2015-09-16,35.16,36.220001,35.16,36.07,3049300,33.8972
2015-09-17,36.290001,37.060001,35.939999,36.279999,2219900,34.094549
2015-09-18,35.57,35.889999,35.139999,35.740002,4600700,33.58708
2015-09-21,35.950001,36.68,35.57,36.490002,1682700,34.291902
2015-09-22,35.669998,37.220001,35.630001,36.709999,2499900,34.498647
2015-09-23,36.77,37.189999,35.259998,35.330002,1950200,33.201778
2015-09-24,35.169998,35.240002,33.860001,34.830002,2217900,32.731898
2015-09-25,35.09,35.279999,34.599998,35.189999,1736400,33.070209
2015-09-28,34.689999,34.93,32.869999,33.0,2774000,31.012132
2015-09-29,33.290001,33.57,30.67,30.860001,4358600,29.001043
2015-09-30,31.27,32.240002,30.84,32.200001,3112700,30.260324
2015-10-01,32.5,33.0,32.189999,32.779999,3053800,30.805383
2015-10-02,32.32,34.630001,32.220001,34.599998,3265600,32.515749
2015-10-05,35.150002,36.98,35.110001,36.939999,2782200,34.714791
2015-10-06,36.869999,38.52,36.82,37.84,2435700,35.560578
2015-10-07,38.380001,39.459999,38.110001,38.869999,2471100,36.528532
2015-10-08,38.869999,39.369999,38.07,39.099998,1847900,36.744676
2015-10-09,39.240002,39.869999,38.919998,39.580002,2203400,37.195765
2015-10-12,39.580002,39.619999,38.209999,38.799999,1469900,36.462749
2015-10-13,38.349998,39.02,38.07,38.130001,1559200,35.83311
2015-10-14,38.220001,38.689999,37.349998,37.810001,1980400,35.532387
2015-10-15,37.799999,38.700001,36.759998,38.610001,2223900,36.284195
2015-10-16,38.73,39.07,38.07,38.830002,1396900,36.490944
