Date,Open_ORLY,High_ORLY,Low_ORLY,Close_ORLY,Volume_ORLY,AdjClose_ORLY
2013-06-14,111.18,112.470001,110.970001,111.559998,446100,111.559998
2013-06-17,111.57,112.559998,111.169998,111.949997,727900,111.949997
2013-06-18,112.050003,113.139999,111.709999,113.089996,683000,113.089996
2013-06-19,113.089996,114.059998,112.879997,113.010002,672900,113.010002
2013-06-20,112.029999,112.580002,110.470001,110.82,609900,110.82
2013-06-21,111.449997,111.889999,110.07,110.989998,1055600,110.989998
2013-06-24,110.0,111.940002,109.860001,111.169998,666800,111.169998
2013-06-25,111.480003,112.0,110.889999,111.330002,642800,111.330002
2013-06-26,109.610001,111.18,109.440002,110.309998,1084800,110.309998
2013-06-27,111.050003,112.139999,111.050003,111.800003,554200,111.800003
2013-06-28,111.330002,113.620003,111.300003,112.620003,1112900,112.620003
2013-07-01,113.029999,115.0,112.720001,114.730003,866900,114.730003
2013-07-02,114.989998,115.849998,113.57,113.910004,629500,113.910004
2013-07-03,113.300003,114.910004,112.93,114.559998,310200,114.559998
2013-07-05,115.199997,116.139999,114.610001,115.75,326500,115.75
2013-07-08,116.470001,117.519997,116.230003,117.379997,551000,117.379997
2013-07-09,118.349998,118.370003,116.139999,116.489998,493700,116.489998
2013-07-10,116.25,116.830002,115.580002,116.480003,601200,116.480003
2013-07-11,117.68,117.980003,116.639999,117.400002,609600,117.400002
2013-07-12,117.620003,118.010002,116.629997,116.949997,648100,116.949997
2013-07-15,117.230003,117.470001,115.910004,116.230003,778400,116.230003
2013-07-16,116.610001,117.0,116.0,116.209999,589200,116.209999
2013-07-17,116.279999,117.25,115.300003,115.769997,622200,115.769997
2013-07-18,116.260002,118.349998,115.010002,117.029999,586700,117.029999
2013-07-19,118.169998,118.449997,116.309998,118.419998,706400,118.419998
2013-07-22,120.25,120.349998,118.110001,119.610001,908200,119.610001
2013-07-23,120.150002,120.300003,118.419998,118.540001,822200,118.540001
2013-07-24,118.949997,119.980003,117.089996,117.830002,595500,117.830002
2013-07-25,124.029999,124.279999,120.800003,122.629997,1866200,122.629997
