Date,Open_PDCO,High_PDCO,Low_PDCO,Close_PDCO,Volume_PDCO,AdjClose_PDCO
2013-06-14,38.900002,39.119999,38.669998,38.759998,467900,36.678481
2013-06-17,39.099998,39.34,38.970001,39.209999,711500,37.104316
2013-06-18,39.23,39.299999,38.82,39.080002,604400,36.9813
2013-06-19,39.240002,39.279999,38.25,38.310001,913500,36.25265
2013-06-20,37.900002,37.959999,37.169998,37.310001,1075500,35.306353
2013-06-21,37.450001,37.75,37.189999,37.419998,1468000,35.410443
2013-06-24,37.139999,37.470001,36.880001,37.240002,651200,35.240113
2013-06-25,37.560001,37.560001,36.900002,37.299999,614900,35.296888
2013-06-26,37.439999,37.830002,37.130001,37.200001,697400,35.20226
2013-06-27,37.419998,37.810001,37.23,37.580002,719000,35.561854
2013-06-28,37.450001,37.860001,37.150002,37.599998,949400,35.580777
2013-07-01,37.77,38.07,37.619999,37.73,827800,35.703796
2013-07-02,37.720001,37.939999,37.509998,37.860001,957800,35.826816
2013-07-03,37.810001,38.0,37.59,37.740002,539100,35.713261
2013-07-05,38.150002,38.400002,37.580002,37.970001,815700,35.930909
2013-07-08,38.07,38.459999,38.009998,38.32,547700,36.262112
2013-07-09,38.490002,38.810001,38.25,38.57,722900,36.65172
2013-07-10,38.639999,39.110001,38.450001,39.099998,766600,37.15536
2013-07-11,39.5,39.5,39.240002,39.380001,594600,37.421436
2013-07-12,39.450001,39.68,39.27,39.650002,351200,37.678008
2013-07-15,39.869999,40.02,39.619999,39.849998,511900,37.868058
2013-07-16,39.75,39.93,39.669998,39.75,497600,37.773033
2013-07-17,39.880001,39.98,39.599998,39.830002,511400,37.849056
2013-07-18,39.830002,40.32,39.709999,40.27,459800,38.267172
2013-07-19,40.299999,40.529999,40.049999,40.349998,433500,38.343191
2013-07-22,40.540001,40.639999,40.240002,40.470001,383300,38.457225
2013-07-23,40.470001,40.610001,40.080002,40.400002,421900,38.390707
2013-07-24,40.459999,40.689999,40.0,40.130001,473300,38.134135
2013-07-25,40.150002,40.560001,40.02,40.549999,423600,38.533245
2013-07-26,40.400002,40.77,40.099998,40.59,452400,38.571256
2013-07-29,40.41,40.59,40.279999,40.52,284900,38.504738
2013-07-30,40.700001,41.02,40.59,40.740002,567200,38.713797
2013-07-31,40.91,41.25,40.700001,40.889999,576400,38.856335
2013-08-01,41.139999,41.75,40.779999,41.639999,463800,39.569034
2013-08-02,41.84,41.880001,41.360001,41.84,541100,39.759087
2013-08-05,41.82,41.82,41.41,41.77,426200,39.692569
2013-08-06,41.650002,41.869999,41.52,41.799999,528100,39.721076
2013-08-07,41.799999,41.919998,41.580002,41.790001,447500,39.711575
2013-08-08,41.900002,42.34,41.849998,42.27,386300,40.167702
2013-08-09,42.299999,42.419998,42.0,42.09,422200,39.996654
2013-08-12,41.91,42.450001,41.810001,42.32,478700,40.215214
2013-08-13,42.400002,42.619999,41.959999,42.599998,422900,40.481287
2013-08-14,42.59,42.689999,42.25,42.349998,516800,40.243721
2013-08-15,42.169998,42.23,41.549999,41.59,467300,39.521521
2013-08-16,41.549999,41.869999,41.349998,41.52,599900,39.455003
2013-08-19,41.630001,41.900002,41.470001,41.470001,501900,39.40749
2013-08-20,41.5,41.98,41.220001,41.869999,553100,39.787594
2013-08-21,41.75,41.91,41.369999,41.650002,907800,39.578538
2013-08-22,40.310001,41.110001,40.0,40.650002,1325500,38.628273
2013-08-23,40.900002,41.189999,40.720001,41.009998,708300,38.970366
2013-08-26,41.040001,41.200001,40.419998,40.450001,701500,38.43822
2013-08-27,40.049999,40.169998,39.889999,39.959999,762000,37.972588
2013-08-28,39.98,40.189999,39.779999,39.799999,457100,37.820546
2013-08-29,39.669998,40.279999,39.360001,39.98,486300,37.991594
2013-08-30,39.959999,39.970001,39.73,39.880001,507300,37.896569
2013-09-03,40.419998,40.689999,39.720001,39.830002,746400,37.849056
2013-09-04,39.77,40.080002,39.689999,40.009998,554600,38.020101
2013-09-05,39.98,40.25,39.919998,40.07,384800,38.077118
2013-09-06,40.119999,40.349998,39.560001,40.029999,474800,38.039106
2013-09-09,40.09,40.259998,39.880001,40.259998,429000,38.257667
2013-09-10,40.41,40.889999,40.25,40.650002,389800,38.628273
2013-09-11,40.639999,41.02,40.459999,40.990002,573800,38.951364
2013-09-12,40.91,41.139999,40.869999,41.0,512500,38.960865
