Date,Open_PFG,High_PFG,Low_PFG,Close_PFG,Volume_PFG,AdjClose_PFG
2015-06-08,51.799999,52.150002,51.619999,51.650002,1078500,49.929131
2015-06-09,51.709999,51.959999,51.41,51.669998,810200,49.948461
2015-06-10,51.880001,53.02,51.880001,52.639999,1792800,50.886144
2015-06-11,52.73,53.259998,52.59,52.860001,1360500,51.098815
2015-06-12,52.650002,53.049999,52.380001,52.630001,1427100,50.876479
2015-06-15,51.799999,52.459999,51.799999,52.049999,1222200,50.315801
2015-06-16,52.029999,52.509998,51.830002,52.27,1070500,50.528473
2015-06-17,52.450001,52.599998,52.049999,52.130001,945900,50.393138
2015-06-18,52.32,53.099998,52.07,52.880001,2002000,51.118149
2015-06-19,52.66,52.869999,52.360001,52.5,2131200,50.750809
2015-06-22,53.130001,53.349998,52.880001,53.02,1294900,51.253484
2015-06-23,53.240002,53.419998,52.970001,53.290001,1041800,51.514489
2015-06-24,53.18,53.389999,52.880001,53.029999,1500300,51.263149
2015-06-25,53.150002,53.240002,52.080002,52.080002,1366500,50.344804
2015-06-26,52.360001,52.540001,52.16,52.439999,843800,50.692807
2015-06-29,51.66,51.799999,50.66,50.740002,1256000,49.04945
2015-06-30,51.43,51.91,50.93,51.290001,1329600,49.581125
2015-07-01,51.73,52.049999,51.459999,51.790001,979900,50.064466
2015-07-02,51.689999,51.799999,51.23,51.48,855100,49.764793
2015-07-06,50.490002,51.459999,50.459999,51.09,1118500,49.387787
2015-07-07,51.0,51.419998,49.889999,51.369999,1441800,49.658457
2015-07-08,50.740002,51.279999,50.07,50.189999,1102400,48.517772
2015-07-09,51.189999,51.380001,50.389999,50.59,1811700,48.904446
2015-07-10,51.450001,51.740002,50.919998,51.23,1904900,49.523122
2015-07-13,51.5,52.27,51.5,52.189999,1409300,50.451136
2015-07-14,52.040001,52.310001,51.77,52.200001,753000,50.460805
2015-07-15,52.310001,52.490002,51.810001,52.400002,1078600,50.654142
2015-07-16,52.919998,53.130001,52.639999,53.09,1061400,51.321152
2015-07-17,52.939999,53.099998,52.470001,52.82,885300,51.060147
2015-07-20,52.950001,53.369999,52.599998,53.18,1140200,51.408153
2015-07-21,53.23,53.5,52.889999,53.150002,959800,51.379154
2015-07-22,53.150002,53.189999,52.849998,53.049999,947600,51.282483
2015-07-23,52.950001,53.169998,52.369999,52.48,1092000,50.731475
2015-07-24,53.299999,54.68,53.209999,54.459999,2610500,52.645505
2015-07-27,54.110001,54.349998,53.5,54.299999,1792800,52.490836
2015-07-28,54.860001,54.880001,54.130001,54.330002,1637000,52.519839
2015-07-29,54.439999,55.0,54.259998,54.91,1162800,53.080513
2015-07-30,54.759998,55.470001,54.639999,55.290001,1308400,53.447853
2015-07-31,55.32,55.830002,54.959999,55.509998,1811300,53.66052
2015-08-03,55.470001,56.209999,55.259998,55.889999,1576100,54.027861
2015-08-04,55.869999,56.16,55.580002,55.740002,949600,53.882861
2015-08-05,56.23,56.57,55.709999,55.759998,1045900,53.902191
2015-08-06,55.939999,56.189999,55.330002,55.560001,1060500,53.708857
2015-08-07,55.48,55.66,54.759998,55.23,844400,53.389851
2015-08-10,56.16,56.66,55.98,56.57,887500,54.685205
2015-08-11,55.779999,56.279999,55.459999,56.02,1129500,54.15353
2015-08-12,55.599998,56.09,54.700001,55.98,1634000,54.114862
2015-08-13,56.110001,57.080002,56.029999,56.919998,1688400,55.023542
2015-08-14,56.93,58.02,56.119999,57.98,1911700,56.048226
2015-08-17,57.860001,57.959999,57.23,57.669998,1406200,55.748554
2015-08-18,57.0,57.689999,56.799999,57.68,1125400,55.758222
2015-08-19,57.279999,57.549999,56.400002,57.150002,1368000,55.245882
2015-08-20,56.049999,56.610001,56.049999,56.119999,1418100,54.250197
2015-08-21,55.619999,55.75,53.93,53.93,2235700,52.133165
2015-08-24,50.200001,53.259998,50.200001,50.650002,3373400,48.962449
2015-08-25,52.849998,53.130001,48.709999,48.77,3232700,47.145085
2015-08-26,50.110001,50.360001,48.25,50.07,2640900,48.401771
2015-08-27,51.18,51.75,50.189999,51.419998,2222700,49.706791
2015-08-28,51.02,51.279999,50.419998,50.900002,1434100,49.204119
2015-08-31,50.5,50.849998,50.240002,50.349998,1448300,48.672441
2015-09-01,49.57,49.57,48.0,48.32,2222000,46.710078
2015-09-02,48.779999,48.970001,47.66,48.48,1832700,47.236223
2015-09-03,48.720001,49.299999,48.5,48.720001,1270900,47.470068
2015-09-04,47.959999,48.200001,47.200001,47.57,1417500,46.34957
2015-09-08,47.599998,48.990002,41.669998,48.810001,1613000,47.557759
2015-09-09,49.200001,50.0,47.669998,47.779999,1817200,46.554181
2015-09-10,46.990002,47.779999,46.619999,47.41,1774600,46.193675
2015-09-11,46.970001,48.209999,46.779999,48.18,1560000,46.943921
2015-09-14,48.169998,48.169998,47.650002,47.799999,934900,46.573669
2015-09-15,48.080002,49.330002,47.66,49.27,1620200,48.005957
2015-09-16,49.029999,49.52,48.869999,49.389999,1365300,48.122877
2015-09-17,49.41,49.860001,48.919998,49.07,1954400,47.811087
2015-09-18,48.310001,48.880001,47.91,48.049999,2828000,46.817255
2015-09-21,48.48,49.099998,48.18,48.689999,1087200,47.440835
2015-09-22,48.27,48.400002,47.580002,47.900002,1421700,46.671106
2015-09-23,47.900002,48.150002,47.400002,47.57,1356000,46.34957
2015-09-24,46.950001,47.509998,46.75,47.400002,1136200,46.183933
2015-09-25,48.18,48.470001,47.720001,48.049999,1058900,46.817255
2015-09-28,47.490002,47.689999,46.290001,46.389999,1612500,45.199843
2015-09-29,46.48,46.950001,46.169998,46.790001,1350600,45.589582
2015-09-30,47.700001,47.799999,46.779999,47.34,1580700,46.125471
2015-10-01,47.5,47.540001,46.810001,47.369999,1071700,46.1547
2015-10-02,46.310001,47.639999,45.91,47.630001,1209700,46.408032
2015-10-05,48.0,49.240002,47.66,49.09,1054100,47.830574
2015-10-06,48.919998,49.080002,48.5,48.77,1025400,47.518784
2015-10-07,49.240002,49.810001,48.880001,49.529999,1099100,48.259284
2015-10-08,49.209999,49.799999,49.040001,49.720001,885600,48.444412
2015-10-09,49.77,50.080002,49.09,49.459999,935900,48.191081
2015-10-12,49.389999,49.689999,49.240002,49.419998,607600,48.152106
2015-10-13,49.009998,49.23,48.360001,48.439999,810800,47.197249
2015-10-14,48.25,48.540001,47.669998,47.77,909800,46.54444
2015-10-15,48.07,48.779999,47.84,48.77,871100,47.518784
2015-10-16,49.07,49.369999,48.52,48.93,921800,47.674679
2015-10-19,48.66,49.139999,48.580002,49.130001,961600,47.869549
2015-10-20,48.990002,49.529999,48.900002,49.330002,836500,48.064419
2015-10-21,49.490002,49.689999,48.619999,48.66,875600,47.411606
2015-10-22,49.02,50.220001,48.939999,49.77,1574000,48.493129
2015-10-23,49.93,50.549999,48.040001,50.509998,2322800,49.214142
2015-10-26,50.5,50.700001,50.09,50.59,1289100,49.292091
2015-10-27,50.130001,50.200001,48.869999,48.990002,1324900,47.733141
2015-10-28,49.189999,51.0,49.009998,51.0,1467600,49.691572
2015-10-29,50.790001,51.220001,50.509998,50.799999,1380500,49.496702
2015-10-30,50.830002,50.959999,49.970001,50.16,1497300,48.873123
2015-11-02,50.369999,51.5,50.07,51.360001,1078500,50.042337
2015-11-03,51.099998,51.66,51.040001,51.400002,882500,50.081311
2015-11-04,51.490002,51.599998,50.700001,50.810001,980000,49.506448
2015-11-05,50.869999,51.110001,50.549999,50.93,856400,49.623368
2015-11-06,52.0,52.209999,51.299999,51.950001,1444700,50.6172
2015-11-09,51.869999,51.880001,50.220001,50.459999,1809400,49.165425
2015-11-10,50.400002,50.689999,49.93,50.59,1119200,49.292091
2015-11-11,50.900002,50.900002,50.27,50.52,700700,49.223887
2015-11-12,50.139999,50.25,49.02,49.040001,1336100,47.781858
2015-11-13,48.919998,49.310001,48.599998,48.77,1077400,47.518784
2015-11-16,48.580002,49.709999,48.419998,49.700001,836900,48.424925
2015-11-17,49.93,50.25,49.279999,49.73,1395600,48.454154
2015-11-18,49.98,50.869999,49.5,50.849998,1043800,49.545419
2015-11-19,50.740002,50.98,50.450001,50.720001,632900,49.418757
2015-11-20,50.990002,51.139999,50.68,50.830002,758300,49.525935
2015-11-23,50.790001,51.09,50.619999,50.799999,751600,49.496702
2015-11-24,50.290001,50.869999,49.990002,50.75,956200,49.447986
2015-11-25,50.939999,51.0,50.549999,50.91,757100,49.603881
2015-11-27,50.919998,51.450001,50.880001,51.419998,464500,50.100795
2015-11-30,51.419998,51.939999,51.060001,51.459999,1281100,50.13977
2015-12-01,51.77,52.169998,51.470001,52.119999,1161300,50.782837
2015-12-02,52.110001,52.18,51.099998,51.16,1504000,49.847467
2015-12-03,50.759998,50.759998,48.029999,48.200001,3629700,47.314847
2015-12-04,48.330002,49.189999,48.200001,49.139999,2905300,48.237583
