Date,Open_PLD,High_PLD,Low_PLD,Close_PLD,Volume_PLD,AdjClose_PLD
2013-06-14,38.099998,38.959999,38.09,38.48,3172300,34.682641
2013-06-17,38.919998,39.240002,38.220001,38.459999,3176700,34.664614
2013-06-18,38.599998,38.75,38.25,38.34,3873500,34.556457
2013-06-19,38.34,38.52,36.549999,36.959999,4536000,33.31264
2013-06-20,36.740002,36.75,35.450001,35.599998,5613700,32.08685
2013-06-21,35.830002,36.369999,35.09,36.360001,11804700,32.771852
2013-06-24,35.830002,36.639999,35.110001,35.84,4925600,32.303167
2013-06-25,36.169998,37.09,35.810001,36.919998,5026400,33.276587
2013-06-26,37.32,37.549999,36.759998,37.130001,3895100,33.465866
2013-06-27,37.34,38.049999,37.279999,38.02,3332800,34.268037
2013-06-28,37.869999,38.130001,37.380001,37.720001,4192600,33.997642
2013-07-01,38.290001,38.290001,37.509998,37.57,2513200,33.862444
2013-07-02,37.450001,38.290001,37.380001,37.990002,3385000,34.240998
2013-07-03,37.720001,37.720001,37.150002,37.459999,2079000,33.763298
2013-07-05,37.700001,37.959999,36.779999,37.5,3089100,33.799352
2013-07-08,37.599998,38.029999,37.380001,37.59,3539900,33.88047
2013-07-09,37.849998,38.470001,37.77,38.32,2190600,34.538431
2013-07-10,38.18,38.52,37.77,38.259998,2637300,34.48435
2013-07-11,38.759998,39.330002,38.720001,39.240002,2790300,35.367643
2013-07-12,39.240002,40.02,38.599998,38.959999,2119100,35.115272
2013-07-15,39.009998,39.369999,38.880001,39.27,1367200,35.394682
2013-07-16,39.299999,39.43,39.110001,39.299999,2493100,35.42172
2013-07-17,39.549999,40.009998,39.310001,39.970001,1731400,36.025603
2013-07-18,40.0,40.459999,39.970001,40.439999,2338000,36.44922
2013-07-19,40.439999,40.560001,39.970001,40.360001,2097600,36.377116
2013-07-22,40.349998,40.580002,40.130001,40.439999,1506000,36.44922
2013-07-23,40.5,40.509998,40.080002,40.27,2074500,36.295998
2013-07-24,40.290001,40.5,39.689999,39.860001,4211500,35.926458
2013-07-25,39.639999,39.75,39.060001,39.509998,3162800,35.610995
2013-07-26,39.310001,39.66,39.02,39.650002,1339800,35.737183
2013-07-29,39.419998,39.57,38.959999,39.119999,1433400,35.259483
2013-07-30,39.360001,39.540001,38.799999,38.900002,1077600,35.061196
