Date,Open_PNW,High_PNW,Low_PNW,Close_PNW,Volume_PNW,AdjClose_PNW
2013-06-14,57.32,57.790001,57.240002,57.549999,760100,51.230427
2013-06-17,57.779999,58.130001,57.200001,57.400002,491800,51.096901
2013-06-18,56.939999,57.200001,56.009998,56.200001,3102600,50.028672
2013-06-19,56.200001,56.200001,54.32,54.330002,1819600,48.364018
2013-06-20,53.889999,53.939999,52.040001,52.25,2191500,46.512422
2013-06-21,52.59,52.98,51.560001,52.759998,1541900,46.966417
2013-06-24,52.060001,52.860001,51.779999,52.48,634100,46.717165
2013-06-25,52.790001,53.599998,52.380001,53.41,814500,47.545042
2013-06-26,53.77,54.93,53.77,54.650002,1592000,48.648879
2013-06-27,54.950001,56.27,54.900002,55.130001,1657000,49.076169
2013-06-28,54.990002,55.849998,54.68,55.470001,1232300,49.378834
2013-07-01,55.849998,56.189999,54.700001,54.950001,1084000,48.915935
2013-07-02,54.860001,55.470001,54.790001,55.07,736900,49.022757
2013-07-03,54.540001,55.049999,54.529999,54.790001,477800,48.773505
2013-07-05,54.73,54.919998,54.02,54.84,545900,48.818013
2013-07-08,55.07,56.200001,54.98,56.130001,844000,49.966359
2013-07-09,56.290001,56.849998,56.060001,56.779999,727500,50.544981
2013-07-10,56.799999,57.150002,56.459999,57.09,582100,50.820941
2013-07-11,57.610001,58.02,57.400002,57.970001,677700,51.604309
2013-07-12,57.950001,58.099998,57.150002,57.849998,874500,51.497484
2013-07-15,57.98,59.099998,57.77,59.049999,664900,52.565712
2013-07-16,59.080002,59.34,58.259998,58.580002,544700,52.147325
2013-07-17,58.91,59.07,58.459999,58.959999,567000,52.485595
2013-07-18,58.93,59.959999,58.779999,59.82,608500,53.251159
2013-07-19,59.880001,60.049999,59.650002,59.970001,447500,53.384689
2013-07-22,59.990002,60.330002,59.880001,59.970001,327600,53.384689
2013-07-23,60.049999,60.23,59.75,59.970001,317900,53.384689
2013-07-24,59.959999,60.040001,58.599998,58.799999,486000,52.343165
2013-07-25,58.48,59.57,58.419998,59.5,618600,52.966298
2013-07-26,59.330002,59.68,58.860001,59.669998,273700,53.117629
2013-07-29,59.5,59.880001,59.310001,59.610001,409500,53.06422
2013-07-30,59.400002,59.790001,59.0,59.259998,467200,53.239406
2013-07-31,59.220001,59.509998,58.66,58.900002,448000,52.915983
2013-08-01,59.279999,59.580002,58.959999,59.0,684100,53.005822
2013-08-02,59.98,59.98,58.580002,59.049999,949700,53.050742
2013-08-05,58.84,58.84,58.169998,58.360001,721300,52.430844
2013-08-06,58.400002,58.459999,57.490002,57.57,927500,51.721104
2013-08-07,57.389999,57.77,57.049999,57.610001,778800,51.757041
2013-08-08,57.849998,58.259998,57.560001,58.0,580800,52.107418
2013-08-09,58.009998,58.16,57.630001,57.740002,329700,51.873835
2013-08-12,57.439999,57.529999,57.099998,57.310001,490600,51.487521
2013-08-13,57.310001,57.349998,56.860001,57.119999,359700,51.316822
2013-08-14,56.93,57.169998,56.41,56.650002,319300,50.894575
2013-08-15,56.189999,56.540001,55.619999,55.66,348000,50.005153
2013-08-16,55.580002,55.709999,54.66,55.119999,955800,49.520014
2013-08-19,55.040001,55.369999,54.310001,54.540001,570200,48.998942
2013-08-20,54.919998,55.25,54.619999,55.110001,978000,49.511032
2013-08-21,54.880001,54.880001,53.93,54.139999,683800,48.639579
2013-08-22,54.25,54.650002,54.09,54.360001,316900,48.837229
2013-08-23,54.459999,54.880001,54.110001,54.77,418200,49.205575
2013-08-26,54.810001,54.900002,54.189999,54.470001,601700,48.936054
2013-08-27,54.060001,54.630001,54.02,54.389999,472200,48.86418
2013-08-28,54.439999,54.849998,54.130001,54.650002,625800,49.097767
2013-08-29,54.509998,54.73,53.860001,54.349998,905500,48.828243
2013-08-30,54.389999,54.740002,54.080002,54.27,613100,48.756373
2013-09-03,54.529999,54.759998,52.84,53.119999,1173500,47.723207
2013-09-04,53.119999,53.169998,52.400002,52.82,1965000,47.453687
2013-09-05,52.869999,52.93,52.23,52.27,1005500,46.959565
2013-09-06,52.509998,52.900002,52.369999,52.490002,626800,47.157215
2013-09-09,52.57,52.799999,52.279999,52.720001,753000,47.363848
2013-09-10,52.98,53.009998,52.490002,52.919998,649200,47.543526
2013-09-11,52.98,52.990002,52.029999,52.32,666900,47.004485
2013-09-12,53.66,54.02,53.009998,53.450001,2168400,48.019682
2013-09-13,53.580002,54.0,53.580002,53.849998,1331200,48.379041
2013-09-16,54.349998,54.77,53.630001,53.75,781900,48.289202
2013-09-17,53.720001,54.07,53.689999,53.98,453800,48.495835
2013-09-18,53.93,55.75,53.639999,55.73,852200,50.068041
2013-09-19,55.740002,56.02,55.5,55.810001,658000,50.139915
2013-09-20,55.810001,56.029999,54.790001,55.18,1032100,49.57392
2013-09-23,55.029999,55.959999,54.720001,55.790001,593000,50.121947
2013-09-24,55.73,56.119999,55.380001,55.639999,832100,49.987185
2013-09-25,55.720001,55.82,55.040001,55.169998,501600,49.564934
2013-09-26,55.200001,55.689999,54.939999,55.060001,465700,49.466112
2013-09-27,54.830002,55.18,54.619999,54.93,574500,49.349319
2013-09-30,54.619999,54.990002,54.470001,54.740002,562600,49.178624
2013-10-01,54.900002,55.09,54.689999,55.07,680400,49.475095
2013-10-02,54.990002,55.099998,54.529999,55.060001,951700,49.466112
2013-10-03,54.84,54.84,54.119999,54.48,780400,48.945037
2013-10-04,54.470001,54.700001,54.310001,54.419998,511800,48.891131
2013-10-07,54.25,54.560001,53.84,54.459999,835100,48.927068
2013-10-08,54.27,55.169998,54.25,54.82,872000,49.250494
2013-10-09,54.880001,55.700001,54.59,54.880001,622700,49.3044
2013-10-10,55.27,55.82,54.619999,55.77,581800,50.103978
2013-10-11,55.799999,56.029999,55.52,56.029999,425600,50.337562
2013-10-14,55.84,55.91,54.860001,55.540001,547900,49.897346
2013-10-15,55.41,55.970001,54.619999,54.779999,469900,49.214557
2013-10-16,55.040001,55.650002,54.380001,55.630001,613200,49.978202
2013-10-17,55.57,56.77,55.110001,56.669998,464700,50.91254
2013-10-18,56.84,57.18,56.57,56.93,801400,51.146127
2013-10-21,56.91,57.080002,56.32,56.810001,696200,51.038319
2013-10-22,57.0,57.790001,56.900002,57.549999,598300,51.703136
2013-10-23,57.48,58.110001,57.459999,57.580002,648300,51.73009
2013-10-24,57.790001,58.029999,57.450001,57.790001,2404800,51.918754
2013-10-25,57.720001,58.43,57.450001,58.43,1879600,52.493732
2013-10-28,58.52,58.700001,58.110001,58.32,3424400,52.394907
2013-10-29,58.450001,58.59,58.02,58.240002,664300,52.323037
2013-10-30,58.369999,58.66,57.540001,57.639999,1085500,51.783992
2013-10-31,57.200001,57.200001,54.200001,56.029999,1944300,50.838539
2013-11-01,56.080002,56.720001,56.009998,56.240002,1241400,51.029084
2013-11-04,56.540001,56.57,55.849998,56.32,1030300,51.10167
2013-11-05,56.130001,56.459999,55.619999,55.630001,1041700,50.475603
2013-11-06,55.73,56.310001,55.73,56.119999,1304300,50.9202
2013-11-07,56.220001,56.470001,55.459999,55.66,1053100,50.502822
2013-11-08,55.470001,55.830002,54.799999,55.73,1080700,50.566336
2013-11-11,55.73,56.110001,55.080002,55.290001,826700,50.167106
2013-11-12,55.240002,55.240002,54.580002,54.669998,843500,49.604549
2013-11-13,54.299999,54.52,53.939999,54.330002,1416200,49.296055
2013-11-14,54.66,55.900002,54.610001,55.720001,1407900,50.557264
2013-11-15,55.330002,55.630001,54.290001,55.599998,2499800,50.44838
2013-11-18,55.540001,55.540001,55.0,55.400002,937000,50.266914
2013-11-19,55.189999,55.360001,54.490002,54.700001,873900,49.631772
2013-11-20,54.68,54.689999,53.990002,54.02,850100,49.014777
2013-11-21,54.200001,54.759998,53.98,54.540001,755300,49.486597
2013-11-22,54.450001,54.669998,54.189999,54.32,774700,49.28698
2013-11-25,54.349998,54.610001,53.900002,53.950001,710200,48.951263
2013-11-26,54.040001,54.07,53.110001,53.110001,1188300,48.189093
2013-11-27,53.080002,53.310001,52.810001,53.139999,614500,48.216313
2013-11-29,53.220001,53.73,53.0,53.360001,473500,48.41593
2013-12-02,53.330002,53.549999,52.759998,53.009998,842300,48.098357
2013-12-03,52.970001,53.080002,52.439999,53.040001,1489200,48.125579
2013-12-04,52.709999,53.349998,52.549999,53.240002,1348200,48.307049
2013-12-05,53.169998,53.169998,52.68,53.080002,940700,48.161874
2013-12-06,53.310001,53.970001,53.16,53.860001,595700,48.869602
2013-12-09,53.810001,53.860001,53.25,53.349998,996100,48.406854
2013-12-10,53.34,53.700001,52.73,52.869999,1600100,47.971329
2013-12-11,52.77,52.990002,52.41,52.549999,894900,47.680979
2013-12-12,52.66,53.389999,52.599998,52.790001,1395800,47.898743
2013-12-13,52.860001,53.349998,52.669998,52.799999,660200,47.907815
2013-12-16,53.130001,53.59,52.84,53.220001,730600,48.288902
2013-12-17,53.18,53.279999,52.779999,52.880001,1028600,47.980404
2013-12-18,52.869999,53.790001,52.32,53.779999,1450400,48.797013
2013-12-19,53.52,53.689999,52.639999,53.099998,879500,48.180018
2013-12-20,53.23,53.529999,52.849998,53.080002,2371900,48.161874
2013-12-23,53.41,53.48,52.990002,53.080002,964300,48.161874
2013-12-24,52.970001,53.450001,52.830002,53.200001,236200,48.270755
2013-12-26,53.18,53.290001,52.900002,53.0,564400,48.089285
2013-12-27,53.299999,53.389999,52.970001,53.25,538900,48.316121
2013-12-30,53.110001,53.369999,52.82,53.009998,625100,48.098357
2013-12-31,53.099998,53.169998,52.709999,52.919998,818800,48.016696
2014-01-02,53.0,53.0,52.040001,52.049999,1210500,47.227306
2014-01-03,52.189999,52.369999,51.84,52.07,861300,47.245454
2014-01-06,52.150002,52.18,51.889999,52.029999,993300,47.209159
2014-01-07,52.029999,52.509998,52.009998,52.43,851100,47.572098
2014-01-08,52.419998,52.419998,51.939999,52.099998,925300,47.272673
2014-01-09,52.34,52.639999,52.049999,52.52,908600,47.65376
2014-01-10,52.75,53.810001,52.75,53.279999,770600,48.34334
2014-01-13,53.41,53.779999,52.880001,52.970001,808800,48.062066
2014-01-14,53.0,53.259998,52.630001,52.759998,740800,47.871521
2014-01-15,52.98,53.060001,52.529999,52.560001,659100,47.690054
2014-01-16,52.599998,52.84,52.5,52.799999,608400,47.907815
2014-01-17,52.68,52.860001,52.299999,52.389999,866800,47.535804
2014-01-21,52.5,53.130001,52.400002,52.959999,584000,48.05299
2014-01-22,53.110001,53.299999,52.959999,53.169998,455600,48.243532
2014-01-23,53.0,53.02,52.360001,52.650002,1160400,47.771715
2014-01-24,52.439999,52.82,52.009998,52.009998,734900,47.191012
2014-01-27,52.040001,52.259998,51.900002,51.900002,649900,47.091207
2014-01-28,52.029999,52.119999,51.75,51.990002,818500,47.172868
2014-01-29,51.950001,52.16,51.57,51.720001,934500,46.927884
2014-01-30,51.450001,52.259998,51.369999,52.200001,850500,47.889339
2014-01-31,51.759998,52.73,51.709999,52.630001,1092000,48.28383
2014-02-03,52.630001,53.209999,51.150002,51.279999,1851700,47.04531
2014-02-04,51.889999,52.02,51.200001,51.630001,1522800,47.366409
2014-02-05,51.639999,51.66,51.169998,51.41,819900,47.164576
2014-02-06,51.389999,52.169998,51.299999,52.110001,873100,47.806771
2014-02-07,52.240002,52.860001,52.189999,52.759998,1061300,48.403092
2014-02-10,52.59,53.189999,52.360001,53.07,741200,48.687493
2014-02-11,53.02,53.959999,52.919998,53.779999,929000,49.338861
2014-02-12,53.779999,54.029999,53.639999,53.779999,861100,49.338861
2014-02-13,53.52,54.110001,53.509998,54.02,1585300,49.559043
2014-02-14,53.91,54.41,53.779999,54.389999,1399700,49.898488
2014-02-18,54.599998,54.849998,54.349998,54.84,1020800,50.311328
2014-02-19,54.619999,54.950001,54.32,54.360001,989500,49.870966
2014-02-20,54.369999,55.220001,54.369999,55.099998,796000,50.549855
