Date,Open_PX,High_PX,Low_PX,Close_PX,Volume_PX,AdjClose_PX
2015-06-08,121.379997,121.980003,121.099998,121.790001,2319300,118.485946
2015-06-09,121.93,122.300003,121.599998,121.959999,1628700,118.651332
2015-06-10,122.650002,123.059998,122.029999,123.010002,1007600,119.67285
2015-06-11,123.18,123.400002,122.669998,123.239998,1103100,119.896606
2015-06-12,123.169998,123.309998,122.699997,123.18,1253600,119.838236
2015-06-15,122.239998,122.540001,121.129997,121.220001,1339600,117.93141
2015-06-16,121.080002,121.82,121.050003,121.739998,800200,118.4373
2015-06-17,122.110001,122.870003,121.449997,122.669998,1061900,119.34207
2015-06-18,123.019997,124.169998,122.559998,123.790001,1032500,120.431688
2015-06-19,123.790001,123.809998,122.870003,123.0,1216400,119.663119
2015-06-22,123.5,123.650002,123.0,123.349998,562500,120.003622
2015-06-23,123.330002,123.629997,122.419998,123.5,841000,120.149554
2015-06-24,123.190002,123.190002,121.779999,122.489998,1598300,119.166953
2015-06-25,122.599998,122.68,121.82,122.209999,1083800,118.89455
2015-06-26,121.870003,122.589996,121.32,121.580002,1541600,118.281644
2015-06-29,120.779999,121.279999,118.980003,119.300003,2066800,116.0635
2015-06-30,120.220001,120.349998,118.980003,119.550003,1511700,116.306717
2015-07-01,120.360001,120.510002,119.010002,119.279999,1380100,116.044038
2015-07-02,119.730003,119.940002,118.279999,118.900002,1179800,115.67435
2015-07-06,117.940002,118.540001,117.400002,117.860001,892200,114.662563
2015-07-07,117.510002,118.669998,116.739998,118.5,1187300,115.2852
2015-07-08,117.970001,117.970001,116.080002,116.089996,1171900,112.940578
2015-07-09,117.419998,117.660004,116.0,116.0,1685900,112.853023
2015-07-10,117.169998,117.730003,116.580002,117.370003,867600,114.185859
2015-07-13,118.309998,118.610001,117.82,118.470001,1280000,115.256015
2015-07-14,118.389999,119.360001,118.0,119.269997,875600,116.034307
2015-07-15,119.150002,119.540001,118.400002,118.690002,1112400,115.470048
2015-07-16,118.910004,119.019997,117.93,118.209999,1579300,115.003067
2015-07-17,117.800003,118.220001,116.519997,117.010002,979900,113.835624
2015-07-20,116.910004,117.360001,116.279999,116.709999,1086000,113.54376
2015-07-21,116.940002,117.260002,114.959999,115.400002,995000,112.269302
2015-07-22,115.300003,115.980003,114.82,115.150002,1168400,112.026084
2015-07-23,115.139999,115.470001,114.43,115.199997,1339200,112.074723
