Date,Open_RF,High_RF,Low_RF,Close_RF,Volume_RF,AdjClose_RF
2013-06-14,9.14,9.17,8.91,8.98,14164100,8.447807
2013-06-17,9.08,9.08,8.92,8.97,14743500,8.438401
2013-06-18,9.0,9.13,8.92,9.11,14771100,8.570103
2013-06-19,9.07,9.15,9.02,9.07,18897200,8.532474
2013-06-20,8.96,9.16,8.95,9.06,29187500,8.523067
2013-06-21,9.15,9.18,9.02,9.1,29187300,8.560696
2013-06-24,9.01,9.61,8.96,9.1,26617900,8.560696
2013-06-25,9.19,9.31,9.13,9.27,13056800,8.720621
2013-06-26,9.41,9.54,9.37,9.53,22702400,8.965212
2013-06-27,9.6,9.71,9.54,9.71,20494800,9.134545
2013-06-28,9.7,9.71,9.52,9.53,15855500,8.965212
2013-07-01,9.62,9.8,9.61,9.74,12806200,9.162767
2013-07-02,9.75,9.94,9.73,9.82,18019700,9.238025
2013-07-03,9.75,9.89,9.65,9.88,9560100,9.29447
2013-07-05,10.01,10.18,9.96,10.18,13319200,9.576691
2013-07-08,10.31,10.34,10.15,10.15,16502800,9.548468
2013-07-09,10.24,10.27,10.04,10.2,19810500,9.595505
2013-07-10,10.21,10.22,10.01,10.13,18114300,9.529654
2013-07-11,10.28,10.29,9.73,9.88,25174700,9.29447
2013-07-12,9.94,10.02,9.88,10.0,14176600,9.407358
2013-07-15,10.08,10.12,9.92,9.93,13011300,9.341507
2013-07-16,9.94,9.97,9.71,9.74,25940500,9.162767
2013-07-17,9.78,9.99,9.77,9.98,13162600,9.388543
2013-07-18,9.96,10.27,9.88,10.23,16414100,9.623727
2013-07-19,10.27,10.28,10.1,10.23,13346400,9.623727
2013-07-22,10.23,10.42,10.21,10.42,19519500,9.802467
2013-07-23,10.36,10.43,10.15,10.42,34590500,9.802467
2013-07-24,10.46,10.52,10.22,10.22,19704400,9.61432
2013-07-25,10.21,10.33,10.1,10.18,16872400,9.576691
2013-07-26,10.1,10.25,10.07,10.23,10978700,9.623727
2013-07-29,10.23,10.24,10.01,10.06,13308000,9.463803
2013-07-30,10.13,10.19,9.99,10.04,17276200,9.444988
2013-07-31,10.09,10.28,10.0,10.01,27569700,9.416766
2013-08-01,10.12,10.3,10.05,10.26,18890800,9.65195
2013-08-02,10.22,10.31,10.14,10.24,12861300,9.633135
2013-08-05,10.23,10.29,10.17,10.25,7204200,9.642542
2013-08-06,10.24,10.24,10.01,10.02,13452000,9.426173
2013-08-07,10.0,10.0,9.87,9.91,12508300,9.322692
2013-08-08,10.0,10.05,9.88,9.93,11255100,9.341507
2013-08-09,9.92,10.05,9.91,9.92,10860200,9.332099
2013-08-12,9.86,9.97,9.81,9.85,15257800,9.266248
2013-08-13,9.9,9.96,9.76,9.88,11294200,9.29447
2013-08-14,9.87,9.98,9.85,9.95,12576200,9.360321
2013-08-15,9.83,9.9,9.76,9.81,14222200,9.228619
2013-08-16,9.78,9.95,9.78,9.84,14188700,9.256841
2013-08-19,9.84,9.88,9.68,9.68,14287800,9.106323
2013-08-20,9.68,9.96,9.66,9.86,21645800,9.275655
2013-08-21,9.84,9.97,9.72,9.84,18017000,9.256841
2013-08-22,9.86,10.1,9.83,10.06,12848900,9.463803
2013-08-23,10.1,10.13,9.89,9.94,9969400,9.350914
2013-08-26,9.93,9.95,9.8,9.81,10436100,9.228619
2013-08-27,9.69,9.7,9.45,9.46,20356800,8.899361
2013-08-28,9.45,9.53,9.34,9.44,14454000,8.880546
2013-08-29,9.41,9.62,9.39,9.49,10545600,8.927583
2013-08-30,9.53,9.54,9.35,9.4,9168700,8.842916
2013-09-03,9.53,9.65,9.28,9.35,14264700,8.79588
2013-09-04,9.37,9.59,9.34,9.49,16323600,8.927583
2013-09-05,9.5,9.64,9.5,9.57,9079300,9.002841
2013-09-06,9.64,9.66,9.38,9.55,13253900,8.984027
2013-09-09,9.59,9.6,9.43,9.54,15267000,8.97462
2013-09-10,9.6,9.74,9.58,9.66,16719000,9.087508
2013-09-11,9.64,9.67,9.5,9.55,8174000,9.012015
2013-09-12,9.54,9.57,9.44,9.48,8416300,8.945958
2013-09-13,9.46,9.54,9.4,9.52,6917000,8.983705
2013-09-16,9.64,9.65,9.54,9.59,9681800,9.049761
2013-09-17,9.6,9.64,9.54,9.64,11419200,9.096945
2013-09-18,9.64,9.75,9.56,9.61,15766600,9.068634
2013-09-19,9.62,9.64,9.15,9.21,36857600,8.691168
2013-09-20,9.24,9.32,9.18,9.29,20894200,8.766661
2013-09-23,9.25,9.26,9.03,9.07,22966200,8.559054
2013-09-24,9.0,9.27,8.84,9.19,23539200,8.672294
2013-09-25,9.18,9.35,9.04,9.25,19929600,8.728915
2013-09-26,9.25,9.32,9.13,9.18,7553500,8.662858
2013-09-27,9.24,9.47,9.19,9.3,20922200,8.776098
2013-09-30,9.16,9.33,9.12,9.26,13037600,8.738352
2013-10-01,9.26,9.42,9.26,9.4,12132200,8.870464
2013-10-02,9.29,9.41,9.25,9.33,9730600,8.804408
2013-10-03,9.33,9.43,9.23,9.3,17761100,8.776098
2013-10-04,9.32,9.47,9.31,9.43,11716900,8.898775
2013-10-07,9.33,9.39,9.27,9.27,9151500,8.747788
2013-10-08,9.28,9.41,9.21,9.22,14940800,8.700605
2013-10-09,9.25,9.33,9.19,9.28,14863400,8.757224
2013-10-10,9.42,9.55,9.38,9.47,25179500,8.936522
2013-10-11,9.43,9.65,9.4,9.59,16567100,9.049761
2013-10-14,9.54,9.73,9.5,9.72,12353600,9.172438
2013-10-15,9.7,9.72,9.53,9.57,11439100,9.030888
2013-10-16,9.65,9.83,9.64,9.81,13392200,9.257368
2013-10-17,9.77,9.95,9.72,9.94,16369300,9.380044
2013-10-18,9.95,10.12,9.9,10.11,31126400,9.540468
2013-10-21,10.05,10.13,9.96,10.04,20361200,9.474411
2013-10-22,9.76,9.95,9.53,9.68,51792600,9.134692
2013-10-23,9.59,9.68,9.51,9.59,22468800,9.049761
2013-10-24,9.5,9.56,9.41,9.54,17386300,9.002578
2013-10-25,9.54,9.58,9.4,9.49,16669800,8.955394
2013-10-28,9.51,9.64,9.44,9.56,11539600,9.021452
2013-10-29,9.6,9.63,9.49,9.5,15554200,8.964831
2013-10-30,9.53,9.6,9.49,9.54,16111500,9.002578
2013-10-31,9.55,9.68,9.49,9.63,46873700,9.087508
2013-11-01,9.62,9.75,9.53,9.55,14832000,9.012015
2013-11-04,9.56,9.61,9.45,9.45,12847000,8.917648
2013-11-05,9.44,9.58,9.37,9.54,14482500,9.002578
2013-11-06,9.59,9.59,9.35,9.45,21563400,8.917648
2013-11-07,9.48,9.5,9.25,9.26,18588100,8.738352
2013-11-08,9.3,9.78,9.29,9.78,37095500,9.229058
2013-11-11,9.76,9.84,9.69,9.8,10476800,9.247931
2013-11-12,9.76,9.8,9.59,9.64,10934000,9.096945
2013-11-13,9.62,9.71,9.56,9.67,8358900,9.125255
2013-11-14,9.72,9.82,9.64,9.81,12771100,9.257368
2013-11-15,9.84,9.9,9.78,9.85,17799900,9.295115
2013-11-18,9.86,9.89,9.65,9.66,12320000,9.115818
2013-11-19,9.67,9.67,9.52,9.58,13752900,9.040325
2013-11-20,9.59,9.7,9.56,9.61,12090600,9.068634
2013-11-21,9.58,9.83,9.58,9.74,11750500,9.191311
2013-11-22,9.77,9.86,9.7,9.86,7004400,9.304551
2013-11-25,9.91,9.98,9.81,9.82,9733100,9.266804
2013-11-26,9.86,9.9,9.75,9.76,10263400,9.210185
2013-11-27,9.76,9.93,9.74,9.82,9213000,9.266804
2013-11-29,9.83,9.84,9.7,9.73,4863500,9.181874
2013-12-02,9.74,9.93,9.73,9.74,12211500,9.191311
2013-12-03,9.73,9.77,9.49,9.55,16219300,9.012015
2013-12-04,9.56,9.82,9.55,9.67,15705500,9.125255
2013-12-05,9.57,9.68,9.55,9.56,10329700,9.021452
2013-12-06,9.69,9.82,9.68,9.71,16302600,9.163001
2013-12-09,9.76,9.79,9.61,9.63,15019300,9.087508
2013-12-10,9.62,9.67,9.35,9.56,26578100,9.021452
2013-12-11,9.65,9.66,9.39,9.42,15199700,8.917321
2013-12-12,9.41,9.61,9.39,9.52,14537900,9.011985
2013-12-13,9.52,9.56,9.45,9.53,14538200,9.021451
2013-12-16,9.61,9.63,9.54,9.57,8494400,9.059316
2013-12-17,9.56,9.61,9.5,9.52,8037700,9.011985
2013-12-18,9.58,9.62,9.44,9.6,18371400,9.087716
2013-12-19,9.54,9.65,9.52,9.59,10970000,9.078249
2013-12-20,9.64,9.72,9.58,9.63,17570900,9.116115
2013-12-23,9.66,9.83,9.64,9.82,7419600,9.295975
2013-12-24,9.81,9.87,9.77,9.85,3982800,9.324375
2013-12-26,9.85,9.91,9.84,9.88,5327200,9.352774
2013-12-27,9.9,9.9,9.8,9.83,4730400,9.305442
2013-12-30,9.83,9.86,9.77,9.84,4707200,9.314909
2013-12-31,9.84,9.93,9.81,9.89,6774500,9.362241
2014-01-02,9.86,9.99,9.83,9.89,12170200,9.362241
2014-01-03,9.92,9.96,9.83,9.87,6671400,9.343307
2014-01-06,10.03,10.19,10.02,10.07,26432000,9.532635
2014-01-07,10.19,10.22,10.03,10.1,21812600,9.561034
2014-01-08,10.11,10.29,10.09,10.25,18251300,9.70303
2014-01-09,10.27,10.46,10.27,10.45,33896400,9.892357
2014-01-10,10.39,10.51,10.33,10.48,20615600,9.920756
2014-01-13,10.46,10.51,10.26,10.31,16696700,9.759828
2014-01-14,10.42,10.49,10.29,10.37,17881900,9.816626
2014-01-15,10.43,10.69,10.43,10.63,22993200,10.062752
2014-01-16,10.55,10.57,10.41,10.48,13848300,9.920756
2014-01-17,10.5,10.68,10.5,10.57,23296400,10.005953
2014-01-21,10.61,10.91,10.5,10.86,39727600,10.280478
2014-01-22,10.88,11.08,10.84,11.02,20300200,10.431941
2014-01-23,10.94,10.95,10.76,10.92,24655000,10.337276
2014-01-24,10.84,10.88,10.52,10.55,22183200,9.987021
2014-01-27,10.6,10.61,10.32,10.41,16709100,9.854491
2014-01-28,10.55,10.59,10.37,10.53,13402700,9.968088
2014-01-29,10.47,10.5,10.23,10.31,18508700,9.759828
2014-01-30,10.43,10.45,10.3,10.43,8568200,9.873425
2014-01-31,10.29,10.31,10.15,10.17,15592400,9.627299
2014-02-03,10.19,10.19,9.79,9.82,18259200,9.295975
2014-02-04,9.91,10.14,9.81,9.97,15435900,9.437971
2014-02-05,9.93,9.98,9.83,9.9,14989100,9.371706
2014-02-06,9.92,10.28,9.88,10.27,17491000,9.721963
2014-02-07,10.31,10.38,10.11,10.23,17551700,9.684096
2014-02-10,10.24,10.3,10.12,10.2,10865400,9.655698
2014-02-11,10.19,10.33,10.11,10.3,12210800,9.750362
2014-02-12,10.3,10.43,10.22,10.25,9325400,9.70303
2014-02-13,10.15,10.31,10.13,10.3,8496400,9.750362
2014-02-14,10.3,10.42,10.28,10.35,7538400,9.797694
2014-02-18,10.35,10.42,10.33,10.37,6282000,9.816626
2014-02-19,10.35,10.37,10.07,10.1,13759000,9.561034
2014-02-20,10.1,10.26,10.03,10.22,13315400,9.674631
2014-02-21,10.22,10.37,10.19,10.24,10904700,9.693563
2014-02-24,10.29,10.49,10.27,10.44,12908500,9.88289
2014-02-25,10.46,10.52,10.38,10.45,13184200,9.892357
2014-02-26,10.48,10.53,10.39,10.52,10871600,9.958622
2014-02-27,10.51,10.59,10.43,10.57,7872000,10.005953
2014-02-28,10.58,10.77,10.54,10.64,13617200,10.072218
2014-03-03,10.56,10.6,10.46,10.53,11663900,9.968088
2014-03-04,10.67,10.82,10.63,10.78,12966000,10.204747
2014-03-05,10.76,10.88,10.7,10.73,15980100,10.157415
2014-03-06,10.78,10.91,10.75,10.83,15066100,10.252079
2014-03-07,10.98,11.11,10.96,11.05,19680800,10.460339
2014-03-10,11.0,11.06,10.83,10.9,14406100,10.318343
2014-03-11,10.91,10.97,10.75,10.8,14468400,10.22368
2014-03-12,10.74,10.77,10.58,10.75,10292800,10.204695
2014-03-13,10.79,10.9,10.65,10.67,14290100,10.128753
2014-03-14,10.65,10.79,10.6,10.63,10703700,10.090782
2014-03-17,10.68,10.86,10.68,10.8,13999200,10.252159
2014-03-18,10.82,10.89,10.74,10.81,9476400,10.261652
2014-03-19,10.82,11.18,10.79,11.09,21808600,10.527448
2014-03-20,11.04,11.37,11.03,11.3,21195200,10.726796
2014-03-21,11.5,11.54,11.08,11.09,50564700,10.527448
2014-03-24,11.15,11.32,11.03,11.07,19259400,10.508462
2014-03-25,11.13,11.15,10.99,11.11,11775000,10.546433
2014-03-26,11.17,11.24,10.97,11.0,13641300,10.442013
2014-03-27,10.94,10.99,10.72,10.79,18555000,10.242666
2014-03-28,10.82,11.07,10.77,10.95,13414300,10.39455
2014-03-31,11.02,11.12,10.99,11.11,10591100,10.546433
2014-04-01,11.12,11.28,11.07,11.25,14528800,10.679332
2014-04-02,11.28,11.28,11.0,11.09,20477100,10.527448
2014-04-03,11.09,11.13,10.91,11.08,12892100,10.517955
2014-04-04,11.13,11.25,10.94,10.97,15490400,10.413535
2014-04-07,10.96,10.97,10.61,10.74,15554700,10.195202
2014-04-08,10.73,10.83,10.56,10.66,12826900,10.11926
2014-04-09,10.67,10.78,10.63,10.69,12992200,10.147738
2014-04-10,10.72,10.78,10.29,10.29,23123000,9.768029
2014-04-11,10.1,10.3,9.96,10.17,21157600,9.654116
2014-04-14,10.36,10.42,10.0,10.18,14060700,9.663609
2014-04-15,10.2,10.28,10.05,10.27,13132700,9.749044
2014-04-16,10.32,10.37,10.21,10.34,10698500,9.815493
2014-04-17,10.32,10.41,10.2,10.22,17835300,9.70158
2014-04-21,10.24,10.32,10.17,10.28,12494500,9.758536
2014-04-22,10.4,10.54,10.28,10.39,19540100,9.862957
2014-04-23,10.39,10.52,10.34,10.41,11883900,9.881942
2014-04-24,10.45,10.47,10.26,10.31,11848900,9.787015
2014-04-25,10.27,10.32,10.1,10.15,12863500,9.63513
2014-04-28,10.2,10.24,9.98,10.07,15474500,9.559188
2014-04-29,10.14,10.18,10.04,10.09,7174100,9.578174
2014-04-30,10.06,10.17,10.0,10.14,10612600,9.625638
2014-05-01,10.19,10.27,10.11,10.21,14076300,9.692087
2014-05-02,10.23,10.5,10.22,10.24,11708700,9.720565
2014-05-05,10.34,10.34,10.17,10.25,12099400,9.730058
2014-05-06,10.23,10.28,10.09,10.11,10493100,9.597159
2014-05-07,10.16,10.26,10.06,10.25,13393400,9.730058
2014-05-08,10.21,10.38,10.15,10.17,14772200,9.654116
2014-05-09,10.13,10.27,10.03,10.26,8666200,9.739551
2014-05-12,10.31,10.52,10.27,10.51,15253200,9.976869
2014-05-13,10.55,10.56,10.41,10.43,13860400,9.900928
2014-05-14,10.38,10.4,10.14,10.19,16732400,9.673101
2014-05-15,10.16,10.18,9.9,10.04,20326600,9.53071
2014-05-16,10.01,10.05,9.8,9.88,14274800,9.378827
2014-05-19,9.85,10.04,9.84,10.03,8691700,9.521217
2014-05-20,10.01,10.05,9.9,9.98,12059500,9.473754
2014-05-21,10.0,10.17,10.0,10.1,7336000,9.587667
2014-05-22,10.1,10.16,10.01,10.09,9021300,9.578174
2014-05-23,10.08,10.18,10.04,10.07,8257400,9.559188
2014-05-27,10.13,10.25,10.08,10.12,9732800,9.606652
2014-05-28,10.11,10.18,10.05,10.1,11533200,9.587667
2014-05-29,10.09,10.19,10.02,10.1,11312000,9.587667
2014-05-30,10.1,10.2,10.09,10.19,10480600,9.673101
2014-06-02,10.18,10.37,10.15,10.34,13729300,9.815493
2014-06-03,10.3,10.49,10.25,10.44,14303200,9.91042
2014-06-04,10.4,10.56,10.36,10.49,22393800,9.957883
2014-06-05,10.53,10.63,10.4,10.6,16513300,10.062304
2014-06-06,10.61,10.69,10.56,10.63,9165900,10.090782
2014-06-09,10.64,10.91,10.61,10.85,16686800,10.299623
2014-06-10,10.9,10.9,10.7,10.86,10491400,10.309115
2014-06-11,10.81,10.82,10.68,10.73,10044900,10.232821
2014-06-12,10.74,10.8,10.56,10.61,11706400,10.118382
