Date,Open_RL,High_RL,Low_RL,Close_RL,Volume_RL,AdjClose_RL
2015-06-08,136.5,137.229996,136.100006,136.429993,583600,134.015529
2015-06-09,136.699997,137.259995,135.660004,136.309998,684000,133.897658
2015-06-10,136.720001,137.419998,135.470001,135.580002,605800,133.180581
2015-06-11,135.559998,136.320007,134.25,135.770004,518400,133.367221
2015-06-12,135.279999,135.419998,134.179993,135.25,357600,132.856419
2015-06-15,134.490005,134.850006,133.330002,134.050003,506300,131.677659
2015-06-16,133.5,134.880005,133.080002,134.369995,716000,131.991988
2015-06-17,134.610001,135.169998,132.949997,134.710007,721500,132.325983
2015-06-18,135.529999,140.0,135.25,139.5,1230500,137.031205
2015-06-19,139.100006,140.899994,138.710007,140.240005,1148700,137.758115
2015-06-22,141.0,141.029999,138.979996,139.259995,593900,136.795447
2015-06-23,139.110001,140.0,138.520004,139.559998,571200,137.090141
2015-06-24,138.899994,139.0,137.419998,137.649994,974600,135.70011
2015-06-25,138.020004,138.440002,136.110001,136.169998,625500,134.241079
2015-06-26,136.809998,137.440002,135.779999,136.860001,1357600,134.921307
2015-06-29,135.389999,135.669998,133.779999,133.830002,836100,131.93423
2015-06-30,134.580002,134.580002,131.940002,132.360001,599500,130.485052
2015-07-01,133.339996,133.580002,131.830002,133.259995,858900,131.372297
2015-07-02,133.580002,135.270004,133.320007,134.759995,639400,132.851049
2015-07-06,133.690002,134.070007,131.419998,132.619995,674100,130.741364
2015-07-07,133.050003,133.949997,130.869995,133.789993,618800,131.894788
2015-07-08,132.639999,133.800003,129.050003,129.539993,725900,127.704992
2015-07-09,130.800003,131.529999,128.779999,128.990005,621700,127.162795
2015-07-10,130.5,131.429993,128.449997,129.699997,791900,127.862729
2015-07-13,132.0,134.550003,131.639999,134.270004,819500,132.368
2015-07-14,134.5,135.520004,133.889999,135.279999,541100,133.363687
2015-07-15,135.029999,135.169998,132.369995,132.589996,625000,130.71179
2015-07-16,133.449997,134.169998,132.679993,132.990005,500600,131.106133
2015-07-17,132.600006,133.0,130.25,130.759995,427900,128.907711
2015-07-20,130.710007,131.139999,129.820007,130.509995,691300,128.661252
2015-07-21,130.429993,132.039993,129.520004,130.270004,448700,128.424662
