Date,Open_SCG,High_SCG,Low_SCG,Close_SCG,Volume_SCG,AdjClose_SCG
2015-06-08,50.330002,50.330002,49.889999,50.0,768500,48.584878
2015-06-09,49.950001,50.400002,49.950001,50.060001,1044500,48.643182
2015-06-10,50.349998,50.66,50.209999,50.349998,890900,48.924971
2015-06-11,50.700001,51.130001,50.509998,50.790001,925300,49.35252
2015-06-12,50.549999,50.77,50.130001,50.32,973800,48.895821
2015-06-15,50.349998,50.650002,50.18,50.259998,950900,48.837518
2015-06-16,50.200001,50.5,50.029999,50.41,881500,48.983274
2015-06-17,50.459999,51.02,50.290001,50.970001,749200,49.527426
2015-06-18,51.080002,51.939999,51.060001,51.720001,806500,50.256199
2015-06-19,51.59,51.950001,51.220001,51.25,1314800,49.7995
2015-06-22,51.41,51.509998,51.049999,51.25,713700,49.7995
2015-06-23,51.18,51.439999,50.599998,50.77,740600,49.333086
2015-06-24,50.75,50.939999,50.459999,50.639999,901900,49.206764
2015-06-25,50.700001,50.759998,50.189999,50.220001,773400,48.798653
2015-06-26,50.18,50.810001,50.009998,50.790001,672400,49.35252
2015-06-29,50.759998,51.389999,50.369999,50.400002,780700,48.973559
2015-06-30,50.639999,50.939999,50.470001,50.650002,1691800,49.216483
2015-07-01,50.59,51.200001,50.48,51.099998,1224800,49.653744
2015-07-02,51.400002,52.02,51.389999,51.970001,1407900,50.499124
2015-07-06,51.919998,52.43,51.669998,52.189999,968600,50.712895
2015-07-07,52.400002,53.84,52.200001,53.709999,1341100,52.189876
2015-07-08,53.529999,53.91,53.290001,53.490002,1000700,51.976105
2015-07-09,53.5,53.619999,52.279999,52.419998,1399700,50.936385
2015-07-10,52.419998,53.470001,52.259998,53.02,1043900,51.519406
2015-07-13,53.189999,53.389999,52.619999,53.040001,916400,51.53884
2015-07-14,52.990002,53.240002,52.68,52.779999,914400,51.286197
2015-07-15,52.77,53.259998,52.450001,53.259998,841200,51.752611
2015-07-16,53.25,54.220001,52.959999,54.130001,816400,52.59799
2015-07-17,53.939999,54.189999,53.630001,53.66,884300,52.141291
2015-07-20,53.529999,53.610001,52.900002,53.139999,732000,51.636008
2015-07-21,53.080002,53.209999,52.419998,52.759998,701200,51.266762
2015-07-22,52.759998,53.41,52.580002,53.029999,838300,51.529121
2015-07-23,52.900002,53.0,51.98,52.290001,695200,50.810067
