Date,Open_SIG,High_SIG,Low_SIG,Close_SIG,Volume_SIG,AdjClose_SIG
2015-06-08,131.139999,131.589996,129.229996,129.309998,441300,128.347411
2015-06-09,129.919998,130.830002,129.339996,130.490005,578100,129.518635
2015-06-10,130.720001,131.869995,130.550003,131.330002,432700,130.352378
2015-06-11,131.940002,132.979996,130.179993,130.589996,472500,129.617881
2015-06-12,130.419998,131.869995,130.369995,131.190002,319300,130.213421
2015-06-15,131.710007,131.710007,129.720001,130.570007,510700,129.598041
2015-06-16,130.600006,132.270004,130.029999,131.720001,492900,130.739474
2015-06-17,132.160004,133.300003,131.639999,132.320007,359000,131.335014
2015-06-18,132.289993,133.75,132.289993,133.229996,307500,132.238228
2015-06-19,133.309998,133.320007,131.460007,131.509995,612500,130.531031
2015-06-22,133.070007,133.919998,131.789993,132.600006,485200,131.612928
2015-06-23,132.910004,133.990005,132.429993,133.100006,462700,132.109206
2015-06-24,133.179993,133.179993,129.419998,130.160004,676200,129.191089
2015-06-25,132.020004,132.020004,129.539993,130.460007,808600,129.488859
2015-06-26,130.960007,131.720001,129.669998,130.779999,1133100,129.806469
2015-06-29,129.960007,130.389999,127.699997,127.720001,507900,126.76925
2015-06-30,128.729996,128.919998,127.769997,128.240005,554000,127.285384
2015-07-01,129.399994,129.399994,125.209999,127.129997,506700,126.183638
2015-07-02,127.540001,129.940002,126.139999,126.690002,419900,125.746919
2015-07-06,125.360001,128.130005,125.059998,126.25,472900,125.310192
2015-07-07,126.690002,126.910004,123.290001,125.010002,1195400,124.079425
2015-07-08,123.660004,124.540001,121.599998,121.739998,1010000,120.833762
2015-07-09,123.0,123.839996,120.080002,120.730003,1280400,119.831286
2015-07-10,122.059998,122.480003,120.800003,121.639999,589000,120.734508
2015-07-13,122.779999,123.82,122.349998,123.470001,723100,122.550888
2015-07-14,123.580002,124.709999,123.059998,124.239998,430900,123.315152
2015-07-15,124.160004,125.269997,123.18,123.57,482500,122.650142
2015-07-16,123.839996,124.519997,122.769997,122.879997,546400,121.965276
2015-07-17,122.910004,123.050003,121.629997,122.279999,431400,121.369744
2015-07-20,122.309998,123.190002,121.25,122.650002,455800,121.736992
2015-07-21,122.779999,123.849998,121.389999,122.959999,465800,122.044682
2015-07-22,122.410004,123.82,122.410004,123.699997,319600,122.779171
2015-07-23,123.730003,125.32,123.150002,123.489998,543300,122.570735
2015-07-24,123.300003,123.739998,120.75,121.040001,296600,120.138976
2015-07-27,121.510002,121.940002,118.309998,118.620003,1437200,117.736993
2015-07-28,119.209999,121.419998,118.470001,120.870003,16789000,119.970244
2015-07-29,120.980003,122.589996,120.699997,121.779999,896600,120.873466
2015-07-30,121.389999,121.989998,120.589996,121.849998,613700,121.161831
2015-07-31,121.599998,121.989998,120.139999,121.220001,696800,120.535392
2015-08-03,121.309998,121.669998,120.059998,121.309998,663400,120.62488
2015-08-04,121.449997,122.309998,120.910004,121.529999,500900,120.843639
2015-08-05,122.5,123.330002,121.550003,121.980003,387200,121.291102
2015-08-06,121.82,121.900002,119.690002,120.050003,367500,119.372002
2015-08-07,119.919998,120.639999,119.230003,120.339996,309300,119.660357
2015-08-10,121.43,122.089996,120.779999,121.610001,411300,120.923189
2015-08-11,120.459999,121.07,119.580002,119.989998,482900,119.312335
2015-08-12,118.989998,119.93,117.849998,119.75,482500,119.073693
2015-08-13,119.830002,121.239998,119.459999,120.339996,474200,119.660357
2015-08-14,120.559998,122.120003,119.940002,121.139999,510100,120.455842
2015-08-17,120.870003,123.5,120.660004,123.32,427000,122.62353
