Date,Open_SJM,High_SJM,Low_SJM,Close_SJM,Volume_SJM,AdjClose_SJM
2015-06-08,110.940002,111.980003,110.260002,110.480003,1497700,108.031556
2015-06-09,110.510002,111.879997,110.050003,111.599998,1020700,109.12673
2015-06-10,111.699997,112.260002,110.889999,111.57,796600,109.097396
2015-06-11,111.629997,112.339996,111.360001,111.75,579200,109.273408
2015-06-12,111.279999,111.75,111.07,111.290001,426600,108.823603
2015-06-15,110.860001,111.389999,110.339996,110.989998,885500,108.530249
2015-06-16,111.389999,112.529999,110.919998,112.349998,493200,109.860109
2015-06-17,112.18,112.980003,111.68,112.720001,516300,110.221912
2015-06-18,112.959999,114.089996,112.239998,113.32,624700,110.808613
2015-06-19,113.150002,114.470001,113.150002,113.480003,1569200,110.965071
2015-06-22,113.760002,114.309998,113.470001,113.68,404000,111.160635
2015-06-23,113.669998,113.669998,112.709999,112.809998,823500,110.309914
2015-06-24,112.860001,113.260002,111.099998,111.699997,823800,109.224513
2015-06-25,111.68,111.940002,110.849998,110.93,681200,108.471581
2015-06-26,111.370003,111.650002,110.510002,110.620003,1604000,108.168453
2015-06-29,110.190002,110.360001,108.290001,108.379997,1133200,105.97809
2015-06-30,109.089996,109.370003,108.260002,108.410004,1024500,106.007432
2015-07-01,108.82,109.43,108.410004,109.209999,760300,106.789698
2015-07-02,109.519997,109.839996,108.489998,108.75,857800,106.339893
2015-07-06,108.019997,108.68,107.379997,108.029999,1377100,105.635849
2015-07-07,108.290001,110.18,107.639999,109.809998,911300,107.376399
2015-07-08,109.379997,109.720001,108.440002,108.459999,763400,106.056319
2015-07-09,109.690002,109.93,108.269997,108.300003,534000,105.899869
2015-07-10,106.400002,108.540001,106.260002,107.589996,2894400,105.205597
2015-07-13,108.419998,109.339996,108.139999,108.699997,901200,106.290998
2015-07-14,108.760002,108.790001,107.720001,108.540001,789400,106.134548
2015-07-15,108.629997,109.040001,107.099998,108.110001,1100900,105.714077
2015-07-16,108.459999,109.0,108.25,108.610001,395300,106.202997
2015-07-17,108.940002,108.940002,107.559998,108.459999,431100,106.056319
2015-07-20,108.379997,108.379997,107.650002,108.07,424800,105.674963
2015-07-21,108.150002,108.400002,107.269997,107.379997,595900,105.000252
2015-07-22,107.440002,108.360001,107.169998,107.43,479400,105.049147
2015-07-23,107.339996,107.860001,106.660004,106.93,421200,104.560228
2015-07-24,106.790001,106.959999,105.290001,105.589996,598200,103.249921
2015-07-27,105.190002,106.010002,104.809998,105.980003,609400,103.631285
2015-07-28,106.330002,108.709999,105.760002,108.709999,937600,106.300779
2015-07-29,108.949997,110.529999,108.389999,109.769997,919300,107.337285
2015-07-30,109.300003,110.900002,108.739998,110.760002,848600,108.30535
2015-07-31,111.059998,112.080002,110.550003,111.690002,1219400,109.21474
2015-08-03,111.43,111.959999,111.18,111.900002,442200,109.420085
2015-08-04,111.790001,112.580002,111.540001,112.099998,705200,109.615649
2015-08-05,112.360001,113.580002,111.769997,113.489998,626700,110.974844
2015-08-06,113.360001,113.669998,111.120003,111.760002,1393500,109.283188
2015-08-07,111.050003,111.589996,109.779999,110.040001,712500,107.601305
2015-08-10,110.419998,110.989998,109.620003,110.510002,596300,108.06089
2015-08-11,109.720001,110.0,108.690002,108.900002,1038500,106.48657
2015-08-12,107.75,109.360001,106.5,109.349998,643200,107.588526
2015-08-13,109.550003,109.550003,108.599998,108.629997,363600,106.880123
2015-08-14,108.93,109.739998,108.43,109.379997,383400,107.618042
2015-08-17,109.110001,109.309998,107.169998,109.010002,464500,107.254007
2015-08-18,109.019997,110.129997,108.629997,108.970001,650600,107.21465
2015-08-19,110.629997,112.910004,110.32,111.879997,1469400,110.07777
2015-08-20,111.400002,112.940002,111.010002,111.760002,925700,109.959708
2015-08-21,111.040001,111.459999,109.75,109.900002,961700,108.129669
2015-08-24,106.190002,110.790001,104.300003,108.120003,2081400,106.378344
2015-08-25,110.019997,110.919998,106.75,106.849998,1420700,105.128798
2015-08-26,108.910004,109.510002,107.029999,109.150002,1512600,107.391751
2015-08-27,113.690002,117.260002,113.400002,116.290001,2180000,114.416735
2015-08-28,116.230003,117.650002,115.559998,117.589996,1222100,115.695789
2015-08-31,117.339996,118.5,116.650002,117.720001,1257700,115.8237
2015-09-01,116.639999,117.589996,113.330002,114.019997,967300,112.183297
2015-09-02,114.830002,115.639999,114.290001,115.639999,803700,113.777204
2015-09-03,116.18,117.309998,115.919998,116.879997,853300,114.997227
2015-09-04,115.529999,116.239998,114.559998,115.610001,766200,113.747689
2015-09-08,117.019997,117.269997,115.660004,116.349998,909000,114.475766
2015-09-09,117.419998,117.419998,114.32,114.599998,949400,112.753956
2015-09-10,114.620003,115.610001,113.610001,114.57,685900,112.724441
2015-09-11,114.330002,116.160004,113.790001,116.110001,812700,114.239634
2015-09-14,116.120003,116.720001,115.190002,115.629997,870700,113.767363
2015-09-15,116.089996,116.470001,114.779999,116.220001,654100,114.347863
2015-09-16,116.699997,118.050003,116.699997,117.529999,860100,115.636758
2015-09-17,117.220001,118.089996,116.129997,116.779999,1005100,114.89884
2015-09-18,115.989998,117.010002,115.870003,116.57,1546000,114.692223
2015-09-21,117.32,117.93,116.82,117.050003,689100,115.164495
2015-09-22,113.370003,114.089996,112.120003,113.220001,4857000,111.396189
2015-09-23,113.489998,114.089996,112.75,113.550003,992700,111.720875
2015-09-24,113.099998,113.839996,112.529999,113.43,1452100,111.602805
2015-09-25,113.519997,115.080002,113.519997,114.360001,1577100,112.517824
2015-09-28,114.230003,115.730003,112.269997,113.010002,1907800,111.189572
2015-09-29,112.779999,113.349998,112.010002,112.540001,1538100,110.727142
2015-09-30,113.730003,114.940002,113.010002,114.089996,1398400,112.252169
2015-10-01,114.110001,114.660004,112.400002,113.610001,1147200,111.779906
2015-10-02,108.059998,115.830002,106.870003,115.650002,3328200,113.787045
2015-10-05,116.629997,117.0,115.919998,116.730003,1472400,114.84965
2015-10-06,116.980003,117.010002,114.660004,114.82,738300,112.970413
2015-10-07,115.120003,116.290001,115.050003,115.989998,716500,114.121565
2015-10-08,115.779999,117.400002,115.160004,116.959999,730100,115.07594
2015-10-09,116.879997,118.650002,116.650002,118.089996,867000,116.187735
2015-10-12,118.160004,119.080002,117.959999,118.419998,516600,116.512421
2015-10-13,118.019997,119.57,118.010002,118.809998,1131000,116.896138
2015-10-14,118.650002,119.970001,118.529999,119.300003,1056900,117.37825
2015-10-15,120.050003,120.440002,118.629997,119.620003,1048300,117.693095
2015-10-16,120.0,120.160004,118.5,119.099998,893700,117.181468
2015-10-19,119.129997,120.07,118.580002,118.769997,710500,116.856782
2015-10-20,117.459999,117.93,112.849998,114.910004,2893600,113.058968
2015-10-21,115.239998,116.900002,114.949997,115.620003,1131100,113.75753
2015-10-22,116.480003,118.529999,116.480003,118.269997,951000,116.364836
2015-10-23,118.589996,119.190002,117.550003,118.269997,441400,116.364836
2015-10-26,118.099998,118.410004,117.010002,117.32,561000,115.430142
2015-10-27,116.230003,117.559998,115.809998,117.099998,800700,115.213685
2015-10-28,117.18,117.669998,115.75,116.349998,945300,114.475766
2015-10-29,116.160004,116.959999,115.330002,116.690002,563800,114.810293
2015-10-30,116.410004,118.18,115.93,117.389999,882900,115.499014
2015-11-02,117.300003,117.800003,115.970001,117.419998,697800,115.52853
2015-11-03,116.760002,117.620003,115.510002,117.209999,940500,115.321913
2015-11-04,117.410004,117.769997,116.889999,117.620003,515000,115.725312
2015-11-05,117.790001,118.029999,116.730003,117.970001,513000,116.069673
2015-11-06,118.010002,118.010002,113.860001,115.0,1207800,113.147514
2015-11-09,114.82,115.029999,113.610001,114.910004,812700,113.058968
2015-11-10,114.260002,115.629997,113.410004,114.720001,768300,113.533998
2015-11-11,114.919998,115.760002,114.650002,115.239998,392100,114.048618
2015-11-12,114.75,115.470001,113.25,113.330002,602600,112.158368
2015-11-13,113.019997,113.199997,111.010002,111.739998,1073400,110.584802
2015-11-16,111.440002,113.339996,111.440002,113.330002,523600,112.158368
2015-11-17,113.300003,114.410004,111.629997,112.110001,765200,110.95098
2015-11-18,112.139999,114.389999,112.120003,113.379997,1426300,112.207847
2015-11-19,118.07,123.980003,116.419998,121.279999,3654400,120.026176
2015-11-20,122.150002,123.160004,121.629997,122.389999,1196600,121.124701
2015-11-23,122.970001,124.769997,122.519997,122.540001,1488700,121.273152
2015-11-24,120.620003,122.309998,119.5,122.139999,2772300,120.877286
2015-11-25,122.879997,123.459999,122.510002,122.940002,1061300,121.669018
2015-11-27,123.089996,123.970001,122.629997,123.260002,293900,121.98571
2015-11-30,123.660004,123.910004,121.150002,121.190002,921500,119.93711
2015-12-01,121.779999,122.489998,120.650002,120.809998,1189600,119.561034
2015-12-02,120.800003,121.93,120.440002,120.620003,948000,119.373003
2015-12-03,121.040001,121.199997,118.989998,120.300003,899000,119.056312
2015-12-04,120.690002,123.290001,120.690002,123.139999,669000,121.866948
2015-12-07,123.040001,124.0,122.970001,123.669998,735500,122.391467
2015-12-08,123.040001,124.260002,122.610001,123.480003,969900,122.203437
2015-12-09,123.040001,124.440002,121.699997,122.589996,557000,121.322631
2015-12-10,122.669998,123.5,121.730003,122.010002,636400,120.748633
2015-12-11,120.760002,122.07,120.260002,120.580002,576200,119.333416
2015-12-14,120.650002,121.25,118.970001,120.169998,1275700,118.927651
2015-12-15,120.629997,122.260002,120.559998,122.040001,768400,120.778321
2015-12-16,123.019997,124.269997,121.43,124.07,1513700,122.787333
2015-12-17,124.07,124.949997,122.610001,123.639999,1010600,122.361779
2015-12-18,122.82,122.910004,121.220001,121.550003,1480000,120.293389
2015-12-21,122.150002,123.190002,122.029999,123.0,804500,121.728396
2015-12-22,122.279999,123.269997,121.410004,122.970001,1126300,121.698707
2015-12-23,123.889999,125.0,123.279999,124.860001,655400,123.569167
2015-12-24,124.449997,125.010002,124.330002,124.779999,206100,123.489992
2015-12-28,124.690002,124.730003,123.610001,124.230003,561900,122.945683
2015-12-29,124.889999,125.330002,124.519997,124.800003,436200,123.50979
2015-12-30,124.959999,124.959999,123.919998,123.949997,404500,122.668571
2015-12-31,123.709999,124.080002,122.18,123.339996,413300,122.064877
2016-01-04,121.599998,122.57,121.25,122.379997,1183000,121.114803
2016-01-05,122.169998,123.690002,121.870003,123.300003,1242600,122.025297
2016-01-06,121.75,123.379997,121.629997,122.400002,1050800,121.1346
2016-01-07,121.230003,121.660004,119.93,120.309998,1020700,119.066203
2016-01-08,120.639999,121.139999,119.919998,120.040001,1316600,118.798998
2016-01-11,120.599998,121.260002,119.599998,120.739998,822100,119.491758
2016-01-12,121.599998,122.160004,120.25,121.669998,883600,120.412144
2016-01-13,122.0,122.18,119.059998,119.160004,926100,117.928098
2016-01-14,119.220001,120.900002,118.800003,120.300003,700100,119.056312
2016-01-15,118.980003,118.980003,117.610001,118.260002,1107900,117.037401
2016-01-19,119.510002,120.349998,118.529999,119.730003,947200,118.492205
2016-01-20,118.480003,120.190002,117.360001,119.379997,1149900,118.145817
2016-01-21,119.379997,119.870003,117.919998,119.260002,994300,118.027063
2016-01-22,120.379997,122.970001,119.959999,122.889999,1182400,121.619532
2016-01-25,122.43,123.620003,121.68,121.849998,733600,120.590283
2016-01-26,122.019997,123.470001,121.949997,122.93,480300,121.65912
2016-01-27,123.07,125.389999,123.07,124.440002,1173200,123.153511
2016-01-28,125.099998,127.620003,124.910004,126.290001,1044100,124.984384
2016-01-29,127.059998,128.429993,126.330002,128.320007,1024000,126.993403
2016-02-01,127.889999,129.690002,127.480003,129.130005,824000,127.795027
2016-02-02,127.849998,129.449997,127.32,128.330002,785700,127.003295
2016-02-03,128.740005,130.0,127.5,129.369995,996100,128.032536
2016-02-04,128.610001,129.350006,125.099998,125.93,1041000,124.628105
2016-02-05,126.160004,126.730003,125.040001,125.470001,588800,124.172861
2016-02-08,124.790001,126.080002,123.18,125.690002,1059100,124.390588
2016-02-09,125.389999,128.119995,124.940002,127.349998,956700,126.033423
2016-02-10,127.349998,128.929993,126.730003,127.82,688700,127.167606
2016-02-11,126.25,127.239998,125.059998,126.150002,1017200,125.506131
2016-02-12,127.510002,127.57,125.760002,126.919998,799700,126.272198
2016-02-16,128.539993,128.710007,125.739998,127.699997,836200,127.048215
2016-02-17,128.380005,129.720001,126.080002,127.43,1511500,126.779597
2016-02-18,127.5,128.339996,125.779999,127.529999,1531200,126.879085
2016-02-19,126.57,127.839996,125.510002,127.75,982200,127.097963
2016-02-22,128.669998,129.0,126.519997,126.860001,1274000,126.212506
2016-02-23,123.5,125.519997,121.790001,123.849998,2690000,123.217867
2016-02-24,123.580002,127.949997,123.220001,127.760002,1457000,127.107914
2016-02-25,128.5,129.830002,128.240005,129.570007,859500,128.908681
2016-02-26,129.820007,130.0,126.940002,127.669998,762300,127.01837
2016-02-29,127.389999,128.550003,126.849998,127.57,1003500,126.918882
2016-03-01,128.419998,129.479996,127.949997,128.229996,743600,127.575509
2016-03-02,127.730003,128.220001,125.459999,127.809998,766000,127.157655
2016-03-03,127.5,128.509995,126.599998,128.309998,507200,127.655103
2016-03-04,127.790001,128.220001,126.830002,127.540001,801100,126.889036
2016-03-07,127.230003,127.57,126.32,126.800003,885500,126.152815
2016-03-08,126.239998,127.209999,125.660004,126.209999,1520300,125.565823
2016-03-09,126.900002,127.68,126.010002,127.07,1046700,126.421434
2016-03-10,127.589996,128.770004,127.25,128.490005,845700,127.834192
2016-03-11,128.910004,129.919998,128.520004,129.520004,777200,128.858933
2016-03-14,129.139999,129.529999,128.470001,129.259995,530600,128.600251
2016-03-15,128.470001,129.740005,128.210007,128.460007,873700,127.804346
2016-03-16,128.059998,129.509995,127.510002,129.139999,583700,128.480868
2016-03-17,129.029999,130.490005,128.880005,129.910004,845000,129.246942
2016-03-18,129.970001,129.970001,128.440002,128.850006,1421700,128.192355
2016-03-21,128.190002,129.410004,128.009995,128.339996,580800,127.684948
2016-03-22,127.980003,128.580002,127.160004,127.699997,661200,127.048215
2016-03-23,127.699997,129.130005,126.839996,128.770004,644500,128.112761
2016-03-24,128.479996,129.119995,127.949997,128.710007,563600,128.05307
2016-03-28,128.770004,130.610001,128.770004,129.600006,560800,128.938527
2016-03-29,129.759995,130.559998,129.509995,129.979996,612800,129.316577
2016-03-30,130.470001,130.539993,128.699997,130.179993,776200,129.515553
2016-03-31,130.059998,130.360001,129.649994,129.839996,1050700,129.177292
2016-04-01,129.119995,132.639999,129.119995,132.520004,949300,131.843621
2016-04-04,130.059998,130.809998,126.93,127.57,1970900,126.918882
2016-04-05,127.43,127.639999,125.139999,126.010002,1997400,125.366846
2016-04-06,125.949997,127.559998,125.739998,127.540001,1226200,126.889036
2016-04-07,126.720001,128.110001,126.720001,127.720001,927900,127.068118
2016-04-08,127.910004,128.279999,127.510002,127.900002,509000,127.247199
2016-04-11,128.300003,128.910004,127.75,127.779999,655000,127.127809
2016-04-12,127.709999,128.270004,127.410004,127.970001,367700,127.316842
2016-04-13,128.160004,128.300003,126.620003,128.220001,919400,127.565566
2016-04-14,128.179993,128.550003,127.25,127.400002,1240100,126.749751
2016-04-15,127.550003,128.5,126.970001,128.399994,717500,127.74464
2016-04-18,128.5,129.550003,128.009995,129.380005,718100,128.719649
2016-04-19,129.710007,130.479996,129.220001,129.529999,886800,128.868877
2016-04-20,129.210007,129.740005,128.509995,128.539993,488300,127.883924
2016-04-21,128.199997,128.199997,124.269997,124.580002,1416200,123.944145
2016-04-22,124.720001,126.239998,124.32,126.150002,933600,125.506131
2016-04-25,125.599998,127.919998,125.139999,127.43,687800,126.779597
2016-04-26,127.82,128.889999,127.18,127.309998,757700,126.660207
2016-04-27,127.580002,128.449997,126.830002,127.940002,467900,127.286996
2016-04-28,127.330002,128.440002,127.089996,127.779999,421200,127.127809
2016-04-29,127.309998,128.240005,125.790001,126.980003,684400,126.331897
2016-05-02,127.239998,128.259995,127.0,127.68,921200,127.028321
2016-05-03,127.360001,127.959999,126.419998,126.82,566100,126.17271
2016-05-04,126.699997,128.419998,126.059998,128.149994,749900,127.495916
2016-05-05,128.440002,129.460007,128.029999,128.380005,534900,127.724753
2016-05-06,128.369995,129.529999,127.339996,129.270004,746200,128.610209
2016-05-09,129.350006,130.139999,128.740005,129.419998,458600,128.759438
2016-05-10,129.889999,131.320007,129.740005,131.270004,792900,130.600001
2016-05-11,130.669998,131.179993,129.979996,130.460007,846600,130.460007
2016-05-12,130.960007,131.789993,130.059998,131.509995,761000,131.509995
2016-05-13,130.949997,131.75,130.100006,130.570007,452200,130.570007
2016-05-16,130.179993,131.220001,130.169998,130.830002,373900,130.830002
2016-05-17,130.339996,130.610001,127.269997,127.739998,831200,127.739998
2016-05-18,127.360001,127.980003,125.839996,126.720001,767900,126.720001
2016-05-19,126.279999,127.139999,125.669998,127.080002,564900,127.080002
2016-05-20,127.739998,127.940002,126.32,126.599998,517700,126.599998
2016-05-23,126.910004,127.349998,126.230003,126.940002,370100,126.940002
2016-05-24,127.239998,128.320007,126.099998,127.93,503000,127.93
2016-05-25,129.110001,129.740005,128.0,128.789993,565200,128.789993
2016-05-26,128.639999,129.770004,128.5,129.470001,523800,129.470001
2016-05-27,129.300003,129.839996,128.759995,129.220001,341400,129.220001
2016-05-31,129.220001,130.0,128.300003,129.149994,724300,129.149994
2016-06-01,129.020004,129.970001,128.460007,129.720001,453100,129.720001
2016-06-02,129.149994,130.399994,128.979996,130.399994,659700,130.399994
2016-06-03,130.509995,131.929993,130.190002,131.720001,448500,131.720001
