Date,Open_SLG,High_SLG,Low_SLG,Close_SLG,Volume_SLG,AdjClose_SLG
2013-06-14,89.620003,91.989998,89.400002,91.360001,1109600,85.861465
2013-06-17,91.709999,92.769997,90.910004,91.57,1265200,86.058825
2013-06-18,91.519997,92.190002,91.209999,91.720001,828600,86.199799
2013-06-19,91.610001,91.809998,88.690002,89.059998,1316000,83.699888
2013-06-20,88.0,88.07,83.68,84.360001,1155100,79.282763
2013-06-21,85.160004,86.440002,84.059998,85.190002,1359400,80.06281
2013-06-24,84.419998,86.790001,83.0,84.839996,1078400,79.73387
2013-06-25,85.779999,86.300003,84.790001,85.639999,1036200,80.485724
2013-06-26,86.639999,87.669998,86.599998,86.639999,924400,81.425539
2013-06-27,87.019997,88.93,86.959999,88.760002,844200,83.736887
2013-06-28,88.449997,88.910004,87.379997,88.190002,670400,83.199144
2013-07-01,88.529999,88.849998,87.599998,87.870003,611800,82.897254
2013-07-02,87.919998,89.580002,87.230003,89.510002,1242300,84.444443
2013-07-03,88.870003,90.779999,88.339996,90.269997,582900,85.161427
2013-07-05,90.440002,90.980003,88.470001,90.489998,1005700,85.368978
2013-07-08,90.459999,91.470001,90.400002,90.809998,1067100,85.670868
2013-07-09,90.910004,92.019997,90.779999,91.5,763100,86.321822
2013-07-10,91.5,91.580002,90.709999,91.089996,853000,85.935022
2013-07-11,92.139999,93.690002,92.059998,93.589996,1062100,88.293541
2013-07-12,93.589996,93.769997,92.75,93.660004,510300,88.359587
2013-07-15,93.209999,94.0,92.18,93.75,880300,88.44449
2013-07-16,93.68,93.75,92.980003,93.120003,689900,87.850146
2013-07-17,93.709999,93.709999,92.82,93.129997,906600,87.859575
2013-07-18,93.190002,94.339996,92.989998,94.239998,364900,88.906758
2013-07-19,94.239998,94.949997,93.900002,94.93,553300,89.557712
2013-07-22,94.790001,95.360001,94.139999,95.220001,526800,89.831301
2013-07-23,95.290001,95.830002,94.830002,95.610001,694100,90.199229
2013-07-24,95.57,95.650002,92.660004,93.610001,1278300,88.312413
2013-07-25,93.120003,94.080002,92.370003,92.879997,1169300,87.623723
2013-07-26,92.690002,93.160004,92.029999,92.900002,491600,87.642595
2013-07-29,93.32,93.32,91.550003,91.709999,713900,86.519937
2013-07-30,92.410004,92.650002,90.559998,91.209999,560100,86.048233
2013-07-31,91.589996,91.870003,89.540001,90.650002,932900,85.519927
2013-08-01,91.309998,91.739998,90.110001,90.75,787700,85.614266
2013-08-02,90.379997,91.389999,89.230003,89.849998,605300,84.765198
2013-08-05,89.870003,90.779999,89.349998,89.93,278200,84.840672
2013-08-06,89.540001,90.580002,88.18,89.550003,395700,84.48218
2013-08-07,89.879997,90.239998,89.050003,89.410004,488500,84.350103
2013-08-08,89.699997,90.040001,89.220001,89.779999,337000,84.699159
2013-08-09,89.669998,90.93,89.25,90.139999,957300,85.038787
2013-08-12,89.730003,90.040001,89.010002,89.709999,907500,84.633121
2013-08-13,89.580002,89.580002,88.25,88.82,791700,83.793489
2013-08-14,88.519997,89.779999,88.269997,89.449997,641600,84.387833
2013-08-15,88.349998,89.059998,87.769997,88.510002,866800,83.501035
2013-08-16,88.150002,88.389999,85.970001,86.129997,628900,81.255719
2013-08-19,86.110001,86.190002,85.199997,85.400002,876100,80.567036
2013-08-20,85.559998,87.980003,85.419998,87.389999,919300,82.444415
2013-08-21,87.32,88.239998,86.099998,86.519997,729800,81.623648
2013-08-22,86.629997,87.440002,86.010002,87.150002,538200,82.217999
2013-08-23,87.470001,88.029999,86.790001,87.949997,857900,82.972721
2013-08-26,87.949997,88.209999,87.300003,87.769997,500900,82.802908
2013-08-27,86.839996,87.989998,86.650002,87.599998,690400,82.64253
2013-08-28,87.769997,87.809998,86.900002,87.379997,457900,82.434979
2013-08-29,87.190002,87.620003,86.669998,87.580002,467100,82.623665
2013-08-30,87.779999,88.160004,86.809998,87.190002,692900,82.255737
2013-09-03,88.089996,88.089996,84.889999,86.010002,1077200,81.142515
2013-09-04,86.07,86.699997,85.400002,86.339996,531700,81.453834
2013-09-05,86.199997,86.800003,85.360001,85.580002,357300,80.736849
2013-09-06,86.260002,87.110001,85.510002,86.809998,608300,81.897237
2013-09-09,87.32,89.349998,86.279999,89.290001,531700,84.236892
2013-09-10,89.410004,90.349998,88.779999,89.919998,739200,84.831236
2013-09-11,89.669998,90.82,89.529999,90.82,515800,85.680305
2013-09-12,90.809998,91.199997,88.980003,89.220001,611600,84.170853
2013-09-13,89.43,90.260002,88.949997,90.209999,521700,85.104825
2013-09-16,91.480003,92.419998,90.269997,90.82,600500,85.680305
2013-09-17,90.949997,91.849998,89.910004,90.449997,469000,85.331241
2013-09-18,90.730003,93.440002,89.889999,93.220001,683200,87.944485
2013-09-19,93.589996,94.739998,92.690002,92.830002,751900,87.576556
2013-09-20,93.099998,93.480003,91.32,91.32,885600,86.152009
2013-09-23,91.220001,91.919998,90.400002,90.43,695700,85.312376
2013-09-24,90.629997,90.790001,88.779999,88.949997,703600,83.916129
2013-09-25,88.949997,89.410004,87.910004,88.690002,932500,83.670848
2013-09-26,88.589996,89.089996,88.010002,88.839996,528800,84.125373
2013-09-27,88.220001,88.870003,87.93,88.589996,334900,83.888641
2013-09-30,87.919998,89.019997,87.919998,88.839996,607200,84.125373
2013-10-01,88.949997,91.510002,88.629997,90.199997,1346200,85.413201
2013-10-02,89.599998,90.190002,88.779999,90.129997,820600,85.346916
2013-10-03,89.650002,89.980003,87.970001,88.389999,828500,83.699257
2013-10-04,88.400002,89.449997,88.080002,88.839996,439600,84.125373
2013-10-07,88.150002,88.809998,87.709999,88.5,518500,83.80342
2013-10-08,88.599998,88.739998,87.489998,87.629997,605000,82.979587
2013-10-09,87.949997,88.830002,87.730003,88.080002,622400,83.405711
2013-10-10,89.019997,90.040001,88.690002,89.989998,641500,85.214346
2013-10-11,89.620003,92.269997,89.07,92.269997,796400,87.373348
2013-10-14,91.769997,92.400002,91.309998,92.010002,653700,87.127151
2013-10-15,91.519997,92.959999,91.419998,92.330002,655200,87.430169
2013-10-16,92.790001,93.699997,90.650002,93.419998,625900,88.462321
2013-10-17,93.0,94.790001,92.760002,94.669998,502000,89.645985
2013-10-18,94.529999,94.989998,93.779999,94.709999,596500,89.683863
2013-10-21,94.5,94.68,93.709999,94.120003,494500,89.125177
2013-10-22,94.25,95.449997,92.860001,95.019997,493800,89.977409
2013-10-23,94.809998,95.440002,94.059998,95.330002,614100,90.270963
2013-10-24,95.480003,97.110001,94.599998,96.599998,664000,91.473562
2013-10-25,97.160004,98.18,96.540001,98.089996,459500,92.884488
2013-10-28,98.139999,98.25,96.580002,98.150002,641200,92.941309
2013-10-29,96.07,96.32,95.059998,95.349998,2701900,90.289898
2013-10-30,95.790001,95.790001,94.519997,95.239998,943300,90.185735
2013-10-31,95.349998,95.519997,94.139999,94.57,862500,89.551293
2013-11-01,95.040001,95.800003,94.379997,95.669998,669900,90.592916
2013-11-04,95.760002,96.139999,94.709999,95.339996,524700,90.280427
2013-11-05,94.860001,95.220001,93.68,93.739998,580800,88.765338
2013-11-06,93.919998,94.32,92.849998,92.919998,627100,87.988855
2013-11-07,93.040001,93.339996,91.339996,91.43,807400,86.577929
2013-11-08,91.089996,91.589996,89.540001,91.300003,621600,86.454831
2013-11-11,91.550003,92.010002,90.860001,91.860001,525100,86.98511
2013-11-12,91.459999,91.739998,89.870003,90.889999,763800,86.066586
2013-11-13,90.5,91.400002,89.940002,91.389999,553800,86.540051
2013-11-14,91.68,92.639999,91.559998,92.120003,432400,87.231314
2013-11-15,91.839996,92.739998,91.400002,92.699997,619900,87.780529
2013-11-18,92.699997,93.0,91.800003,91.970001,452700,87.089273
2013-11-19,91.599998,91.980003,90.730003,91.199997,456100,86.360132
2013-11-20,91.309998,92.419998,89.760002,90.410004,505100,85.612063
2013-11-21,91.0,91.400002,90.059998,91.040001,324900,86.208627
2013-11-22,91.080002,91.769997,90.449997,91.709999,510900,86.843069
2013-11-25,91.910004,92.110001,91.25,91.580002,440300,86.71997
2013-11-26,91.519997,91.720001,90.660004,90.959999,653700,86.13287
2013-11-27,90.970001,91.900002,90.580002,91.68,318200,86.814662
2013-11-29,92.0,92.0,90.449997,90.470001,260500,85.668876
2013-12-02,90.470001,92.059998,89.839996,90.529999,536300,85.72569
2013-12-03,90.269997,91.440002,90.220001,91.07,516000,86.237033
2013-12-04,90.209999,92.139999,89.93,91.5,554800,86.644214
2013-12-05,90.650002,92.5,89.779999,92.419998,856700,87.515389
2013-12-06,91.269997,94.419998,91.269997,94.239998,878500,89.238804
2013-12-09,94.239998,94.599998,93.230003,93.489998,901500,88.528605
2013-12-10,93.830002,94.440002,92.260002,92.480003,936500,87.57221
2013-12-11,92.839996,93.139999,89.989998,90.150002,832900,85.365858
2013-12-12,90.220001,91.260002,89.230003,90.099998,782500,85.318509
2013-12-13,90.43,91.580002,89.5,89.760002,545100,84.996556
2013-12-16,89.620003,90.730003,89.5,89.529999,1005800,84.778758
2013-12-17,89.599998,90.610001,89.050003,90.169998,861000,85.384794
2013-12-18,90.639999,92.400002,89.559998,92.349998,1080600,87.449104
2013-12-19,92.199997,93.139999,91.5,92.550003,922800,87.638495
2013-12-20,91.849998,92.57,91.25,91.900002,1421600,87.022988
2013-12-23,92.300003,93.419998,92.010002,92.809998,542400,87.884692
2013-12-24,92.779999,93.57,92.489998,92.660004,178200,87.742658
2013-12-26,92.660004,93.190002,92.029999,92.400002,252900,87.496454
2013-12-27,91.889999,92.18,91.010002,92.050003,269400,87.639264
2013-12-30,92.139999,92.620003,91.720001,92.080002,379700,87.667826
2013-12-31,92.309998,93.160004,92.010002,92.379997,611100,87.953446
2014-01-02,92.169998,92.769997,91.18,91.980003,614600,87.572619
2014-01-03,92.07,93.650002,91.970001,92.809998,690000,88.362842
2014-01-06,92.919998,93.32,92.139999,92.309998,717100,87.886801
2014-01-07,92.269997,93.43,91.620003,93.139999,508600,88.677031
2014-01-08,93.32,93.660004,92.529999,93.050003,520900,88.591347
2014-01-09,93.120003,93.18,91.260002,92.489998,637500,88.058176
2014-01-10,92.860001,93.309998,92.269997,92.809998,542000,88.362842
2014-01-13,92.730003,93.25,91.660004,92.150002,396500,87.734471
2014-01-14,92.459999,93.050003,91.82,92.830002,498600,88.381888
2014-01-15,92.900002,93.849998,92.57,93.68,366100,89.191157
2014-01-16,93.190002,93.739998,92.830002,93.5,304100,89.019782
2014-01-17,93.260002,93.5,92.699997,92.989998,348000,88.534218
2014-01-21,93.559998,93.959999,93.07,93.849998,398300,89.35301
2014-01-22,93.959999,94.889999,93.629997,94.440002,499800,89.914743
2014-01-23,94.309998,94.800003,93.589996,93.93,502900,89.429178
2014-01-24,93.730003,93.970001,91.989998,92.040001,469400,87.629741
2014-01-27,92.040001,92.940002,91.110001,91.339996,595900,86.963279
2014-01-28,91.760002,93.629997,91.760002,92.919998,830500,88.467572
2014-01-29,92.550003,93.239998,91.459999,92.019997,541000,87.610696
2014-01-30,91.940002,93.989998,91.099998,93.739998,595800,89.24828
2014-01-31,92.650002,94.669998,92.639999,93.769997,706500,89.276841
2014-02-03,93.860001,93.860001,90.550003,90.959999,1343400,86.60149
2014-02-04,91.209999,93.830002,90.809998,93.660004,1189300,89.172119
2014-02-05,93.559998,94.360001,92.739998,93.5,635200,89.019782
2014-02-06,93.529999,94.199997,93.300003,94.029999,509300,89.524385
2014-02-07,94.5,95.110001,93.730003,94.410004,350700,89.886181
2014-02-10,94.279999,95.730003,93.589996,95.639999,492800,91.05724
2014-02-11,95.389999,96.389999,94.800003,96.019997,506400,91.419029
2014-02-12,95.93,96.290001,95.360001,96.260002,411000,91.647534
2014-02-13,95.419998,97.029999,95.360001,96.019997,806600,91.419029
2014-02-14,95.919998,97.0,95.830002,96.669998,404700,92.037884
2014-02-18,96.519997,97.089996,95.690002,97.07,391500,92.418719
2014-02-19,96.629997,98.040001,96.440002,97.230003,648600,92.571056
2014-02-20,97.260002,98.050003,96.43,96.800003,409600,92.16166
2014-02-21,96.800003,97.400002,96.400002,96.900002,383400,92.256866
2014-02-24,96.900002,97.730003,96.580002,96.800003,467500,92.16166
2014-02-25,97.059998,99.970001,96.970001,99.699997,1247800,94.922695
2014-02-26,100.0,100.0,98.82,98.970001,647800,94.227678
2014-02-27,98.839996,101.779999,98.010002,98.580002,445200,93.856367
2014-02-28,98.480003,99.860001,98.370003,99.330002,634800,94.570429
2014-03-03,98.650002,99.360001,97.980003,99.129997,775600,94.380008
2014-03-04,99.349998,100.739998,99.349998,100.510002,666400,95.693887
2014-03-05,100.25,100.809998,99.239998,99.940002,480000,95.1512
2014-03-06,99.989998,100.239998,99.260002,99.639999,368700,94.865572
2014-03-07,99.739998,99.879997,98.209999,98.889999,475600,94.15151
2014-03-10,98.889999,99.220001,97.290001,97.779999,568500,93.094697
2014-03-11,98.099998,99.459999,98.080002,98.699997,642100,93.970612
2014-03-12,98.32,99.050003,98.269997,98.699997,420400,93.970612
2014-03-13,98.959999,99.129997,97.529999,97.830002,347000,93.142304
2014-03-14,97.82,99.099998,97.82,98.5,415200,93.780198
2014-03-17,99.099998,99.580002,98.029999,98.800003,382600,94.065826
2014-03-18,98.699997,100.010002,98.040001,99.940002,649700,95.1512
2014-03-19,99.860001,100.57,97.419998,97.669998,427300,92.989967
2014-03-20,97.550003,98.230003,96.309998,98.110001,621000,93.408886
2014-03-21,98.019997,99.68,98.019997,99.160004,1069700,94.408577
2014-03-24,99.160004,99.410004,97.470001,98.339996,353300,93.627861
2014-03-25,98.790001,99.650002,98.410004,99.43,354200,94.665636
2014-03-26,99.580002,99.800003,98.0,98.0,436700,93.304157
2014-03-27,97.540001,98.75,97.349998,98.709999,426000,94.462088
2014-03-28,98.790001,100.269997,98.790001,99.470001,263700,95.189384
2014-03-31,99.849998,100.809998,99.110001,100.620003,596000,96.289896
2014-04-01,100.699997,101.470001,100.160004,101.470001,808600,97.103315
2014-04-02,101.089996,101.5,100.599998,101.209999,616800,96.854502
2014-04-03,101.18,101.239998,100.290001,100.68,323800,96.347311
2014-04-04,101.400002,101.980003,100.589996,101.150002,332900,96.797087
2014-04-07,100.739998,102.199997,100.739998,101.379997,478300,97.017185
2014-04-08,101.620003,102.209999,100.970001,101.900002,613900,97.514811
2014-04-09,102.139999,102.349998,101.110001,101.190002,562500,96.835366
2014-04-10,101.080002,102.0,99.739998,99.760002,585100,95.466905
2014-04-11,99.480003,100.550003,99.080002,99.309998,946200,95.036266
2014-04-14,100.089996,100.75,99.419998,100.099998,513100,95.79227
2014-04-15,100.169998,102.25,100.169998,102.059998,983100,97.667922
2014-04-16,102.559998,103.459999,101.25,102.620003,774800,98.203827
2014-04-17,102.269997,102.43,101.199997,101.489998,830700,97.122451
2014-04-21,101.809998,102.480003,101.209999,102.110001,605800,97.715773
2014-04-22,102.239998,102.599998,101.370003,102.290001,692700,97.888027
2014-04-23,101.739998,102.419998,101.720001,101.959999,855000,97.572226
2014-04-24,102.529999,104.599998,101.230003,103.379997,733700,98.931116
2014-04-25,103.209999,103.239998,102.160004,102.209999,440900,97.811468
2014-04-28,102.709999,103.790001,102.480003,103.75,587400,99.285196
2014-04-29,103.949997,104.089996,103.160004,103.510002,930500,99.055526
2014-04-30,103.470001,104.739998,103.0,104.709999,808300,100.203882
2014-05-01,104.32,105.709999,103.870003,105.559998,686400,101.017302
2014-05-02,105.720001,106.949997,105.209999,106.099998,623600,101.534064
2014-05-05,105.699997,106.440002,105.089996,106.029999,861200,101.467077
2014-05-06,105.550003,106.489998,105.080002,106.07,517100,101.505356
