Date,Open_SNA,High_SNA,Low_SNA,Close_SNA,Volume_SNA,AdjClose_SNA
2013-06-14,90.82,91.260002,90.540001,91.050003,319800,87.027877
2013-06-17,91.720001,92.330002,91.339996,91.870003,242700,87.811654
2013-06-18,92.080002,92.480003,91.739998,92.209999,234800,88.136631
2013-06-19,92.139999,92.629997,91.18,91.18,222700,87.152132
2013-06-20,90.150002,90.629997,88.769997,89.010002,365000,85.077993
2013-06-21,89.660004,89.779999,86.730003,88.07,516400,84.179515
2013-06-24,86.809998,87.199997,86.019997,86.269997,418200,82.459027
2013-06-25,87.0,88.139999,86.889999,87.800003,228200,83.921446
2013-06-26,88.650002,89.43,88.470001,88.900002,184200,84.972852
2013-06-27,89.610001,90.059998,89.120003,89.910004,220100,85.938237
2013-06-28,89.550003,90.089996,88.959999,89.379997,381000,85.431644
2013-07-01,89.830002,91.610001,89.830002,91.169998,233800,87.142572
2013-07-02,90.970001,91.589996,90.209999,90.5,247400,86.502171
2013-07-03,90.07,91.0,89.699997,90.620003,137700,86.616872
2013-07-05,91.550003,92.199997,91.18,92.07,194900,88.002816
2013-07-08,92.360001,92.599998,91.540001,91.57,197600,87.524903
2013-07-09,92.449997,92.839996,91.739998,92.349998,137300,88.270446
2013-07-10,92.18,92.279999,91.169998,91.720001,253300,87.668278
2013-07-11,93.0,94.07,92.870003,93.410004,300800,89.283625
2013-07-12,93.449997,93.540001,92.980003,93.260002,188200,89.14025
2013-07-15,93.5,95.5,93.300003,94.690002,251200,90.50708
2013-07-16,94.889999,95.059998,93.199997,93.290001,197900,89.168924
2013-07-17,93.839996,93.839996,92.370003,93.110001,297900,88.996875
2013-07-18,93.5,95.699997,93.5,95.0,600400,90.803384
2013-07-19,95.010002,95.769997,94.620003,95.440002,666100,91.223949
2013-07-22,95.610001,96.5,95.349998,95.470001,303700,91.252623
2013-07-23,95.599998,95.720001,94.720001,95.010002,304100,90.812944
2013-07-24,95.330002,95.459999,94.620003,94.959999,305200,90.76515
2013-07-25,94.510002,95.029999,93.699997,94.669998,204900,90.48796
2013-07-26,94.260002,94.629997,93.57,94.089996,176200,89.933579
2013-07-29,93.980003,95.010002,93.769997,94.57,361900,90.392379
2013-07-30,95.0,95.370003,94.279999,94.870003,284900,90.679129
2013-07-31,95.089996,95.68,94.650002,94.849998,334300,90.660008
2013-08-01,95.580002,96.169998,95.419998,95.949997,428200,91.711415
2013-08-02,95.620003,95.940002,95.169998,95.800003,199100,91.568047
2013-08-05,95.449997,96.089996,93.889999,95.959999,218500,91.720975
2013-08-06,95.580002,96.029999,94.980003,95.529999,341400,91.30997
