Date,Open_SNI,High_SNI,Low_SNI,Close_SNI,Volume_SNI,AdjClose_SNI
2013-06-14,66.089996,66.690002,65.629997,66.550003,697300,64.102528
2013-06-17,66.879997,67.910004,66.830002,67.440002,1096700,64.959796
2013-06-18,67.559998,68.220001,67.330002,67.93,712300,65.431774
2013-06-19,68.010002,69.230003,67.75,67.760002,876700,65.268028
2013-06-20,67.239998,67.610001,66.220001,66.25,1107300,63.813558
2013-06-21,66.519997,66.940002,65.379997,66.040001,1067600,63.611282
2013-06-24,65.559998,65.559998,64.660004,65.07,551200,62.676954
2013-06-25,65.540001,65.769997,64.830002,65.080002,821000,62.686588
2013-06-26,65.720001,65.940002,64.879997,65.410004,648900,63.004454
2013-06-27,65.760002,66.660004,65.639999,66.610001,743900,64.160319
2013-06-28,66.529999,67.269997,66.309998,66.760002,1352300,64.304804
2013-07-01,67.199997,67.730003,66.830002,67.610001,635800,65.123543
2013-07-02,67.5,68.25,67.300003,68.230003,830700,65.720744
2013-07-03,67.790001,68.900002,67.790001,68.760002,363500,66.231251
2013-07-05,69.120003,69.889999,68.970001,69.849998,496500,67.281161
2013-07-08,70.25,70.690002,70.089996,70.519997,509200,67.926519
2013-07-09,70.870003,71.580002,70.32,70.82,708000,68.215489
2013-07-10,70.870003,71.080002,70.199997,71.0,526000,68.38887
2013-07-11,71.790001,72.220001,71.459999,72.019997,345700,69.371354
2013-07-12,72.349998,72.75,71.959999,72.690002,371300,70.01672
2013-07-15,72.610001,73.129997,72.419998,73.059998,471200,70.373108
2013-07-16,73.029999,73.449997,72.239998,72.519997,630300,69.852966
2013-07-17,72.18,72.419998,71.279999,71.510002,712300,68.880116
2013-07-18,71.790001,72.970001,71.57,72.919998,722300,70.238257
2013-07-19,72.75,72.959999,72.019997,72.290001,641900,69.631429
2013-07-22,72.519997,72.610001,71.650002,71.809998,434000,69.169078
2013-07-23,71.93,72.199997,71.620003,71.989998,352600,69.342459
2013-07-24,72.080002,72.470001,71.290001,71.699997,339800,69.063123
2013-07-25,71.610001,72.349998,71.540001,72.0,601200,69.352093
2013-07-26,71.839996,72.029999,71.199997,71.519997,481900,68.889743
2013-07-29,71.470001,72.059998,71.089996,71.330002,368700,68.706735
2013-07-30,71.779999,72.349998,70.660004,70.919998,571300,68.31181
2013-07-31,71.029999,71.459999,70.580002,70.769997,427900,68.167325
2013-08-01,71.440002,72.470001,71.440002,72.309998,617100,69.65069
2013-08-02,72.110001,73.080002,72.029999,72.980003,471300,70.296055
2013-08-05,72.75,73.43,72.550003,72.879997,455300,70.199727
2013-08-06,72.730003,73.410004,72.610001,73.220001,507100,70.527227
2013-08-07,73.0,74.160004,71.82,74.050003,924300,71.326704
2013-08-08,73.82,75.239998,73.440002,74.290001,896000,71.557876
2013-08-09,74.099998,76.059998,74.099998,75.349998,646100,72.578891
2013-08-12,75.080002,76.120003,74.970001,75.760002,697700,72.973816
2013-08-13,75.650002,76.209999,75.230003,76.190002,847100,73.388002
2013-08-14,76.43,76.43,75.239998,75.360001,737200,72.588525
2013-08-15,74.809998,74.879997,73.589996,73.800003,667400,71.085898
2013-08-16,73.580002,74.82,73.449997,74.769997,708600,72.020219
2013-08-19,74.709999,75.169998,74.260002,74.400002,596800,71.663831
2013-08-20,74.43,75.370003,74.129997,75.0,544500,72.241764
2013-08-21,74.809998,75.0,73.93,74.220001,409100,71.490451
2013-08-22,74.82,75.660004,74.440002,75.010002,403300,72.251398
2013-08-23,75.360001,75.360001,74.300003,74.599998,469600,71.856473
2013-08-26,74.720001,75.93,74.550003,74.589996,434800,71.846839
2013-08-27,73.800003,74.449997,73.129997,73.18,372900,70.488697
2013-08-28,73.150002,73.900002,73.0,73.169998,444400,70.623822
2013-08-29,73.010002,74.279999,72.870003,73.849998,367700,71.28016
2013-08-30,73.849998,73.889999,72.919998,73.529999,688400,70.971296
2013-09-03,74.82,75.309998,74.029999,74.370003,762600,71.782069
2013-09-04,74.239998,75.150002,73.739998,74.5,1008900,71.907543
2013-09-05,74.32,75.080002,74.309998,74.540001,358800,71.946152
2013-09-06,74.93,75.75,74.050003,75.379997,516900,72.756918
2013-09-09,75.459999,75.970001,74.849998,75.050003,1068900,72.438407
2013-09-10,75.449997,75.5,74.339996,74.940002,998200,72.332234
2013-09-11,74.870003,75.220001,74.190002,74.419998,1014500,71.830325
2013-09-12,74.510002,74.739998,74.010002,74.07,1022700,71.492505
2013-09-13,74.220001,74.510002,73.279999,74.230003,1133700,71.646941
2013-09-16,75.519997,76.800003,75.239998,75.550003,1258000,72.921008
2013-09-17,75.489998,76.75,75.239998,76.730003,1063000,74.059946
2013-09-18,76.620003,78.239998,76.32,78.18,1004200,75.459486
