Date,Open_SPG,High_SPG,Low_SPG,Close_SPG,Volume_SPG,AdjClose_SPG
2013-06-14,165.100004,168.289993,164.310005,166.049999,1581100,142.121606
2013-06-17,167.219986,168.959997,165.969985,168.499995,1912200,144.218549
2013-06-18,168.359999,168.639991,166.819999,167.3,1528100,143.191477
2013-06-19,167.409989,167.879998,160.400005,162.519988,2212400,139.100282
2013-06-20,160.810001,160.909998,153.680005,154.579993,3090500,132.304468
2013-06-21,155.809995,158.809998,154.389991,156.579995,2928900,134.016263
2013-06-24,154.840001,159.059982,152.019992,154.979997,2998800,132.64683
2013-06-25,156.209999,157.809997,154.999996,156.829996,2259800,134.230238
2013-06-26,158.25,159.939987,157.50999,158.269983,1701700,135.462718
2013-06-27,159.190003,160.869999,159.130005,160.679997,1796300,137.52544
2013-06-28,161.119999,164.629995,157.920002,157.920002,2160800,135.16317
2013-07-01,159.199994,160.06,157.329996,157.650002,1374200,134.932078
2013-07-02,157.659994,162.679999,157.650002,162.629992,2555300,139.194434
2013-07-03,161.040002,161.040002,157.880003,158.980001,1251600,136.07042
2013-07-05,159.000001,159.739994,156.369994,159.469994,1304500,136.489803
2013-07-08,159.85999,161.219996,159.029991,159.219994,1289900,136.275828
2013-07-09,160.459987,162.049994,159.319991,161.719996,1254500,138.415572
2013-07-10,161.719996,161.719996,159.039999,160.799993,974100,137.628144
2013-07-11,163.939992,165.049998,163.069995,164.069996,1499900,140.426928
2013-07-12,164.399994,164.979992,162.199998,162.999989,1057600,139.511113
2013-07-15,162.599985,163.72999,162.219997,162.899992,911600,139.425526
2013-07-16,162.919991,163.660001,162.299995,162.999989,1329800,139.511113
2013-07-17,163.249989,163.459991,162.049994,162.799995,820900,139.339939
2013-07-18,162.70999,164.72,162.70999,164.72,1429200,140.983264
2013-07-19,164.419993,165.290006,163.629993,164.959992,1203200,141.188673
2013-07-22,165.049998,166.159987,164.509998,166.049999,749400,142.121606
2013-07-23,166.889989,166.999993,164.709992,165.979993,873600,142.061688
2013-07-24,165.939994,166.600006,162.949999,164.410001,1863600,140.717938
2013-07-25,163.499989,164.169993,162.770004,163.789988,1668100,140.187271
2013-07-26,163.370002,164.569996,162.099985,164.539989,921900,140.829194
2013-07-29,165.439994,165.789991,162.770004,163.049995,926800,139.553913
2013-07-30,164.139986,165.549998,161.179997,161.719996,1052000,138.415572
2013-07-31,161.999988,162.770004,158.499984,160.06,2209300,136.994787
2013-08-01,160.829984,161.39999,158.04999,158.969993,1482600,136.061854
2013-08-02,159.059982,159.329998,157.329996,157.609987,1100800,134.89783
2013-08-05,157.559997,157.650002,156.369994,156.909993,814300,134.298707
2013-08-06,156.229998,157.360003,155.709998,156.349994,792800,133.819406
2013-08-07,156.110002,157.029989,155.079994,156.860003,935400,134.255921
2013-08-08,157.239991,157.590004,155.809995,156.349994,901800,133.819406
2013-08-09,156.409992,159.019984,156.169984,157.949993,966600,135.188839
2013-08-12,157.590004,157.659994,156.269997,157.289997,991900,134.623951
2013-08-13,157.449992,157.46,154.449989,155.19999,1030700,132.835121
2013-08-14,154.470005,154.760004,152.510001,152.669996,1140000,131.645172
2013-08-15,151.409987,151.919995,149.210007,149.689992,1451300,129.075557
2013-08-16,149.179984,149.689992,144.77,145.299992,1862600,125.290122
2013-08-19,144.690003,145.199995,143.199992,143.219992,1588200,123.496568
2013-08-20,143.739992,147.14999,143.27999,145.929996,1336600,125.833366
2013-08-21,145.529993,147.399991,144.219993,144.949994,1538700,124.988324
2013-08-22,145.349998,146.409997,144.009991,146.359991,1329000,126.204144
2013-08-23,149.439992,149.439992,146.460004,147.499988,1576300,127.187147
2013-08-26,147.710005,148.319994,146.730004,147.129991,921700,126.868105
2013-08-27,146.239995,146.730004,145.199995,145.739994,1537700,125.66953
2013-08-28,146.049992,146.109991,144.639996,145.270001,1258100,125.264261
2013-08-29,144.559999,146.469996,143.999984,146.339991,1294300,126.186899
2013-08-30,146.589992,147.269987,144.939987,145.629989,1756900,125.574674
2013-09-03,146.239995,146.699996,143.129987,144.440002,1572200,124.548565
2013-09-04,144.289999,145.750002,143.409994,144.56999,1639900,124.660652
2013-09-05,144.559999,145.139997,142.469991,142.539997,1328100,122.910218
2013-09-06,144.539999,146.509994,144.539999,144.939987,1522700,124.979695
2013-09-09,145.539984,148.439991,145.349998,148.439991,2007700,127.997699
2013-09-10,149.329987,150.000007,148.080002,148.72999,1425600,128.247761
2013-09-11,148.519988,149.199999,148.169991,149.120002,1237400,128.584063
2013-09-12,149.139985,150.189993,148.109993,148.299995,1060500,127.876982
2013-09-13,148.569995,149.259997,148.20999,148.519988,966500,128.066679
2013-09-16,151.540007,152.379997,150.729992,151.709994,1479800,130.817376
2013-09-17,151.409987,152.760001,150.799998,151.430002,1560000,130.575943
2013-09-18,151.009999,154.499995,148.389984,154.459997,3081300,133.188665
2013-09-19,155.209998,157.389994,154.489988,154.519995,2469900,133.2404
2013-09-20,154.519995,155.019995,150.999992,150.999992,2307600,130.205151
2013-09-23,150.769991,152.100006,150.000007,151.289991,1423000,130.455213
2013-09-24,150.729992,151.289991,149.939992,150.000007,1310700,129.342878
2013-09-25,150.100004,151.729993,148.969998,150.239999,926100,129.54982
2013-09-26,150.199984,151.319998,149.989999,151.269991,1179000,130.437968
2013-09-27,150.679985,151.339997,149.16,150.100004,1141800,129.429104
2013-09-30,148.859994,150.709993,147.499988,148.230005,1275400,127.816631
2013-10-01,148.429983,152.180003,147.759996,149.539989,1433000,128.946211
2013-10-02,148.70999,151.599989,148.569995,151.589997,1462500,130.713905
2013-10-03,150.719984,151.599989,147.829985,148.779996,1582200,128.290881
2013-10-04,148.959991,149.739999,147.819994,149.169992,1111000,128.627169
2013-10-07,147.710005,151.729993,147.599984,151.05999,1393200,130.256887
2013-10-08,150.979992,151.490001,148.949999,149.039988,1044500,128.515068
2013-10-09,149.779997,150.759999,148.529996,149.259997,1085200,128.704779
2013-10-10,150.100004,152.769993,149.739999,152.749994,1313200,131.714153
2013-10-11,152.119989,154.069985,151.859997,153.989987,1150800,132.783382
2013-10-14,152.970003,154.739988,152.499993,154.320001,1169500,133.067948
2013-10-15,153.870007,155.419999,153.07,153.929989,1260300,132.731646
2013-10-16,154.399982,157.349995,154.09,157.179993,1417900,135.534078
2013-10-17,156.879986,159.059982,155.949991,158.599997,1530600,136.758528
2013-10-18,159.439987,159.999985,157.789998,158.009991,1302700,136.249774
2013-10-21,157.859988,157.859988,155.939983,156.769997,1314800,135.180545
2013-10-22,157.569989,160.259994,157.559997,159.750001,1504100,137.75016
2013-10-23,158.889996,159.869998,157.829997,158.799991,1404800,136.93098
2013-10-24,158.849997,160.499986,158.059998,160.499986,1442300,138.396862
2013-10-25,161.119999,161.989996,157.989992,159.699995,1551600,137.707041
2013-10-28,159.899989,159.899989,156.949992,157.550005,1383400,135.853135
2013-10-29,157.550005,158.159994,155.929991,156.679992,1229000,135.102935
2013-10-30,156.050004,157.50999,155.059994,155.860002,1274600,134.395869
2013-10-31,155.959998,156.96,154.229996,154.549986,1636700,133.266261
2013-11-01,155.309994,156.73999,154.539994,156.599995,1408700,135.033954
2013-11-04,156.879986,157.119995,155.110001,157.119995,1148400,135.482343
2013-11-05,155.860002,156.319987,155.009988,155.209998,1212200,133.83538
