Date,Open_SRE,High_SRE,Low_SRE,Close_SRE,Volume_SRE,AdjClose_SRE
2015-06-08,104.309998,104.309998,102.730003,103.040001,1329900,100.059108
2015-06-09,103.0,103.940002,102.57,103.050003,991500,100.068821
2015-06-10,103.459999,104.050003,103.209999,103.330002,1076900,100.340719
2015-06-11,103.989998,104.660004,103.510002,104.040001,695800,101.030179
2015-06-12,103.57,103.900002,102.82,102.860001,691000,99.884315
2015-06-15,102.779999,103.18,102.059998,102.589996,714800,99.622122
2015-06-16,102.279999,102.879997,101.599998,102.800003,714300,99.826053
2015-06-17,103.220001,105.160004,102.849998,104.370003,2466700,101.350634
2015-06-18,104.309998,105.290001,104.099998,104.68,1380100,101.651663
2015-06-19,104.150002,105.199997,103.970001,103.970001,1514400,100.962204
2015-06-22,104.129997,104.610001,103.589996,103.82,927200,100.816542
2015-06-23,103.629997,104.989998,102.260002,102.540001,712600,99.573573
2015-06-24,102.68,103.059998,100.980003,100.989998,1064800,98.068411
2015-06-25,100.57,100.709999,99.360001,99.400002,1299200,97.198128
2015-06-26,99.410004,99.620003,98.690002,99.440002,1541900,97.237242
2015-06-29,99.290001,100.629997,99.07,99.279999,1391400,97.080783
2015-06-30,99.599998,99.669998,98.669998,98.940002,1432100,96.748318
2015-07-01,98.900002,99.389999,98.489998,98.839996,1296700,96.650527
2015-07-02,99.5,100.5,99.139999,100.379997,1288400,98.156415
2015-07-06,100.400002,100.959999,99.339996,99.910004,1154500,97.696832
2015-07-07,100.580002,101.709999,100.290001,101.199997,2140600,98.95825
2015-07-08,100.690002,102.029999,100.650002,101.440002,1347500,99.192939
2015-07-09,101.699997,102.120003,100.0,100.129997,1314300,97.911953
2015-07-10,100.230003,101.849998,99.959999,101.099998,761200,98.860467
2015-07-13,101.519997,102.139999,101.129997,101.75,1286100,99.49607
2015-07-14,101.779999,102.379997,101.489998,101.980003,896500,99.720978
2015-07-15,101.900002,102.550003,101.510002,102.540001,892000,100.268571
2015-07-16,102.519997,103.959999,102.339996,103.900002,1269600,101.598445
2015-07-17,103.669998,103.760002,102.349998,102.400002,866200,100.131673
2015-07-20,102.459999,102.489998,101.580002,102.019997,757600,99.760085
2015-07-21,101.980003,102.339996,100.349998,100.690002,831000,98.459553
2015-07-22,100.720001,101.389999,100.360001,100.959999,1030400,98.723569
2015-07-23,100.760002,101.0,99.269997,99.699997,877000,97.491478
2015-07-24,99.669998,100.150002,99.470001,99.620003,745200,97.413255
2015-07-27,99.720001,101.120003,99.620003,100.349998,873300,98.127081
2015-07-28,100.370003,100.889999,99.720001,100.370003,806800,98.146642
2015-07-29,100.209999,100.849998,99.779999,100.589996,891400,98.361762
2015-07-30,100.260002,101.339996,100.07,100.860001,700300,98.625785
2015-07-31,101.639999,102.599998,101.580002,101.779999,1260500,99.525404
2015-08-03,101.959999,103.290001,101.699997,102.75,1367300,100.473918
2015-08-04,101.860001,103.199997,99.540001,99.959999,1520900,97.74572
