Date,Open_SYMC,High_SYMC,Low_SYMC,Close_SYMC,Volume_SYMC,AdjClose_SYMC
2015-06-08,23.9,23.959999,23.41,23.43,4940500,18.447889
2015-06-09,23.4,23.51,23.190001,23.440001,5355500,18.455762
2015-06-10,23.58,23.85,23.549999,23.780001,3920100,18.723466
2015-06-11,23.85,23.940001,23.68,23.799999,3497000,18.739212
2015-06-12,23.639999,23.790001,23.530001,23.75,3375200,18.699844
2015-06-15,23.52,23.559999,23.309999,23.450001,4415200,18.463636
2015-06-16,23.389999,23.690001,23.280001,23.66,2445900,18.628981
2015-06-17,23.76,24.129999,23.76,24.1,4355200,18.975421
2015-06-18,24.18,24.59,24.17,24.459999,4134000,19.25887
2015-06-19,24.4,24.49,24.01,24.07,5513100,18.9518
2015-06-22,23.870001,23.99,23.66,23.82,4545000,18.754959
2015-06-23,23.959999,24.290001,23.91,24.25,5197800,19.093525
2015-06-24,24.18,24.389999,24.0,24.24,6578300,19.085651
2015-06-25,24.26,24.290001,24.120001,24.16,3393700,19.022662
2015-06-26,24.25,24.25,23.629999,23.75,7553100,18.699844
2015-06-29,23.549999,23.690001,23.219999,23.26,4464700,18.314037
2015-06-30,23.48,23.65,23.09,23.25,4220900,18.306163
2015-07-01,23.43,24.209999,23.139999,23.209999,3555300,18.274668
2015-07-02,23.23,23.290001,22.83,23.030001,3665200,18.132944
2015-07-06,22.82,22.950001,22.57,22.68,3209600,17.857367
2015-07-07,22.66,22.84,22.26,22.790001,3687500,17.943978
2015-07-08,22.940001,23.16,22.68,22.82,6087400,17.967597
2015-07-09,22.92,23.190001,22.780001,22.99,5491300,18.101449
2015-07-10,23.280001,23.450001,23.07,23.32,3364900,18.361278
2015-07-13,23.35,23.549999,23.33,23.42,2105100,18.440015
2015-07-14,23.389999,23.48,23.299999,23.440001,2219900,18.455762
2015-07-15,23.99,23.99,23.27,23.309999,2485400,18.353405
2015-07-16,23.52,23.540001,23.280001,23.41,2337300,18.432141
2015-07-17,23.43,23.49,23.17,23.469999,3552400,18.479382
2015-07-20,23.35,23.450001,23.139999,23.32,2866100,18.361278
2015-07-21,23.66,23.66,23.02,23.040001,3426700,18.140818
2015-07-22,22.92,23.209999,22.889999,22.959999,2429800,18.077828
2015-07-23,23.030001,23.42,23.02,23.219999,2764500,18.282542
2015-07-24,23.280001,23.309999,22.93,23.049999,1701600,18.14869
2015-07-27,22.860001,23.02,22.67,22.719999,1952800,17.888861
2015-07-28,22.799999,22.99,22.469999,22.77,2854300,17.92823
2015-07-29,22.82,22.91,22.610001,22.84,2902400,17.983345
2015-07-30,22.780001,22.84,22.59,22.790001,2810400,17.943978
2015-07-31,22.889999,22.93,22.709999,22.74,3119200,17.904609
2015-08-03,22.790001,22.84,22.309999,22.48,3187100,17.699894
2015-08-04,22.379999,22.58,22.25,22.42,3784000,17.652653
2015-08-05,22.709999,23.049999,22.51,22.9,2645200,18.030586
2015-08-06,22.860001,22.889999,22.34,22.35,2980300,17.597538
2015-08-07,22.32,22.709999,22.309999,22.709999,3760200,17.880987
2015-08-10,22.870001,23.25,22.790001,22.91,3579400,18.03846
2015-08-11,22.700001,22.870001,21.25,21.34,14904300,16.802302
2015-08-12,20.379999,21.77,20.33,21.639999,10094700,17.03851
2015-08-13,21.48,21.620001,21.209999,21.24,4044700,16.723566
2015-08-14,21.219999,21.68,21.059999,21.6,4567600,17.007016
2015-08-17,21.309999,21.889999,21.209999,21.860001,3890600,17.211731
2015-08-18,21.77,21.92,21.540001,21.65,3334200,17.046384
2015-08-19,21.559999,22.0,21.559999,21.860001,6456600,17.211731
2015-08-20,21.540001,21.65,21.33,21.35,5895400,16.810176
2015-08-21,21.32,21.6,20.950001,20.969999,9204900,16.510978
2015-08-24,19.799999,20.559999,19.35,20.01,8809400,15.86862
2015-08-25,20.48,20.790001,19.870001,19.889999,10216100,15.773456
2015-08-26,20.35,20.67,20.049999,20.629999,7383600,16.360301
