Date,Open_TE,High_TE,Low_TE,Close_TE,Volume_TE,AdjClose_TE
2013-06-14,17.360001,17.459999,17.280001,17.33,1573300,15.169263
2013-06-17,17.440001,17.51,17.23,17.32,1749100,15.160509
2013-06-18,17.360001,17.51,17.26,17.469999,2138700,15.291807
2013-06-19,17.459999,17.49,17.01,17.02,1580900,14.897915
2013-06-20,16.91,16.940001,16.51,16.52,3032200,14.460256
2013-06-21,16.639999,16.85,16.4,16.76,2419100,14.670332
2013-06-24,16.58,16.889999,16.469999,16.74,2087500,14.652825
2013-06-25,16.860001,16.99,16.75,16.940001,1441400,14.827889
2013-06-26,17.030001,17.16,16.790001,16.99,2122000,14.871654
2013-06-27,17.049999,17.23,16.959999,16.99,1482900,14.871654
2013-06-28,16.99,17.23,16.93,17.190001,2124800,15.046719
2013-07-01,17.200001,17.24,16.719999,16.799999,2402200,14.705344
2013-07-02,16.799999,16.950001,16.719999,16.85,2390300,14.74911
2013-07-03,16.77,16.85,16.65,16.709999,1319500,14.626565
2013-07-05,16.75,16.780001,16.459999,16.709999,1641700,14.626565
2013-07-08,16.790001,16.889999,16.719999,16.82,2715000,14.72285
2013-07-09,16.9,17.040001,16.860001,17.0,2244100,14.880408
2013-07-10,17.02,17.17,16.940001,17.16,1661500,15.020459
2013-07-11,17.34,17.43,17.25,17.42,1911600,15.248042
2013-07-12,17.4,17.559999,17.33,17.559999,1497400,15.370586
2013-07-15,17.559999,17.870001,17.459999,17.799999,1727400,15.580662
2013-07-16,17.77,17.780001,17.530001,17.58,1693800,15.388092
2013-07-17,17.66,17.709999,17.58,17.639999,1253500,15.440611
2013-07-18,17.700001,17.9,17.67,17.889999,1627000,15.65944
2013-07-19,17.860001,17.889999,17.719999,17.83,1079700,15.606922
2013-07-22,17.85,17.9,17.68,17.690001,1080500,15.484378
2013-07-23,17.719999,17.84,17.66,17.73,1108800,15.51939
2013-07-24,17.74,17.74,17.389999,17.459999,1327200,15.283053
2013-07-25,17.440001,17.57,17.4,17.540001,1018700,15.35308
2013-07-26,17.469999,17.67,17.42,17.66,1018200,15.458118
2013-07-29,17.620001,17.719999,17.610001,17.65,1041900,15.449364
2013-07-30,17.73,17.83,17.639999,17.690001,998700,15.484378
2013-07-31,17.73,17.75,17.57,17.67,1805500,15.466871
2013-08-01,17.66,17.780001,17.5,17.75,1889900,15.536896
2013-08-02,17.790001,17.82,17.57,17.780001,1368800,15.563157
2013-08-05,17.73,17.77,17.610001,17.65,971500,15.449364
2013-08-06,17.639999,17.74,17.57,17.59,1729900,15.396846
2013-08-07,17.530001,17.74,17.5,17.690001,1552500,15.484378
2013-08-08,17.709999,17.91,17.68,17.889999,8444100,15.65944
2013-08-09,17.879999,17.99,17.82,17.91,6145600,15.676947
2013-08-12,17.719999,17.719999,17.52,17.540001,2157600,15.544018
2013-08-13,17.52,17.559999,17.42,17.440001,1494400,15.455397
2013-08-14,17.469999,17.469999,17.190001,17.26,2181600,15.29588
2013-08-15,17.129999,17.18,16.99,17.02,1823000,15.083192
2013-08-16,16.969999,17.02,16.6,16.709999,2217700,14.808467
2013-08-19,16.67,16.77,16.48,16.530001,1993100,14.648952
2013-08-20,16.549999,16.84,16.530001,16.620001,2037000,14.72871
2013-08-21,16.59,16.73,16.51,16.549999,2463500,14.666675
2013-08-22,16.610001,16.75,16.540001,16.66,1205100,14.764158
2013-08-23,16.690001,16.870001,16.629999,16.799999,1489800,14.888226
2013-08-26,16.799999,16.83,16.59,16.620001,1389100,14.72871
2013-08-27,16.5,16.74,16.5,16.66,1610700,14.764158
2013-08-28,16.700001,16.709999,16.57,16.6,1901400,14.710986
2013-08-29,16.59,16.639999,16.459999,16.5,1566600,14.622365
2013-08-30,16.540001,16.610001,16.48,16.530001,1452600,14.648952
2013-09-03,16.639999,16.639999,16.190001,16.290001,2555200,14.436263
2013-09-04,16.309999,16.389999,16.209999,16.33,2413100,14.47171
2013-09-05,16.309999,16.610001,16.15,16.549999,5434400,14.666675
2013-09-06,16.629999,16.889999,16.57,16.59,4417000,14.702124
2013-09-09,16.59,16.639999,16.49,16.58,2687200,14.693261
2013-09-10,16.690001,16.700001,16.58,16.700001,2007900,14.799607
2013-09-11,16.68,16.709999,16.379999,16.49,2047700,14.613503
2013-09-12,16.52,16.6,16.27,16.309999,1755100,14.453986
2013-09-13,16.309999,16.43,16.299999,16.35,1497000,14.489435
