Date,Open_UDR,High_UDR,Low_UDR,Close_UDR,Volume_UDR,AdjClose_UDR
2015-06-08,31.76,31.91,31.52,31.73,862500,30.742872
2015-06-09,31.67,31.91,31.549999,31.620001,1099600,30.636295
2015-06-10,31.59,32.119999,31.43,31.92,1371700,30.926962
2015-06-11,32.119999,32.400002,32.049999,32.400002,1664000,31.39203
2015-06-12,32.580002,32.740002,32.349998,32.549999,2297300,31.537361
2015-06-15,32.459999,32.709999,32.240002,32.59,2234000,31.576118
2015-06-16,32.630001,33.029999,32.509998,32.790001,2393000,31.769897
2015-06-17,32.849998,33.080002,32.439999,33.009998,1476400,31.98305
2015-06-18,33.040001,33.740002,33.040001,33.639999,1505800,32.593451
2015-06-19,33.560001,33.619999,33.220001,33.27,2294900,32.234963
2015-06-22,33.349998,33.59,32.91,32.93,2692400,31.905541
2015-06-23,32.849998,32.98,32.549999,32.610001,2562900,31.595496
2015-06-24,32.66,33.009998,32.509998,32.549999,2198700,31.537361
2015-06-25,32.610001,32.790001,32.369999,32.369999,1657200,31.362961
2015-06-26,32.369999,32.799999,32.240002,32.59,2831200,31.576118
2015-06-29,32.57,32.970001,32.150002,32.169998,2103000,31.169182
2015-06-30,32.509998,32.630001,32.009998,32.029999,2747700,31.033538
2015-07-01,32.130001,32.669998,31.98,32.669998,2473000,31.653627
2015-07-02,32.889999,33.27,32.75,32.860001,1898300,31.837719
2015-07-06,32.720001,33.02,32.650002,32.959999,1591900,31.934606
2015-07-07,33.099998,33.529999,33.080002,33.380001,3817300,32.341542
2015-07-08,33.060001,33.25,32.950001,33.099998,2125100,32.339586
2015-07-09,33.23,33.259998,32.869999,32.990002,1767600,32.232116
2015-07-10,33.130001,33.400002,32.950001,33.029999,1739500,32.271195
2015-07-13,33.299999,33.560001,32.91,33.02,1299300,32.261426
2015-07-14,33.119999,33.700001,32.810001,33.27,921700,32.505683
2015-07-15,33.41,33.419998,33.080002,33.330002,1393200,32.564306
2015-07-16,33.459999,33.990002,33.389999,33.509998,869500,32.740167
2015-07-17,33.52,33.52,33.200001,33.34,710400,32.574074
2015-07-20,33.23,33.57,33.200001,33.57,1376700,32.79879
2015-07-21,33.639999,33.880001,33.389999,33.41,1142900,32.642466
2015-07-22,33.400002,33.740002,33.400002,33.66,1112400,32.886723
2015-07-23,33.630001,33.639999,33.16,33.41,1673900,32.642466
2015-07-24,33.549999,33.619999,33.34,33.470001,1163100,32.701089
2015-07-27,33.52,33.830002,33.389999,33.439999,1959700,32.671776
2015-07-28,33.470001,33.810001,33.07,33.380001,2399800,32.613156
2015-07-29,33.380001,33.380001,33.009998,33.369999,1286700,32.603384
2015-07-30,33.279999,33.439999,33.139999,33.419998,1171200,32.652235
2015-07-31,33.849998,34.060001,33.689999,33.810001,2038000,33.033278
2015-08-03,33.889999,34.220001,33.77,34.220001,1589100,33.433859
2015-08-04,34.18,34.52,34.009998,34.099998,1480200,33.316613
2015-08-05,34.119999,34.169998,33.639999,33.950001,1406300,33.170061
2015-08-06,33.919998,34.150002,33.529999,34.119999,1512300,33.336154
2015-08-07,34.07,34.41,33.77,34.349998,1398200,33.56087
2015-08-10,34.450001,34.490002,34.080002,34.349998,1216700,33.56087
2015-08-11,34.290001,34.790001,34.009998,34.779999,1731500,33.980992
2015-08-12,34.66,34.880001,34.48,34.869999,1748500,34.068924
2015-08-13,34.759998,34.939999,34.43,34.830002,1341500,34.029846
2015-08-14,34.740002,34.810001,34.150002,34.810001,1595500,34.010305
2015-08-17,34.82,35.439999,34.619999,35.439999,1766700,34.625829
2015-08-18,35.330002,35.68,35.279999,35.669998,2791200,34.850545
2015-08-19,35.049999,35.34,34.950001,35.080002,3239800,34.274103
2015-08-20,34.790001,35.150002,34.349998,34.889999,2305400,34.088465
2015-08-21,34.619999,34.77,33.880001,33.880001,2139800,33.10167
2015-08-24,30.030001,33.110001,30.030001,32.080002,3421800,31.343022
2015-08-25,32.470001,32.619999,31.1,31.139999,2690500,30.424615
2015-08-26,31.639999,32.07,31.23,31.99,2592600,31.255088
2015-08-27,32.189999,32.919998,31.9,32.77,2005600,32.017169
2015-08-28,32.700001,32.919998,32.400002,32.810001,1352000,32.056251
2015-08-31,32.759998,32.990002,32.299999,32.299999,3637700,31.557966
2015-09-01,31.629999,32.130001,31.280001,31.52,1744600,30.795886
2015-09-02,31.780001,31.969999,31.41,31.76,1314800,31.030372
2015-09-03,31.860001,32.099998,31.709999,31.780001,898600,31.049913
2015-09-04,31.51,31.540001,30.92,31.16,948000,30.444156
2015-09-08,31.75,31.75,31.25,31.610001,1195300,30.883818
2015-09-09,31.959999,32.990002,31.15,31.190001,1136200,30.473467
2015-09-10,31.139999,31.75,31.049999,31.370001,1088300,30.649332
2015-09-11,31.35,32.290001,31.24,32.279999,1356900,31.538425
2015-09-14,32.369999,32.400002,32.02,32.169998,1032500,31.430951
2015-09-15,32.27,32.950001,32.02,32.84,1887200,32.085561
2015-09-16,32.790001,33.34,32.029999,33.25,1254300,32.486142
2015-09-17,33.25,34.110001,33.0,33.529999,1948700,32.759708
2015-09-18,33.080002,34.349998,33.060001,33.700001,2649700,32.925805
2015-09-21,33.790001,34.220001,33.740002,34.040001,1762400,33.257994
2015-09-22,33.860001,34.029999,33.619999,33.709999,1593300,32.935573
2015-09-23,33.810001,34.09,33.619999,33.91,1298000,33.130979
2015-09-24,33.860001,34.09,33.279999,33.619999,1693400,32.847641
2015-09-25,33.68,34.150002,33.509998,33.790001,1687700,33.013737
2015-09-28,33.709999,33.779999,33.080002,33.470001,1637400,32.701089
2015-09-29,33.540001,34.389999,33.360001,34.200001,2264300,33.414318
2015-09-30,34.580002,34.639999,34.150002,34.48,2706700,33.687884
2015-10-01,34.599998,34.779999,34.259998,34.68,1661800,33.88329
2015-10-02,34.369999,35.060001,34.360001,35.029999,1827400,34.225248
2015-10-05,35.360001,35.419998,34.959999,35.290001,1455700,34.479277
2015-10-06,35.23,35.490002,34.849998,34.970001,1331900,34.166629
2015-10-07,34.860001,35.130001,34.639999,35.110001,2350700,34.578297
2015-10-08,35.110001,35.419998,34.23,35.240002,2258900,34.70633
2015-10-09,35.209999,35.419998,34.990002,35.400002,1512700,34.863906
2015-10-12,35.459999,35.880001,35.369999,35.830002,1548300,35.287395
2015-10-13,35.689999,35.830002,35.299999,35.419998,1045600,34.8836
2015-10-14,35.5,35.52,34.880001,34.950001,1161600,34.42072
2015-10-15,35.09,35.970001,35.09,35.57,1341100,35.03133
2015-10-16,35.650002,35.900002,35.509998,35.779999,1536100,35.238149
2015-10-19,35.740002,36.41,35.650002,36.41,1016700,35.858609
2015-10-20,36.369999,37.0,35.860001,35.98,1691200,35.435121
2015-10-21,36.139999,36.380001,35.700001,36.029999,1280400,35.484363
2015-10-22,36.18,36.310001,35.639999,35.77,2771500,35.228302
2015-10-23,35.790001,37.200001,35.380001,35.57,1817400,35.03133
2015-10-26,35.650002,35.73,35.27,35.66,1814800,35.119967
2015-10-27,36.040001,36.400002,35.189999,35.41,2059100,34.873753
2015-10-28,35.57,36.470001,34.619999,35.279999,2099900,34.745721
2015-10-29,35.150002,35.34,34.82,35.169998,1358000,34.637386
2015-10-30,35.23,35.360001,34.310001,34.459999,2186100,33.938139
2015-11-02,34.700001,35.41,34.25,35.389999,1671700,34.854056
2015-11-03,35.290001,35.290001,34.669998,34.939999,1436900,34.41087
