Date,Open_UNP,High_UNP,Low_UNP,Close_UNP,Volume_UNP,AdjClose_UNP
2015-06-08,102.129997,102.199997,100.459999,100.709999,4932800,98.060701
2015-06-09,100.419998,100.940002,99.470001,99.699997,5618000,97.077268
2015-06-10,100.0,100.190002,99.309998,99.669998,9531500,97.048058
2015-06-11,100.110001,101.360001,99.809998,100.919998,5895900,98.265175
2015-06-12,100.339996,101.5,100.0,100.5,3972600,97.856226
2015-06-15,99.839996,101.050003,99.839996,100.519997,3077300,97.875696
2015-06-16,100.400002,101.019997,100.160004,100.519997,3637500,97.875696
2015-06-17,100.879997,101.519997,100.099998,101.18,4054700,98.518338
2015-06-18,101.480003,102.830002,101.279999,102.309998,4512300,99.618609
2015-06-19,101.919998,102.360001,101.0,101.160004,6236100,98.498867
2015-06-22,101.669998,102.010002,101.199997,101.440002,3751800,98.7715
2015-06-23,102.269997,102.739998,101.089996,101.150002,3958800,98.489128
2015-06-24,100.709999,100.849998,98.089996,98.25,5628700,95.665415
2015-06-25,98.690002,98.690002,96.970001,96.970001,4567400,94.419088
2015-06-26,97.470001,98.209999,96.660004,96.769997,7650400,94.224345
2015-06-29,95.989998,96.970001,95.489998,95.529999,5682000,93.016966
2015-06-30,96.379997,96.480003,94.910004,95.370003,6388200,92.861179
2015-07-01,96.339996,96.720001,95.730003,96.160004,3770200,93.630398
2015-07-02,96.290001,96.93,96.279999,96.660004,3290900,94.117245
2015-07-06,96.389999,97.589996,96.029999,96.239998,4840200,93.708288
2015-07-07,96.620003,97.910004,95.410004,97.739998,5250000,95.168829
2015-07-08,96.980003,97.260002,95.629997,95.849998,5455300,93.328548
2015-07-09,96.800003,97.209999,96.110001,96.25,4284900,93.718027
2015-07-10,97.120003,98.150002,97.059998,97.82,4236000,95.246726
2015-07-13,98.699997,98.699997,96.910004,97.080002,4311000,94.526195
2015-07-14,97.040001,97.510002,96.370003,96.790001,5793500,94.243823
2015-07-15,97.379997,98.400002,96.769997,96.980003,4567000,94.428827
2015-07-16,97.470001,97.879997,95.589996,96.040001,4501300,93.513552
2015-07-17,96.139999,97.809998,96.0,97.419998,5176400,94.857247
2015-07-20,97.580002,99.059998,97.57,98.309998,4525500,95.723834
2015-07-21,98.550003,99.709999,98.459999,98.82,5072600,96.22042
2015-07-22,98.860001,99.529999,97.639999,97.68,4581500,95.11041
2015-07-23,95.650002,96.260002,91.230003,92.120003,13653100,89.696674
2015-07-24,92.550003,94.220001,91.629997,92.610001,8015100,90.173782
2015-07-27,91.68,92.599998,91.519997,92.389999,5857300,89.959568
2015-07-28,93.129997,97.019997,93.089996,96.620003,7542900,94.078296
2015-07-29,96.410004,98.730003,95.870003,98.529999,6109200,95.938048
2015-07-30,97.849998,98.050003,97.150002,97.699997,4527100,95.12988
