Date,Open_USB,High_USB,Low_USB,Close_USB,Volume_USB,AdjClose_USB
2015-06-08,43.880001,44.16,43.639999,43.66,5831400,42.62016
2015-06-09,43.77,44.369999,43.59,44.07,6495900,43.020395
2015-06-10,44.279999,45.040001,44.27,44.810001,7944500,43.742772
2015-06-11,44.849998,45.110001,44.68,44.849998,7059500,43.781817
2015-06-12,44.75,44.880001,44.5,44.779999,4763500,43.713484
2015-06-15,44.32,44.599998,44.130001,44.400002,6290000,43.342537
2015-06-16,44.279999,44.639999,44.27,44.59,5831700,43.528011
2015-06-17,44.759998,45.07,44.560001,44.639999,8008000,43.576819
2015-06-18,44.709999,45.060001,44.41,44.779999,8892500,43.713484
2015-06-19,44.59,44.82,44.330002,44.639999,14699700,43.576819
2015-06-22,44.959999,45.200001,44.830002,44.98,5213600,43.908721
2015-06-23,45.18,45.290001,44.959999,45.099998,4544600,44.025862
2015-06-24,44.84,45.09,44.700001,44.740002,5960700,43.67444
2015-06-25,44.799999,45.040001,44.549999,44.560001,5714100,43.498726
2015-06-26,44.529999,44.790001,44.450001,44.509998,6822400,43.699994
2015-06-29,43.91,44.200001,43.389999,43.41,7302000,42.620014
2015-06-30,43.84,44.189999,43.310001,43.400002,7549700,42.610197
2015-07-01,43.919998,44.18,43.740002,44.150002,6025200,43.346549
2015-07-02,44.09,44.139999,43.470001,43.619999,4843000,42.826191
2015-07-06,43.150002,43.650002,43.049999,43.599998,6146600,42.806555
2015-07-07,43.48,43.549999,42.919998,43.470001,8586900,42.678923
2015-07-08,43.240002,43.240002,42.650002,42.669998,6207200,41.893479
2015-07-09,43.290001,43.439999,42.939999,42.959999,6403200,42.178202
2015-07-10,43.759998,43.810001,43.259998,43.439999,5414600,42.649467
2015-07-13,43.740002,43.900002,43.57,43.830002,6065500,43.032372
2015-07-14,43.709999,43.950001,43.529999,43.880001,8762300,43.081462
2015-07-15,43.959999,45.810001,43.900002,45.529999,16088700,44.701432
2015-07-16,45.880001,46.259998,45.77,45.860001,10761600,45.025429
