Date,Open_VIAB,High_VIAB,Low_VIAB,Close_VIAB,Volume_VIAB,AdjClose_VIAB
2013-06-14,66.690002,67.620003,66.5,66.769997,1840000,62.137639
2013-06-17,67.050003,67.940002,66.860001,67.279999,2065800,62.612258
2013-06-18,67.089996,68.0,67.010002,67.599998,1780900,62.910057
2013-06-19,67.790001,68.089996,66.870003,66.870003,2029100,62.230706
2013-06-20,66.349998,66.449997,65.059998,65.25,2443800,60.723096
2013-06-21,65.769997,66.110001,65.029999,65.720001,4962500,61.16049
2013-06-24,65.260002,65.769997,64.550003,65.199997,3235500,60.676562
2013-06-25,65.690002,66.459999,65.459999,65.620003,2624600,61.067429
2013-06-26,66.389999,67.199997,65.980003,67.120003,2210100,62.463362
2013-06-27,67.459999,68.220001,67.32,67.660004,1807800,62.965899
2013-06-28,67.269997,68.620003,67.129997,68.029999,4486600,63.310224
2013-07-01,68.519997,68.760002,67.699997,67.790001,1915800,63.086877
2013-07-02,67.510002,67.959999,66.82,67.540001,2659900,62.854222
2013-07-03,66.849998,68.699997,66.830002,68.440002,1039400,63.691783
2013-07-05,68.739998,69.389999,68.559998,69.309998,1780300,64.50142
2013-07-08,69.599998,70.050003,69.510002,69.82,2030500,64.976039
2013-07-09,70.010002,70.589996,68.839996,69.080002,3224900,64.287381
2013-07-10,69.150002,70.260002,69.010002,70.150002,1668900,65.283146
2013-07-11,71.129997,71.910004,70.480003,70.830002,2882500,65.915969
2013-07-12,70.989998,72.129997,70.769997,72.010002,2447400,67.014104
2013-07-15,71.989998,72.720001,71.830002,72.32,1965200,67.302594
2013-07-16,72.190002,72.730003,71.57,71.940002,1748800,66.94896
2013-07-17,72.260002,72.809998,71.900002,72.669998,1903000,67.628311
2013-07-18,72.959999,74.449997,72.25,74.080002,3076100,68.940491
2013-07-19,74.830002,74.839996,73.540001,74.360001,3240900,69.201064
2013-07-22,74.889999,74.889999,73.059998,73.32,2447900,68.233217
2013-07-23,74.900002,74.900002,73.099998,73.720001,1681500,68.605467
2013-07-24,74.010002,74.279999,72.43,72.610001,2208900,67.572476
2013-07-25,72.919998,73.139999,71.900002,72.870003,2541100,67.814439
2013-07-26,72.099998,73.160004,72.0,73.040001,1811400,67.972643
2013-07-29,72.839996,73.0,71.940002,72.279999,1597500,67.265369
2013-07-30,72.790001,72.82,71.830002,72.139999,2731900,67.135082
2013-07-31,72.419998,73.239998,72.339996,72.769997,1720300,67.721371
2013-08-01,73.519997,74.489998,73.279999,74.360001,2887300,69.201064
2013-08-02,79.050003,80.93,78.349998,79.169998,9805700,73.677355
2013-08-05,78.57,79.5,77.949997,78.75,5352700,73.286495
2013-08-06,78.360001,79.169998,78.269997,78.849998,3954100,73.379556
2013-08-07,78.419998,79.860001,78.419998,79.43,3960400,73.919318
2013-08-08,80.010002,80.639999,79.389999,80.099998,3432100,74.542834
2013-08-09,79.75,80.68,79.75,80.150002,2497600,74.589368
2013-08-12,79.879997,80.400002,79.449997,79.589996,2715700,74.068214
2013-08-13,79.940002,80.480003,79.43,79.739998,3085500,74.207809
2013-08-14,79.639999,80.0,79.360001,79.559998,2344100,74.040297
2013-08-15,78.93,79.040001,78.120003,78.169998,2980200,72.746733
2013-08-16,77.849998,79.349998,76.779999,78.510002,2892900,73.063148
2013-08-19,77.75,78.720001,77.650002,77.68,3246600,72.29073
2013-08-20,78.050003,79.019997,77.669998,78.239998,3011000,72.811876
2013-08-21,78.050003,79.169998,77.809998,77.93,3153800,72.523385
2013-08-22,77.860001,79.970001,77.860001,79.589996,2240000,74.068214
2013-08-23,78.139999,79.989998,78.139999,79.43,2585100,73.919318
2013-08-26,79.129997,80.959999,79.129997,79.510002,2836300,73.99377
2013-08-27,78.650002,79.900002,78.279999,78.32,3702000,72.886327
2013-08-28,78.470001,79.910004,78.410004,79.410004,3054300,73.900709
2013-08-29,78.949997,80.230003,78.660004,79.410004,2416400,73.900709
2013-08-30,79.43,80.089996,79.190002,79.559998,2741700,74.040297
2013-09-03,80.739998,81.68,79.510002,79.910004,3528700,74.36602
2013-09-04,79.690002,81.199997,79.459999,80.099998,3737800,74.542834
2013-09-05,78.739998,80.550003,78.739998,79.910004,3020600,74.36602
2013-09-06,80.529999,81.059998,79.0,80.290001,3263100,74.719654
2013-09-09,80.370003,80.849998,80.129997,80.389999,3165200,74.812715
2013-09-10,81.0,81.110001,80.5,80.75,3415400,75.147739
2013-09-11,81.769997,82.239998,81.0,82.050003,3871900,76.642289
2013-09-12,81.839996,83.480003,81.82,82.550003,4094200,77.109336
2013-09-13,82.489998,82.970001,81.900002,82.269997,2761300,76.847784
2013-09-16,83.580002,83.720001,82.690002,82.75,2812200,77.296151
2013-09-17,84.599998,84.599998,82.870003,83.139999,2940100,77.660447
2013-09-18,83.260002,83.82,82.480003,83.199997,3144300,77.71649
2013-09-19,83.260002,84.5,83.019997,83.199997,3164200,77.71649
2013-09-20,83.440002,84.449997,83.019997,83.139999,6294700,77.660447
2013-09-23,82.660004,84.089996,82.580002,83.379997,2933800,77.884627
2013-09-24,83.699997,83.839996,82.82,82.940002,2872300,77.473631
2013-09-25,82.809998,83.639999,82.5,82.910004,3068900,77.445609
2013-09-26,82.879997,84.050003,82.879997,83.809998,2649700,78.286287
2013-09-27,83.239998,85.220001,83.099998,84.419998,3276700,78.856084
2013-09-30,83.800003,84.370003,83.489998,83.580002,2632100,78.07145
2013-10-01,83.779999,84.43,83.690002,84.330002,2024200,78.772019
2013-10-02,83.519997,83.68,82.230003,82.830002,3280800,77.37088
2013-10-03,82.400002,83.0,81.699997,82.150002,2349500,76.735697
2013-10-04,82.400002,83.339996,81.919998,83.199997,1893600,77.71649
2013-10-07,82.440002,83.190002,82.209999,82.339996,1557300,76.91317
2013-10-08,82.330002,82.339996,80.5,80.589996,2936300,75.278508
2013-10-09,80.860001,80.889999,79.290001,80.169998,3511200,74.886191
2013-10-10,81.099998,81.669998,80.720001,81.050003,3922800,75.708197
2013-10-11,79.82,82.029999,79.82,82.0,2691500,76.595582
2013-10-14,81.669998,82.900002,80.400002,82.839996,1512200,77.380216
2013-10-15,82.800003,83.07,82.059998,82.550003,1922100,77.109336
2013-10-16,82.919998,83.349998,82.029999,82.470001,2739900,77.034606
2013-10-17,82.139999,83.25,81.959999,83.120003,2266900,77.641768
2013-10-18,83.480003,83.760002,83.010002,83.639999,2841400,78.127493
2013-10-21,83.470001,83.889999,83.239998,83.860001,1791300,78.332994
2013-10-22,84.209999,84.970001,83.849998,84.650002,2086900,79.070928
2013-10-23,83.959999,84.75,83.839996,84.370003,1925600,78.809384
2013-10-24,84.279999,85.349998,84.220001,84.389999,1581300,78.828062
2013-10-25,85.239998,85.449997,84.360001,84.940002,2147600,79.341816
2013-10-28,84.57,85.339996,84.389999,84.529999,1839200,78.958835
2013-10-29,84.660004,85.010002,84.139999,84.709999,1775000,79.126972
2013-10-30,86.059998,86.059998,83.010002,83.489998,1638000,77.987378
2013-10-31,83.540001,84.18,82.660004,83.290001,2404900,77.800562
2013-11-01,83.669998,83.949997,82.93,83.550003,1798900,78.043428
2013-11-04,83.959999,83.959999,82.459999,83.07,2059700,77.595061
