Date,Open_VTR,High_VTR,Low_VTR,Close_VTR,Volume_VTR,AdjClose_VTR
2013-06-14,69.389999,71.18,69.389999,70.43,1782000,61.113898
2013-06-17,70.68,71.809998,70.68,71.400002,1959900,61.955593
2013-06-18,71.519997,71.989998,70.910004,71.669998,1496400,62.189876
2013-06-19,71.660004,71.889999,68.370003,68.57,2075600,59.499929
2013-06-20,68.220001,68.220001,64.019997,64.379997,3166100,55.864157
2013-06-21,64.839996,66.309998,64.110001,65.459999,3725900,56.801302
2013-06-24,64.980003,66.879997,63.82,65.25,2380300,56.619081
2013-06-25,65.82,67.730003,65.300003,67.370003,2399500,58.458661
2013-06-26,68.610001,69.75,68.010002,68.830002,2031900,59.725539
2013-06-27,69.300003,70.129997,69.169998,69.790001,1725800,60.558555
2013-06-28,69.739998,70.300003,68.910004,69.459999,3144600,60.272204
2013-07-01,70.059998,70.550003,68.440002,68.610001,1487400,59.534638
2013-07-02,68.620003,69.919998,68.620003,69.860001,2427200,60.619295
2013-07-03,69.5,69.730003,68.32,69.220001,980800,60.063951
2013-07-05,69.330002,69.459999,66.18,68.040001,1799100,59.040035
2013-07-08,67.989998,68.989998,67.970001,68.040001,1437700,59.040035
2013-07-09,68.080002,69.239998,68.019997,69.019997,1203300,59.890402
2013-07-10,68.879997,68.980003,67.900002,68.650002,1434500,59.569348
2013-07-11,69.769997,71.400002,69.769997,71.25,1558600,61.825433
2013-07-12,71.25,71.389999,70.029999,70.550003,1139900,61.218028
2013-07-15,70.550003,70.910004,70.18,70.690002,873000,61.339509
2013-07-16,70.760002,71.080002,70.599998,70.889999,1426500,61.513051
2013-07-17,71.059998,71.900002,71.059998,71.620003,1257000,62.146494
2013-07-18,71.669998,72.18,71.349998,72.160004,1130400,62.615066
2013-07-19,72.18,72.32,71.349998,71.440002,1144900,61.990303
2013-07-22,71.360001,71.790001,71.040001,71.610001,906200,62.137814
2013-07-23,71.730003,71.809998,71.040001,71.470001,620200,62.016333
2013-07-24,71.459999,71.459999,68.660004,68.959999,1599900,59.838341
2013-07-25,68.760002,69.379997,68.169998,69.150002,1317900,60.003211
2013-07-26,69.470001,69.599998,68.18,68.43,1537700,59.378447
2013-07-29,68.199997,68.989998,68.199997,68.389999,1304200,59.343738
2013-07-30,68.419998,68.919998,67.599998,67.830002,1374100,58.857814
2013-07-31,67.919998,67.959999,65.300003,65.739998,2660000,57.044264
2013-08-01,66.029999,66.169998,64.669998,64.720001,1981800,56.159187
2013-08-02,64.720001,65.800003,64.68,64.949997,1986700,56.35876
2013-08-05,64.860001,65.480003,64.699997,65.230003,1330400,56.601729
