Date,Open_WFM,High_WFM,Low_WFM,Close_WFM,Volume_WFM,AdjClose_WFM
2015-06-08,40.09,40.34,39.919998,39.990002,3730200,39.350971
2015-06-09,39.869999,40.400002,39.560001,40.279999,6579500,39.636334
2015-06-10,40.360001,40.990002,40.080002,40.73,4952600,40.079144
2015-06-11,40.91,41.23,40.490002,40.580002,3188300,39.931543
2015-06-12,40.419998,40.82,40.310001,40.369999,2092700,39.724896
2015-06-15,40.18,40.470001,40.02,40.299999,4046100,39.656015
2015-06-16,40.41,41.150002,40.259998,40.970001,3742000,40.31531
2015-06-17,41.02,41.060001,40.57,40.880001,3189700,40.226748
2015-06-18,41.029999,41.34,40.869999,40.950001,3154100,40.295629
2015-06-19,41.02,41.110001,40.82,40.950001,4115600,40.295629
2015-06-22,41.450001,41.619999,41.07,41.59,3901300,40.925402
2015-06-23,41.529999,41.580002,40.889999,41.09,3861100,40.433392
2015-06-24,40.900002,41.09,40.799999,41.029999,4492200,40.374349
2015-06-25,40.759998,41.59,40.450001,40.700001,5018500,40.049624
2015-06-26,40.669998,40.689999,40.200001,40.349998,6590900,39.705215
2015-06-29,40.0,40.389999,39.759998,39.779999,3238900,39.144324
2015-06-30,39.880001,39.939999,39.349998,39.439999,3625800,38.937001
2015-07-01,39.759998,39.779999,39.209999,39.400002,3226300,38.897514
2015-07-02,39.549999,39.599998,39.099998,39.150002,3322400,38.650703
2015-07-06,38.93,39.59,38.900002,39.27,2410200,38.769171
2015-07-07,39.27,40.060001,38.93,39.889999,3569500,39.381263
2015-07-08,40.130001,40.369999,39.720001,39.900002,3091300,39.391137
2015-07-09,40.240002,41.34,40.150002,40.869999,4919700,40.348764
2015-07-10,41.240002,41.48,40.799999,40.799999,3145100,40.279657
2015-07-13,41.02,41.080002,40.240002,40.75,3406200,40.230295
2015-07-14,40.759998,40.91,40.400002,40.84,2719800,40.319148
2015-07-15,40.73,41.529999,40.66,41.119999,3758600,40.595576
2015-07-16,41.23,41.970001,41.049999,41.950001,4214400,41.414992
2015-07-17,41.779999,41.950001,41.48,41.630001,4112600,41.099073
2015-07-20,41.599998,41.639999,41.330002,41.41,2653800,40.881878
2015-07-21,41.310001,41.439999,40.869999,41.220001,2806200,40.694302
2015-07-22,41.27,41.470001,40.950001,41.150002,4165400,40.625196
2015-07-23,41.080002,41.299999,40.77,41.07,1864900,40.546214
2015-07-24,41.18,41.189999,40.220001,40.43,2909600,39.914377
2015-07-27,40.099998,40.48,39.790001,40.16,3395200,39.64782
2015-07-28,40.139999,40.959999,39.700001,40.939999,4093700,40.417871
2015-07-29,40.75,41.75,40.580002,40.82,8829500,40.299402
2015-07-30,36.130001,36.700001,35.52,36.080002,35153100,35.619856
2015-07-31,35.560001,36.689999,35.209999,36.400002,14064600,35.935775
2015-08-03,36.369999,36.459999,35.259998,35.439999,6391500,34.988015
2015-08-04,35.57,36.139999,35.5,35.810001,5957900,35.353299
2015-08-05,36.080002,36.080002,35.360001,35.380001,4770300,34.928783
2015-08-06,35.299999,35.369999,34.720001,34.84,6042500,34.395669
2015-08-07,34.740002,34.860001,34.360001,34.48,4371800,34.040259
2015-08-10,34.490002,34.529999,33.98,34.209999,6259000,33.773702
2015-08-11,34.09,34.630001,33.84,33.970001,5279100,33.536765
2015-08-12,33.860001,34.310001,33.5,34.27,4597500,33.832938
2015-08-13,34.009998,34.09,33.439999,33.720001,4494200,33.289954
2015-08-14,33.27,33.720001,33.009998,33.310001,5757000,32.885183
2015-08-17,33.259998,33.700001,33.02,33.689999,4719600,33.260334
2015-08-18,33.610001,33.68,33.360001,33.360001,3522600,32.934544
