Date,Open_WYN,High_WYN,Low_WYN,Close_WYN,Volume_WYN,AdjClose_WYN
2015-06-08,84.029999,84.400002,83.57,83.75,1116700,81.644935
2015-06-09,83.980003,85.120003,83.739998,84.580002,1097000,82.454075
2015-06-10,84.620003,85.410004,84.480003,85.019997,789800,82.883011
2015-06-11,85.25,85.730003,85.050003,85.519997,639700,83.370443
2015-06-12,85.019997,85.169998,84.449997,84.580002,535600,82.454075
2015-06-15,84.019997,84.419998,83.540001,84.300003,540100,82.181114
2015-06-16,84.230003,84.449997,83.68,84.059998,516300,81.947141
2015-06-17,84.089996,84.25,83.290001,84.040001,813300,81.927647
2015-06-18,84.330002,85.120003,84.260002,84.800003,1128600,82.668547
2015-06-19,84.529999,84.769997,83.889999,83.910004,1693400,81.800917
2015-06-22,84.5,84.849998,83.919998,84.089996,967000,81.976386
2015-06-23,84.449997,84.470001,83.32,83.809998,921300,81.703425
2015-06-24,83.839996,84.080002,82.93,82.93,1150400,80.845546
2015-06-25,83.290001,83.300003,82.839996,83.129997,1160300,81.040516
2015-06-26,83.5,83.650002,82.900002,83.400002,813600,81.303734
2015-06-29,82.68,83.330002,81.580002,81.699997,928000,79.646459
2015-06-30,82.400002,82.440002,81.610001,81.910004,1299000,79.851188
2015-07-01,82.540001,83.400002,82.370003,83.25,915400,81.157503
2015-07-02,83.559998,83.779999,83.110001,83.410004,740000,81.313485
2015-07-06,82.940002,83.790001,82.510002,83.010002,1146000,80.923537
2015-07-07,83.239998,83.830002,82.199997,83.660004,789000,81.557201
2015-07-08,82.949997,83.25,81.699997,81.699997,928500,79.646459
2015-07-09,82.900002,83.639999,82.480003,82.5,1115800,80.426354
2015-07-10,83.629997,84.550003,83.43,84.339996,865100,82.220102
2015-07-13,85.25,85.769997,84.940002,85.43,982600,83.282709
2015-07-14,85.559998,86.309998,85.400002,86.160004,949200,83.994363
2015-07-15,86.0,86.300003,85.410004,85.559998,900700,83.409438
2015-07-16,86.160004,86.599998,85.559998,86.550003,640700,84.37456
2015-07-17,86.330002,86.879997,86.040001,86.669998,824500,84.491539
2015-07-20,86.889999,87.260002,86.510002,86.610001,778000,84.43305
2015-07-21,86.550003,86.830002,85.879997,86.620003,1389400,84.4428
2015-07-22,86.580002,87.330002,86.150002,87.290001,721300,85.095958
2015-07-23,87.309998,87.309998,83.900002,84.449997,1658300,82.327338
2015-07-24,84.510002,84.519997,82.720001,83.059998,1673600,80.972276
