Date,Open_XEC,High_XEC,Low_XEC,Close_XEC,Volume_XEC,AdjClose_XEC
2015-06-08,116.370003,117.650002,115.709999,116.699997,1040900,116.068822
2015-06-09,118.129997,120.230003,117.82,118.860001,1252800,118.217143
2015-06-10,120.379997,121.68,119.440002,121.300003,1293100,120.643949
2015-06-11,121.470001,121.949997,119.559998,119.860001,848600,119.211735
2015-06-12,119.300003,119.620003,117.900002,118.209999,712800,117.570657
2015-06-15,117.260002,119.529999,116.959999,118.889999,800000,118.24698
2015-06-16,118.610001,121.25,118.610001,120.900002,726100,120.246111
2015-06-17,121.610001,122.120003,118.370003,119.889999,982300,119.241571
2015-06-18,120.860001,121.110001,118.980003,119.129997,882300,118.48568
2015-06-19,118.57,119.07,116.370003,117.220001,1331800,116.586014
2015-06-22,117.57,118.300003,116.050003,117.489998,1026700,116.85455
2015-06-23,117.449997,118.32,116.989998,117.730003,648300,117.093258
2015-06-24,117.360001,118.800003,116.470001,116.800003,508300,116.168287
2015-06-25,116.75,117.489998,115.449997,115.760002,699400,115.133911
2015-06-26,115.389999,115.599998,112.620003,112.720001,2039500,112.110352
2015-06-29,111.379997,112.25,109.080002,109.220001,997600,108.629282
2015-06-30,110.5,110.690002,108.589996,110.309998,1159800,109.713383
2015-07-01,110.589996,111.269997,107.209999,108.0,1400400,107.415879
2015-07-02,108.540001,109.0,107.099998,107.389999,1013900,106.809178
2015-07-06,105.660004,107.739998,104.879997,105.589996,1551600,105.01891
2015-07-07,105.18,107.300003,103.339996,106.769997,1526600,106.192528
2015-07-08,105.919998,107.529999,103.639999,103.690002,1902200,103.129192
2015-07-09,106.029999,106.540001,104.690002,105.660004,873900,105.088539
2015-07-10,106.540001,107.589996,105.160004,105.279999,997800,104.710589
2015-07-13,105.169998,106.400002,104.169998,106.309998,989100,105.735017
2015-07-14,105.690002,109.400002,105.690002,109.010002,1226700,108.420419
2015-07-15,108.239998,109.199997,105.019997,106.059998,1154700,105.486369
2015-07-16,106.599998,107.110001,105.099998,105.489998,870500,104.919453
2015-07-17,105.489998,105.489998,103.239998,103.550003,1205800,102.98995
2015-07-20,103.290001,103.290001,101.419998,101.57,1026800,101.020656
2015-07-21,102.470001,104.900002,101.830002,103.160004,1047700,102.60206
2015-07-22,102.620003,103.910004,101.860001,103.620003,1627700,103.059571
2015-07-23,103.949997,105.769997,103.0,105.120003,1021100,104.551459
2015-07-24,105.0,105.139999,102.0,103.199997,1015800,102.641837
2015-07-27,101.449997,102.150002,99.580002,99.949997,1250500,99.409415
2015-07-28,100.339996,103.800003,98.93,102.389999,1289600,101.83622
2015-07-29,101.989998,106.029999,101.260002,105.800003,1310300,105.227781
2015-07-30,105.099998,107.230003,104.43,105.769997,938100,105.197937
2015-07-31,105.260002,106.190002,103.889999,104.120003,862500,103.556867
2015-08-03,103.080002,104.370003,101.300003,102.400002,1056300,101.846169
2015-08-04,103.360001,106.230003,102.709999,104.339996,1559100,103.775671
2015-08-05,105.75,112.209999,105.5,108.120003,2742500,107.535233
2015-08-06,107.269997,113.580002,106.5,112.849998,2004200,112.239646
2015-08-07,112.150002,114.349998,110.449997,110.910004,1342100,110.310144
2015-08-10,111.529999,115.449997,111.5,114.879997,1336000,114.258666
2015-08-11,111.760002,114.730003,111.760002,114.57,1516200,113.950345
2015-08-12,114.730003,118.870003,113.839996,118.800003,2053700,118.322706
2015-08-13,117.5,118.150002,114.339996,115.349998,1649400,114.886562
2015-08-14,115.540001,116.879997,114.25,116.339996,1114700,115.872583
2015-08-17,115.599998,116.309998,114.300003,115.279999,914800,114.816844
2015-08-18,115.190002,117.349998,114.400002,117.290001,893900,116.818771
2015-08-19,116.209999,116.290001,111.260002,112.389999,1386000,111.938456
2015-08-20,112.279999,112.910004,108.940002,109.720001,1509200,109.279185
2015-08-21,109.57,109.989998,106.5,106.5,1258900,106.07212
2015-08-24,100.019997,102.980003,97.970001,98.93,2333800,98.532534
2015-08-25,101.900002,102.300003,99.18,99.190002,1701600,98.791492
2015-08-26,101.309998,101.860001,98.739998,101.010002,1466800,100.604179
2015-08-27,103.599998,107.279999,102.120003,105.129997,2045100,104.707622
2015-08-28,104.839996,110.290001,104.839996,107.75,1537300,107.317098
2015-08-31,105.910004,111.32,104.68,110.510002,1345600,110.066012
2015-09-01,107.099998,109.879997,104.620003,105.610001,1237700,105.185696
2015-09-02,107.339996,108.5,104.339996,107.970001,1222400,107.536215
2015-09-03,108.669998,111.650002,106.970001,108.190002,1050300,107.755333
2015-09-04,106.779999,109.010002,105.790001,107.279999,1130700,106.848985
2015-09-08,108.849998,110.639999,106.309998,110.57,1035300,110.125768
2015-09-09,110.800003,112.839996,107.540001,107.900002,1375700,107.466497
2015-09-10,107.989998,109.0,105.480003,108.709999,889900,108.27324
2015-09-11,105.910004,107.089996,102.910004,105.989998,1349100,105.564167
2015-09-14,105.589996,105.809998,102.019997,104.010002,1092000,103.592126
2015-09-15,104.519997,105.440002,103.349998,105.029999,879000,104.608025
2015-09-16,106.230003,109.690002,105.57,109.260002,1189000,108.821034
2015-09-17,109.330002,111.589996,108.260002,109.0,1225100,108.562076
2015-09-18,106.709999,107.5,103.669998,103.970001,1564800,103.552286
2015-09-21,104.900002,105.0,102.790001,103.589996,880400,103.173808
2015-09-22,102.019997,105.360001,101.68,103.650002,776500,103.233572
2015-09-23,103.959999,104.629997,101.599998,101.900002,572000,101.490603
2015-09-24,100.959999,103.0,99.849998,102.459999,863000,102.048351
2015-09-25,103.599998,103.830002,100.870003,101.860001,593300,101.450763
2015-09-28,100.620003,101.019997,97.470001,97.669998,1006800,97.277594
2015-09-29,98.160004,100.169998,97.230003,99.529999,1212500,99.130122
2015-09-30,100.709999,103.610001,99.620003,102.480003,1298200,102.068274
2015-10-01,104.419998,106.290001,102.690002,103.769997,1454700,103.353085
2015-10-02,102.660004,109.32,101.620003,109.059998,1197300,108.621833
2015-10-05,110.910004,113.519997,110.209999,112.139999,1301800,111.68946
2015-10-06,112.019997,115.910004,110.900002,113.510002,2242900,113.053959
2015-10-07,115.459999,117.870003,112.510002,117.669998,2560600,117.197241
2015-10-08,117.059998,123.169998,116.360001,122.199997,2199100,121.70904
2015-10-09,122.080002,123.5,119.730003,122.57,1830300,122.077556
2015-10-12,122.239998,122.379997,118.989998,121.540001,1285100,121.051696
2015-10-13,120.57,122.830002,118.309998,118.730003,1119700,118.252988
2015-10-14,118.650002,120.410004,117.540001,120.0,892900,119.517882
2015-10-15,119.400002,122.120003,118.809998,121.879997,941100,121.390326
2015-10-16,122.459999,123.849998,121.330002,122.959999,1191000,122.465989
2015-10-19,121.129997,121.970001,115.239998,116.529999,1543400,116.061822
2015-10-20,116.269997,117.809998,115.129997,115.779999,1117000,115.314835
2015-10-21,115.019997,115.800003,113.650002,114.82,1033400,114.358693
2015-10-22,115.610001,118.089996,114.910004,117.82,957500,117.34664
2015-10-23,116.639999,118.709999,115.410004,117.029999,918900,116.559813
2015-10-26,116.849998,116.93,113.809998,114.150002,875600,113.691387
