Date,Open_ZBH,High_ZBH,Low_ZBH,Close_ZBH,Volume_ZBH,AdjClose_ZBH
2013-06-14,78.349998,78.830002,77.650002,77.860001,484500,75.833332
2013-06-17,78.529999,80.480003,78.529999,79.650002,1372500,77.57674
2013-06-18,79.580002,80.550003,79.519997,79.790001,861700,77.713095
2013-06-19,79.910004,79.910004,77.839996,77.940002,892000,75.911252
2013-06-20,77.080002,77.300003,75.220001,75.440002,1093700,73.476326
2013-06-21,76.089996,76.760002,75.650002,76.379997,1025700,74.391853
2013-06-24,75.790001,75.949997,74.550003,75.269997,1016000,73.310745
2013-06-25,75.919998,76.110001,74.849998,74.970001,1036300,73.018559
2013-06-26,75.489998,76.260002,74.910004,74.940002,1151800,73.184579
2013-06-27,75.559998,75.669998,74.839996,74.959999,1151300,73.204107
2013-06-28,74.919998,75.440002,74.57,74.940002,1574000,73.184579
2013-07-01,75.169998,75.849998,74.849998,75.0,1223700,73.243171
2013-07-02,75.040001,76.559998,75.0,76.080002,1194400,74.297874
2013-07-03,75.860001,75.93,74.949997,75.419998,491400,73.653331
2013-07-05,75.800003,76.349998,75.5,76.32,429100,74.53225
2013-07-08,76.489998,77.540001,76.419998,77.080002,869100,75.27445
2013-07-09,77.370003,77.470001,76.599998,76.879997,893900,75.07913
2013-07-10,76.900002,77.769997,76.68,77.199997,826900,75.391634
2013-07-11,78.110001,78.370003,77.589996,78.169998,682300,76.338914
2013-07-12,78.260002,79.379997,77.900002,78.949997,696500,77.100642
2013-07-15,78.900002,79.589996,78.879997,79.559998,675000,77.696353
2013-07-16,79.699997,81.169998,79.559998,80.129997,1373600,78.253001
2013-07-17,80.550003,81.919998,80.440002,81.68,1272300,79.766696
2013-07-18,81.620003,82.279999,81.540001,82.209999,988600,80.28428
2013-07-19,82.190002,85.080002,81.879997,84.669998,2322700,82.686655
2013-07-22,83.849998,84.790001,83.43,84.519997,952700,82.540168
2013-07-23,84.43,84.599998,83.589996,84.5,1291100,82.520639
2013-07-24,84.5,84.57,83.739998,84.040001,873400,82.071415
2013-07-25,83.980003,84.43,82.669998,82.900002,1480300,80.95812
2013-07-26,82.599998,84.550003,82.5,84.480003,897100,82.501111
2013-07-29,83.849998,84.0,83.019997,83.620003,1209600,81.661255
2013-07-30,83.550003,83.879997,82.75,82.989998,580400,81.046008
2013-07-31,83.290001,84.0,83.07,83.480003,1000800,81.524535
2013-08-01,83.900002,84.75,83.400002,84.470001,1039800,82.491343
2013-08-02,83.889999,84.050003,83.660004,84.0,925100,82.032351
2013-08-05,83.57,84.449997,83.400002,83.940002,647900,81.973759
2013-08-06,83.769997,83.879997,82.790001,83.0,1036600,81.055776
2013-08-07,82.879997,83.0,82.32,82.589996,783300,80.655376
2013-08-08,83.349998,83.519997,82.639999,83.290001,732700,81.338984
2013-08-09,83.099998,83.279999,81.949997,82.57,585700,80.635848
2013-08-12,81.93,82.57,81.860001,82.309998,522800,80.381936
2013-08-13,82.279999,82.400002,81.720001,81.849998,548600,79.932712
2013-08-14,81.910004,82.120003,80.620003,80.900002,890700,79.004969
2013-08-15,80.5,80.550003,79.5,79.720001,772500,77.852609
2013-08-16,79.5,79.839996,79.120003,79.540001,762000,77.676825
2013-08-19,79.43,80.160004,79.360001,79.629997,799600,77.764713
2013-08-20,79.550003,80.209999,79.349998,79.849998,571400,77.979561
2013-08-21,79.5,80.120003,79.150002,79.5,622900,77.637761
2013-08-22,79.68,80.919998,79.459999,80.75,518000,78.858481
2013-08-23,80.879997,81.190002,80.150002,80.519997,763700,78.633865
2013-08-26,80.550003,81.150002,80.300003,80.459999,720500,78.575273
2013-08-27,79.660004,79.660004,78.260002,78.339996,1048900,76.50493
2013-08-28,78.43,78.730003,78.040001,78.25,611300,76.417042
2013-08-29,78.129997,79.470001,78.0,78.860001,744100,77.012753
2013-08-30,78.910004,79.269997,78.669998,79.089996,1139800,77.237362
2013-09-03,80.040001,80.470001,78.300003,78.910004,954800,77.061585
2013-09-04,78.730003,79.800003,78.699997,79.440002,884000,77.579169
2013-09-05,79.449997,79.989998,79.18,79.599998,527100,77.735417
2013-09-06,80.309998,80.389999,79.0,79.879997,799600,78.008857
2013-09-09,79.870003,80.830002,79.809998,80.699997,723200,78.809649
2013-09-10,80.959999,81.400002,80.699997,80.849998,738500,78.956137
2013-09-11,80.849998,81.32,80.589996,80.839996,784800,78.946369
2013-09-12,80.480003,81.540001,80.470001,81.239998,1104300,79.337001
2013-09-13,81.349998,81.910004,81.110001,81.889999,1363600,79.971776
2013-09-16,82.669998,83.07,81.989998,82.82,1360100,80.879992
2013-09-17,82.800003,83.199997,82.440002,83.150002,898700,81.202264
2013-09-18,83.220001,83.800003,82.480003,83.760002,1424400,81.797975
2013-09-19,83.839996,83.839996,83.330002,83.510002,673600,81.553832
2013-09-20,83.519997,83.629997,83.019997,83.110001,1157800,81.1632
2013-09-23,83.5,84.169998,83.32,83.919998,1118100,81.954224
2013-09-24,83.720001,84.349998,83.610001,83.830002,1481200,81.866335
