Date,Symbol,Order,Shares
2008-04-02,$SPX,SELL,100
2008-04-11,$SPX,BUY,100
2008-05-16,$SPX,SELL,100
2008-05-21,$SPX,BUY,100
2008-06-09,$SPX,BUY,100
2008-07-22,$SPX,SELL,100
2008-09-08,$SPX,BUY,100
2008-09-19,$SPX,SELL,100
2008-09-30,$SPX,BUY,100
2008-10-30,$SPX,SELL,100
2008-11-21,$SPX,BUY,100
2008-11-28,$SPX,SELL,100
2009-01-05,$SPX,SELL,100
2009-01-09,$SPX,BUY,100
2009-01-21,$SPX,BUY,100
2009-01-28,$SPX,SELL,100
2009-02-24,$SPX,BUY,100
2009-03-12,$SPX,SELL,100
2009-05-05,$SPX,SELL,100
2009-05-21,$SPX,BUY,100
2009-06-03,$SPX,SELL,100
2009-06-16,$SPX,BUY,100
2009-07-24,$SPX,SELL,100
2009-08-17,$SPX,BUY,100
2009-08-24,$SPX,SELL,100
2009-09-01,$SPX,BUY,100
2009-09-17,$SPX,SELL,100
2009-10-01,$SPX,BUY,100
2009-10-15,$SPX,SELL,100
2009-10-26,$SPX,BUY,100
2009-12-28,$SPX,SELL,100
