Date,Symbol,Order,Shares
2016-01-12,EBAY,BUY,0.0
2016-01-25,EBAY,SELL,10.0
2016-01-15,EBAY,BUY,10.0
2016-02-01,EBAY,SELL,10.0
2016-01-25,EBAY,BUY,10.0
2016-02-02,EBAY,SELL,10.0
2016-01-26,EBAY,BUY,10.0
2016-02-03,EBAY,SELL,10.0
2016-01-27,EBAY,BUY,10.0
2016-02-04,EBAY,SELL,20.0
2016-01-28,EBAY,BUY,20.0
2016-02-05,EBAY,SELL,20.0
2016-01-29,EBAY,BUY,20.0
2016-02-08,EBAY,SELL,20.0
2016-02-01,EBAY,BUY,20.0
2016-02-09,EBAY,SELL,10.0
2016-02-02,EBAY,BUY,10.0
2016-02-10,EBAY,SELL,10.0
2016-02-03,EBAY,BUY,10.0
2016-02-11,EBAY,SELL,20.0
2016-02-04,EBAY,BUY,20.0
2016-02-12,EBAY,SELL,20.0
2016-02-05,EBAY,BUY,20.0
2016-02-16,EBAY,SELL,20.0
2016-02-08,EBAY,BUY,20.0
2016-02-17,EBAY,SELL,20.0
2016-02-09,EBAY,BUY,20.0
2016-02-18,EBAY,SELL,20.0
2016-02-10,EBAY,BUY,20.0
2016-02-19,EBAY,SELL,20.0
2016-02-11,EBAY,BUY,20.0
2016-02-22,EBAY,SELL,20.0
2016-02-12,EBAY,BUY,20.0
2016-02-23,EBAY,SELL,10.0
2016-02-16,EBAY,BUY,10.0
2016-02-24,EBAY,SELL,10.0
2016-02-17,EBAY,BUY,10.0
2016-02-25,EBAY,SELL,10.0
2016-02-18,EBAY,BUY,10.0
2016-02-26,EBAY,SELL,10.0
2016-02-19,EBAY,BUY,10.0
2016-02-29,EBAY,SELL,10.0
2016-02-22,EBAY,BUY,10.0
2016-03-01,EBAY,SELL,20.0
2016-02-23,EBAY,BUY,20.0
2016-03-02,EBAY,SELL,20.0
2016-02-24,EBAY,BUY,20.0
2016-03-03,EBAY,SELL,20.0
2016-02-25,EBAY,BUY,20.0
2016-03-04,EBAY,SELL,20.0
2016-02-26,EBAY,BUY,20.0
2016-03-07,EBAY,SELL,20.0
2016-02-29,EBAY,BUY,20.0
2016-03-08,EBAY,SELL,20.0
2016-03-01,EBAY,BUY,20.0
2016-03-09,EBAY,SELL,20.0
2016-03-02,EBAY,BUY,20.0
2016-03-10,EBAY,SELL,20.0
2016-03-03,EBAY,BUY,20.0
2016-03-11,EBAY,SELL,20.0
2016-03-04,EBAY,BUY,20.0
2016-03-14,EBAY,SELL,20.0
2016-03-07,EBAY,BUY,20.0
2016-03-15,EBAY,SELL,20.0
2016-03-08,EBAY,BUY,20.0
2016-03-16,EBAY,SELL,20.0
2016-03-09,EBAY,BUY,20.0
2016-03-17,EBAY,SELL,20.0
2016-03-10,EBAY,BUY,20.0
