Date,Open_ABT,High_ABT,Low_ABT,Close_ABT,Volume_ABT,AdjClose_ABT
2015-06-05,48.59,48.630001,48.009998,48.450001,3542400,47.348854
2015-06-08,48.369999,48.57,48.200001,48.439999,4353000,47.339079
2015-06-09,48.52,48.529999,48.009998,48.18,3402000,47.08499
2015-06-10,48.360001,48.689999,48.299999,48.5,5614900,47.397717
2015-06-11,48.700001,49.25,48.509998,49.060001,7101200,47.944991
2015-06-12,48.91,48.959999,48.639999,48.669998,3692100,47.563851
2015-06-15,48.299999,48.360001,47.720001,48.07,4807100,46.977489
2015-06-16,48.07,48.540001,47.900002,48.48,3919700,47.378171
2015-06-17,48.5,48.740002,48.330002,48.57,3724400,47.466126
2015-06-18,48.689999,50.16,48.650002,49.939999,7971800,48.804988
2015-06-19,49.900002,50.110001,49.740002,49.889999,9367200,48.756125
2015-06-22,49.959999,50.369999,49.84,50.029999,4627000,48.892943
2015-06-23,50.220001,50.470001,49.689999,49.880001,3258300,48.746354
2015-06-24,49.59,49.849998,49.48,49.5,4572400,48.374989
2015-06-25,49.650002,49.869999,49.279999,49.330002,3607900,48.208855
2015-06-26,49.470001,49.98,49.27,49.970001,6780500,48.834309
2015-06-29,49.540001,49.849998,48.959999,49.009998,5364300,47.896124
2015-06-30,49.509998,49.549999,48.91,49.080002,4514700,47.964537
2015-07-01,49.400002,49.630001,49.080002,49.52,3378200,48.394535
2015-07-02,49.799999,49.82,49.16,49.41,2740300,48.287035
2015-07-06,49.02,50.119999,48.919998,49.740002,5783800,48.609536
2015-07-07,49.959999,50.240002,49.099998,50.209999,6069400,49.068852
2015-07-08,49.740002,50.09,49.169998,49.25,5839600,48.130671
2015-07-09,49.799999,49.93,49.18,49.189999,5604800,48.072033
2015-07-10,49.630001,50.119999,49.389999,49.93,5028200,48.795217
2015-07-13,50.0,50.110001,49.580002,49.720001,5519900,48.824676
2015-07-14,49.810001,50.380001,49.700001,50.200001,4253700,49.296032
2015-07-15,49.84,49.990002,49.139999,49.310001,6612000,48.42206
2015-07-16,49.82,49.84,49.540001,49.77,3830400,48.873775
