Date,Open_AIV,High_AIV,Low_AIV,Close_AIV,Volume_AIV,AdjClose_AIV
2015-06-05,36.720001,37.380001,36.52,37.080002,906600,35.884676
2015-06-08,37.16,37.32,36.939999,37.02,585300,35.826609
2015-06-09,37.009998,37.23,36.73,36.799999,895500,35.6137
2015-06-10,36.759998,37.400002,36.580002,36.939999,991500,35.749186
2015-06-11,37.23,37.66,36.869999,37.5,2150900,36.291135
2015-06-12,37.439999,37.580002,37.150002,37.18,827900,35.981451
2015-06-15,37.150002,37.189999,36.849998,36.919998,589800,35.72983
2015-06-16,36.950001,37.59,36.849998,37.580002,1086400,36.368558
2015-06-17,37.580002,37.939999,37.200001,37.889999,756700,36.668562
2015-06-18,37.93,38.75,37.900002,38.470001,1039500,37.229867
2015-06-19,38.380001,38.470001,38.060001,38.150002,1250400,36.920183
2015-06-22,38.25,38.509998,38.0,38.049999,1727200,36.823404
2015-06-23,37.919998,37.98,37.360001,37.380001,988300,36.175005
2015-06-24,37.400002,37.650002,37.139999,37.18,712500,35.981451
2015-06-25,37.18,37.439999,37.0,37.130001,645900,35.933064
2015-06-26,37.080002,37.48,36.880001,37.299999,2003700,36.097582
2015-06-29,37.290001,37.57,36.889999,36.93,1199500,35.73951
2015-06-30,37.220001,37.360001,36.869999,36.93,1104700,35.73951
2015-07-01,37.040001,37.82,36.790001,37.799999,1218900,36.581463
2015-07-02,38.16,38.59,37.860001,38.029999,934900,36.804049
2015-07-06,37.849998,38.419998,37.77,38.330002,1227300,37.094381
2015-07-07,38.580002,39.099998,38.349998,39.080002,1298400,37.820203
2015-07-08,38.880001,39.049999,38.630001,38.650002,1086400,37.404065
2015-07-09,38.84,39.209999,38.470001,38.630001,986900,37.384709
2015-07-10,38.700001,39.119999,38.59,38.77,847500,37.520195
2015-07-13,39.110001,39.369999,38.490002,38.66,875300,37.413741
2015-07-14,38.720001,38.970001,38.34,38.91,526800,37.655682
2015-07-15,38.84,39.110001,38.630001,39.080002,866000,37.820203
2015-07-16,39.200001,39.709999,39.049999,39.41,888100,38.139563
2015-07-17,39.400002,39.549999,39.23,39.450001,990800,38.178275
2015-07-20,39.32,39.740002,39.27,39.689999,763500,38.410536
2015-07-21,39.610001,40.040001,39.610001,39.82,1544000,38.536346
2015-07-22,39.790001,40.119999,39.639999,39.990002,968300,38.700868
2015-07-23,39.880001,40.110001,39.57,39.790001,1361700,38.507315
2015-07-24,39.709999,40.200001,39.540001,40.009998,1289100,38.72022
2015-07-27,39.98,40.43,39.759998,39.990002,1853600,38.700868
2015-07-28,40.029999,40.09,39.759998,39.91,2627300,38.623445
2015-07-29,39.900002,39.91,39.43,39.630001,1774800,38.352473
2015-07-30,39.509998,39.68,39.34,39.419998,1379400,38.149239
2015-07-31,39.82,40.119999,39.040001,39.080002,2020900,37.820203
2015-08-03,39.259998,39.43,39.060001,39.43,1036100,38.158919
2015-08-04,39.439999,39.799999,39.279999,39.369999,1003500,38.100852
2015-08-05,39.400002,39.419998,38.82,39.009998,1275000,37.752457
2015-08-06,38.990002,39.18,38.450001,39.139999,963300,37.878267
2015-08-07,39.139999,39.360001,38.669998,39.330002,878200,38.062144
2015-08-10,39.41,39.490002,39.02,39.220001,985700,37.95569
2015-08-11,39.16,39.970001,39.09,39.93,1520200,38.642801
2015-08-12,39.549999,39.990002,39.419998,39.98,1667200,38.98408
2015-08-13,39.799999,39.98,39.380001,39.610001,1546800,38.623298
2015-08-14,39.580002,39.849998,39.330002,39.84,688900,38.847568
2015-08-17,39.860001,40.16,39.470001,40.150002,626100,39.149847
2015-08-18,40.09,40.360001,40.049999,40.34,460800,39.335113
2015-08-19,40.110001,40.259998,39.860001,39.98,705700,38.98408
2015-08-20,39.73,39.790001,39.360001,39.439999,719000,38.457531
2015-08-21,39.23,39.279999,38.490002,38.5,1466100,37.540948
2015-08-24,37.369999,38.5,36.310001,36.41,2048200,35.50301
2015-08-25,37.009998,37.009998,35.52,35.540001,2035500,34.654684
2015-08-26,36.299999,36.540001,35.669998,36.450001,1767200,35.542015
2015-08-27,36.959999,37.380001,36.200001,37.16,1671900,36.234328
2015-08-28,37.139999,37.509998,36.790001,37.419998,1593200,36.487849
2015-08-31,37.400002,37.400002,35.98,36.029999,2789700,35.132475
2015-09-01,35.330002,35.959999,35.189999,35.43,1465800,34.547423
