Date,Open_CAG,High_CAG,Low_CAG,Close_CAG,Volume_CAG,AdjClose_CAG
2015-06-05,37.880001,37.900002,37.41,37.419998,4287300,36.535569
2015-06-08,37.41,37.849998,37.25,37.689999,2302700,36.799188
2015-06-09,37.700001,38.169998,37.630001,37.959999,3352100,37.062807
2015-06-10,38.02,38.25,37.830002,38.029999,6381500,37.131152
2015-06-11,38.040001,38.619999,37.98,38.200001,2618100,37.297136
2015-06-12,37.939999,38.169998,37.84,38.110001,2479800,37.209263
2015-06-15,37.919998,38.169998,37.77,38.040001,3407100,37.140918
2015-06-16,38.130001,38.810001,37.830002,38.619999,5139500,37.707207
2015-06-17,38.66,38.919998,38.450001,38.799999,3021700,37.882953
2015-06-18,38.900002,39.369999,38.849998,39.119999,4111600,38.19539
2015-06-19,41.48,43.619999,41.43,43.369999,20338800,42.34494
2015-06-22,43.830002,43.84,42.939999,43.060001,6907400,42.042269
2015-06-23,42.939999,43.5,42.939999,43.389999,4482200,42.364468
2015-06-24,43.25,44.16,43.220001,43.860001,5448500,42.82336
2015-06-25,43.990002,44.07,43.849998,43.849998,3239400,42.813595
2015-06-26,43.93,44.040001,43.720001,44.0,5184000,42.960051
2015-06-29,43.450001,43.900002,43.330002,43.43,4302300,42.403523
2015-06-30,43.099998,44.310001,42.509998,43.720001,7301600,42.68667
2015-07-01,43.900002,44.639999,43.5,44.599998,5492000,43.545868
2015-07-02,44.779999,45.02,44.41,44.560001,4186100,43.506816
2015-07-06,44.299999,44.950001,44.110001,44.619999,9236000,43.565396
2015-07-07,44.759998,45.490002,44.450001,45.490002,5109400,44.414836
2015-07-08,45.209999,45.349998,44.59,44.650002,4524600,43.594689
2015-07-09,45.029999,45.32,44.48,44.52,3132300,43.467761
2015-07-10,44.779999,45.110001,44.619999,44.830002,2820900,43.770435
2015-07-13,45.0,45.18,44.66,44.720001,2812100,43.663035
2015-07-14,44.490002,44.790001,44.349998,44.720001,5150800,43.663035
2015-07-15,44.59,44.759998,44.330002,44.43,3476600,43.379888
2015-07-16,44.66,44.93,44.43,44.619999,2365200,43.565396
2015-07-17,44.580002,44.630001,44.27,44.439999,2372500,43.38965
2015-07-20,44.5,44.5,44.189999,44.290001,2744900,43.243198
2015-07-21,44.23,44.41,43.939999,44.02,3010900,42.979579
2015-07-22,44.049999,44.41,43.75,44.16,5801300,43.116269
2015-07-23,44.009998,44.369999,43.919998,44.0,1711100,42.960051
2015-07-24,44.0,44.119999,43.549999,43.669998,1497800,42.637849
2015-07-27,43.52,43.650002,43.330002,43.529999,2218800,42.501158
2015-07-28,43.490002,43.990002,43.290001,43.939999,2344700,43.14928
2015-07-29,43.860001,44.259998,43.860001,44.130001,1705100,43.335863
2015-07-30,43.799999,44.509998,43.759998,44.439999,2106300,43.640282
2015-07-31,44.439999,44.5,43.959999,44.060001,2175300,43.267123
2015-08-03,44.009998,44.189999,43.740002,44.07,2014400,43.276942
2015-08-04,43.990002,44.419998,43.959999,44.169998,2162300,43.375141
2015-08-05,44.259998,45.0,44.200001,44.75,2785200,43.944705
2015-08-06,44.98,45.029999,44.490002,44.970001,2937900,44.160747
2015-08-07,44.830002,45.150002,44.48,45.150002,2677400,44.337508
2015-08-10,45.349998,45.48,44.900002,44.990002,2946300,44.180388
2015-08-11,44.740002,45.040001,44.599998,44.970001,2575500,44.160747
2015-08-12,44.700001,44.75,44.09,44.689999,1812600,43.885783
2015-08-13,44.720001,44.849998,44.34,44.439999,2045800,43.640282
2015-08-14,44.599998,45.349998,44.299999,45.25,2616800,44.435707
2015-08-17,45.049999,45.25,44.810001,45.130001,1120200,44.317868
2015-08-18,45.110001,45.25,44.740002,44.84,1435500,44.033086
2015-08-19,44.650002,44.849998,44.34,44.529999,1464500,43.728663
2015-08-20,44.139999,44.450001,43.849998,43.950001,1534100,43.159102
2015-08-21,43.740002,43.830002,42.98,42.990002,3506800,42.216379
2015-08-24,41.299999,41.560001,40.740002,41.490002,5782000,40.743372
2015-08-25,42.259998,42.259998,40.32,40.34,4568100,39.614065
2015-08-26,41.150002,41.900002,40.610001,41.790001,3635700,41.037972
2015-08-27,42.029999,42.189999,41.220001,41.900002,3446400,41.145994
2015-08-28,41.720001,42.119999,41.43,41.73,3720700,40.979051
2015-08-31,41.700001,41.990002,41.439999,41.68,3094400,40.929951
2015-09-01,40.98,41.380001,40.599998,40.869999,4030800,40.134526
2015-09-02,41.299999,41.330002,40.779999,41.099998,4050900,40.360387
2015-09-03,41.16,42.07,41.16,41.720001,6059600,40.969232
