Date,Open_CB,High_CB,Low_CB,Close_CB,Volume_CB,AdjClose_CB
2015-06-05,106.059998,106.510002,104.419998,104.68,2081000,104.091711
2015-06-08,104.610001,105.059998,103.269997,103.300003,1444700,102.719469
2015-06-09,103.279999,103.769997,102.650002,103.519997,2682600,102.938226
2015-06-10,104.18,105.57,104.029999,105.059998,1416100,104.469573
2015-06-11,105.07,106.300003,105.0,105.989998,1013100,105.394346
2015-06-12,105.589996,105.93,105.080002,105.480003,828100,104.887218
2015-06-15,104.480003,105.910004,104.309998,105.43,1433300,104.837496
2015-06-16,105.330002,106.519997,105.220001,106.279999,1169600,105.682718
2015-06-17,106.540001,106.830002,105.620003,106.330002,978700,105.73244
2015-06-18,106.169998,107.849998,106.169998,107.660004,1222700,107.054967
2015-06-19,107.209999,107.510002,105.949997,106.010002,1364100,105.414238
2015-06-22,106.480003,106.730003,105.82,106.129997,876900,105.533559
2015-06-23,106.489998,107.220001,105.919998,106.410004,849600,105.811992
2015-06-24,106.18,106.260002,105.220001,105.230003,1409700,104.638623
2015-06-25,103.18,104.199997,102.260002,102.75,6178800,102.172557
2015-06-26,101.75,103.980003,99.550003,103.470001,2632900,102.888512
2015-06-29,102.889999,103.080002,101.480003,101.599998,2367000,101.029018
2015-06-30,102.650002,102.730003,101.599998,101.68,1777400,101.108571
2015-07-01,109.800003,110.839996,101.349998,102.489998,17646700,101.914016
2015-07-02,100.790001,105.57,100.07,103.739998,5568400,103.156991
2015-07-06,102.650002,103.779999,102.540001,103.330002,2979200,102.749299
2015-07-07,103.57,104.580002,102.599998,104.459999,3819900,103.872946
2015-07-08,103.699997,103.980003,102.43,102.639999,2794800,102.063175
2015-07-09,104.160004,104.230003,102.919998,103.489998,3004100,102.908396
2015-07-10,104.709999,104.709999,103.489998,103.839996,2404300,103.256428
2015-07-13,104.800003,104.959999,103.839996,104.230003,1685500,103.644243
2015-07-14,103.93,104.209999,103.209999,103.629997,2703400,103.047609
2015-07-15,103.550003,104.110001,102.629997,103.779999,3798900,103.196767
2015-07-16,104.730003,104.82,104.0,104.360001,2759400,103.77351
2015-07-17,104.43,104.43,103.360001,104.139999,1699900,103.554745
2015-07-20,104.059998,104.389999,103.739998,104.220001,2106800,103.634297
2015-07-21,104.32,104.510002,103.209999,103.879997,3133800,103.296204
2015-07-22,106.129997,106.739998,104.790001,106.589996,4582500,105.990973
2015-07-23,106.519997,107.120003,105.339996,106.449997,3197500,105.85176
2015-07-24,106.190002,107.099998,106.07,106.440002,2060600,105.841822
2015-07-27,106.120003,108.010002,106.099998,107.0,3007100,106.398672
