Date,Open_CBG,High_CBG,Low_CBG,Close_CBG,Volume_CBG,AdjClose_CBG
2015-06-05,37.650002,37.860001,37.389999,37.419998,1498500,37.419998
2015-06-08,37.529999,37.540001,36.830002,36.849998,1394500,36.849998
2015-06-09,36.900002,37.080002,36.470001,36.599998,1472800,36.599998
2015-06-10,36.68,37.290001,36.68,37.099998,1724700,37.099998
2015-06-11,37.299999,37.5,37.119999,37.32,1169600,37.32
2015-06-12,37.18,37.41,37.099998,37.290001,846200,37.290001
2015-06-15,37.049999,37.099998,36.540001,36.57,1602600,36.57
2015-06-16,36.52,36.82,36.360001,36.529999,1405500,36.529999
2015-06-17,36.57,36.77,36.279999,36.700001,1172800,36.700001
2015-06-18,36.799999,37.889999,36.799999,37.720001,2511500,37.720001
2015-06-19,37.189999,37.540001,36.950001,37.119999,1615400,37.119999
2015-06-22,37.369999,37.369999,37.080002,37.110001,1028800,37.110001
2015-06-23,37.380001,37.5,37.07,37.389999,1259400,37.389999
2015-06-24,37.369999,37.709999,37.09,37.290001,1553800,37.290001
2015-06-25,37.330002,37.34,37.040001,37.209999,1251200,37.209999
2015-06-26,37.200001,37.52,36.880001,37.490002,3300200,37.490002
2015-06-29,37.23,37.5,36.450001,36.509998,1856800,36.509998
2015-06-30,36.790001,37.34,36.639999,37.0,1897200,37.0
2015-07-01,37.369999,37.540001,36.990002,37.52,1538800,37.52
2015-07-02,37.68,37.900002,37.369999,37.68,1728600,37.68
2015-07-06,37.349998,37.75,37.200001,37.43,1327800,37.43
2015-07-07,37.57,38.09,37.139999,38.049999,1824000,38.049999
2015-07-08,37.75,37.939999,37.220001,37.310001,1586600,37.310001
2015-07-09,37.75,37.82,37.139999,37.200001,1114800,37.200001
2015-07-10,37.73,37.740002,37.349998,37.599998,1121400,37.599998
2015-07-13,38.02,38.09,37.59,37.799999,1252100,37.799999
2015-07-14,37.860001,38.18,37.689999,38.02,639000,38.02
2015-07-15,37.990002,38.060001,37.66,38.040001,1212600,38.040001
2015-07-16,38.32,38.419998,38.169998,38.369999,952200,38.369999
2015-07-17,38.360001,38.450001,37.48,37.52,1500500,37.52
2015-07-20,37.529999,38.029999,37.439999,38.02,1044600,38.02
2015-07-21,37.990002,38.389999,37.82,38.34,1333600,38.34
2015-07-22,38.279999,38.689999,38.189999,38.470001,2255500,38.470001
2015-07-23,38.48,38.759998,38.400002,38.560001,1453600,38.560001
2015-07-24,38.48,38.59,37.580002,37.689999,1982600,37.689999
2015-07-27,37.52,37.599998,37.200001,37.369999,1293700,37.369999
2015-07-28,37.52,37.880001,37.200001,37.75,1367200,37.75
2015-07-29,37.689999,37.689999,36.810001,37.18,2262900,37.18
2015-07-30,37.18,37.639999,36.970001,37.59,1552700,37.59
2015-07-31,37.689999,38.259998,37.5,37.970001,1968500,37.970001
2015-08-03,37.939999,38.279999,37.369999,37.75,1804400,37.75
2015-08-04,37.799999,37.830002,37.5,37.630001,935100,37.630001
2015-08-05,37.91,38.139999,37.700001,38.0,1073500,38.0
2015-08-06,38.0,38.0,37.040001,37.540001,1461300,37.540001
2015-08-07,37.52,37.52,37.119999,37.459999,1090000,37.459999
2015-08-10,37.830002,38.360001,37.66,38.299999,1319400,38.299999
2015-08-11,38.07,38.630001,38.009998,38.5,2166500,38.5
2015-08-12,37.959999,37.98,36.939999,37.540001,2178500,37.540001
2015-08-13,37.470001,38.060001,37.25,38.02,1597900,38.02
2015-08-14,37.900002,38.310001,37.689999,38.23,1195600,38.23
2015-08-17,38.07,38.290001,37.720001,37.91,1314500,37.91
2015-08-18,37.880001,38.0,37.549999,37.59,1515100,37.59
2015-08-19,37.450001,37.560001,36.900002,37.310001,1570400,37.310001
2015-08-20,36.860001,37.09,36.23,36.279999,1510200,36.279999
2015-08-21,36.0,36.0,34.91,34.919998,2431800,34.919998
2015-08-24,33.029999,33.599998,31.280001,32.470001,4256800,32.470001
2015-08-25,33.349998,33.349998,31.530001,31.57,2423300,31.57
2015-08-26,32.52,32.700001,31.67,32.150002,6027800,32.150002
2015-08-27,32.610001,33.029999,32.09,32.59,4836400,32.59
2015-08-28,32.48,32.740002,32.27,32.529999,2933000,32.529999
2015-08-31,32.43,32.68,31.940001,32.02,3284700,32.02
2015-09-01,31.309999,31.629999,30.85,31.15,3219400,31.15
2015-09-02,31.5,32.330002,31.5,32.330002,3550300,32.330002
2015-09-03,32.43,33.049999,31.959999,32.779999,3795800,32.779999
2015-09-04,32.200001,32.299999,31.530001,31.790001,2624100,31.790001
2015-09-08,32.380001,32.84,32.09,32.619999,2679100,32.619999
2015-09-09,33.0,33.32,32.209999,32.299999,2374100,32.299999
2015-09-10,32.189999,32.84,32.07,32.52,2482600,32.52
2015-09-11,32.349998,32.889999,32.209999,32.77,1817600,32.77
2015-09-14,32.84,32.84,32.200001,32.290001,1903600,32.290001
2015-09-15,32.360001,33.049999,32.16,32.970001,3677500,32.970001
2015-09-16,32.93,33.509998,32.82,33.299999,2036700,33.299999
2015-09-17,33.16,34.040001,33.029999,33.369999,2257600,33.369999
2015-09-18,32.279999,33.369999,31.540001,33.23,4827900,33.23
2015-09-21,33.310001,33.860001,33.25,33.549999,2083400,33.549999
2015-09-22,33.169998,33.349998,32.700001,32.91,2119500,32.91
2015-09-23,33.009998,33.43,32.849998,33.299999,1894900,33.299999
2015-09-24,32.98,33.279999,32.369999,32.740002,2341100,32.740002
2015-09-25,33.150002,33.200001,32.349998,32.560001,2360400,32.560001
2015-09-28,32.419998,32.470001,30.889999,30.93,2621400,30.93
2015-09-29,30.98,31.620001,30.93,31.309999,2376200,31.309999
2015-09-30,31.74,32.029999,31.5,32.0,2458300,32.0
2015-10-01,31.959999,32.09,31.219999,31.83,2749900,31.83
2015-10-02,31.379999,31.969999,31.139999,31.959999,2818400,31.959999
2015-10-05,32.16,32.529999,32.060001,32.439999,2305600,32.439999
2015-10-06,32.34,32.5,32.080002,32.130001,1755100,32.130001
2015-10-07,32.259998,32.52,32.169998,32.32,2443900,32.32
2015-10-08,32.27,33.220001,32.139999,33.16,1365300,33.16
2015-10-09,33.07,33.330002,32.91,32.970001,1521300,32.970001
2015-10-12,32.98,33.349998,32.880001,33.34,1360600,33.34
2015-10-13,33.09,33.549999,32.900002,33.389999,2386600,33.389999
2015-10-14,33.369999,33.599998,33.209999,33.41,2188500,33.41
2015-10-15,33.48,33.849998,33.439999,33.810001,2763200,33.810001
2015-10-16,33.830002,34.41,33.790001,34.380001,1856100,34.380001
2015-10-19,34.290001,34.73,34.099998,34.689999,1952400,34.689999
