Date,Open_CFG,High_CFG,Low_CFG,Close_CFG,Volume_CFG,AdjClose_CFG
2015-06-05,27.790001,28.35,27.299999,28.32,7049800,27.813649
2015-06-08,28.389999,28.709999,28.0,28.040001,11994700,27.538657
2015-06-09,28.01,28.09,27.299999,28.08,8313400,27.577941
2015-06-10,28.200001,28.309999,27.83,28.0,7645800,27.499371
2015-06-11,28.09,28.17,27.459999,27.52,10332600,27.027954
2015-06-12,27.5,27.639999,27.33,27.540001,8410200,27.047597
2015-06-15,27.370001,27.99,27.360001,27.91,6176000,27.41098
2015-06-16,27.85,28.290001,27.73,28.25,5020100,27.744901
2015-06-17,28.33,28.41,27.84,27.91,6830800,27.41098
2015-06-18,28.0,28.120001,27.6,28.07,6168300,27.568119
2015-06-19,28.120001,28.459999,28.02,28.190001,29234700,27.685974
2015-06-22,28.389999,28.540001,28.17,28.27,3695200,27.764544
2015-06-23,28.379999,28.530001,28.059999,28.190001,5113400,27.685974
2015-06-24,28.1,28.32,27.985001,28.049999,2675600,27.548476
2015-06-25,27.950001,28.040001,27.280001,27.379999,5014800,26.890456
2015-06-26,27.370001,27.615,27.26,27.540001,9588300,27.047597
2015-06-29,27.209999,27.389999,26.799999,26.93,3022500,26.448503
2015-06-30,27.209999,27.870001,26.985001,27.309999,5545300,26.821707
2015-07-01,27.530001,27.74,27.34,27.440001,2837700,26.949384
2015-07-02,27.43,27.469999,26.92,27.15,2158000,26.664568
2015-07-06,26.93,27.040001,26.67,27.01,3392000,26.527072
2015-07-07,27.01,27.040001,26.440001,26.74,3582600,26.261899
2015-07-08,26.58,26.709999,26.459999,26.639999,3601900,26.163687
2015-07-09,26.91,27.030001,26.799999,26.98,2196300,26.497608
2015-07-10,27.25,27.35,27.049999,27.299999,1767500,26.811886
2015-07-13,27.5,27.700001,27.190001,27.25,2075200,26.762781
2015-07-14,27.299999,27.58,27.23,27.549999,3363200,27.057416
2015-07-15,27.75,28.0,27.620001,27.799999,2356000,27.302946
2015-07-16,27.889999,28.15,27.709999,28.110001,2239400,27.607405
2015-07-17,28.08,28.181999,27.84,27.91,3126700,27.41098
2015-07-20,27.93,28.17,27.870001,27.959999,4131700,27.460085
2015-07-21,26.530001,27.58,25.48,26.719999,10366900,26.242256
2015-07-22,26.690001,27.254999,26.614,27.040001,3829300,26.556536
2015-07-23,27.059999,27.299999,26.370001,26.450001,3075000,25.977085
2015-07-24,26.48,26.65,26.120001,26.15,1993900,25.682448
2015-07-27,26.02,26.129999,25.68,25.940001,2544300,25.476204
2015-07-28,25.799999,26.360001,25.74,26.17,5631600,25.702091
2015-07-29,26.1,26.33,26.0,26.0,59753900,25.53513
2015-07-30,26.030001,26.629999,25.6,26.49,17805600,26.116819
2015-07-31,26.559999,26.6,25.98,26.07,9396400,25.702736
2015-08-03,26.18,26.5,26.0,26.030001,6981500,25.6633
2015-08-04,26.049999,26.440001,25.9,26.27,5120700,25.899919
2015-08-05,26.49,26.84,26.41,26.66,6478800,26.284424
2015-08-06,26.77,26.84,26.43,26.65,4042000,26.274565
2015-08-07,26.530001,26.82,26.309999,26.700001,8972800,26.323861
2015-08-10,27.01,27.26,26.9,27.190001,4443200,26.806958
2015-08-11,27.0,27.190001,26.700001,26.84,4909300,26.461888
2015-08-12,26.780001,26.790001,25.74,26.030001,6983100,25.6633
2015-08-13,26.0,26.299999,25.975,26.200001,4317400,25.830905
2015-08-14,26.26,26.42,26.129999,26.379999,1998500,26.008368
2015-08-17,26.309999,26.48,26.08,26.280001,1746200,25.909778
2015-08-18,26.290001,26.58,26.190001,26.559999,2415200,26.185832
2015-08-19,26.43,26.57,26.23,26.26,4323000,25.890059
2015-08-20,26.049999,26.290001,25.33,25.33,3193800,24.973161
2015-08-21,25.02,25.110001,24.57,24.57,4203100,24.223867
2015-08-24,23.58,24.1,21.139999,23.030001,8454800,22.705563
2015-08-25,23.799999,24.08,23.07,23.1,5607800,22.774576
2015-08-26,24.0,24.450001,23.450001,24.190001,6358500,23.849221
2015-08-27,24.65,24.99,24.370001,24.48,5251700,24.135135
2015-08-28,24.67,24.885,24.370001,24.690001,3096500,24.342177
2015-08-31,24.620001,24.940001,24.5,24.82,3553100,24.470345
2015-09-01,24.469999,24.59,23.52,23.690001,5046600,23.356265
2015-09-02,23.98,24.33,23.440001,24.129999,5658400,23.790065
2015-09-03,24.299999,24.790001,24.209999,24.5,3093800,24.154853
2015-09-04,24.24,24.43,23.959999,24.09,2295000,23.750629
2015-09-08,24.6,24.629999,24.215,24.629999,3484900,24.283021
2015-09-09,24.780001,24.99,24.365,24.4,3949800,24.056262
2015-09-10,24.299999,24.636,24.219999,24.440001,2010800,24.095699
2015-09-11,24.299999,24.540001,24.059999,24.32,3544800,23.977389
2015-09-14,24.280001,24.67,24.25,24.41,2459300,24.066121
2015-09-15,24.450001,25.139999,24.422001,25.030001,2882000,24.677388
2015-09-16,24.93,25.059999,24.635,24.879999,3541400,24.529499
2015-09-17,24.84,24.959999,23.68,24.040001,5433100,23.701335
2015-09-18,23.690001,23.99,23.219999,23.75,11030900,23.415419
2015-09-21,23.950001,24.139999,23.719999,23.9,3422200,23.563306
2015-09-22,23.5,23.67,23.42,23.6,2220000,23.267533
2015-09-23,23.75,23.790001,23.275,23.34,3662100,23.011195
2015-09-24,23.059999,23.32,23.0,23.24,3495100,22.912604
