Date,Open_CMS,High_CMS,Low_CMS,Close_CMS,Volume_CMS,AdjClose_CMS
2015-06-05,32.119999,32.119999,31.440001,31.780001,5980200,30.776103
2015-06-08,31.75,31.85,31.459999,31.700001,3436500,30.69863
2015-06-09,31.74,31.870001,31.690001,31.790001,2455800,30.785787
2015-06-10,31.870001,32.209999,31.76,32.119999,3573100,31.105361
2015-06-11,32.330002,32.650002,32.23,32.599998,4895600,31.570198
2015-06-12,32.400002,32.52,32.259998,32.290001,3924200,31.269993
2015-06-15,32.25,32.380001,31.879999,31.93,4299500,30.921364
2015-06-16,31.870001,32.049999,31.77,31.959999,2566000,30.950416
2015-06-17,31.950001,32.41,31.950001,32.349998,3195800,31.328095
2015-06-18,32.400002,32.880001,32.400002,32.799999,2733500,31.763881
2015-06-19,32.799999,32.900002,32.490002,32.5,2079000,31.473358
2015-06-22,32.220001,32.689999,32.220001,32.439999,1261900,31.415252
2015-06-23,32.349998,32.419998,31.92,31.969999,1466000,30.9601
2015-06-24,32.009998,32.119999,31.620001,31.629999,2089600,30.63084
2015-06-25,31.690001,31.799999,31.360001,31.389999,3113500,30.398422
2015-06-26,31.370001,31.82,31.219999,31.809999,4566600,30.805154
2015-06-29,31.780001,32.099998,31.58,31.59,3113100,30.592105
2015-06-30,31.75,31.9,31.540001,31.84,4612400,30.834207
2015-07-01,31.93,32.200001,31.73,32.189999,3328900,31.17315
2015-07-02,32.5,32.77,32.490002,32.75,3702200,31.715461
2015-07-06,32.709999,32.990002,32.549999,32.919998,4283900,31.880089
2015-07-07,33.02,34.080002,32.950001,33.98,5165600,32.906606
2015-07-08,33.849998,34.16,33.709999,33.759998,3457500,32.693555
2015-07-09,33.849998,34.040001,33.400002,33.509998,3543800,32.451452
2015-07-10,33.41,33.959999,33.41,33.720001,2206200,32.654821
2015-07-13,33.860001,33.990002,33.560001,33.82,2355700,32.751661
2015-07-14,33.880001,34.040001,33.66,33.759998,2826800,32.693555
2015-07-15,33.75,33.860001,33.459999,33.84,1708500,32.771029
2015-07-16,33.849998,34.369999,33.830002,34.330002,1727500,33.245552
2015-07-17,34.189999,34.34,33.610001,33.650002,3383900,32.587033
2015-07-20,33.599998,33.610001,33.25,33.360001,3812400,32.306192
2015-07-21,33.32,33.369999,32.790001,33.060001,3664300,32.01567
2015-07-22,33.060001,33.32,32.939999,33.110001,2268000,32.06409
2015-07-23,32.990002,33.07,32.400002,32.700001,3168500,31.667041
2015-07-24,32.709999,33.189999,32.630001,32.970001,2693300,31.928513
2015-07-27,33.040001,33.5,32.990002,33.279999,2673600,32.228718
2015-07-28,33.68,33.68,33.130001,33.529999,2673800,32.470821
2015-07-29,33.400002,33.669998,33.18,33.66,2664600,32.596715
2015-07-30,33.549999,34.080002,33.450001,33.919998,2123100,32.8485
2015-07-31,34.27,34.610001,34.220001,34.259998,2393100,33.17776
2015-08-03,34.34,34.610001,34.139999,34.34,2244800,33.255235
2015-08-04,34.25,34.279999,33.900002,33.93,1809500,32.858186
2015-08-05,33.889999,33.970001,33.560001,33.709999,1909600,32.92656
2015-08-06,33.68,34.02,33.509998,33.990002,2242600,33.200055
2015-08-07,33.91,34.5,33.740002,34.209999,2879700,33.414939
2015-08-10,34.169998,34.43,34.150002,34.23,2015500,33.434475
2015-08-11,34.139999,34.84,34.049999,34.709999,2480000,33.903319
2015-08-12,34.57,35.240002,34.43,35.169998,2364300,34.352627
2015-08-13,35.02,35.330002,34.700001,35.189999,1500300,34.372163
2015-08-14,35.16,35.310001,34.919998,35.299999,1977100,34.479607
2015-08-17,35.369999,35.84,35.18,35.580002,2270100,34.753102
2015-08-18,35.490002,35.759998,35.450001,35.73,3400900,34.899614
2015-08-19,35.57,35.970001,35.360001,35.82,2426400,34.987523
2015-08-20,35.57,35.950001,35.369999,35.650002,2576000,34.821475
2015-08-21,35.439999,35.799999,35.310001,35.560001,5222600,34.733567
2015-08-24,34.790001,34.959999,34.0,34.169998,6894100,33.375868
2015-08-25,34.580002,34.77,32.700001,32.73,4473500,31.969336
2015-08-26,32.98,33.299999,32.419998,33.18,3770400,32.408878
2015-08-27,33.330002,33.779999,33.150002,33.759998,2984900,32.975397
2015-08-28,33.799999,33.93,33.049999,33.470001,2198800,32.692139
2015-08-31,33.310001,33.380001,32.52,32.779999,2836400,32.018173
2015-09-01,32.32,32.48,31.940001,32.099998,3714800,31.353976
2015-09-02,32.419998,32.419998,31.860001,32.240002,2358000,31.490726
2015-09-03,32.32,32.57,32.169998,32.490002,2166200,31.734916
2015-09-04,32.080002,32.43,31.99,32.220001,2992800,31.47119
2015-09-08,32.330002,32.650002,32.150002,32.639999,2256000,31.881427
2015-09-09,32.68,32.790001,32.18,32.23,2957400,31.480956
2015-09-10,32.200001,32.66,32.150002,32.25,2106600,31.500492
2015-09-11,32.110001,32.689999,32.09,32.669998,1956900,31.910729
2015-09-14,32.759998,33.009998,32.619999,32.68,1846000,31.920499
2015-09-15,32.779999,32.98,32.389999,32.900002,1436900,32.135387
2015-09-16,32.950001,33.310001,32.830002,33.23,1354200,32.457716
2015-09-17,33.240002,34.279999,33.169998,33.790001,3231300,33.004702
2015-09-18,33.529999,34.169998,33.490002,33.68,3124600,32.897258
2015-09-21,33.790001,33.959999,33.639999,33.860001,1910300,33.073075
2015-09-22,33.689999,33.93,33.389999,33.57,2756300,32.789814
2015-09-23,33.639999,33.860001,33.450001,33.759998,2020600,32.975397
2015-09-24,33.630001,34.240002,33.330002,34.220001,2187300,33.424709
2015-09-25,34.310001,34.98,34.060001,34.580002,1920200,33.776343
2015-09-28,34.400002,34.779999,34.380001,34.490002,1821600,33.688435
2015-09-29,34.529999,34.669998,34.279999,34.5,1666400,33.6982
2015-09-30,34.68,35.349998,34.509998,35.32,2784000,34.499143
2015-10-01,35.389999,35.450001,34.529999,34.93,3029200,34.118207
2015-10-02,35.139999,35.610001,34.849998,35.610001,2724100,34.782404
2015-10-05,35.740002,35.849998,35.240002,35.740002,2684500,34.909384
2015-10-06,35.560001,35.709999,35.189999,35.669998,3305200,34.841007
2015-10-07,35.73,35.810001,35.189999,35.400002,2830600,34.577285
