Date,Open_CNP,High_CNP,Low_CNP,Close_CNP,Volume_CNP,AdjClose_CNP
2015-06-05,19.190001,19.450001,19.059999,19.32,4800100,18.322828
2015-06-08,19.290001,19.4,19.18,19.18,3023900,18.190054
2015-06-09,19.18,19.32,19.15,19.290001,3668200,18.294377
2015-06-10,19.389999,19.6,19.389999,19.389999,3652300,18.389215
2015-06-11,19.48,19.59,19.42,19.49,2417700,18.484054
2015-06-12,19.41,19.49,19.24,19.26,1611200,18.265925
2015-06-15,19.200001,19.25,19.049999,19.129999,3275400,18.142634
2015-06-16,19.110001,19.18,19.030001,19.08,3005500,18.095215
2015-06-17,19.139999,19.43,19.120001,19.389999,3856400,18.389215
2015-06-18,19.49,19.73,19.370001,19.67,3742600,18.654764
2015-06-19,19.620001,19.709999,19.48,19.52,3827500,18.512506
2015-06-22,19.540001,19.82,19.459999,19.709999,4178900,18.692698
2015-06-23,19.6,19.719999,19.280001,19.34,2679600,18.341796
2015-06-24,19.35,19.469999,19.17,19.17,4494800,18.18057
2015-06-25,19.209999,19.32,19.120001,19.16,4704300,18.171086
2015-06-26,19.16,19.370001,19.049999,19.35,3511600,18.35128
2015-06-29,19.27,19.530001,19.26,19.26,4244400,18.265925
2015-06-30,19.34,19.360001,18.92,19.030001,6446600,18.047797
2015-07-01,19.07,19.17,18.99,19.08,3134400,18.095215
2015-07-02,19.139999,19.360001,19.1,19.35,3589000,18.35128
2015-07-06,19.299999,19.4,19.110001,19.219999,4107200,18.227989
2015-07-07,19.280001,19.66,19.27,19.6,5090600,18.588377
2015-07-08,19.58,19.6,19.110001,19.219999,4985000,18.227989
2015-07-09,19.309999,19.48,18.940001,18.950001,7152700,17.971926
2015-07-10,18.99,19.290001,18.959999,19.120001,2918900,18.133152
2015-07-13,19.190001,19.27,19.07,19.17,2202100,18.18057
2015-07-14,19.18,19.299999,19.139999,19.26,2129400,18.265925
2015-07-15,19.26,19.280001,19.129999,19.27,1667300,18.275409
2015-07-16,19.32,19.41,19.16,19.24,5125300,18.246957
2015-07-17,19.209999,19.299999,18.99,19.0,3744000,18.019344
2015-07-20,19.0,19.01,18.719999,18.75,3683800,17.782248
2015-07-21,18.75,18.809999,18.549999,18.59,2245600,17.630506
2015-07-22,18.58,18.82,18.559999,18.620001,2780600,17.658958
2015-07-23,18.59,18.629999,18.23,18.34,3371300,17.393409
2015-07-24,18.309999,18.42,18.200001,18.290001,2845800,17.345991
2015-07-27,18.27,18.700001,18.27,18.68,3452800,17.715861
2015-07-28,18.76,18.959999,18.610001,18.889999,4595200,17.915021
2015-07-29,18.82,19.17,18.77,19.08,3367200,18.095215
2015-07-30,19.040001,19.200001,18.959999,19.139999,2423300,18.152118
2015-07-31,19.27,19.469999,19.200001,19.34,3686000,18.341796
2015-08-03,19.370001,19.450001,19.09,19.219999,2634700,18.227989
2015-08-04,19.209999,19.440001,18.83,18.860001,2147600,17.886571
2015-08-05,18.93,19.190001,18.9,19.040001,2940000,18.057281
2015-08-06,19.09,19.110001,18.709999,19.08,4578300,18.095215
2015-08-07,19.040001,19.26,18.93,19.139999,4399200,18.152118
2015-08-10,19.040001,19.59,18.92,19.530001,4787900,18.52199
2015-08-11,19.52,19.66,19.26,19.360001,4562600,18.360764
2015-08-12,19.040001,19.629999,19.0,19.59,4325700,18.819975
2015-08-13,19.549999,19.700001,19.33,19.639999,5087300,18.868009
2015-08-14,19.59,19.93,19.549999,19.92,3747500,19.137003
2015-08-17,19.92,20.0,19.85,19.92,3332000,19.137003
2015-08-18,19.889999,19.959999,19.84,19.91,2802700,19.127396
2015-08-19,19.84,19.950001,19.700001,19.9,3316100,19.117789
2015-08-20,19.780001,20.1,19.700001,19.82,4707700,19.040934
2015-08-21,19.709999,19.82,19.290001,19.309999,4218600,18.55098
2015-08-24,18.559999,19.07,18.25,18.49,7274400,17.763212
2015-08-25,18.84,18.93,17.9,17.92,5067800,17.215618
2015-08-26,18.18,18.24,17.719999,18.23,5287800,17.513432
2015-08-27,18.379999,18.77,18.280001,18.75,4020700,18.012993
2015-08-28,18.74,18.870001,18.639999,18.82,3995500,18.080241
2015-08-31,18.73,18.75,18.33,18.620001,5289600,17.888103
2015-09-01,18.309999,18.32,17.75,17.84,4717400,17.138762
2015-09-02,18.049999,18.07,17.48,17.719999,5898100,17.023478
2015-09-03,17.76,18.07,17.75,17.940001,3506400,17.234832
2015-09-04,17.77,17.790001,17.540001,17.610001,3504700,16.917803
2015-09-08,17.879999,18.01,17.799999,17.98,2542500,17.273259
2015-09-09,18.07,18.09,17.719999,17.75,3845000,17.0523
2015-09-10,17.73,18.01,17.68,17.73,3279300,17.033085
2015-09-11,17.620001,17.76,17.57,17.690001,3233500,16.994659
2015-09-14,17.719999,17.860001,17.67,17.809999,2862600,17.109941
2015-09-15,17.85,17.91,17.709999,17.870001,3002000,17.167584
2015-09-16,17.92,18.17,17.83,18.139999,1809800,17.426969
2015-09-17,18.139999,18.57,18.07,18.280001,2496400,17.561468
2015-09-18,18.08,18.35,18.01,18.049999,4632300,17.340507
2015-09-21,18.129999,18.34,18.059999,18.190001,2875200,17.475005
2015-09-22,18.040001,18.16,17.75,17.82,3422000,17.119548
2015-09-23,17.82,17.950001,17.719999,17.75,3123500,17.0523
2015-09-24,17.700001,17.92,17.690001,17.82,5344800,17.119548
