Date,Open_CSX,High_CSX,Low_CSX,Close_CSX,Volume_CSX,AdjClose_CSX
2015-06-05,34.040001,34.540001,34.009998,34.43,4428900,33.49811
2015-06-08,34.290001,34.310001,33.779999,34.029999,6707800,33.108935
2015-06-09,33.93,34.07,33.639999,33.759998,4350400,32.846242
2015-06-10,33.869999,34.02,33.689999,33.970001,5975300,33.050561
2015-06-11,34.02,35.48,33.93,34.970001,10898500,34.023495
2015-06-12,34.73,35.619999,34.610001,34.75,8155400,33.809448
2015-06-15,34.549999,35.02,34.43,34.669998,4151900,33.731612
2015-06-16,34.700001,34.93,34.419998,34.580002,6080600,33.644052
2015-06-17,34.599998,34.959999,34.450001,34.82,6349900,33.877554
2015-06-18,34.970001,35.669998,34.970001,35.540001,8336500,34.578067
2015-06-19,35.389999,35.549999,34.990002,34.990002,9072700,34.042954
2015-06-22,35.220001,35.400002,34.950001,35.049999,7553300,34.101328
2015-06-23,35.23,35.43,34.790001,34.860001,9117200,33.916472
2015-06-24,34.759998,34.959999,33.740002,33.889999,16653900,32.972725
2015-06-25,34.009998,34.16,33.68,33.700001,7915300,32.787869
2015-06-26,33.720001,33.880001,33.360001,33.669998,11074800,32.758678
2015-06-29,33.34,33.630001,32.470001,32.48,14840400,31.600888
2015-06-30,32.790001,32.919998,32.400002,32.650002,11046700,31.766289
2015-07-01,32.93,33.16,32.709999,32.900002,6202300,32.009522
2015-07-02,33.080002,33.150002,32.630001,32.68,6735300,31.795476
2015-07-06,32.369999,32.740002,32.200001,32.5,6036800,31.620347
2015-07-07,32.57,32.959999,32.150002,32.790001,8526800,31.902499
2015-07-08,32.450001,32.57,31.719999,31.790001,6816000,30.929565
2015-07-09,32.119999,32.490002,31.889999,31.9,6876100,31.036587
2015-07-10,32.32,32.380001,31.969999,32.130001,6025800,31.260363
2015-07-13,32.349998,32.380001,31.879999,31.9,10270500,31.036587
2015-07-14,31.91,32.32,31.879999,32.07,12428400,31.201986
2015-07-15,32.830002,33.099998,32.189999,32.400002,14437900,31.523056
2015-07-16,32.75,32.759998,32.07,32.169998,6915000,31.299278
2015-07-17,32.310001,32.48,31.85,32.18,6642200,31.309009
2015-07-20,32.290001,32.459999,31.959999,32.0,6201400,31.133881
2015-07-21,32.02,32.290001,31.549999,31.860001,7728700,30.99767
2015-07-22,31.889999,32.049999,31.18,31.57,8867800,30.715519
2015-07-23,31.530001,31.58,30.66,30.85,7468700,30.015007
2015-07-24,30.85,31.17,30.65,30.809999,7596100,29.976089
2015-07-27,30.610001,30.92,30.4,30.52,7335800,29.693939
2015-07-28,30.74,31.15,30.719999,31.08,7301200,30.238781
2015-07-29,31.09,31.540001,31.01,31.49,6882700,30.637684
2015-07-30,31.389999,31.540001,31.299999,31.459999,5642900,30.608495
2015-07-31,31.49,31.620001,31.190001,31.280001,5739600,30.433369
2015-08-03,31.34,31.35,30.9,31.139999,5750300,30.297157
2015-08-04,31.139999,31.360001,30.690001,30.870001,6619100,30.034466
