Date,Open_CTL,High_CTL,Low_CTL,Close_CTL,Volume_CTL,AdjClose_CTL
2015-06-05,32.740002,32.779999,32.18,32.18,3876900,29.797391
2015-06-08,32.200001,32.34,32.049999,32.220001,3783000,29.834431
2015-06-09,32.279999,32.279999,31.83,32.07,3086700,29.695535
2015-06-10,32.07,32.5,32.07,32.259998,3191800,29.871466
2015-06-11,32.369999,32.830002,32.299999,32.73,3713300,30.306669
2015-06-12,32.66,33.049999,32.540001,32.560001,3084400,30.149257
2015-06-15,32.450001,32.5,32.110001,32.369999,2984900,29.973322
2015-06-16,32.240002,32.369999,31.9,32.220001,3404800,29.834431
2015-06-17,32.34,32.490002,31.98,32.209999,3219200,29.825169
2015-06-18,32.240002,32.490002,32.240002,32.360001,3733600,29.964064
2015-06-19,32.34,32.599998,32.240002,32.459999,4133700,30.056659
2015-06-22,32.639999,32.959999,32.5,32.650002,3486800,30.232594
2015-06-23,32.779999,33.009998,32.490002,32.549999,5070500,30.139995
2015-06-24,32.560001,32.66,31.51,31.879999,11369700,29.519602
2015-06-25,31.52,31.639999,29.889999,29.92,16783600,27.704722
2015-06-26,29.950001,30.24,29.280001,29.99,15536300,27.769539
2015-06-29,30.09,30.33,29.5,29.530001,6761600,27.343598
2015-06-30,29.799999,29.860001,29.370001,29.379999,5479000,27.204702
2015-07-01,29.49,29.620001,29.379999,29.57,4763100,27.380635
2015-07-02,29.58,29.690001,29.48,29.610001,3658000,27.417675
2015-07-06,29.43,29.620001,29.209999,29.450001,4921700,27.269521
2015-07-07,29.530001,29.940001,29.24,29.879999,4530100,27.667682
2015-07-08,29.68,29.85,29.389999,29.49,6600800,27.306559
2015-07-09,29.73,29.84,29.35,29.49,4324900,27.306559
2015-07-10,29.82,30.040001,29.620001,29.76,3685700,27.556568
2015-07-13,29.860001,30.030001,29.610001,30.0,3926900,27.778798
2015-07-14,29.93,30.09,29.75,29.98,4625700,27.760279
2015-07-15,29.85,29.969999,29.43,29.67,5574700,27.473232
2015-07-16,29.799999,30.530001,29.75,30.49,5894300,28.232519
2015-07-17,30.5,31.129999,30.49,30.940001,9012400,28.649201
2015-07-20,30.940001,31.0,30.459999,30.5,5490000,28.241778
2015-07-21,30.370001,30.389999,29.67,29.719999,4644300,27.519529
2015-07-22,29.700001,29.799999,29.110001,29.190001,4721100,27.028771
2015-07-23,29.209999,29.35,28.9,28.959999,5870200,26.815799
2015-07-24,29.049999,29.049999,28.01,28.030001,6520600,25.954658
2015-07-27,27.959999,28.299999,27.5,28.120001,5833200,26.037994
2015-07-28,28.33,28.469999,27.98,28.219999,4480200,26.130589
2015-07-29,28.120001,28.18,27.780001,28.16,6479000,26.075032
2015-07-30,28.120001,28.219999,27.870001,28.16,5565400,26.075032
2015-07-31,28.42,29.059999,28.379999,28.6,6925000,26.482455
2015-08-03,28.74,29.030001,28.4,28.9,6371700,26.760242
2015-08-04,28.879999,28.889999,28.370001,28.43,5086300,26.325042
2015-08-05,28.66,28.91,28.4,28.559999,5688900,26.445416
2015-08-06,27.52,28.059999,26.48,27.93,13508100,25.862062
2015-08-07,27.9,28.07,27.33,27.65,7704900,25.602792
2015-08-10,27.82,28.799999,27.719999,28.76,5873000,26.630608
2015-08-11,28.620001,28.92,28.1,28.24,4552800,26.149109
2015-08-12,27.99,28.549999,27.639999,28.530001,5304400,26.417638
2015-08-13,28.549999,28.620001,27.75,27.969999,5846300,25.899099
2015-08-14,27.99,28.379999,27.99,28.27,3816300,26.176888
2015-08-17,28.1,28.58,27.959999,28.42,3292400,26.315782
2015-08-18,28.309999,28.610001,28.049999,28.120001,4753400,26.037994
2015-08-19,28.0,28.540001,27.92,28.370001,3766300,26.269484
2015-08-20,28.16,28.23,27.700001,27.709999,3760700,25.658349
2015-08-21,27.59,27.950001,27.110001,27.110001,5755100,25.102775
2015-08-24,25.76,26.690001,24.809999,25.860001,10127900,23.945325
2015-08-25,26.59,26.59,25.16,25.17,7080000,23.306412
2015-08-26,25.76,26.52,25.34,26.370001,8906200,24.417565
2015-08-27,26.67,26.799999,26.219999,26.74,7642400,24.760169
2015-08-28,26.700001,27.27,26.620001,27.040001,4785200,25.037958
2015-08-31,26.98,27.290001,26.809999,27.040001,5508900,25.037958
2015-09-01,26.58,26.65,25.77,25.9,6195500,23.982362
2015-09-02,26.379999,27.16,26.110001,27.0,10175400,25.000919
2015-09-03,26.379999,26.940001,26.379999,26.77,5027400,25.293826
2015-09-04,26.379999,26.4,26.08,26.18,5944700,24.73636
2015-09-08,26.6,27.07,26.549999,26.959999,9591800,25.473347
2015-09-09,27.24,27.52,26.889999,26.969999,5811200,25.482796
2015-09-10,27.0,27.120001,26.690001,26.780001,7831300,25.303274
2015-09-11,26.719999,26.73,26.110001,26.280001,6059300,24.830846
2015-09-14,26.27,26.290001,25.809999,26.07,3701200,24.632425
2015-09-15,26.290001,26.540001,25.809999,26.469999,5446700,25.010367
2015-09-16,26.51,26.629999,26.09,26.129999,4934700,24.689116
2015-09-17,26.030001,26.389999,25.610001,26.040001,5639600,24.60408
2015-09-18,25.76,25.85,25.41,25.629999,8333700,24.216687
2015-09-21,25.719999,26.07,25.700001,25.879999,4148400,24.452901
2015-09-22,25.67,25.790001,25.33,25.379999,5241900,23.980473
2015-09-23,25.43,25.84,25.15,25.15,4049400,23.763156
2015-09-24,25.0,25.290001,24.809999,25.02,6792100,23.640326
2015-09-25,25.27,25.6,25.08,25.360001,5740600,23.961577
2015-09-28,25.200001,25.219999,24.559999,24.610001,6898400,23.252934
2015-09-29,24.700001,24.83,24.290001,24.690001,5279900,23.328523
2015-09-30,24.91,25.23,24.83,25.120001,5522900,23.734812
2015-10-01,25.120001,25.200001,24.48,24.6,4458200,23.243486
2015-10-02,24.35,24.65,24.110001,24.65,4971300,23.290728
2015-10-05,24.82,25.700001,24.799999,25.639999,4026100,24.226136
2015-10-06,25.620001,25.870001,25.52,25.620001,5358200,24.20724
2015-10-07,25.879999,26.18,25.799999,26.059999,3890500,24.622976
2015-10-08,26.0,26.549999,25.82,26.51,3675300,25.048162
2015-10-09,26.49,26.58,25.610001,25.719999,5020700,24.301724
2015-10-12,25.74,25.889999,25.48,25.860001,3541800,24.434006
2015-10-13,25.780001,26.049999,25.67,25.780001,3339500,24.358417
2015-10-14,25.85,26.379999,25.85,26.18,3472300,24.73636
2015-10-15,26.309999,27.01,26.26,26.98,4160800,25.492245
2015-10-16,27.120001,27.129999,26.610001,26.809999,4085900,25.331619
2015-10-19,26.73,27.030001,26.639999,26.92,4432500,25.435554
2015-10-20,26.91,27.32,26.84,27.25,2694800,25.747357
2015-10-21,27.450001,27.5,27.17,27.200001,2988300,25.700114
2015-10-22,27.42,27.98,27.41,27.91,4140100,26.370962
2015-10-23,28.08,28.17,27.85,28.02,3546700,26.474897
2015-10-26,28.040001,28.389999,27.950001,28.32,4220000,26.758353
2015-10-27,28.190001,28.299999,27.530001,27.639999,3632900,26.11585
2015-10-28,27.790001,28.290001,27.700001,28.120001,3089100,26.569383
2015-10-29,28.030001,28.1,27.73,28.08,3035000,26.531588
2015-10-30,28.139999,28.35,27.889999,28.209999,3720800,26.654419
2015-11-02,28.309999,28.459999,28.01,28.41,4808400,26.843391
2015-11-03,28.200001,28.530001,28.1,28.49,4474700,26.918979
2015-11-04,28.530001,28.6,27.959999,28.02,6207500,26.474897
2015-11-05,28.25,29.370001,28.200001,28.709999,7443900,27.126847
2015-11-06,28.77,28.77,28.02,28.57,5289400,26.994568
2015-11-09,28.5,28.870001,28.41,28.809999,4414000,27.221333
2015-11-10,28.68,28.780001,28.370001,28.6,3269300,27.022914
2015-11-11,28.68,28.780001,28.360001,28.43,3851800,26.862288
2015-11-12,28.280001,28.299999,27.91,28.0,3658800,26.455999
2015-11-13,28.0,28.200001,27.67,27.700001,4480400,26.172543
2015-11-16,27.75,28.48,27.690001,28.48,3367100,26.90953
2015-11-17,28.450001,28.469999,28.049999,28.129999,4106000,26.57883
2015-11-18,28.25,28.51,28.17,28.49,3789400,26.918979
2015-11-19,28.51,28.629999,28.42,28.469999,3828400,26.900082
2015-11-20,28.1,28.110001,27.139999,27.23,5796100,26.225893
2015-11-23,27.209999,27.48,26.98,27.309999,4149000,26.302943
2015-11-24,27.110001,27.450001,27.040001,27.23,3570000,26.225893
2015-11-25,27.18,27.18,26.959999,26.98,2970800,25.985112
2015-11-27,27.059999,27.190001,27.01,27.059999,1631400,26.062162
2015-11-30,27.059999,27.129999,26.889999,26.93,4595300,25.936956
2015-12-01,26.99,27.120001,26.610001,27.030001,5543000,26.033269
2015-12-02,27.1,27.1,26.459999,26.469999,4266600,25.493918
2015-12-03,26.59,26.799999,26.299999,26.459999,6508000,25.484286
2015-12-04,26.49,26.799999,26.41,26.709999,5513300,25.725068
