Date,Open_DAL,High_DAL,Low_DAL,Close_DAL,Volume_DAL,AdjClose_DAL
2015-06-05,42.830002,43.150002,42.279999,42.900002,9897200,42.390378
2015-06-08,42.369999,42.619999,40.650002,40.75,18359700,40.265918
2015-06-09,40.099998,41.150002,38.970001,40.720001,29310500,40.236275
2015-06-10,40.619999,41.560001,40.34,41.060001,11590200,40.572236
2015-06-11,41.330002,41.790001,40.740002,40.799999,9259100,40.315323
2015-06-12,40.740002,41.560001,40.580002,41.139999,7838300,40.651284
2015-06-15,40.919998,41.200001,40.529999,40.700001,9649400,40.216512
2015-06-16,40.650002,41.009998,40.040001,40.57,8314900,40.088055
2015-06-17,40.419998,41.080002,40.23,40.799999,7057900,40.315323
2015-06-18,40.669998,41.43,40.459999,41.349998,7198400,40.858788
2015-06-19,41.990002,42.810001,41.830002,41.990002,11189300,41.491189
2015-06-22,42.720001,43.080002,42.360001,42.93,10407000,42.420021
2015-06-23,43.380001,43.709999,43.0,43.099998,7789400,42.588
2015-06-24,42.970001,43.130001,42.5,42.66,7413400,42.153228
2015-06-25,42.98,43.380001,42.57,42.599998,6208700,42.093939
2015-06-26,42.779999,42.900002,42.060001,42.349998,15144800,41.846909
2015-06-29,41.77,42.450001,41.080002,41.119999,7881500,40.631521
2015-06-30,41.68,41.830002,41.029999,41.080002,10416400,40.591999
2015-07-01,41.75,41.810001,38.810001,40.27,30993500,39.79162
2015-07-02,40.23,41.029999,39.75,40.0,11310800,39.524827
2015-07-06,39.880001,40.790001,39.880001,40.48,9714600,39.999124
2015-07-07,40.669998,41.299999,39.959999,41.18,9136400,40.69081
2015-07-08,40.459999,40.880001,40.009998,40.169998,8642700,39.692806
2015-07-09,40.580002,41.09,40.490002,40.549999,8541600,40.068293
2015-07-10,41.450001,42.720001,41.310001,42.459999,13746100,41.955603
2015-07-13,43.209999,43.52,43.0,43.369999,10131500,42.854793
2015-07-14,42.950001,43.959999,42.610001,43.66,13648600,43.141349
2015-07-15,42.59,44.43,42.400002,43.990002,23558400,43.46743
2015-07-16,44.5,44.869999,44.189999,44.470001,12804800,43.941728
2015-07-17,44.650002,45.099998,44.380001,44.939999,9625000,44.406142
2015-07-20,45.099998,45.099998,43.959999,44.09,7746100,43.566241
2015-07-21,44.080002,44.73,44.080002,44.650002,6166500,44.11959
