Date,Open_DVN,High_DVN,Low_DVN,Close_DVN,Volume_DVN,AdjClose_DVN
2015-06-05,62.720001,64.540001,62.549999,63.799999,2740500,62.081635
2015-06-08,63.380001,63.880001,62.189999,62.5,3319900,60.816649
2015-06-09,63.18,63.669998,62.009998,62.119999,3569400,60.446883
2015-06-10,63.029999,64.07,62.490002,63.810001,4079400,62.091368
2015-06-11,63.84,64.050003,62.889999,62.939999,3200500,61.476018
2015-06-12,62.580002,62.619999,61.330002,61.869999,3120300,60.430907
2015-06-15,61.380001,62.18,61.279999,61.630001,2137900,60.196491
2015-06-16,61.619999,62.540001,61.5,62.459999,2184400,61.007183
2015-06-17,62.450001,63.41,61.290001,61.639999,2355100,60.206257
2015-06-18,61.91,62.189999,61.369999,61.439999,1988000,60.010908
2015-06-19,61.169998,61.580002,60.919998,60.970001,2928300,59.551843
2015-06-22,61.150002,61.549999,60.560001,61.349998,1901300,59.923001
2015-06-23,61.400002,61.619999,61.189999,61.43,1780400,60.001142
2015-06-24,61.240002,61.790001,60.990002,61.09,1545000,59.669051
2015-06-25,61.25,61.349998,60.18,60.380001,2552900,58.975566
2015-06-26,60.419998,60.830002,59.880001,60.459999,2539000,59.053703
2015-06-29,59.509998,59.990002,58.77,58.82,2931200,57.45185
2015-06-30,59.610001,59.880001,59.07,59.490002,3291700,58.106268
2015-07-01,59.419998,59.799999,57.48,57.73,3556700,56.387203
2015-07-02,57.869999,58.43,57.580002,57.869999,2826200,56.523946
2015-07-06,56.810001,57.939999,56.459999,56.68,3255700,55.361627
2015-07-07,56.57,57.389999,55.119999,57.32,3506200,55.98674
2015-07-08,56.970001,57.490002,55.240002,55.549999,3024900,54.25791
2015-07-09,56.75,57.130001,55.93,55.939999,2548100,54.638838
2015-07-10,56.610001,56.93,55.68,55.849998,2757400,54.550931
2015-07-13,55.98,56.0,55.029999,55.400002,3272700,54.111401
2015-07-14,55.400002,56.470001,55.02,56.139999,3200300,54.834186
2015-07-15,55.630001,56.369999,54.450001,54.84,3564600,53.564425
2015-07-16,55.07,55.380001,54.139999,54.369999,2904100,53.105356
2015-07-17,54.130001,54.369999,53.439999,53.639999,2783100,52.392336
2015-07-20,53.369999,53.630001,51.830002,51.830002,4649500,50.624439
2015-07-21,52.049999,52.529999,51.700001,52.080002,4347500,50.868624
2015-07-22,51.84,51.939999,50.619999,51.139999,3855400,49.950486
2015-07-23,51.209999,51.439999,50.349998,51.16,3548500,49.970021
2015-07-24,51.080002,51.139999,49.029999,49.400002,5021000,48.250961
2015-07-27,48.419998,49.419998,48.209999,48.830002,5668900,47.694219
2015-07-28,49.119999,50.450001,48.639999,49.990002,4905800,48.827237
2015-07-29,49.889999,51.740002,49.68,51.18,4438500,49.989557
2015-07-30,51.0,51.669998,50.130001,50.610001,3515600,49.432815
2015-07-31,50.209999,50.360001,49.349998,49.419998,3978100,48.270492
2015-08-03,48.75,49.66,48.110001,48.360001,4218700,47.23515
2015-08-04,48.650002,49.650002,48.119999,48.740002,4692200,47.606312
2015-08-05,50.34,51.68,46.669998,46.950001,7958100,45.857947
2015-08-06,46.900002,48.639999,46.450001,48.299999,5896900,47.176544
2015-08-07,48.040001,48.759998,45.98,46.41,4363100,45.330506
2015-08-10,46.639999,48.23,46.150002,47.880001,6412600,46.766315
2015-08-11,46.720001,47.610001,46.580002,47.299999,5708400,46.199804
2015-08-12,47.220001,48.02,46.18,47.880001,5413800,46.766315
2015-08-13,47.290001,47.52,45.91,46.009998,5170500,44.939809
2015-08-14,45.880001,46.52,45.689999,46.060001,5960200,44.988649
2015-08-17,45.790001,46.720001,45.599998,46.41,3443800,45.330506
2015-08-18,46.040001,46.689999,45.91,46.220001,3961800,45.144927
2015-08-19,45.919998,46.139999,44.439999,44.66,4362900,43.621211
2015-08-20,45.09,45.09,42.799999,42.810001,5362200,41.814243
2015-08-21,42.360001,42.740002,41.09,41.09,5713400,40.134249
2015-08-24,38.419998,40.290001,37.0,38.080002,10777700,37.194263
2015-08-25,39.580002,39.580002,36.630001,36.630001,7888100,35.77799
2015-08-26,37.400002,38.48,36.970001,38.450001,7326200,37.555656
2015-08-27,39.32,41.209999,39.189999,40.779999,9059100,39.831459
2015-08-28,40.52,42.720001,40.349998,42.200001,8502800,41.218431
2015-08-31,41.57,43.189999,40.5,42.66,7103400,41.667731
2015-09-01,41.07,42.09,39.970001,40.330002,6676800,39.391928
2015-09-02,41.169998,41.240002,39.139999,40.720001,5348700,39.772857
2015-09-03,40.830002,42.200001,40.389999,40.830002,5355000,39.880299
2015-09-04,39.990002,40.43,39.639999,40.139999,3856600,39.206346
2015-09-08,40.740002,40.77,39.470001,40.5,4629500,39.557973
2015-09-09,40.900002,41.5,39.389999,39.689999,7706400,38.766812
2015-09-10,39.880001,40.599998,39.290001,39.990002,5857500,39.059837
2015-09-11,39.0,39.209999,38.119999,38.84,4692300,38.165635
2015-09-14,38.720001,39.0,38.18,38.91,4433500,38.234419
2015-09-15,39.110001,39.619999,38.790001,39.169998,3161400,38.489903
2015-09-16,39.490002,41.119999,39.490002,41.049999,4303400,40.337262
2015-09-17,41.09,41.970001,40.599998,40.810001,5200400,40.101431
2015-09-18,39.959999,40.419998,39.360001,39.779999,5719000,39.089312
2015-09-21,40.200001,40.790001,39.459999,40.330002,3387100,39.629766
2015-09-22,39.650002,40.610001,39.119999,39.5,5051100,38.814175
2015-09-23,39.560001,39.790001,38.07,38.150002,4003300,37.487616
2015-09-24,37.709999,38.950001,37.41,38.599998,4799300,37.9298
2015-09-25,38.860001,39.0,38.150002,38.470001,4253900,37.80206
2015-09-28,38.009998,38.200001,36.75,36.75,5788700,36.111922
2015-09-29,37.060001,37.200001,36.02,36.43,5113700,35.797479
2015-09-30,36.970001,37.470001,36.009998,37.09,6573600,36.446019
2015-10-01,37.860001,38.919998,37.369999,37.75,5624400,37.09456
2015-10-02,37.380001,40.799999,37.200001,40.720001,6483100,40.012994
2015-10-05,41.18,43.419998,41.099998,42.919998,7163800,42.174793
2015-10-06,43.09,44.48,42.740002,43.75,6607000,42.990384
2015-10-07,44.549999,45.450001,42.450001,43.860001,6390100,43.098475
2015-10-08,43.630001,44.959999,43.060001,44.669998,4656400,43.894408
2015-10-09,44.970001,45.369999,44.18,45.240002,5791900,44.454515
2015-10-12,45.240002,45.34,43.540001,43.990002,4031000,43.226218
2015-10-13,43.5,44.82,43.150002,43.720001,3101000,42.960906
2015-10-14,43.57,44.880001,43.439999,44.650002,3541000,43.874759
2015-10-15,44.400002,45.709999,44.18,45.669998,3732600,44.877046
2015-10-16,46.099998,46.459999,45.099998,46.43,5118700,45.623852
2015-10-19,45.610001,45.939999,44.849998,45.279999,4345200,44.493818
2015-10-20,45.25,46.369999,45.009998,45.689999,2997200,44.896699
2015-10-21,45.419998,45.610001,43.34,43.900002,6868500,43.137781
2015-10-22,44.400002,45.02,43.630001,44.75,4389200,43.973021
2015-10-23,44.380001,45.23,43.950001,44.959999,3300300,44.179374
2015-10-26,44.759998,44.790001,42.740002,42.790001,3984500,42.047053
2015-10-27,42.02,42.02,40.529999,41.200001,5464000,40.484659
2015-10-28,40.599998,42.27,39.830002,41.560001,6544700,40.838409
2015-10-29,41.220001,42.48,40.900002,41.040001,5636400,40.327438
2015-10-30,41.240002,42.580002,40.330002,41.93,5756500,41.201984
2015-11-02,41.34,43.310001,41.0,43.130001,5430000,42.38115
2015-11-03,43.650002,46.490002,43.369999,45.220001,6572500,44.434862
2015-11-04,46.73,47.84,45.919998,46.490002,9572500,45.682812
2015-11-05,46.240002,48.540001,46.0,47.509998,6390800,46.685099
2015-11-06,47.060001,48.68,46.27,46.869999,5704300,46.056211
2015-11-09,47.450001,48.080002,46.400002,46.98,5301100,46.164302
2015-11-10,46.799999,48.25,46.619999,47.759998,5134400,46.930758
2015-11-11,47.57,47.82,45.23,45.619999,4244200,44.827915
2015-11-12,44.970001,46.07,44.400002,45.060001,6082600,44.27764
2015-11-13,45.0,45.84,44.48,45.049999,5084900,44.267812
2015-11-16,45.119999,46.540001,44.959999,46.5,3911700,45.692637
2015-11-17,46.150002,46.490002,45.0,45.91,3767100,45.11288
2015-11-18,46.48,47.389999,45.669998,47.07,3163400,46.25274
2015-11-19,46.5,46.98,45.310001,45.98,3657400,45.181665
2015-11-20,46.119999,46.509998,45.07,45.25,3969500,44.46434
2015-11-23,45.07,45.650002,44.630001,44.93,3055200,44.149896
2015-11-24,45.470001,47.029999,45.330002,46.549999,3128000,45.741768
2015-11-25,46.299999,46.41,45.349998,45.91,2294400,45.11288
2015-11-27,45.439999,45.700001,44.68,44.869999,1170200,44.090937
2015-11-30,45.080002,46.57,44.880001,46.009998,4405700,45.211143
2015-12-01,46.110001,46.52,45.669998,46.490002,3805200,45.682812
2015-12-02,45.779999,46.080002,43.439999,43.529999,4784000,42.774202
2015-12-03,43.869999,43.869999,40.68,41.099998,9820800,40.386393
2015-12-04,40.34,40.990002,39.619999,40.529999,5912400,39.82629
2015-12-07,37.759998,38.259998,36.130001,36.439999,11420200,35.807304
2015-12-08,35.299999,35.759998,33.52,35.189999,13144200,34.579007
2015-12-09,36.389999,36.470001,34.380001,35.32,7916100,34.706751
2015-12-10,35.099998,36.700001,34.700001,35.509998,6799700,34.89345
2015-12-11,34.540001,35.400002,33.41,33.549999,5925400,33.191815
2015-12-14,33.369999,33.720001,31.4,31.540001,11006400,31.203275
2015-12-15,31.98,32.439999,31.5,31.870001,7796000,31.529752
2015-12-16,31.85,32.049999,29.98,30.57,8350500,30.24363
2015-12-17,30.51,30.66,28.0,28.98,15841400,28.670605
2015-12-18,28.950001,29.98,28.58,28.67,9366500,28.363915
2015-12-21,28.700001,29.67,28.389999,28.83,7462700,28.522207
2015-12-22,28.82,30.34,28.65,29.83,8734100,29.511531
2015-12-23,30.610001,33.380001,30.6,33.200001,10280800,32.845553
2015-12-24,33.220001,33.470001,32.029999,32.700001,3816900,32.350891
2015-12-28,32.240002,32.48,31.280001,31.690001,4816600,31.351673
2015-12-29,32.310001,32.84,31.51,32.240002,5476400,31.895803
2015-12-30,31.5,32.529999,30.73,31.0,5265500,30.669039
2015-12-31,30.99,32.200001,30.57,32.0,4454100,31.658363
2016-01-04,31.780001,32.91,31.530001,32.32,6770300,31.974947
2016-01-05,32.200001,32.93,31.559999,32.830002,6258100,32.479504
2016-01-06,31.610001,31.629999,30.129999,30.209999,7777700,29.887473
2016-01-07,29.209999,30.129999,27.9,28.059999,11164900,27.760427
