Date,Open_ETFC,High_ETFC,Low_ETFC,Close_ETFC,Volume_ETFC,AdjClose_ETFC
2015-06-05,30.620001,30.870001,30.33,30.67,4256600,30.67
2015-06-08,30.57,31.02,30.02,30.530001,1860900,30.530001
2015-06-09,30.59,30.860001,30.09,30.77,3583500,30.77
2015-06-10,30.98,31.41,30.75,30.84,3275100,30.84
2015-06-11,30.9,31.16,30.790001,30.889999,2080600,30.889999
2015-06-12,30.51,30.959999,30.51,30.74,1566000,30.74
2015-06-15,30.5,30.690001,30.120001,30.620001,1945100,30.620001
2015-06-16,30.5,30.879999,30.370001,30.85,1374700,30.85
2015-06-17,30.940001,31.040001,30.17,30.290001,3060000,30.290001
2015-06-18,30.389999,30.6,29.98,30.41,2372000,30.41
2015-06-19,30.32,30.59,29.77,29.93,10436900,29.93
2015-06-22,30.110001,31.059999,30.059999,30.98,3229900,30.98
2015-06-23,31.16,31.48,31.030001,31.15,2138100,31.15
2015-06-24,31.08,31.209999,30.68,30.799999,1615700,30.799999
2015-06-25,30.950001,31.049999,30.68,30.75,2046000,30.75
2015-06-26,30.889999,31.110001,30.370001,30.719999,3406700,30.719999
2015-06-29,30.09,30.290001,29.280001,29.34,4991700,29.34
2015-06-30,29.74,30.059999,29.440001,29.950001,3225000,29.950001
2015-07-01,30.299999,30.66,29.959999,30.15,2426600,30.15
2015-07-02,30.02,30.139999,29.51,29.92,2430000,29.92
2015-07-06,29.65,29.68,29.120001,29.33,2364300,29.33
2015-07-07,29.23,29.389999,28.23,29.040001,5142600,29.040001
2015-07-08,28.690001,28.809999,27.9,27.950001,4387800,27.950001
2015-07-09,28.41,28.9,28.32,28.48,3023700,28.48
2015-07-10,29.059999,29.26,28.83,29.040001,2964300,29.040001
2015-07-13,29.280001,29.58,29.24,29.49,2351600,29.49
2015-07-14,29.379999,29.77,29.299999,29.610001,2146700,29.610001
2015-07-15,29.66,29.889999,29.360001,29.51,2258800,29.51
2015-07-16,29.76,30.379999,29.709999,30.360001,3063700,30.360001
2015-07-17,30.25,30.459999,29.950001,30.18,2319600,30.18
2015-07-20,30.290001,30.379999,30.0,30.209999,2234400,30.209999
2015-07-21,30.16,30.66,29.940001,30.120001,2765800,30.120001
2015-07-22,30.049999,30.24,29.91,30.190001,2047600,30.190001
2015-07-23,30.190001,30.389999,29.25,29.42,6284300,29.42
2015-07-24,28.969999,29.219999,28.25,28.52,5044000,28.52
2015-07-27,28.309999,28.4,27.33,27.360001,5081400,27.360001
2015-07-28,27.549999,28.1,27.33,27.969999,2901200,27.969999
2015-07-29,28.01,28.59,27.870001,28.469999,3075100,28.469999
2015-07-30,28.26,28.68,28.219999,28.639999,2467800,28.639999
2015-07-31,28.59,28.65,27.99,28.42,2870700,28.42
2015-08-03,28.360001,28.559999,28.110001,28.360001,3537500,28.360001
2015-08-04,28.43,30.049999,28.309999,29.27,7793900,29.27
2015-08-05,29.58,29.969999,28.799999,29.280001,3312200,29.280001
2015-08-06,29.42,29.780001,29.16,29.67,3643200,29.67
2015-08-07,29.67,30.07,28.85,29.110001,3196800,29.110001
2015-08-10,29.540001,29.879999,29.209999,29.700001,1650700,29.700001
2015-08-11,29.200001,29.440001,28.370001,28.76,3862800,28.76
2015-08-12,28.4,28.4,27.17,28.27,5289100,28.27
2015-08-13,28.469999,28.690001,28.139999,28.309999,2211300,28.309999
2015-08-14,28.370001,28.540001,28.219999,28.530001,1349200,28.530001
2015-08-17,28.26,28.67,28.040001,28.629999,1789600,28.629999
2015-08-18,28.639999,28.73,28.1,28.18,2002300,28.18
2015-08-19,28.1,28.15,27.469999,27.49,2683300,27.49
2015-08-20,27.16,27.26,26.450001,26.459999,3157100,26.459999
2015-08-21,26.139999,26.25,25.540001,25.540001,4227900,25.540001
2015-08-24,23.459999,25.129999,22.66,24.120001,4939700,24.120001
2015-08-25,25.07,25.32,24.120001,24.139999,5213700,24.139999
2015-08-26,24.940001,25.35,24.34,25.26,4353500,25.26
2015-08-27,25.700001,26.6,25.700001,26.59,5279200,26.59
2015-08-28,26.26,26.709999,26.25,26.530001,2961800,26.530001
2015-08-31,26.290001,26.540001,26.1,26.290001,2211200,26.290001
2015-09-01,25.51,25.629999,24.76,25.0,5164000,25.0
2015-09-02,25.49,25.809999,24.780001,25.389999,2560000,25.389999
2015-09-03,25.5,26.209999,25.32,25.610001,3749100,25.610001
2015-09-04,25.17,25.65,25.1,25.370001,3496300,25.370001
2015-09-08,26.6,27.48,26.35,27.27,5516100,27.27
2015-09-09,27.959999,28.18,26.91,26.969999,4476900,26.969999
2015-09-10,27.01,27.5,26.74,27.209999,2285100,27.209999
2015-09-11,26.959999,27.190001,26.75,27.110001,1949000,27.110001
2015-09-14,27.02,27.1,26.58,26.719999,2160000,26.719999
2015-09-15,26.799999,27.780001,26.73,27.67,3347100,27.67
2015-09-16,27.74,27.879999,27.34,27.75,2471800,27.75
2015-09-17,27.76,28.27,26.91,26.98,5397600,26.98
2015-09-18,26.5,26.51,25.99,26.059999,6343500,26.059999
2015-09-21,26.309999,26.860001,26.209999,26.620001,3115100,26.620001
2015-09-22,26.040001,26.459999,25.75,26.110001,3594800,26.110001
2015-09-23,26.049999,26.4,25.83,26.23,1946900,26.23
2015-09-24,25.83,25.99,25.42,25.780001,3611800,25.780001
2015-09-25,26.209999,26.74,26.08,26.469999,4179600,26.469999
2015-09-28,26.24,26.33,25.110001,25.27,2848100,25.27
2015-09-29,25.280001,25.68,24.950001,25.540001,2890200,25.540001
2015-09-30,25.99,26.42,25.84,26.33,3168500,26.33
2015-10-01,26.309999,26.469999,25.719999,26.209999,3140100,26.209999
2015-10-02,25.34,25.84,24.549999,25.75,5551200,25.75
2015-10-05,26.040001,26.690001,25.959999,26.59,3987000,26.59
2015-10-06,26.42,26.58,25.68,25.75,3735000,25.75
2015-10-07,26.08,26.52,25.950001,26.440001,2861900,26.440001
2015-10-08,26.219999,26.690001,26.09,26.540001,2696100,26.540001
2015-10-09,26.639999,26.809999,25.860001,26.15,2588700,26.15
2015-10-12,26.200001,26.34,25.99,26.309999,1784700,26.309999
2015-10-13,26.200001,26.58,26.0,26.02,1874800,26.02
2015-10-14,25.969999,26.110001,25.309999,25.469999,2950900,25.469999
2015-10-15,25.73,26.41,25.58,26.290001,2786700,26.290001
2015-10-16,26.299999,26.73,25.950001,26.6,2958400,26.6
2015-10-19,26.360001,26.65,26.15,26.51,2485100,26.51
2015-10-20,26.59,26.889999,26.5,26.85,2322900,26.85
2015-10-21,26.940001,26.98,26.25,26.290001,2331300,26.290001
2015-10-22,26.48,27.190001,26.33,27.07,2908700,27.07
2015-10-23,27.790001,28.379999,26.83,28.309999,4695500,28.309999
2015-10-26,28.299999,28.370001,27.68,28.09,2757700,28.09
2015-10-27,27.709999,27.809999,27.459999,27.610001,1891700,27.610001
2015-10-28,27.75,29.1,27.540001,28.799999,4758800,28.799999
2015-10-29,28.809999,28.99,28.459999,28.59,2273600,28.59
2015-10-30,28.59,28.620001,28.25,28.51,2537700,28.51
2015-11-02,28.59,28.969999,28.49,28.85,3067000,28.85
2015-11-03,28.809999,28.950001,28.629999,28.82,3437000,28.82
2015-11-04,28.940001,29.059999,28.719999,28.870001,2334800,28.870001
2015-11-05,28.99,29.09,28.700001,28.98,2189600,28.98
2015-11-06,30.0,30.9,29.780001,30.42,5764700,30.42
2015-11-09,30.610001,30.85,30.139999,30.24,3736700,30.24
2015-11-10,30.120001,30.34,29.549999,30.040001,2301800,30.040001
2015-11-11,30.389999,30.450001,29.879999,29.9,1949700,29.9
2015-11-12,29.74,29.83,28.940001,29.01,3635000,29.01
2015-11-13,28.91,29.370001,28.459999,28.860001,2597700,28.860001
2015-11-16,28.690001,29.190001,28.4,29.18,1771600,29.18
2015-11-17,29.32,29.610001,29.01,29.27,2090100,29.27
2015-11-18,29.42,29.75,29.190001,29.700001,2231700,29.700001
2015-11-19,30.290001,30.610001,29.959999,30.110001,3628200,30.110001
2015-11-20,30.209999,30.52,30.1,30.25,2562600,30.25
2015-11-23,30.27,30.49,29.93,29.959999,1377000,29.959999
2015-11-24,29.719999,30.110001,29.530001,30.059999,1886100,30.059999
2015-11-25,30.15,30.290001,29.9,30.25,1347900,30.25
2015-11-27,30.27,30.360001,30.09,30.290001,612900,30.290001
2015-11-30,30.389999,30.610001,30.18,30.43,2209500,30.43
2015-12-01,30.57,30.98,30.32,30.719999,2491800,30.719999
2015-12-02,30.950001,30.98,30.43,30.5,2649100,30.5
2015-12-03,30.76,30.76,29.75,29.9,3155300,29.9
2015-12-04,30.0,30.780001,29.9,30.73,2409500,30.73
2015-12-07,30.610001,30.690001,29.9,30.120001,2939700,30.120001
2015-12-08,29.790001,30.139999,29.67,29.969999,3449200,29.969999
2015-12-09,29.91,30.549999,29.379999,29.620001,3602600,29.620001
2015-12-10,29.610001,30.15,29.42,29.85,2239200,29.85
2015-12-11,29.360001,29.780001,28.75,28.870001,2930200,28.870001
2015-12-14,29.16,29.52,28.6,29.01,2781600,29.01
2015-12-15,29.379999,30.35,29.379999,30.24,3571000,30.24
2015-12-16,30.709999,30.799999,29.77,30.52,4551900,30.52
2015-12-17,30.67,30.75,29.950001,29.950001,3215800,29.950001
2015-12-18,29.690001,29.799999,28.75,28.82,11666600,28.82
2015-12-21,29.07,29.209999,28.469999,28.639999,4457800,28.639999
2015-12-22,28.91,29.34,28.639999,29.219999,2333500,29.219999
2015-12-23,29.469999,29.719999,29.16,29.67,2160800,29.67
2015-12-24,29.59,29.92,29.26,29.709999,766900,29.709999
2015-12-28,29.530001,29.59,29.17,29.57,1217300,29.57
2015-12-29,29.83,30.059999,29.639999,29.9,1744800,29.9
2015-12-30,29.809999,30.08,29.690001,29.9,1999000,29.9
2015-12-31,29.77,30.15,29.629999,29.639999,2110100,29.639999
