Date,Open_EXPE,High_EXPE,Low_EXPE,Close_EXPE,Volume_EXPE,AdjClose_EXPE
2015-06-05,105.809998,106.93,105.300003,106.400002,1661400,105.484835
2015-06-08,106.0,106.550003,104.720001,104.790001,949000,103.888682
2015-06-09,104.919998,105.339996,103.459999,105.019997,1328500,104.1167
2015-06-10,105.989998,108.370003,105.580002,108.169998,1429900,107.239608
2015-06-11,108.239998,109.25,107.57,107.870003,903500,106.942193
2015-06-12,107.120003,108.25,107.099998,107.690002,852500,106.76374
2015-06-15,107.190002,107.970001,106.669998,107.220001,987400,106.297782
2015-06-16,107.220001,108.419998,107.040001,107.949997,979000,107.021499
2015-06-17,108.129997,109.040001,106.879997,107.889999,1710600,106.962017
2015-06-18,107.989998,110.540001,107.599998,109.68,1168700,108.736622
2015-06-19,110.0,110.510002,108.220001,108.68,1425200,107.745223
2015-06-22,111.199997,111.330002,109.150002,109.5,1314400,108.55817
2015-06-23,109.949997,110.139999,109.089996,109.830002,836500,108.885333
2015-06-24,109.620003,110.5,108.940002,108.980003,1008000,108.042646
2015-06-25,109.669998,109.830002,108.599998,109.269997,860700,108.330145
2015-06-26,109.5,110.779999,109.0,110.709999,1301800,109.757761
2015-06-29,109.220001,109.720001,106.510002,106.949997,1209000,106.0301
2015-06-30,108.279999,110.699997,107.779999,109.349998,1442600,108.409459
2015-07-01,109.199997,111.0,106.510002,107.190002,2062600,106.268041
2015-07-02,107.529999,108.199997,105.779999,107.07,1176000,106.14907
2015-07-06,106.309998,107.830002,105.839996,106.510002,1350000,105.59389
2015-07-07,107.099998,107.150002,104.220001,107.059998,1390600,106.139154
2015-07-08,105.790001,106.379997,104.32,104.870003,906700,103.967996
2015-07-09,106.529999,107.050003,104.5,104.550003,990900,103.650749
2015-07-10,106.07,108.160004,105.730003,107.970001,1024300,107.041331
2015-07-13,108.970001,111.199997,108.800003,111.120003,1558200,110.164239
2015-07-14,110.330002,110.330002,107.029999,107.260002,2553300,106.337439
2015-07-15,107.080002,108.040001,106.25,107.449997,1148400,106.525799
2015-07-16,108.389999,110.709999,108.209999,110.050003,1998900,109.103442
2015-07-17,110.370003,111.800003,110.059998,110.790001,1952100,109.837075
2015-07-20,110.139999,110.839996,109.339996,109.559998,891400,108.617651
2015-07-21,109.5,110.269997,107.879997,110.089996,962600,109.143092
2015-07-22,109.459999,110.93,109.459999,110.660004,826000,109.708196
2015-07-23,111.239998,111.25,109.080002,109.519997,781700,108.577994
2015-07-24,109.0,109.0,105.330002,105.699997,2592100,104.790851
2015-07-27,105.510002,105.699997,104.0,104.919998,1491700,104.017561
2015-07-28,105.800003,107.699997,104.720001,107.169998,1338900,106.248209
2015-07-29,107.459999,107.57,105.82,106.870003,1213500,105.950794
2015-07-30,107.75,112.0,107.230003,107.610001,4192900,106.684427
2015-07-31,116.360001,122.190002,116.0,121.440002,7887000,120.395474
2015-08-03,121.849998,123.75,120.739998,122.589996,3273800,121.535577
2015-08-04,121.870003,125.980003,121.650002,124.559998,2368400,123.488634
2015-08-05,126.239998,128.470001,126.209999,126.790001,1971600,125.699456
2015-08-06,125.989998,125.989998,120.790001,121.599998,3194500,120.554094
2015-08-07,121.199997,122.889999,120.160004,121.040001,1574600,119.998913
2015-08-10,121.339996,122.489998,120.760002,121.489998,990900,120.445039
2015-08-11,120.5,121.93,119.800003,121.129997,1019500,120.088135
2015-08-12,119.889999,121.400002,117.889999,120.779999,1293400,119.741147
2015-08-13,120.220001,122.330002,119.75,120.660004,783900,119.622184
2015-08-14,120.559998,122.160004,119.660004,121.650002,907100,120.603667
2015-08-17,121.489998,123.290001,120.0,123.010002,789100,121.95197
2015-08-18,123.339996,124.029999,122.5,123.32,944100,122.259301
2015-08-19,122.989998,123.989998,122.120003,123.139999,806900,122.080849
2015-08-20,121.629997,122.629997,118.589996,118.699997,1205800,117.679036
2015-08-21,117.0,118.669998,114.449997,114.510002,1988000,113.52508
2015-08-24,107.5,112.720001,104.760002,108.339996,3173200,107.408144
2015-08-25,112.150002,113.080002,108.309998,108.419998,1854500,107.726092
2015-08-26,111.470001,115.550003,109.75,115.239998,1959800,114.502443
2015-08-27,116.800003,117.699997,114.779999,117.449997,1528600,116.698297
2015-08-28,116.550003,117.639999,115.389999,116.510002,850300,115.764319
2015-08-31,115.339996,116.5,114.050003,114.989998,1026900,114.254043
2015-09-01,111.25,113.589996,109.760002,110.370003,1842400,109.663616
2015-09-02,112.480003,113.389999,110.879997,113.379997,919100,112.654346
2015-09-03,113.610001,115.339996,112.629997,112.889999,817900,112.167484
2015-09-04,111.279999,112.410004,110.269997,111.230003,1297400,110.518113
2015-09-08,113.150002,114.690002,112.620003,114.459999,986800,113.727436
2015-09-09,115.099998,116.400002,113.089996,113.349998,1495500,112.624539
2015-09-10,112.989998,117.07,112.769997,115.940002,1249400,115.197967
2015-09-11,115.739998,117.18,115.410004,116.610001,990800,115.863677
2015-09-14,116.959999,117.419998,115.279999,115.75,967700,115.009181
2015-09-15,116.120003,119.239998,115.010002,118.830002,1463900,118.06947
2015-09-16,118.949997,129.100006,117.449997,124.68,5111400,123.882027
2015-09-17,125.459999,130.75,125.309998,128.830002,3965600,128.005468
2015-09-18,127.0,130.990005,126.32,126.489998,2482100,125.680441
2015-09-21,127.400002,128.389999,125.370003,126.330002,1077300,125.521469
2015-09-22,125.339996,125.769997,123.720001,124.879997,1272500,124.080744
2015-09-23,124.309998,125.629997,121.800003,122.139999,1658500,121.358283
2015-09-24,121.529999,122.0,119.0,120.5,2194100,119.72878
2015-09-25,121.980003,123.300003,119.050003,120.050003,1791000,119.281663
2015-09-28,119.970001,120.260002,115.959999,116.720001,2561900,115.972974
2015-09-29,116.669998,117.209999,113.220001,114.010002,1877800,113.280319
2015-09-30,115.589996,117.900002,114.059998,117.68,1503200,116.926829
2015-10-01,118.5,119.989998,116.550003,119.919998,1305200,119.15249
2015-10-02,118.080002,122.730003,118.010002,122.620003,1379100,121.835214
2015-10-05,123.75,125.830002,122.790001,123.949997,1219500,123.156696
2015-10-06,123.949997,124.639999,120.43,122.220001,1226100,121.437773
2015-10-07,122.93,124.050003,120.599998,122.93,831700,122.143228
2015-10-08,122.410004,123.080002,118.889999,122.879997,1367800,122.093545
2015-10-09,123.169998,125.699997,122.010002,125.339996,1037300,124.537799
2015-10-12,126.260002,128.679993,124.790001,127.019997,1907600,126.207047
2015-10-13,126.190002,129.149994,125.400002,128.100006,1780600,127.280145
2015-10-14,124.199997,126.120003,119.559998,121.849998,4258900,121.070138
2015-10-15,122.489998,125.730003,121.839996,125.18,1818100,124.378827
2015-10-16,125.629997,127.860001,125.629997,127.379997,1785700,126.564744
2015-10-19,127.43,131.070007,126.5,130.449997,1775500,129.615095
2015-10-20,130.440002,131.259995,128.119995,129.039993,1771800,128.214116
2015-10-21,130.0,131.509995,128.139999,129.139999,1390900,128.313482
2015-10-22,126.900002,129.740005,125.599998,127.580002,2607200,126.763468
2015-10-23,129.350006,129.350006,125.209999,125.410004,3703200,124.607359
2015-10-26,125.879997,129.259995,125.709999,128.389999,2172700,127.568282
2015-10-27,128.839996,129.75,125.879997,127.110001,1672600,126.296475
2015-10-28,127.980003,128.020004,124.610001,125.800003,2596700,124.994862
2015-10-29,125.75,127.57,124.540001,127.059998,4313800,126.246792
2015-10-30,136.169998,139.580002,135.699997,136.300003,7583100,135.42766
2015-11-02,136.199997,137.270004,133.419998,135.410004,2661500,134.543357
2015-11-03,135.410004,137.5,133.570007,136.389999,2012300,135.51708
2015-11-04,137.020004,137.300003,132.490005,134.169998,2767300,133.311288
2015-11-05,139.0,140.509995,136.410004,137.309998,8745800,136.431191
2015-11-06,138.080002,138.199997,131.600006,133.320007,5417600,132.466737
2015-11-09,131.759995,133.229996,129.339996,129.479996,3757300,128.651302
2015-11-10,129.679993,130.320007,128.130005,129.009995,2107700,128.184309
2015-11-11,129.759995,130.289993,128.5,128.740005,2256200,127.916048
2015-11-12,128.429993,129.160004,127.75,127.940002,2743900,127.121165
2015-11-13,127.75,128.660004,124.830002,125.199997,3062200,124.398696
2015-11-16,122.620003,123.379997,120.709999,122.529999,5572200,121.745786
2015-11-17,123.580002,124.010002,119.360001,120.889999,2845400,120.352022
2015-11-18,121.260002,125.989998,121.0,125.300003,4405800,124.7424
2015-11-19,126.0,129.970001,124.379997,128.089996,4700000,127.519978
2015-11-20,128.550003,128.869995,125.870003,126.25,2632600,125.68817
2015-11-23,126.610001,127.220001,123.839996,124.919998,1999900,124.364086
2015-11-24,122.75,123.199997,120.029999,121.269997,2860400,120.730328
2015-11-25,121.82,124.0,121.5,123.620003,1501300,123.069876
2015-11-27,124.089996,124.190002,121.660004,123.629997,707700,123.079826
2015-11-30,123.489998,124.349998,122.139999,123.110001,1560200,122.562144
2015-12-01,124.089996,125.230003,122.760002,125.040001,2261800,124.483555
2015-12-02,125.0,125.599998,122.779999,123.110001,1489400,122.562144
2015-12-03,123.389999,125.129997,121.580002,122.269997,3310700,121.725878
2015-12-04,123.110001,126.059998,122.209999,125.919998,2009000,125.359636
2015-12-07,126.339996,126.480003,123.919998,125.040001,1622800,124.483555
2015-12-08,123.919998,126.169998,123.010002,125.629997,1309400,125.070926
2015-12-09,125.029999,126.860001,123.309998,125.019997,2949300,124.46364
2015-12-10,124.800003,126.599998,123.120003,125.610001,2589300,125.051018
2015-12-11,123.550003,125.610001,122.739998,123.209999,2941600,122.661697
2015-12-14,123.480003,126.0,123.440002,124.300003,2455700,123.74685
2015-12-15,125.769997,132.0,125.730003,130.240005,4146400,129.660419
2015-12-16,131.119995,133.070007,128.300003,131.160004,5717800,130.576323
2015-12-17,131.229996,131.899994,128.449997,128.669998,2237800,128.097398
2015-12-18,128.660004,129.539993,125.0,125.360001,6896100,124.802131
2015-12-21,126.059998,127.389999,124.519997,125.580002,1572500,125.021153
2015-12-22,126.330002,128.029999,125.050003,127.519997,2030000,126.952515
