Date,Open_FE,High_FE,Low_FE,Close_FE,Volume_FE,AdjClose_FE
2015-06-05,34.150002,34.43,33.880001,34.400002,2940800,32.914107
2015-06-08,34.330002,34.57,34.18,34.299999,2041800,32.818425
2015-06-09,34.200001,34.349998,33.880001,33.919998,2557000,32.454838
2015-06-10,34.25,34.790001,34.23,34.540001,4708100,33.04806
2015-06-11,34.759998,34.84,34.200001,34.52,2164800,33.028923
2015-06-12,34.369999,34.369999,33.669998,33.669998,2492200,32.215636
2015-06-15,33.610001,33.66,33.169998,33.290001,2736200,31.852053
2015-06-16,33.290001,33.41,33.0,33.360001,1910800,31.919029
2015-06-17,33.349998,33.619999,32.98,33.43,3586500,31.986005
2015-06-18,33.509998,34.139999,33.5,34.040001,3111300,32.569657
2015-06-19,34.02,34.240002,33.75,33.799999,3378100,32.340022
2015-06-22,33.950001,34.060001,33.630001,33.689999,2041300,32.234773
2015-06-23,33.759998,33.790001,33.169998,33.27,2537600,31.832916
2015-06-24,33.25,33.349998,33.0,33.0,2059700,31.574578
2015-06-25,33.040001,33.139999,32.830002,32.860001,2219400,31.440626
2015-06-26,32.860001,33.049999,32.57,32.75,2285200,31.335377
2015-06-29,32.68,33.380001,32.59,32.610001,2493200,31.201425
2015-06-30,32.689999,32.810001,32.459999,32.549999,2313500,31.144015
2015-07-01,32.66,32.830002,32.529999,32.810001,1796100,31.392787
2015-07-02,33.09,33.41,32.959999,33.209999,1411100,31.775507
2015-07-06,33.139999,33.52,32.869999,33.310001,1944200,31.871189
2015-07-07,33.43,34.18,33.389999,34.060001,2727200,32.588794
2015-07-08,33.889999,34.16,33.709999,33.790001,2412300,32.330456
2015-07-09,33.91,34.139999,33.330002,33.470001,1615700,32.024278
2015-07-10,33.630001,33.93,33.419998,33.66,1477500,32.20607
2015-07-13,33.779999,33.84,33.43,33.669998,1555100,32.215636
2015-07-14,33.669998,33.880001,33.439999,33.619999,1471400,32.167797
2015-07-15,33.549999,33.869999,33.43,33.860001,1690100,32.397432
2015-07-16,33.900002,34.73,33.790001,34.689999,3000700,33.191578
2015-07-17,34.560001,34.599998,34.27,34.400002,2069000,32.914107
2015-07-20,34.400002,34.419998,33.759998,33.970001,1858600,32.502681
2015-07-21,33.860001,33.950001,33.189999,33.279999,1900800,31.842483
2015-07-22,33.369999,33.610001,33.189999,33.32,2148000,31.880756
2015-07-23,32.900002,32.970001,32.099998,32.32,4774800,30.92395
2015-07-24,32.349998,32.52,32.259998,32.290001,2119700,30.895248
2015-07-27,32.240002,32.93,32.240002,32.75,1457600,31.335377
2015-07-28,32.73,32.900002,32.540001,32.799999,2090400,31.383217
2015-07-29,32.700001,32.810001,32.32,32.610001,2382500,31.201425
2015-07-30,32.48,32.990002,32.450001,32.959999,2516700,31.536305
2015-07-31,33.150002,34.119999,33.150002,33.959999,3450300,32.493111
2015-08-03,34.02,34.470001,33.939999,34.43,2964400,32.94281
2015-08-04,34.369999,34.57,33.650002,33.709999,3115300,32.253909
2015-08-05,33.490002,33.939999,33.470001,33.560001,2203300,32.45701
2015-08-06,33.610001,34.0,33.279999,33.970001,2660300,32.853535
2015-08-07,33.93,34.599998,33.740002,34.259998,2765600,33.134001
2015-08-10,34.32,34.540001,34.029999,34.130001,1855100,33.008276
2015-08-11,34.130001,34.650002,34.130001,34.189999,2166400,33.066302
2015-08-12,34.139999,34.66,34.009998,34.610001,3557800,33.4725
2015-08-13,34.470001,34.540001,34.200001,34.450001,2394500,33.317759
2015-08-14,34.439999,34.790001,34.32,34.790001,3647700,33.646584
2015-08-17,34.82,35.09,34.720001,34.869999,2633900,33.723953
2015-08-18,34.73,34.860001,34.43,34.650002,3120200,33.511186
2015-08-19,34.52,35.049999,34.43,34.880001,2838500,33.733627
2015-08-20,34.639999,34.98,34.34,34.380001,3124300,33.25006
2015-08-21,34.27,34.529999,33.900002,33.990002,4225700,32.872878
2015-08-24,32.720001,33.869999,32.509998,32.740002,7278000,31.663961
2015-08-25,33.450001,33.490002,31.709999,31.719999,4958100,30.677482
2015-08-26,32.150002,32.259998,31.469999,32.139999,5280700,31.083678
2015-08-27,32.400002,32.52,32.02,32.509998,4199600,31.441517
2015-08-28,32.400002,32.5,31.9,32.490002,3852200,31.422178
2015-08-31,32.34,32.389999,31.530001,31.959999,3672700,30.909594
2015-09-01,31.700001,32.139999,30.76,30.98,3378100,29.961803
2015-09-02,31.280001,31.440001,30.34,30.860001,6401400,29.845748
2015-09-03,30.93,31.309999,30.790001,31.25,5387500,30.22293
2015-09-04,30.9,31.030001,30.48,30.59,2929300,29.584622
2015-09-08,31.02,31.219999,30.82,31.18,2997900,30.155231
2015-09-09,31.389999,31.43,30.719999,30.780001,3137900,29.768378
2015-09-10,30.74,31.1,30.51,30.57,3680000,29.565279
2015-09-11,30.610001,30.76,30.459999,30.59,4114300,29.584622
2015-09-14,30.68,31.120001,30.65,30.879999,3766200,29.86509
2015-09-15,30.93,31.34,30.65,31.190001,3405900,30.164903
2015-09-16,31.200001,31.959999,31.1,31.58,3499600,30.542084
2015-09-17,31.58,32.169998,31.450001,31.719999,3280900,30.677482
2015-09-18,31.389999,31.879999,31.059999,31.129999,5285600,30.106873
2015-09-21,31.25,31.57,31.17,31.35,3487700,30.319644
2015-09-22,31.549999,31.6,30.709999,30.9,3982100,29.884433
2015-09-23,30.950001,31.030001,30.450001,30.469999,3491800,29.468565
2015-09-24,30.389999,30.77,30.309999,30.719999,3214100,29.710348
2015-09-25,30.790001,31.290001,30.469999,31.040001,3095500,30.019833
2015-09-28,31.02,31.280001,30.889999,30.91,2465600,29.894104
2015-09-29,30.940001,31.120001,30.639999,30.83,1821800,29.816734
2015-09-30,30.959999,31.34,30.860001,31.309999,3293800,30.280958
2015-10-01,31.360001,31.49,30.280001,30.59,2883000,29.584622
2015-10-02,30.709999,31.049999,30.440001,30.950001,2324300,29.932791
2015-10-05,31.049999,31.83,31.049999,31.6,4347700,30.561427
2015-10-06,31.49,31.65,30.969999,31.15,2415600,30.126216
2015-10-07,31.200001,31.360001,30.969999,31.030001,3225100,30.010161
2015-10-08,30.99,31.440001,30.92,31.34,3548300,30.309972
2015-10-09,31.35,31.559999,31.24,31.559999,4719500,30.522741
2015-10-12,31.700001,32.57,31.67,32.400002,4878800,31.335135
2015-10-13,32.509998,32.66,32.209999,32.330002,4691700,31.267436
2015-10-14,32.389999,32.779999,32.240002,32.5,4124700,31.431847
2015-10-15,32.639999,32.869999,32.459999,32.740002,4098300,31.663961
2015-10-16,32.959999,33.0,32.43,32.5,3238000,31.431847
2015-10-19,32.580002,32.639999,32.07,32.220001,3009700,31.161051
2015-10-20,32.200001,32.669998,32.080002,32.630001,5134500,31.557576
2015-10-21,32.68,32.810001,32.189999,32.240002,2491600,31.180394
2015-10-22,32.349998,32.779999,32.009998,32.509998,3555900,31.441517
2015-10-23,32.5,32.549999,31.620001,31.67,2973300,30.629126
2015-10-26,31.799999,31.85,31.030001,31.290001,3580500,30.261616
2015-10-27,31.280001,31.389999,30.889999,31.190001,2109400,30.164903
2015-10-28,31.200001,31.360001,30.469999,30.84,2504200,29.826405
2015-10-29,30.74,30.860001,30.139999,30.82,2896800,29.807062
2015-10-30,31.09,31.49,30.809999,31.200001,4703400,30.174574
2015-11-02,31.209999,31.33,30.709999,31.16,3968600,30.135888
2015-11-03,31.15,31.309999,30.51,31.07,4411000,30.048846
2015-11-04,30.67,31.09,30.620001,30.99,4965400,30.322817
2015-11-05,30.940001,30.98,30.32,30.4,3051900,29.745519
2015-11-06,30.01,30.08,29.049999,29.290001,4014400,28.659418
2015-11-09,29.17,29.32,28.889999,29.120001,4137800,28.493078
2015-11-10,29.16,29.74,29.120001,29.48,2692400,28.845326
2015-11-11,29.58,30.219999,29.48,30.209999,4753300,29.559609
2015-11-12,30.120001,30.65,30.059999,30.16,5323900,29.510686
2015-11-13,30.200001,30.75,30.15,30.6,5315900,29.941214
2015-11-16,30.540001,30.75,30.27,30.440001,2940600,29.784659
2015-11-17,30.48,30.799999,30.01,30.059999,2805300,29.412839
2015-11-18,30.059999,30.48,29.620001,30.41,5757100,29.755304
2015-11-19,30.68,31.26,30.68,31.209999,4304700,30.53808
2015-11-20,31.33,31.52,30.879999,31.49,4956800,30.812053
2015-11-23,31.540001,31.74,31.139999,31.17,3412200,30.498942
2015-11-24,31.0,31.27,30.84,31.16,2865100,30.489157
2015-11-25,31.129999,31.16,30.59,30.93,2950500,30.26411
2015-11-27,30.950001,31.290001,30.9,31.15,1532800,30.479373
2015-11-30,31.1,31.459999,30.92,31.389999,5856400,30.714205
2015-12-01,31.59,32.459999,31.51,32.27,9374800,31.575261
2015-12-02,32.27,32.540001,31.67,31.98,7020100,31.291503
2015-12-03,32.09,32.34,31.799999,32.049999,6835300,31.359996
2015-12-04,32.240002,32.990002,32.09,32.82,5983600,32.113419
2015-12-07,32.740002,32.880001,32.400002,32.48,5451000,31.780739
2015-12-08,32.330002,32.5,31.700001,31.9,4816100,31.213226
2015-12-09,31.65,32.450001,31.6,32.049999,4889100,31.359996
2015-12-10,32.07,32.07,31.52,31.549999,3463900,30.870761
2015-12-11,31.32,31.690001,31.110001,31.459999,3152100,30.782698
2015-12-14,31.57,31.66,30.790001,30.98,4878300,30.313032
2015-12-15,31.18,31.33,30.940001,31.129999,5134300,30.459803
2015-12-16,31.33,31.77,31.33,31.639999,5139000,30.958823
2015-12-17,31.639999,31.780001,31.33,31.530001,5139700,30.851193
2015-12-18,31.360001,31.4,30.91,31.01,5473400,30.342387
2015-12-21,31.219999,31.27,30.92,31.07,4189200,30.401095
2015-12-22,31.17,31.76,30.99,31.719999,3721500,31.037101
2015-12-23,31.809999,32.529999,31.809999,32.470001,2763400,31.770956
2015-12-24,32.41,32.75,32.349998,32.599998,1601800,31.898154
