Date,Open_HAL,High_HAL,Low_HAL,Close_HAL,Volume_HAL,AdjClose_HAL
2015-06-05,44.560001,46.130001,44.369999,45.73,12119200,44.872292
2015-06-08,45.650002,46.139999,45.23,45.419998,8923300,44.568105
2015-06-09,45.799999,46.080002,45.259998,45.279999,8178300,44.430731
2015-06-10,45.849998,46.689999,45.779999,46.240002,11791200,45.372728
2015-06-11,46.59,46.599998,45.57,45.619999,6935900,44.764354
2015-06-12,45.43,45.790001,45.240002,45.48,5403000,44.626981
2015-06-15,45.009998,45.889999,44.66,45.549999,9627800,44.695667
2015-06-16,45.459999,45.779999,45.310001,45.419998,8342900,44.568105
2015-06-17,45.869999,46.380001,45.419998,45.709999,8951400,44.852666
2015-06-18,46.02,46.189999,44.34,44.580002,17903000,43.743863
2015-06-19,44.279999,44.650002,43.560001,43.849998,17319800,43.027552
2015-06-22,43.919998,44.209999,43.450001,44.110001,10744600,43.282677
2015-06-23,43.849998,44.560001,43.830002,44.490002,10622300,43.655551
2015-06-24,44.16,44.669998,44.110001,44.25,9833800,43.420051
2015-06-25,44.16,44.23,43.5,43.5,8706000,42.684118
2015-06-26,43.5,43.52,42.759998,43.119999,28337200,42.311244
2015-06-29,42.560001,43.18,42.459999,42.689999,11070900,41.889309
2015-06-30,43.07,43.23,42.75,43.07,10645200,42.262183
2015-07-01,43.23,43.27,41.200001,41.560001,16565000,40.780506
2015-07-02,41.66,42.18,41.330002,41.91,10453700,41.12394
2015-07-06,40.830002,41.740002,40.619999,40.720001,13463900,39.95626
2015-07-07,40.630001,42.060001,40.240002,41.880001,18273600,41.094503
2015-07-08,41.389999,41.98,40.709999,40.939999,15205100,40.172132
2015-07-09,41.540001,41.82,41.259998,41.310001,10740400,40.535195
2015-07-10,41.57,41.77,41.169998,41.330002,10430800,40.55482
2015-07-13,41.41,41.93,41.040001,41.869999,11084900,41.084689
2015-07-14,41.790001,42.98,41.720001,42.560001,10114500,41.76175
2015-07-15,42.310001,42.32,41.060001,41.07,14552100,40.299694
2015-07-16,41.41,41.52,40.16,40.209999,15030800,39.455824
2015-07-17,39.990002,40.419998,39.549999,39.990002,14966800,39.239953
2015-07-20,40.439999,41.599998,40.439999,40.720001,19223300,39.95626
2015-07-21,40.779999,42.59,40.740002,41.860001,22068200,41.074878
