Date,Open_IPG,High_IPG,Low_IPG,Close_IPG,Volume_IPG,AdjClose_IPG
2015-06-05,20.16,20.290001,19.950001,20.190001,2676100,19.694803
2015-06-08,20.18,20.24,19.959999,19.959999,1842200,19.470442
2015-06-09,19.969999,20.01,19.629999,19.870001,2862500,19.382651
2015-06-10,19.93,20.190001,19.860001,20.17,1725100,19.675293
2015-06-11,20.190001,20.24,19.99,20.15,2790000,19.655783
2015-06-12,20.030001,20.16,19.91,19.98,2693600,19.489952
2015-06-15,19.799999,19.959999,19.719999,19.889999,3938800,19.402159
2015-06-16,19.940001,20.1,19.940001,20.1,2046500,19.60701
2015-06-17,20.139999,20.23,20.01,20.040001,2133000,19.548482
2015-06-18,20.09,20.34,20.059999,20.23,2771500,19.73382
2015-06-19,20.18,20.26,20.059999,20.110001,2511800,19.616765
2015-06-22,20.200001,20.299999,20.110001,20.209999,1504900,19.714311
2015-06-23,20.209999,20.26,19.92,19.93,3147600,19.441179
2015-06-24,19.879999,19.969999,19.629999,19.639999,4664600,19.158291
2015-06-25,19.75,19.950001,19.66,19.790001,4209600,19.304614
2015-06-26,19.82,19.85,19.610001,19.700001,3524400,19.216821
2015-06-29,19.52,19.73,19.09,19.1,4138900,18.631537
2015-06-30,19.24,19.33,19.08,19.27,8261800,18.797367
2015-07-01,19.42,19.51,19.26,19.4,2652900,18.924178
2015-07-02,19.35,19.469999,19.139999,19.27,3725800,18.797367
2015-07-06,19.07,19.17,18.98,19.07,5387900,18.602272
2015-07-07,19.139999,19.370001,18.83,19.34,4683900,18.86565
2015-07-08,19.190001,19.24,18.969999,19.0,4345900,18.533989
2015-07-09,19.290001,19.51,19.26,19.290001,5113000,18.816877
2015-07-10,19.549999,19.700001,19.49,19.65,2543100,19.168046
2015-07-13,19.780001,19.91,19.700001,19.879999,2465100,19.392405
2015-07-14,19.82,20.0,19.82,19.91,2398800,19.421669
2015-07-15,19.92,20.0,19.719999,19.780001,2273400,19.294859
2015-07-16,19.889999,20.120001,19.75,20.110001,3376600,19.616765
2015-07-17,20.120001,20.139999,19.879999,20.120001,3907700,19.62652
2015-07-20,20.059999,20.120001,19.889999,19.99,2707400,19.499707
2015-07-21,20.059999,20.059999,19.629999,19.799999,4130800,19.314367
2015-07-22,19.780001,20.9,19.780001,20.870001,9377700,20.358125
2015-07-23,20.959999,21.16,20.690001,20.77,4374600,20.260577
2015-07-24,20.879999,21.120001,20.719999,20.799999,3458900,20.28984
2015-07-27,20.709999,20.82,20.59,20.620001,4365300,20.114256
2015-07-28,20.76,21.110001,20.59,21.08,4426400,20.562973
2015-07-29,21.049999,21.23,21.01,21.190001,2917700,20.670276
2015-07-30,21.129999,21.27,20.870001,21.219999,2487300,20.699539
2015-07-31,21.309999,21.4,21.219999,21.299999,2779300,20.777576
2015-08-03,21.32,21.440001,21.0,21.1,3132600,20.582483
2015-08-04,21.1,21.280001,20.959999,21.1,2189300,20.582483
2015-08-05,21.24,21.33,21.01,21.15,4898100,20.631256
2015-08-06,21.17,21.17,20.200001,20.75,6837600,20.241067
2015-08-07,20.75,21.030001,20.709999,20.9,3599300,20.387388
2015-08-10,21.120001,21.440001,21.09,21.16,4776800,20.641011
2015-08-11,21.02,21.33,20.93,21.27,4624100,20.748313
2015-08-12,20.969999,21.33,20.860001,21.299999,2792500,20.777576
2015-08-13,21.32,21.35,21.07,21.08,2460700,20.562973
2015-08-14,21.1,21.16,20.85,21.15,2284500,20.631256
2015-08-17,21.1,21.280001,20.959999,21.219999,1659700,20.699539
2015-08-18,21.200001,21.25,20.92,21.01,1465000,20.49469
2015-08-19,20.92,21.120001,20.700001,20.959999,2157100,20.445915
2015-08-20,20.700001,20.700001,20.23,20.24,2388600,19.743575
2015-08-21,20.0,20.08,19.6,19.610001,3128500,19.129028
2015-08-24,18.629999,19.209999,18.42,18.74,6702100,18.280366
2015-08-25,19.35,19.35,18.459999,18.49,5059500,18.036498
2015-08-26,18.93,19.129999,18.43,19.1,4675000,18.631537
2015-08-27,19.280001,19.41,18.879999,19.24,5731300,18.768102
2015-08-28,19.17,19.27,19.01,19.18,3179700,18.826999
2015-08-31,19.15,19.190001,18.860001,18.879999,2616400,18.532519
2015-09-01,18.440001,18.65,18.16,18.27,4114500,17.933747
2015-09-02,18.5,18.9,18.41,18.889999,4242300,18.542335
2015-09-03,18.93,19.27,18.83,19.139999,3989200,18.787734
2015-09-04,18.799999,19.08,18.700001,18.83,4738300,18.48344
2015-09-08,19.17,19.51,19.059999,19.450001,4897900,19.09203
2015-09-09,19.6,19.65,19.110001,19.15,3284700,18.79755
2015-09-10,19.09,19.41,19.02,19.219999,1931400,18.866262
2015-09-11,19.35,19.67,19.120001,19.66,4537900,19.298164
2015-09-14,19.620001,19.809999,19.530001,19.799999,5495800,19.435587
2015-09-15,19.83,19.93,19.639999,19.860001,3044500,19.494484
2015-09-16,19.9,20.32,19.9,20.280001,3744200,19.906754
2015-09-17,20.299999,20.719999,20.25,20.48,4465000,20.103072
2015-09-18,20.190001,20.5,20.07,20.129999,5480400,19.759513
2015-09-21,20.25,20.33,20.049999,20.120001,3146000,19.749699
2015-09-22,19.75,19.91,19.620001,19.700001,5858400,19.337429
2015-09-23,19.68,19.77,19.559999,19.620001,2752800,19.258901
2015-09-24,19.530001,19.530001,19.23,19.469999,5527100,19.111661
2015-09-25,19.57,19.6,19.190001,19.299999,3527800,18.944789
2015-09-28,19.209999,19.280001,18.75,18.84,2636300,18.493256
2015-09-29,18.91,18.91,18.540001,18.74,3165500,18.395096
2015-09-30,18.950001,19.15,18.889999,19.129999,3946300,18.777918
2015-10-01,19.110001,19.23,18.809999,19.190001,4556600,18.836815
2015-10-02,18.889999,19.639999,18.84,19.639999,3932900,19.278532
2015-10-05,19.73,20.110001,19.700001,20.030001,5039800,19.661355
2015-10-06,20.02,20.42,20.0,20.059999,3170900,19.690802
2015-10-07,20.15,20.32,20.059999,20.26,5053800,19.887122
2015-10-08,20.16,20.92,20.15,20.889999,6173600,20.505526
2015-10-09,20.93,21.049999,20.67,21.040001,3440900,20.652767
2015-10-12,21.059999,21.09,20.91,20.959999,3341700,20.574237
2015-10-13,20.83,21.120001,20.790001,20.959999,3954200,20.574237
2015-10-14,20.940001,21.01,20.77,20.85,2304200,20.466263
2015-10-15,20.99,21.32,20.83,21.24,4980700,20.849085
2015-10-16,21.370001,21.459999,21.049999,21.190001,2298500,20.800006
2015-10-19,21.139999,21.41,21.030001,21.4,3421800,21.00614
2015-10-20,21.41,21.68,21.299999,21.389999,3965300,20.996324
2015-10-21,21.75,22.309999,21.6,21.719999,7652200,21.32025
2015-10-22,21.959999,22.24,21.870001,22.18,5624600,21.771785
2015-10-23,22.379999,22.440001,22.09,22.4,4263200,21.987735
2015-10-26,22.41,22.700001,22.389999,22.620001,3629700,22.203687
2015-10-27,22.540001,22.6,22.32,22.48,2657300,22.066263
2015-10-28,22.6,22.709999,22.41,22.709999,3858500,22.292029
2015-10-29,22.629999,22.870001,22.549999,22.76,3740100,22.34111
2015-10-30,22.77,23.0,22.639999,22.93,3597800,22.507981
2015-11-02,22.91,23.629999,22.879999,23.469999,4193800,23.038042
2015-11-03,23.41,23.48,23.040001,23.280001,4913100,22.85154
2015-11-04,23.309999,23.43,22.959999,23.0,3604100,22.576693
2015-11-05,23.0,23.059999,22.76,22.76,3612200,22.34111
2015-11-06,22.709999,22.83,22.5,22.82,3055800,22.400005
2015-11-09,22.76,22.889999,22.5,22.67,2855700,22.252766
2015-11-10,22.620001,23.08,22.620001,23.030001,2603500,22.606141
2015-11-11,23.15,23.200001,22.969999,23.040001,2557300,22.615957
2015-11-12,22.809999,23.1,22.73,22.870001,2721600,22.449086
2015-11-13,22.860001,22.950001,22.389999,22.450001,4682300,22.036816
2015-11-16,22.440001,22.870001,22.379999,22.809999,2672100,22.390189
2015-11-17,22.83,22.889999,22.620001,22.67,2447000,22.252766
2015-11-18,22.75,23.139999,22.700001,23.120001,2480800,22.694485
2015-11-19,23.110001,23.43,23.08,23.299999,2628100,22.871171
2015-11-20,23.440001,23.57,23.299999,23.35,2651000,22.920252
2015-11-23,23.370001,23.42,23.18,23.35,1570100,22.920252
2015-11-24,23.15,23.16,22.84,22.969999,4218500,22.547244
2015-11-25,23.0,23.26,22.950001,23.16,2309000,22.733748
2015-11-27,23.049999,23.200001,22.9,23.15,1044000,22.842285
2015-11-30,23.219999,23.309999,22.92,23.0,2844200,22.69428
2015-12-01,23.139999,23.4,23.040001,23.34,4012900,23.02976
2015-12-02,23.280001,23.299999,23.01,23.049999,1985800,22.743614
2015-12-03,23.17,23.27,22.790001,22.950001,3566700,22.644945
2015-12-04,23.030001,23.59,23.02,23.440001,4092200,23.128432
2015-12-07,23.440001,23.66,23.41,23.52,4349300,23.207368
2015-12-08,23.370001,23.67,23.280001,23.549999,2866300,23.236968
2015-12-09,23.379999,23.59,23.02,23.15,2882500,22.842285
2015-12-10,23.209999,23.459999,23.110001,23.290001,2900900,22.980426
2015-12-11,22.940001,22.950001,22.23,22.389999,4802600,22.092387
2015-12-14,22.48,22.66,22.209999,22.469999,3040300,22.171324
2015-12-15,22.66,22.790001,22.360001,22.389999,3853000,22.092387
2015-12-16,22.6,22.879999,22.43,22.83,4580200,22.526539
2015-12-17,22.860001,22.92,22.49,22.49,2738200,22.191058
2015-12-18,22.610001,23.030001,22.49,22.68,5159200,22.378533
2015-12-21,22.809999,22.940001,22.700001,22.93,2155600,22.62521
2015-12-22,23.059999,23.379999,22.860001,23.290001,3370400,22.980426
2015-12-23,23.450001,23.639999,23.34,23.459999,2673200,23.148164
2015-12-24,23.59,23.690001,23.469999,23.549999,974300,23.236968
2015-12-28,23.379999,23.51,23.24,23.5,1962900,23.187633
2015-12-29,23.66,23.74,23.5,23.65,1424300,23.335639
2015-12-30,23.610001,23.799999,23.51,23.549999,1385500,23.236968
2015-12-31,23.469999,23.51,23.040001,23.280001,3023100,22.970558
2016-01-04,22.889999,22.889999,22.35,22.82,5941400,22.516672
2016-01-05,22.889999,23.389999,22.870001,23.26,6266200,22.950824
2016-01-06,22.959999,23.16,22.68,22.870001,5143600,22.566008
2016-01-07,22.379999,22.700001,22.1,22.16,3355700,21.865445
2016-01-08,22.309999,22.43,21.99,22.049999,4176800,21.756906
2016-01-11,22.17,22.209999,21.73,21.93,3686400,21.638502
2016-01-12,22.08,22.24,21.799999,22.049999,4077300,21.756906
2016-01-13,22.049999,22.190001,21.559999,21.68,7092200,21.391826
2016-01-14,21.76,22.360001,21.65,22.309999,7386600,22.013451
2016-01-15,21.77,22.0,21.51,21.719999,5507000,21.431293
2016-01-19,21.99,22.02,21.57,21.690001,4442800,21.401693
2016-01-20,21.35,21.57,20.639999,21.1,6815000,20.819535
2016-01-21,21.1,21.9,20.959999,21.65,7485300,21.362224
2016-01-22,22.0,22.280001,21.860001,22.139999,5325800,21.84571
2016-01-25,21.98,22.1,21.68,21.73,3460800,21.44116
2016-01-26,21.860001,22.370001,21.790001,22.35,5344500,22.05292
2016-01-27,22.25,22.65,21.959999,22.059999,3778100,21.766774
2016-01-28,22.309999,22.309999,21.91,22.0,3446400,21.707572
2016-01-29,22.120001,22.51,22.120001,22.440001,4522800,22.141724
2016-02-01,22.309999,22.639999,22.139999,22.469999,6467000,22.171324
2016-02-02,22.200001,22.26,21.719999,21.809999,5776400,21.520097
2016-02-03,21.98,22.1,21.690001,22.040001,5843000,21.747041
2016-02-04,22.030001,22.24,21.799999,21.91,4555300,21.618768
2016-02-05,21.799999,21.9,21.0,21.08,5951700,20.7998
2016-02-08,20.780001,20.780001,19.83,20.299999,7741300,20.030168
2016-02-09,20.040001,20.66,19.790001,20.5,7335400,20.22751
2016-02-10,20.51,20.83,20.360001,20.42,5289900,20.148573
2016-02-11,20.08,20.549999,19.969999,20.360001,6584100,20.089372
2016-02-12,20.549999,20.639999,19.93,20.4,6865700,20.128839
2016-02-16,20.559999,20.85,20.32,20.700001,9078600,20.424852
2016-02-17,20.9,21.139999,20.790001,20.879999,4156000,20.602458
2016-02-18,20.889999,21.049999,20.700001,20.870001,4499000,20.592593
2016-02-19,20.82,21.190001,20.67,21.139999,3679400,20.859002
2016-02-22,21.139999,21.389999,21.040001,21.23,4798600,20.947806
2016-02-23,21.200001,21.58,21.120001,21.379999,5369300,21.095812
2016-02-24,21.129999,21.41,20.93,21.370001,2979400,21.085947
2016-02-25,21.49,21.68,21.299999,21.58,4945300,21.293154
2016-02-26,21.59,21.709999,21.309999,21.360001,5007800,21.223602
2016-02-29,21.379999,21.75,21.33,21.389999,4497100,21.25341
2016-03-01,21.52,21.74,21.370001,21.65,6881100,21.51175
2016-03-02,21.6,21.66,21.129999,21.34,4071400,21.20373
2016-03-03,21.389999,21.469999,21.15,21.440001,3862900,21.303091
2016-03-04,21.49,21.639999,21.32,21.48,3831300,21.342835
2016-03-07,21.32,21.540001,21.09,21.379999,5145200,21.243473
2016-03-08,21.32,21.389999,21.1,21.110001,2332600,20.975199
2016-03-09,21.24,21.379999,21.059999,21.17,2378500,21.034815
2016-03-10,21.290001,21.370001,20.82,21.02,4228000,20.885773
2016-03-11,21.209999,21.389999,21.16,21.280001,3900700,21.144113
2016-03-14,21.219999,21.42,21.190001,21.34,2828600,21.20373
2016-03-15,21.209999,21.290001,21.049999,21.200001,3086600,21.064624
2016-03-16,21.16,21.42,21.07,21.379999,2524000,21.243473
2016-03-17,21.379999,21.639999,21.33,21.530001,2532300,21.392517
2016-03-18,21.58,21.719999,21.440001,21.459999,3829800,21.322962
2016-03-21,21.43,21.530001,21.34,21.5,1765600,21.362708
2016-03-22,21.48,21.65,21.32,21.530001,2435400,21.392517
2016-03-23,21.530001,21.700001,21.42,21.639999,3575500,21.501813
2016-03-24,21.57,21.620001,21.440001,21.52,5081900,21.382581
2016-03-28,21.68,22.049999,21.65,21.99,4606000,21.849579
2016-03-29,21.950001,22.58,21.799999,22.530001,5547500,22.386131
2016-03-30,22.6,22.92,22.549999,22.879999,4737400,22.733895
2016-03-31,22.879999,23.110001,22.780001,22.950001,5536200,22.803449
2016-04-01,22.790001,23.08,22.700001,23.07,4294600,22.922682
2016-04-04,23.16,23.27,22.870001,22.9,3704300,22.753767
2016-04-05,22.74,22.950001,22.620001,22.780001,4228400,22.634535
2016-04-06,22.82,23.209999,22.76,23.190001,5514400,23.041917
2016-04-07,23.02,23.059999,22.719999,22.76,3943900,22.614662
2016-04-08,22.940001,23.0,22.690001,22.75,2116000,22.604726
2016-04-11,22.889999,22.98,22.690001,22.700001,2038600,22.555046
2016-04-12,22.76,22.99,22.639999,22.790001,2891000,22.644471
2016-04-13,22.9,23.49,22.84,23.459999,7438000,23.310191
2016-04-14,23.530001,23.75,23.41,23.440001,8347500,23.29032
2016-04-15,23.450001,23.59,23.370001,23.58,3091700,23.429425
2016-04-18,23.469999,23.84,23.4,23.809999,3868700,23.657956
2016-04-19,23.9,23.959999,23.360001,23.41,5551400,23.260511
2016-04-20,23.41,23.52,23.190001,23.27,5164000,23.121406
2016-04-21,23.299999,23.51,23.209999,23.43,4616000,23.280384
2016-04-22,24.18,24.27,23.32,23.43,7695100,23.280384
2016-04-25,23.43,23.5,22.870001,23.440001,8502200,23.29032
2016-04-26,23.5,23.790001,23.280001,23.43,4097400,23.280384
2016-04-27,23.360001,23.440001,23.120001,23.360001,4046700,23.210831
2016-04-28,23.219999,23.42,23.0,23.049999,3117800,22.902809
2016-04-29,23.049999,23.08,22.74,22.940001,4304000,22.793513
2016-05-02,23.110001,23.379999,23.08,23.34,4642700,23.190958
2016-05-03,23.15,23.32,23.059999,23.309999,4581200,23.161149
2016-05-04,23.15,23.43,23.15,23.309999,5041500,23.161149
2016-05-05,23.309999,23.440001,23.219999,23.32,3809000,23.171086
2016-05-06,23.26,23.66,23.16,23.58,4548900,23.429425
2016-05-09,23.540001,23.709999,23.42,23.559999,3310100,23.409553
2016-05-10,23.6,23.860001,23.52,23.83,2742300,23.677829
2016-05-11,23.68,23.870001,23.629999,23.75,5266300,23.59834
2016-05-12,23.799999,23.870001,23.59,23.860001,4014900,23.707638
2016-05-13,23.84,24.02,23.780001,23.799999,5822800,23.64802
2016-05-16,23.77,23.950001,23.73,23.83,3411500,23.677829
2016-05-17,23.809999,23.92,23.57,23.629999,3701500,23.479105
2016-05-18,23.57,23.639999,23.32,23.48,6050000,23.330064
2016-05-19,23.4,23.629999,23.219999,23.6,5749400,23.449298
2016-05-20,23.700001,23.84,23.58,23.639999,2485800,23.489042
2016-05-23,23.65,23.77,23.360001,23.379999,3487400,23.230702
2016-05-24,23.450001,23.76,23.450001,23.68,3900200,23.528787
2016-05-25,23.780001,23.84,23.42,23.540001,5520700,23.389682
2016-05-26,23.540001,23.59,23.469999,23.49,2756100,23.34
2016-05-27,23.459999,23.719999,23.41,23.709999,3796500,23.709999
2016-05-31,23.719999,23.950001,23.59,23.9,4312800,23.9
2016-06-01,23.9,23.9,23.6,23.82,2872700,23.82
2016-06-02,23.77,24.01,23.74,23.969999,3301300,23.969999
2016-06-03,23.9,23.940001,23.450001,23.51,4078900,23.51
