Date,Open_IVZ,High_IVZ,Low_IVZ,Close_IVZ,Volume_IVZ,AdjClose_IVZ
2015-06-05,39.560001,39.560001,39.0,39.200001,2302100,37.845526
2015-06-08,39.490002,39.889999,39.279999,39.330002,2783900,37.971035
2015-06-09,39.299999,39.389999,38.959999,39.0,2645900,37.652436
2015-06-10,39.240002,39.610001,39.060001,39.119999,3827800,37.768288
2015-06-11,39.240002,39.380001,38.830002,39.360001,4958100,37.999997
2015-06-12,39.209999,39.580002,38.810001,39.470001,4685200,38.106197
2015-06-15,39.09,39.439999,38.900002,39.419998,2683100,38.057922
2015-06-16,39.32,39.580002,39.119999,39.540001,3092100,38.173778
2015-06-17,39.759998,39.810001,39.130001,39.23,3575000,37.874488
2015-06-18,39.380001,39.77,39.27,39.5,2529400,38.135159
2015-06-19,39.330002,39.360001,38.880001,38.900002,3971600,37.555892
2015-06-22,39.279999,39.400002,38.889999,38.93,4362500,37.584855
2015-06-23,39.029999,39.290001,38.98,39.150002,3309900,37.797254
2015-06-24,39.060001,39.139999,38.790001,38.849998,2947400,37.507617
2015-06-25,38.669998,38.900002,38.5,38.540001,2753500,37.208331
2015-06-26,38.689999,38.810001,38.380001,38.560001,2586700,37.22764
2015-06-29,38.040001,38.25,37.349998,37.400002,3035100,36.107722
2015-06-30,37.799999,38.029999,37.290001,37.490002,3142200,36.194612
2015-07-01,37.970001,38.130001,37.580002,37.810001,2576100,36.503555
2015-07-02,37.799999,37.919998,37.360001,37.619999,2250300,36.320118
2015-07-06,36.75,37.290001,36.369999,37.259998,3049500,35.972556
2015-07-07,37.279999,37.279999,36.48,37.150002,3679000,35.86636
2015-07-08,36.73,36.91,36.200001,36.220001,2452100,34.968494
2015-07-09,36.810001,37.029999,36.299999,36.450001,3280700,35.190546
2015-07-10,37.619999,37.689999,36.75,36.93,2744700,35.653961
2015-07-13,37.32,37.57,36.950001,37.490002,3501200,36.194612
2015-07-14,37.389999,38.279999,37.389999,38.0,4568800,36.686989
2015-07-15,38.049999,38.259998,37.880001,37.950001,2658300,36.638717
2015-07-16,38.310001,38.689999,38.290001,38.599998,2970900,37.266255
2015-07-17,38.5,38.549999,38.169998,38.490002,1901900,37.160059
2015-07-20,38.560001,38.630001,38.220001,38.34,1915400,37.015241
2015-07-21,38.23,38.43,38.049999,38.419998,2037200,37.092475
2015-07-22,38.32,38.619999,38.299999,38.5,2505200,37.169712
2015-07-23,38.580002,38.580002,37.889999,38.0,1967900,36.686989
2015-07-24,37.990002,37.990002,37.34,37.48,1731100,36.184956
2015-07-27,37.150002,37.240002,36.82,36.939999,2364000,35.663613
2015-07-28,37.209999,37.360001,36.91,37.27,2046100,35.982213
2015-07-29,37.360001,37.799999,37.099998,37.709999,2725400,36.407008
2015-07-30,38.59,39.48,38.490002,38.990002,5335200,37.642783
2015-07-31,39.07,39.110001,38.549999,38.599998,4027000,37.266255
2015-08-03,38.669998,38.709999,38.259998,38.549999,2567700,37.217984
2015-08-04,38.59,38.689999,38.279999,38.41,2072400,37.082822
2015-08-05,38.82,38.970001,38.52,38.73,2431300,37.391765
2015-08-06,38.669998,38.779999,38.310001,38.599998,2471000,37.266255
2015-08-07,38.490002,38.610001,38.02,38.209999,2978200,36.889732
2015-08-10,38.59,38.970001,38.59,38.869999,1649800,37.526927
2015-08-11,38.459999,38.560001,38.16,38.330002,1847800,37.005588
2015-08-12,37.959999,37.959999,37.009998,37.84,2350200,36.532517
2015-08-13,37.84,37.939999,37.43,37.459999,2174500,36.165646
2015-08-14,37.400002,37.77,37.110001,37.509998,2447800,36.213918
2015-08-17,37.310001,37.68,37.169998,37.66,1573800,36.358736
2015-08-18,37.369999,37.450001,37.009998,37.220001,1995100,36.193426
2015-08-19,37.009998,37.09,36.5,36.66,2708400,35.64887
2015-08-20,36.259998,36.349998,35.860001,35.889999,3050800,34.900107
2015-08-21,35.540001,35.700001,34.580002,34.599998,6419700,33.645686
2015-08-24,32.169998,34.080002,31.030001,32.880001,7096500,31.973129
2015-08-25,34.200001,34.400002,32.009998,32.040001,7408600,31.156297
2015-08-26,33.16,33.240002,31.959999,33.189999,6940800,32.274576
2015-08-27,33.66,34.77,33.490002,34.560001,5343300,33.606792
2015-08-28,34.049999,34.720001,33.73,34.610001,5000000,33.655413
2015-08-31,34.369999,34.459999,33.959999,34.110001,3964200,33.169203
2015-09-01,33.110001,33.439999,32.669998,32.91,4675700,32.0023
2015-09-02,33.299999,33.639999,32.580002,32.959999,3129400,32.05092
2015-09-03,32.849998,33.389999,32.790001,32.900002,4821200,31.992578
2015-09-04,32.419998,32.509998,31.77,31.950001,5043600,31.068779
2015-09-08,32.700001,32.970001,32.240002,32.919998,4327700,32.012023
2015-09-09,33.349998,33.689999,32.439999,32.529999,4324000,31.63278
