Date,Open_KEY,High_KEY,Low_KEY,Close_KEY,Volume_KEY,AdjClose_KEY
2015-06-05,14.86,15.14,14.86,15.1,10996900,14.730733
2015-06-08,15.09,15.23,15.03,15.11,8422400,14.740488
2015-06-09,15.14,15.38,14.97,15.34,10789600,14.964864
2015-06-10,15.42,15.56,15.34,15.41,11201000,15.033152
2015-06-11,15.45,15.47,15.31,15.36,5434800,14.984374
2015-06-12,15.35,15.39,15.22,15.37,6439300,14.99413
2015-06-15,15.21,15.44,15.14,15.35,4386400,14.97462
2015-06-16,15.32,15.47,15.26,15.44,5486000,15.062418
2015-06-17,15.52,15.6,15.2,15.25,9836000,14.877065
2015-06-18,15.3,15.37,15.12,15.37,8110700,14.99413
2015-06-19,15.29,15.37,15.21,15.21,7472900,14.838043
2015-06-22,15.38,15.43,15.32,15.43,5306100,15.052663
2015-06-23,15.49,15.67,15.47,15.65,11432300,15.267282
2015-06-24,15.63,15.7,15.43,15.43,6929000,15.052663
2015-06-25,15.52,15.58,15.31,15.37,9773700,14.99413
2015-06-26,15.43,15.54,15.34,15.36,7906200,14.984374
2015-06-29,15.17,15.3,14.96,14.97,8719800,14.603912
2015-06-30,15.08,15.29,14.98,15.02,10361600,14.65269
2015-07-01,15.27,15.35,15.21,15.31,8132500,14.935598
2015-07-02,15.26,15.26,14.99,15.08,8059700,14.711222
2015-07-06,14.94,15.04,14.85,15.01,7355200,14.642934
2015-07-07,14.97,15.01,14.64,14.91,9274100,14.545379
2015-07-08,14.78,14.83,14.62,14.63,6481600,14.272227
2015-07-09,14.96,14.96,14.74,14.82,5912000,14.45758
2015-07-10,15.04,15.09,14.87,14.92,10268400,14.555135
2015-07-13,15.09,15.16,15.0,15.04,10180200,14.6722
2015-07-14,14.96,15.18,14.91,15.18,7509700,14.808777
2015-07-15,15.25,15.39,15.18,15.29,10273900,14.916086
2015-07-16,15.33,15.39,15.01,15.17,14588900,14.799021
2015-07-17,15.1,15.14,14.8,14.94,11328300,14.574645
2015-07-20,14.98,15.25,14.98,15.2,8310100,14.828287
2015-07-21,15.22,15.35,15.04,15.04,11251500,14.6722
2015-07-22,15.03,15.39,15.03,15.33,10169800,14.955108
2015-07-23,15.34,15.46,15.13,15.15,11038600,14.77951
2015-07-24,15.11,15.19,15.0,15.02,7649000,14.65269
2015-07-27,14.91,14.93,14.75,14.78,7661700,14.418558
2015-07-28,14.77,14.92,14.69,14.81,7339000,14.447825
2015-07-29,14.82,15.0,14.76,14.96,8982500,14.594157
2015-07-30,14.92,15.01,14.87,14.97,5161200,14.603912
2015-07-31,14.97,15.0,14.81,14.84,7105600,14.477091
2015-08-03,14.83,14.89,14.66,14.75,6479800,14.389292
2015-08-04,14.78,14.97,14.75,14.85,6266300,14.486847
2015-08-05,14.91,15.09,14.86,14.9,6301100,14.535624
2015-08-06,14.95,15.01,14.81,14.81,6765500,14.447825
2015-08-07,14.83,14.94,14.54,14.64,11499200,14.281982
2015-08-10,14.73,15.0,14.72,14.96,9839700,14.594157
2015-08-11,14.76,14.83,14.62,14.72,12112400,14.360026
2015-08-12,14.6,14.64,14.23,14.4,12003900,14.047851
2015-08-13,14.45,14.62,14.42,14.59,6548600,14.233205
2015-08-14,14.61,14.78,14.55,14.77,6173500,14.408803
2015-08-17,14.65,14.82,14.57,14.75,5425200,14.389292
2015-08-18,14.76,14.86,14.72,14.81,5560300,14.447825
2015-08-19,14.74,14.82,14.63,14.64,10324100,14.281982
2015-08-20,14.52,14.56,14.22,14.22,11442000,13.872253
2015-08-21,14.05,14.1,13.79,13.79,13568900,13.452769
2015-08-24,13.1,13.4,12.77,12.94,23879600,12.623555
2015-08-25,13.26,13.39,12.67,12.67,14229600,12.360158
2015-08-26,13.07,13.48,12.87,13.43,20050800,13.101573
2015-08-27,13.64,13.9,13.6,13.88,16690800,13.540568
2015-08-28,13.68,13.85,13.59,13.78,8406000,13.516047
2015-08-31,13.69,13.82,13.62,13.74,7654700,13.476813
2015-09-01,13.42,13.51,13.0,13.09,10881600,12.839264
2015-09-02,13.32,13.35,13.08,13.32,9491900,13.064858
2015-09-03,13.36,13.57,13.31,13.45,8194500,13.192368
2015-09-04,13.29,13.37,13.17,13.27,7531000,13.015816
2015-09-08,13.59,13.7,13.45,13.68,7704200,13.417963
2015-09-09,13.84,13.91,13.5,13.53,7883700,13.270835
2015-09-10,13.46,13.74,13.42,13.57,8108300,13.310069
2015-09-11,13.48,13.53,13.4,13.51,7544600,13.251219
2015-09-14,13.51,13.74,13.46,13.6,7094600,13.339495
2015-09-15,13.58,13.83,13.58,13.82,6807200,13.555281
2015-09-16,13.77,13.83,13.56,13.8,8279800,13.535664
2015-09-17,13.81,13.86,13.32,13.37,10734000,13.1139
2015-09-18,13.24,13.24,12.88,12.92,15783300,12.67252
2015-09-21,13.05,13.19,12.99,13.12,7264200,12.868689
2015-09-22,12.92,13.03,12.71,12.82,14183900,12.574435
2015-09-23,12.79,13.01,12.77,12.9,10153600,12.652903
2015-09-24,12.74,12.85,12.65,12.79,14494000,12.54501
2015-09-25,13.0,13.24,13.0,13.2,14803100,12.947157
2015-09-28,13.14,13.15,12.75,12.76,10144500,12.515585
2015-09-29,12.79,12.89,12.68,12.77,11798300,12.525394
2015-09-30,12.92,13.01,12.79,13.01,9591700,12.760796
2015-10-01,13.0,13.12,12.93,13.09,8431800,12.839264
2015-10-02,12.72,12.99,12.44,12.98,11043900,12.73137
2015-10-05,13.07,13.34,13.06,13.29,6094800,13.035433
2015-10-06,13.26,13.35,13.17,13.24,6585900,12.98639
2015-10-07,13.35,13.5,13.2,13.31,7577000,13.05505
2015-10-08,13.26,13.42,13.16,13.34,8589800,13.084475
2015-10-09,13.34,13.43,13.02,13.06,13032600,12.809839
2015-10-12,13.07,13.21,13.03,13.15,7147400,12.898114
2015-10-13,13.11,13.19,13.0,13.03,7571500,12.780413
2015-10-14,13.0,13.0,12.65,12.71,12852300,12.466543
2015-10-15,12.71,13.4,12.69,13.31,20800700,13.05505
2015-10-16,13.36,13.41,13.1,13.21,10150400,12.956965
2015-10-19,13.11,13.33,13.05,13.07,8499800,12.819647
2015-10-20,13.1,13.41,13.05,13.3,12598400,13.045242
2015-10-21,13.37,13.38,13.04,13.04,14715800,12.790222
2015-10-22,13.13,13.39,13.13,13.2,14450000,12.947157
2015-10-23,13.34,13.58,13.28,13.52,14008100,13.261028
2015-10-26,13.52,13.57,13.3,13.44,10521600,13.182559
2015-10-27,13.32,13.43,13.25,13.32,7369100,13.064858
2015-10-28,13.33,13.93,13.31,13.9,10218900,13.633748
2015-10-29,13.89,14.01,13.28,13.38,31957200,13.123709
2015-10-30,12.67,12.74,12.37,12.42,80371600,12.182098
2015-11-02,12.7,12.82,12.5,12.78,33434100,12.535202
2015-11-03,12.74,12.83,12.69,12.78,14338400,12.535202
2015-11-04,12.8,12.89,12.71,12.81,17679800,12.564628
2015-11-05,12.94,13.04,12.83,12.99,19844100,12.741179
2015-11-06,13.42,13.51,13.19,13.39,23972200,13.133518
2015-11-09,13.32,13.43,13.08,13.17,20256300,12.917732
2015-11-10,13.15,13.29,12.99,13.22,15725100,12.966774
2015-11-11,13.34,13.34,13.09,13.16,15112400,12.907923
2015-11-12,13.06,13.08,12.93,12.98,19763600,12.73137
2015-11-13,12.92,12.99,12.7,12.76,17184200,12.515585
2015-11-16,12.71,12.95,12.66,12.88,13723600,12.633286
2015-11-17,12.96,13.07,12.83,12.89,12162600,12.643095
2015-11-18,12.94,13.16,12.86,13.15,12790100,12.898114
2015-11-19,13.11,13.16,12.98,13.08,8498900,12.829455
2015-11-20,13.14,13.2,12.99,13.08,9700600,12.829455
2015-11-23,13.17,13.26,13.06,13.09,10417000,12.839264
2015-11-24,13.03,13.16,12.89,13.14,10345100,12.888306
2015-11-25,13.15,13.28,13.08,13.15,10673600,12.898114
2015-11-27,13.13,13.16,13.01,13.14,4660400,12.962236
2015-11-30,13.14,13.21,13.04,13.11,10033700,12.932641
2015-12-01,13.17,13.34,13.09,13.3,11579200,13.120071
2015-12-02,13.34,13.41,13.1,13.13,12436700,12.952371
2015-12-03,13.2,13.24,12.92,12.95,14494000,12.774805
2015-12-04,13.01,13.44,12.92,13.41,19083100,13.228582
2015-12-07,13.38,13.4,13.16,13.24,11457600,13.060882
2015-12-08,13.13,13.24,13.0,13.04,11474000,12.863588
2015-12-09,12.98,13.18,12.69,12.85,17421100,12.676159
2015-12-10,12.88,13.22,12.81,13.01,11600200,12.833994
2015-12-11,12.8,12.91,12.68,12.74,13767300,12.567646
2015-12-14,12.76,12.95,12.5,12.7,15840300,12.528188
2015-12-15,12.87,13.2,12.87,13.13,17186400,12.952371
2015-12-16,13.24,13.41,12.98,13.37,18795400,13.189123
2015-12-17,13.4,13.47,12.99,13.0,15347200,12.824129
2015-12-18,12.91,12.93,12.65,12.67,37628000,12.498594
2015-12-21,12.73,12.85,12.63,12.84,13522500,12.666294
2015-12-22,12.92,13.04,12.72,13.0,11805900,12.824129
2015-12-23,13.08,13.35,12.95,13.34,14053800,13.15953
2015-12-24,13.32,13.4,13.29,13.33,4296300,13.149665
2015-12-28,13.27,13.31,13.12,13.3,10550600,13.120071
2015-12-29,13.38,13.46,13.3,13.42,7872800,13.238447
2015-12-30,13.38,13.38,13.25,13.25,7118600,13.070747
2015-12-31,13.17,13.37,13.13,13.19,9559900,13.011558
2016-01-04,12.99,13.03,12.85,12.96,18057000,12.78467
