Date,Open_KIM,High_KIM,Low_KIM,Close_KIM,Volume_KIM,AdjClose_KIM
2015-06-05,23.389999,23.5,23.15,23.34,3008000,22.447775
2015-06-08,23.389999,23.459999,23.219999,23.309999,2088700,22.418921
2015-06-09,23.34,23.360001,23.02,23.059999,1340400,22.178477
2015-06-10,23.040001,23.469999,22.98,23.27,2065100,22.380451
2015-06-11,23.42,23.540001,23.34,23.4,3094400,22.50548
2015-06-12,23.32,23.42,23.219999,23.27,3063500,22.380451
2015-06-15,23.209999,23.370001,23.110001,23.26,3648800,22.370833
2015-06-16,23.26,23.51,23.190001,23.440001,2901300,22.543952
2015-06-17,23.43,23.66,23.23,23.620001,1793900,22.717072
2015-06-18,23.65,24.139999,23.65,24.02,2983000,23.10178
2015-06-19,23.83,24.01,23.76,23.76,2653800,22.851719
2015-06-22,23.959999,23.959999,23.48,23.5,2953100,22.601658
2015-06-23,23.469999,23.57,23.280001,23.34,2280500,22.447775
2015-06-24,23.35,23.459999,23.15,23.25,2315500,22.361215
2015-06-25,23.280001,23.290001,23.120001,23.120001,2056500,22.236185
2015-06-26,23.110001,23.33,23.040001,23.129999,2811700,22.245801
2015-06-29,23.059999,23.299999,22.65,22.67,3060800,21.803387
2015-06-30,22.83,22.93,22.48,22.540001,3973900,21.678357
2015-07-01,22.450001,22.75,22.299999,22.73,2957700,22.09637
2015-07-02,23.110001,23.190001,22.860001,22.9,2918200,22.261631
2015-07-06,22.780001,23.200001,22.709999,23.18,4495500,22.533826
2015-07-07,23.26,23.690001,23.26,23.68,4315700,23.019888
2015-07-08,23.540001,24.049999,23.540001,23.84,5626000,23.175427
2015-07-09,24.02,24.129999,23.559999,23.629999,2407100,22.97128
2015-07-10,23.790001,24.110001,23.68,23.879999,3161600,23.214311
2015-07-13,24.07,24.24,23.84,24.040001,3497000,23.369853
2015-07-14,24.09,24.24,23.870001,24.110001,3878400,23.437901
2015-07-15,24.040001,24.41,23.92,24.26,3886400,23.583719
2015-07-16,24.379999,24.59,24.299999,24.540001,3549900,23.855915
2015-07-17,24.540001,24.65,24.370001,24.450001,3337200,23.768423
2015-07-20,24.34,24.51,24.25,24.450001,1527500,23.768423
2015-07-21,24.450001,24.59,24.32,24.33,2039700,23.651768
2015-07-22,24.33,24.620001,24.219999,24.549999,2396700,23.865634
2015-07-23,24.540001,24.58,24.01,24.15,2887600,23.476785
2015-07-24,24.08,24.4,24.07,24.290001,2773600,23.612884
2015-07-27,24.32,24.51,24.23,24.33,2215800,23.651768
2015-07-28,24.360001,24.610001,24.23,24.41,3647600,23.729537
2015-07-29,24.4,24.639999,24.219999,24.51,3242500,23.82675
2015-07-30,24.440001,24.620001,24.35,24.450001,2970700,23.768423
2015-07-31,24.690001,24.99,24.65,24.709999,3394600,24.021174
2015-08-03,24.700001,25.07,24.700001,25.059999,3921000,24.361417
2015-08-04,25.0,25.33,24.85,24.879999,2980600,24.186435
2015-08-05,24.969999,24.99,24.57,24.65,2837000,23.962847
2015-08-06,24.620001,24.860001,24.35,24.82,3995200,24.128108
2015-08-07,24.76,24.959999,24.52,24.91,1959700,24.215599
2015-08-10,24.98,25.059999,24.57,24.67,2967300,23.98229
2015-08-11,24.639999,25.040001,24.58,24.9,3080500,24.205878
2015-08-12,24.83,25.17,24.74,25.16,4012300,24.45863
2015-08-13,25.0,25.440001,24.940001,25.32,2876100,24.61417
2015-08-14,25.25,25.42,25.1,25.4,1733200,24.69194
2015-08-17,25.389999,25.57,25.15,25.549999,2209200,24.837758
2015-08-18,25.469999,25.700001,25.43,25.66,1856400,24.944692
2015-08-19,25.51,25.540001,25.219999,25.4,2820100,24.69194
2015-08-20,25.290001,25.4,25.059999,25.18,2544400,24.478073
2015-08-21,25.129999,25.209999,24.540001,24.549999,4181700,23.865634
2015-08-24,24.9,25.57,23.23,23.299999,7127700,22.65048
2015-08-25,23.76,23.9,22.52,22.6,6017200,21.969994
2015-08-26,23.23,23.610001,22.780001,23.549999,7235800,22.893511
2015-08-27,23.75,24.040001,23.389999,23.809999,5283700,23.146263
2015-08-28,23.780001,23.780001,23.459999,23.58,4619800,22.922675
2015-08-31,23.48,23.58,23.02,23.049999,6912900,22.407449
2015-09-01,22.639999,22.969999,22.34,22.540001,4818800,21.911667
2015-09-02,22.9,22.9,22.49,22.76,3909900,22.125534
2015-09-03,22.879999,23.030001,22.549999,22.83,3033800,22.193582
2015-09-04,22.559999,22.610001,22.07,22.280001,3187500,21.658915
2015-09-08,22.57,22.700001,22.34,22.639999,3200600,22.008878
2015-09-09,22.82,22.870001,22.219999,22.26,2743600,21.639472
2015-09-10,22.219999,22.639999,22.120001,22.459999,4643600,21.833896
2015-09-11,22.389999,23.0,22.370001,23.0,3175100,22.358843
2015-09-14,23.09,23.1,22.84,22.959999,2134500,22.319957
2015-09-15,23.030001,23.4,22.889999,23.27,2805900,22.621317
2015-09-16,23.25,23.67,23.25,23.59,2491900,22.932396
2015-09-17,23.549999,24.299999,23.49,23.84,3344900,23.175427
2015-09-18,23.469999,24.33,23.450001,24.129999,7537400,23.457342
2015-09-21,24.16,24.49,24.09,24.290001,3756300,23.612884
2015-09-22,23.93,24.26,23.84,24.059999,3832000,23.389294
2015-09-23,24.049999,24.370001,23.969999,24.23,2195500,23.554555
2015-09-24,24.120001,24.32,23.75,23.93,3420800,23.262919
2015-09-25,23.98,24.24,23.76,24.120001,3616200,23.447623
2015-09-28,24.01,24.08,23.440001,23.68,3238300,23.019888
2015-09-29,23.67,24.120001,23.67,24.08,2872900,23.408737
2015-09-30,24.41,24.48,24.139999,24.43,4253400,23.74898
2015-10-01,24.34,24.540001,23.98,24.49,4779400,24.04351
2015-10-02,24.299999,24.889999,24.200001,24.889999,4831600,24.436217
