Date,Open_LB,High_LB,Low_LB,Close_LB,Volume_LB,AdjClose_LB
2015-06-05,86.949997,87.059998,85.440002,85.459999,1659100,81.114778
2015-06-08,85.389999,85.419998,84.0,84.110001,1888600,79.83342
2015-06-09,84.010002,84.589996,83.419998,83.93,1521900,79.662572
2015-06-10,83.959999,84.949997,83.830002,84.739998,1744800,80.431385
2015-06-11,84.980003,85.57,84.57,84.690002,1109600,80.383932
2015-06-12,84.309998,85.010002,83.910004,84.68,1466000,80.374438
2015-06-15,84.029999,84.5,83.5,84.239998,1300100,79.956808
2015-06-16,84.309998,84.760002,83.870003,84.5,1174800,80.20359
2015-06-17,84.529999,85.199997,84.290001,84.769997,1318800,80.459859
2015-06-18,84.93,86.709999,84.809998,86.080002,1394600,81.703257
2015-06-19,86.029999,86.419998,85.440002,85.629997,4845200,81.276133
2015-06-22,86.190002,87.349998,86.169998,86.870003,2021600,82.45309
2015-06-23,87.089996,87.870003,86.989998,87.580002,1782600,83.126989
2015-06-24,87.480003,87.879997,86.629997,86.730003,982200,82.320209
2015-06-25,87.739998,88.25,87.059998,87.07,1005100,82.642918
2015-06-26,87.550003,88.43,87.540001,88.059998,3080300,83.582579
2015-06-29,87.120003,87.580002,84.940002,85.080002,1315900,80.754102
2015-06-30,85.919998,86.349998,85.349998,85.730003,1690000,81.371054
2015-07-01,86.339996,86.5,85.489998,86.139999,1543400,81.760204
2015-07-02,85.889999,86.610001,85.610001,86.360001,2126400,81.969019
2015-07-06,85.610001,87.32,85.480003,86.129997,1794900,81.75071
2015-07-07,86.330002,87.18,85.050003,87.0,1974700,82.576477
2015-07-08,86.580002,87.419998,85.989998,85.989998,1980400,81.617829
2015-07-09,86.510002,86.699997,83.620003,83.919998,3768700,79.653079
2015-07-10,84.419998,85.25,84.220001,84.440002,1879900,80.146643
2015-07-13,85.18,85.5,84.769997,84.980003,1597800,80.659188
2015-07-14,84.980003,85.260002,83.970001,84.0,2092200,79.729013
2015-07-15,84.110001,84.690002,83.699997,84.120003,1516900,79.842914
2015-07-16,84.540001,84.779999,84.0,84.5,1111500,80.20359
2015-07-17,84.019997,84.300003,82.870003,83.18,1831600,78.950706
2015-07-20,83.18,83.839996,82.959999,83.610001,1166500,79.358843
2015-07-21,83.580002,83.910004,83.330002,83.739998,1343700,79.48223
2015-07-22,83.720001,84.620003,83.279999,83.870003,1386500,79.605625
