Date,Open_LM,High_LM,Low_LM,Close_LM,Volume_LM,AdjClose_LM
2015-06-05,54.099998,54.470001,53.549999,54.369999,762600,53.318193
2015-06-08,54.32,54.490002,54.040001,54.060001,760200,53.014192
2015-06-09,53.830002,54.200001,53.310001,53.77,1640600,52.729801
2015-06-10,53.68,54.549999,53.299999,53.849998,2510900,52.808252
2015-06-11,53.970001,54.43,53.41,53.669998,941000,52.631734
2015-06-12,53.360001,53.509998,52.84,52.869999,1395400,52.041142
2015-06-15,52.509998,53.07,52.09,52.650002,1262900,51.824593
2015-06-16,52.700001,52.889999,52.220001,52.779999,701700,51.952552
2015-06-17,53.02,53.630001,52.77,53.259998,1076700,52.425027
2015-06-18,53.43,54.130001,53.43,54.0,1263800,53.153427
2015-06-19,53.810001,53.869999,53.200001,53.330002,1075800,52.493933
2015-06-22,53.91,54.110001,53.16,53.650002,891300,52.808916
2015-06-23,53.720001,53.869999,52.950001,52.990002,1121000,52.159263
2015-06-24,52.790001,53.029999,52.349998,52.470001,956100,51.647415
2015-06-25,52.540001,52.700001,51.740002,51.810001,1657700,50.997762
2015-06-26,51.959999,52.259998,51.580002,51.869999,1280600,51.056819
2015-06-29,51.380001,51.470001,50.389999,50.450001,832300,49.659082
2015-06-30,51.049999,53.169998,50.830002,51.529999,1451100,50.722149
2015-07-01,52.610001,52.610001,51.130001,51.389999,1052100,50.584344
2015-07-02,51.330002,51.34,50.490002,50.880001,888900,50.082341
2015-07-06,49.66,50.41,49.66,50.330002,1531400,49.540965
2015-07-07,50.299999,50.529999,49.459999,50.48,1309500,49.688611
2015-07-08,49.869999,50.139999,49.099998,49.299999,1425200,48.52711
2015-07-09,49.939999,50.09,48.77,49.07,1982500,48.300716
2015-07-10,49.799999,49.82,49.220001,49.34,1075400,48.566483
2015-07-13,50.220001,50.220001,49.0,49.360001,1730100,48.58617
2015-07-14,49.299999,49.66,48.82,49.189999,1389500,48.418834
2015-07-15,49.360001,49.66,49.02,49.200001,987300,48.428679
2015-07-16,49.689999,49.880001,49.5,49.66,765500,48.881466
2015-07-17,49.580002,49.619999,49.040001,49.169998,745500,48.399147
2015-07-20,49.25,49.34,48.669998,48.709999,1398000,47.946359
2015-07-21,48.689999,48.779999,48.119999,48.650002,1728500,47.887302
2015-07-22,48.66,49.139999,48.040001,48.869999,1216900,48.103851
2015-07-23,49.060001,49.110001,48.330002,48.529999,686800,47.769181
2015-07-24,48.529999,48.529999,47.419998,47.560001,813400,46.81439
2015-07-27,47.139999,47.419998,46.82,47.330002,816000,46.587996
2015-07-28,47.669998,47.939999,47.290001,47.669998,893300,46.922663
2015-07-29,47.77,48.48,47.66,48.27,743200,47.513258
2015-07-30,48.200001,48.900002,47.91,48.830002,1772600,48.064481
