Date,Open_MAS,High_MAS,Low_MAS,Close_MAS,Volume_MAS,AdjClose_MAS
2015-06-05,27.36,27.499999,27.15,27.420001,2020700,23.760874
2015-06-08,27.320001,27.48,27.05,27.06,2311700,23.448915
2015-06-09,27.06,27.36,26.989999,27.28,2305900,23.639556
2015-06-10,27.38,28.020001,27.310001,27.88,3539700,24.159488
2015-06-11,28.020001,28.38,27.85,27.920001,3397200,24.194151
2015-06-12,27.820001,28.08,27.740001,27.75,2834200,24.046836
2015-06-15,27.599999,27.76,27.37,27.430001,2780400,23.76954
2015-06-16,27.340001,27.540001,27.240001,27.38,3306900,23.726211
2015-06-17,27.38,27.57,27.17,27.45,3395600,23.78687
2015-06-18,27.520001,27.820001,27.520001,27.730001,4658500,24.029506
2015-06-19,27.740001,27.98,27.65,27.710001,4252800,24.012175
2015-06-22,27.889999,27.910001,27.489999,27.620001,3432700,23.934185
2015-06-23,27.620001,27.740001,27.38,27.520001,3862300,23.84753
2015-06-24,27.67,27.740001,27.28,27.330001,2627000,23.682885
2015-06-25,27.35,27.58,27.299999,27.410001,3224500,23.752209
2015-06-26,27.430001,27.620001,27.210001,27.299999,3285200,23.656887
2015-06-29,27.110001,27.28,26.420001,26.440001,4091100,22.911652
2015-06-30,26.620001,26.899999,26.540001,26.67,4961500,23.110959
2015-07-01,23.809999,24.110001,23.540001,23.77,5291800,23.440475
2015-07-02,23.82,23.870001,23.469999,23.6,3243000,23.272832
2015-07-06,23.4,23.77,23.33,23.5,2871300,23.174217
2015-07-07,23.52,23.65,22.99,23.620001,6215100,23.292555
2015-07-08,23.43,23.450001,22.879999,23.030001,4062500,22.710734
2015-07-09,23.299999,23.33,23.040001,23.049999,3634100,22.819634
2015-07-10,23.26,23.549999,23.209999,23.48,3162900,23.245337
2015-07-13,23.639999,23.75,23.4,23.52,4043100,23.284938
2015-07-14,23.450001,23.67,23.42,23.639999,4163500,23.403738
2015-07-15,23.67,23.709999,23.389999,23.4,3895800,23.166137
2015-07-16,23.58,23.719999,23.23,23.27,5570500,23.037437
2015-07-17,23.209999,23.26,22.84,22.860001,2591800,22.631534
2015-07-20,22.889999,23.120001,22.870001,23.01,3580100,22.780035
2015-07-21,22.9,23.030001,22.52,22.629999,5949500,22.403832
2015-07-22,22.59,23.16,22.58,23.08,7639100,22.849335
2015-07-23,23.389999,24.25,23.25,23.799999,9118700,23.562138
2015-07-24,23.799999,23.940001,23.15,23.370001,5728300,23.136438
2015-07-27,23.200001,23.389999,23.02,23.16,5525300,22.928535
2015-07-28,24.200001,25.92,24.139999,25.629999,12562300,25.373849
2015-07-29,25.780001,26.540001,25.780001,26.41,7496000,26.146054
2015-07-30,26.35,26.690001,26.07,26.4,6269200,26.136154
2015-07-31,26.51,26.790001,26.309999,26.389999,6419300,26.126254
2015-08-03,26.360001,26.530001,26.200001,26.440001,6074100,26.175755
2015-08-04,26.49,26.700001,26.32,26.459999,4198800,26.195554
2015-08-05,26.67,26.709999,26.059999,26.200001,4826300,25.938154
2015-08-06,26.35,26.870001,26.280001,26.440001,7649600,26.175755
2015-08-07,26.459999,26.85,26.360001,26.83,4958600,26.561857
2015-08-10,27.0,27.33,26.91,26.940001,3655600,26.670758
2015-08-11,26.67,27.120001,26.52,27.1,4121000,26.829159
2015-08-12,26.85,27.25,26.459999,27.09,3667500,26.819259
2015-08-13,27.09,27.26,26.940001,27.040001,2733000,26.769759
2015-08-14,27.040001,27.360001,27.01,27.219999,3039800,26.947959
2015-08-17,27.200001,27.620001,27.09,27.620001,2082500,27.343962
2015-08-18,27.690001,28.59,27.65,28.35,8066200,28.066666
2015-08-19,28.08,28.34,27.93,28.09,3393000,27.809264
2015-08-20,27.85,27.959999,27.24,27.25,4056500,26.977659
2015-08-21,26.99,27.200001,26.530001,26.530001,5988400,26.264856
2015-08-24,24.959999,26.18,24.889999,25.290001,10774600,25.037249
2015-08-25,26.110001,26.129999,24.879999,24.889999,8173300,24.641245
2015-08-26,25.610001,25.860001,24.809999,25.75,7597300,25.492651
2015-08-27,26.030001,26.379999,25.790001,26.290001,5540800,26.027255
2015-08-28,26.18,26.52,26.059999,26.290001,3696100,26.027255
2015-08-31,26.120001,26.559999,25.879999,26.23,3617500,25.967853
2015-09-01,25.75,26.02,25.49,25.639999,5380400,25.383749
2015-09-02,25.959999,26.209999,25.549999,26.200001,4311400,25.938154
2015-09-03,26.34,26.9,26.34,26.59,4938400,26.324256
2015-09-04,26.15,26.4,26.01,26.23,4963300,25.967853
2015-09-08,26.709999,26.77,26.389999,26.76,4637000,26.492557
2015-09-09,27.0,27.17,26.559999,26.6,3643300,26.334156
2015-09-10,26.610001,26.959999,26.49,26.85,3611100,26.581657
2015-09-11,26.73,27.110001,26.65,27.110001,2801700,26.839059
2015-09-14,27.110001,27.26,26.940001,27.1,3829700,26.829159
2015-09-15,27.209999,27.6,26.969999,27.5,3265100,27.225161
2015-09-16,27.469999,27.629999,27.299999,27.549999,3399400,27.27466
