Date,Open_MCD,High_MCD,Low_MCD,Close_MCD,Volume_MCD,AdjClose_MCD
2015-06-05,95.93,96.089996,95.470001,95.540001,3959300,92.581796
2015-06-08,96.0,96.040001,95.25,95.32,4594600,92.368606
2015-06-09,95.519997,95.559998,94.489998,94.730003,7770900,91.796878
2015-06-10,95.019997,95.629997,94.809998,95.300003,4828600,92.349229
2015-06-11,95.5,96.330002,95.5,95.589996,4203900,92.630243
2015-06-12,95.419998,95.550003,95.0,95.059998,3702400,92.116655
2015-06-15,94.739998,95.0,94.019997,94.300003,5861800,91.380192
2015-06-16,94.25,94.669998,94.099998,94.629997,3094800,91.699968
2015-06-17,94.540001,95.519997,94.540001,95.220001,3941000,92.271704
2015-06-18,95.690002,96.629997,95.279999,96.169998,5101000,93.192286
2015-06-19,96.389999,97.139999,95.980003,96.080002,8279300,93.105076
2015-06-22,96.309998,97.029999,96.139999,96.870003,3893300,93.870616
2015-06-23,97.589996,97.959999,97.120003,97.18,4541700,94.171016
2015-06-24,96.75,97.449997,96.639999,96.639999,3927100,93.647735
2015-06-25,96.699997,96.910004,95.779999,95.790001,4322300,92.824055
2015-06-26,96.129997,97.349998,95.93,97.290001,6039500,94.27761
2015-06-29,96.620003,97.230003,95.419998,95.440002,8412800,92.484893
2015-06-30,95.93,96.300003,94.540001,95.07,6656000,92.126347
2015-07-01,95.099998,95.82,94.730003,95.760002,4446200,92.794985
2015-07-02,96.129997,96.599998,95.580002,96.169998,3250900,93.192286
2015-07-06,95.889999,96.279999,95.25,95.650002,3852500,92.68839
2015-07-07,95.93,96.779999,95.239998,96.68,4794400,93.686497
2015-07-08,95.650002,96.589996,95.650002,95.839996,4914300,92.872502
2015-07-09,96.639999,97.269997,96.440002,96.489998,5482500,93.502378
2015-07-10,97.25,97.779999,96.949997,97.650002,5179200,94.626464
2015-07-13,98.0,98.510002,97.699997,98.43,4578700,95.382312
2015-07-14,98.120003,99.050003,97.959999,98.779999,5746100,95.721473
2015-07-15,98.150002,99.629997,97.849998,99.07,7572500,96.002495
2015-07-16,99.110001,99.110001,97.209999,97.860001,7696200,94.829961
2015-07-17,97.699997,98.220001,97.0,97.5,6429800,94.481107
2015-07-20,97.779999,98.209999,97.400002,97.489998,4947000,94.471415
2015-07-21,97.599998,97.720001,96.959999,97.32,4206700,94.30668
2015-07-22,97.709999,98.25,97.43,97.580002,5392600,94.558632
2015-07-23,98.900002,99.0,96.150002,97.089996,10380700,94.083798
2015-07-24,97.410004,97.410004,96.089996,96.099998,5554600,93.124454
2015-07-27,96.0,96.75,95.699997,96.040001,5818600,93.066314
2015-07-28,96.480003,97.419998,96.32,97.330002,4863000,94.316373
2015-07-29,97.480003,98.389999,97.0,98.209999,6006500,95.169123
2015-07-30,97.589996,99.339996,97.589996,99.169998,5372500,96.099397
2015-07-31,99.650002,101.099998,99.300003,99.860001,7647000,96.768035
