Date,Open_MJN,High_MJN,Low_MJN,Close_MJN,Volume_MJN,AdjClose_MJN
2015-06-05,95.400002,95.93,94.410004,94.839996,1055600,92.889552
2015-06-08,94.68,94.849998,93.860001,94.120003,1045800,92.184366
2015-06-09,93.489998,93.5,92.309998,92.709999,2530800,90.80336
2015-06-10,93.489998,93.650002,89.260002,90.949997,5053200,89.079553
2015-06-11,90.860001,91.129997,90.5,90.919998,3056700,89.050171
2015-06-12,90.330002,91.199997,89.720001,90.779999,2349200,88.913051
2015-06-15,90.300003,91.379997,90.110001,90.959999,1543400,89.089349
2015-06-16,91.309998,92.110001,91.07,92.029999,1514400,90.137344
2015-06-17,91.910004,92.330002,91.07,91.739998,1709100,89.853307
2015-06-18,91.610001,92.279999,91.360001,91.860001,1191600,90.37771
2015-06-19,91.559998,91.980003,91.150002,91.199997,2650300,89.728357
2015-06-22,91.459999,91.650002,90.760002,91.290001,3486700,89.816908
2015-06-23,91.669998,93.07,91.519997,92.949997,1930500,91.450118
2015-06-24,92.839996,93.0,91.82,91.82,960100,90.338355
2015-06-25,91.82,91.93,90.830002,91.050003,2491600,89.580783
2015-06-26,91.480003,91.639999,90.989998,91.489998,2545500,90.013678
2015-06-29,90.699997,91.400002,89.699997,89.790001,2164600,88.341113
2015-06-30,90.239998,90.739998,89.82,90.220001,1503800,88.764174
2015-07-01,91.080002,91.760002,90.379997,90.959999,1095800,89.492231
2015-07-02,91.110001,91.580002,90.190002,90.879997,747100,89.413521
2015-07-06,90.18,90.489998,89.290001,89.699997,856200,88.252561
2015-07-07,89.690002,90.43,89.0,90.330002,2136200,88.8724
2015-07-08,89.589996,90.040001,88.32,88.440002,1577200,87.012898
2015-07-09,89.339996,89.739998,87.970001,88.139999,1808700,86.717736
2015-07-10,88.919998,89.160004,87.889999,88.449997,1284100,87.022732
2015-07-13,89.32,89.709999,89.190002,89.589996,1003300,88.144336
2015-07-14,89.620003,89.699997,87.879997,88.129997,2572500,86.707896
2015-07-15,83.779999,87.129997,83.5,86.510002,8800800,85.114041
2015-07-16,87.410004,88.339996,86.690002,87.75,2843000,86.33403
2015-07-17,87.550003,87.860001,86.989998,87.790001,1310400,86.373386
2015-07-20,87.739998,87.860001,87.129997,87.809998,1463500,86.39306
2015-07-21,87.779999,88.190002,87.379997,88.129997,1607800,86.707896
2015-07-22,87.93,89.080002,87.709999,88.970001,1851000,87.534345
2015-07-23,88.550003,91.889999,88.25,91.169998,3416300,89.698842
2015-07-24,90.110001,91.629997,89.730003,89.93,1793300,88.478853
