Date,Open_OMC,High_OMC,Low_OMC,Close_OMC,Volume_OMC,AdjClose_OMC
2015-06-05,73.879997,74.050003,73.279999,73.57,1451200,71.588174
2015-06-08,73.370003,73.68,73.290001,73.370003,1285400,71.393564
2015-06-09,73.239998,73.260002,72.400002,72.809998,1176200,70.848645
2015-06-10,72.660004,73.370003,72.57,73.209999,1242700,71.730458
2015-06-11,73.25,73.43,72.980003,73.120003,624300,71.64228
2015-06-12,72.769997,72.849998,72.279999,72.5,1117300,71.034808
2015-06-15,71.769997,72.120003,71.57,71.720001,1274400,70.270572
2015-06-16,71.769997,72.379997,71.550003,72.330002,1152500,70.868245
2015-06-17,72.5,72.93,72.330002,72.620003,814400,71.152385
2015-06-18,72.690002,73.440002,72.629997,72.75,1641600,71.279755
2015-06-19,72.470001,72.510002,71.940002,72.150002,1720000,70.691882
2015-06-22,72.470001,73.029999,72.470001,72.769997,1088800,71.299348
2015-06-23,72.849998,72.860001,71.849998,71.849998,1011100,70.397942
2015-06-24,71.660004,71.980003,70.940002,70.940002,905400,69.506337
2015-06-25,71.230003,71.309998,70.379997,70.620003,1303900,69.192804
2015-06-26,70.849998,71.239998,70.690002,70.839996,1261400,69.408352
2015-06-29,70.419998,70.68,69.199997,69.199997,1602900,67.801496
2015-06-30,69.489998,69.93,69.019997,69.489998,1652300,68.085636
2015-07-01,70.489998,71.5,69.849998,69.900002,1343700,68.487354
2015-07-02,70.059998,70.360001,69.099998,69.360001,1702700,67.958266
2015-07-06,69.230003,69.349998,68.75,69.260002,1906900,67.860289
2015-07-07,69.389999,70.599998,68.970001,70.529999,1747200,69.104619
2015-07-08,70.050003,70.379997,69.43,69.760002,1996200,68.350184
2015-07-09,70.830002,71.389999,70.779999,70.989998,2288900,69.555322
2015-07-10,71.949997,72.879997,71.870003,72.690002,2403000,71.22097
2015-07-13,73.120003,73.120003,72.400002,72.650002,1884400,71.181778
2015-07-14,72.589996,72.889999,72.449997,72.650002,1492100,71.181778
2015-07-15,73.160004,73.470001,72.599998,73.0,2843000,71.524703
2015-07-16,73.330002,73.639999,72.980003,73.449997,1623900,71.965605
2015-07-17,73.599998,73.839996,73.370003,73.800003,2250400,72.308538
2015-07-20,73.699997,74.18,73.410004,74.059998,3645300,72.563278
2015-07-21,74.300003,74.559998,71.589996,73.160004,4082300,71.681473
2015-07-22,73.07,73.739998,72.510002,73.699997,2064000,72.210553
2015-07-23,74.129997,74.510002,72.879997,73.040001,1795300,71.563895
2015-07-24,73.019997,73.110001,71.830002,71.839996,1255600,70.388142
2015-07-27,71.589996,72.0,70.980003,71.470001,1662200,70.025625
2015-07-28,71.800003,72.519997,71.209999,72.410004,1479300,70.94663
2015-07-29,72.559998,73.309998,72.080002,73.199997,1329000,71.720658
2015-07-30,72.959999,73.150002,72.160004,72.879997,964800,71.407125
2015-07-31,73.230003,73.419998,72.800003,73.080002,983200,71.603088
2015-08-03,73.139999,73.169998,72.349998,72.720001,1181700,71.250363
2015-08-04,72.75,73.300003,72.510002,72.779999,962200,71.309148
2015-08-05,73.019997,74.07,72.989998,73.940002,1982800,72.445708
2015-08-06,73.870003,73.889999,71.190002,72.269997,2155200,70.809452
2015-08-07,72.059998,72.620003,71.68,72.459999,1386800,70.995615
2015-08-10,73.169998,74.099998,73.139999,73.989998,1655400,72.494693
2015-08-11,73.220001,74.019997,72.68,72.870003,1222400,71.397333
2015-08-12,72.470001,73.089996,71.300003,73.0,1210900,71.524703
2015-08-13,73.18,73.459999,72.669998,73.110001,948300,71.63248
2015-08-14,73.0,73.739998,72.910004,73.57,1099300,72.083183
2015-08-17,73.0,73.910004,72.949997,73.870003,635200,72.377123
2015-08-18,73.650002,73.879997,73.209999,73.260002,858300,71.77945
2015-08-19,72.959999,73.199997,72.019997,72.550003,1189200,71.0838
2015-08-20,71.889999,71.910004,70.32,70.400002,1839900,68.977249
2015-08-21,69.650002,70.449997,68.82,68.910004,1965000,67.517363
2015-08-24,65.650002,68.209999,64.309998,66.800003,3091100,65.450005
2015-08-25,68.510002,68.580002,66.099998,66.160004,2143000,64.82294
2015-08-26,67.489998,67.610001,65.760002,67.419998,1882200,66.05747
2015-08-27,68.089996,68.519997,66.57,67.790001,1871500,66.419995
2015-08-28,67.510002,68.0,67.190002,67.739998,1379100,66.371003
2015-08-31,67.589996,67.949997,66.949997,66.980003,1234600,65.626368
2015-09-01,65.589996,66.419998,64.800003,65.169998,1708900,63.852942
2015-09-02,66.010002,66.470001,65.010002,66.459999,1301300,65.116872
2015-09-03,66.709999,67.519997,66.529999,66.839996,1228400,65.48919
2015-09-04,65.940002,66.519997,65.650002,66.040001,1712800,64.705362
2015-09-08,67.279999,68.07,67.07,68.050003,816300,66.674743
2015-09-09,68.550003,68.580002,66.940002,67.059998,835400,65.704745
2015-09-10,66.940002,67.93,66.599998,67.400002,922300,66.037878
2015-09-11,67.18,67.690002,66.889999,67.660004,743100,66.292625
2015-09-14,67.699997,67.739998,66.830002,67.150002,808000,65.79293
2015-09-15,67.5,68.419998,67.050003,68.209999,1137400,66.831506
2015-09-16,68.550003,69.989998,68.379997,69.68,1890800,68.271799
2015-09-17,69.690002,69.970001,68.800003,69.059998,1828700,67.664326
2015-09-18,67.800003,68.510002,67.18,67.360001,2360200,66.480004
2015-09-21,67.720001,68.110001,67.349998,67.650002,1318000,66.766216
2015-09-22,66.709999,67.089996,66.400002,66.779999,1241600,65.907579
2015-09-23,66.720001,66.970001,66.25,66.82,1102300,65.947057
2015-09-24,66.419998,66.699997,65.839996,66.379997,1023200,65.512803
2015-09-25,66.730003,67.279999,65.440002,65.739998,1170700,64.881165
2015-09-28,65.510002,65.720001,64.419998,64.790001,1479100,63.943579
2015-09-29,64.919998,65.089996,64.120003,64.849998,1408500,64.002792
2015-09-30,65.580002,66.040001,65.279999,65.900002,2323800,65.039078
2015-10-01,65.900002,66.139999,64.440002,65.910004,3472000,65.04895
2015-10-02,64.870003,68.040001,64.870003,68.0,1552800,67.111642
2015-10-05,68.300003,68.970001,68.300003,68.75,1293200,67.851844
2015-10-06,68.900002,69.040001,68.190002,68.68,1528000,67.782759
2015-10-07,69.110001,70.029999,68.989998,69.93,1195500,69.016429
2015-10-08,69.43,71.169998,69.43,70.949997,1192200,70.0231
2015-10-09,70.879997,71.220001,70.470001,70.940002,1106600,70.013236
2015-10-12,71.120003,71.389999,70.709999,71.099998,607200,70.171142
2015-10-13,70.809998,71.459999,70.580002,70.919998,843500,69.993493
2015-10-14,71.0,71.580002,70.620003,70.870003,927300,69.944151
2015-10-15,70.989998,72.209999,70.809998,71.709999,2380000,70.773173
2015-10-16,72.029999,72.739998,71.809998,72.18,1872100,71.237035
2015-10-19,72.0,72.599998,71.400002,72.230003,1657200,71.286384
2015-10-20,72.75,73.800003,71.099998,72.360001,3965900,71.414683
2015-10-21,72.860001,73.400002,72.470001,72.809998,1822600,71.858801
2015-10-22,73.019997,74.730003,73.019997,74.349998,2570900,73.378684
2015-10-23,74.879997,75.120003,73.540001,73.739998,2000000,72.776652
2015-10-26,73.839996,74.620003,73.43,74.550003,1042700,73.576075
2015-10-27,74.269997,74.980003,73.830002,74.919998,1610600,73.941237
2015-10-28,75.07,75.260002,74.059998,74.839996,1498700,73.86228
2015-10-29,74.849998,75.449997,74.389999,75.330002,1002200,74.345884
2015-10-30,75.370003,75.580002,74.809998,74.919998,1223800,73.941237
2015-11-02,74.93,75.309998,74.800003,75.0,3229800,74.020194
2015-11-03,74.75,75.209999,74.269997,74.809998,1365900,73.832673
2015-11-04,74.889999,74.989998,73.410004,73.529999,1506500,72.569397
2015-11-05,73.690002,73.879997,73.0,73.25,2178400,72.293056
2015-11-06,73.120003,73.519997,72.43,73.5,1141400,72.53979
2015-11-09,73.459999,73.589996,72.160004,72.519997,1530800,71.572589
2015-11-10,72.519997,73.230003,72.489998,73.120003,1257700,72.164757
2015-11-11,73.230003,73.419998,72.830002,73.07,2913900,72.115407
2015-11-12,72.599998,73.150002,72.440002,72.629997,1202400,71.681153
2015-11-13,72.540001,72.660004,71.449997,71.529999,966600,70.595525
2015-11-16,71.43,73.07,71.190002,72.989998,1620100,72.03645
2015-11-17,73.040001,73.410004,71.82,72.029999,1596200,71.088993
2015-11-18,72.209999,73.0,71.989998,72.889999,1655600,71.937758
2015-11-19,72.849998,73.489998,72.480003,73.150002,1266400,72.194364
2015-11-20,73.220001,73.75,73.220001,73.75,1302800,72.786524
2015-11-23,73.75,74.220001,73.300003,73.879997,1360500,72.914823
2015-11-24,73.260002,73.260002,72.139999,73.010002,1429900,72.056193
2015-11-25,73.059998,74.400002,72.690002,74.040001,1215400,73.072736
2015-11-27,73.790001,74.300003,73.110001,73.690002,545700,72.72731
2015-11-30,73.949997,74.099998,73.209999,73.919998,1727400,72.954301
2015-12-01,74.419998,75.160004,74.190002,75.0,1956700,74.020194
2015-12-02,75.050003,75.220001,74.059998,74.139999,1202300,73.171428
2015-12-03,74.169998,74.580002,73.480003,74.099998,2056100,73.13195
2015-12-04,74.269997,75.660004,74.190002,75.239998,2373800,74.257056
2015-12-07,75.010002,77.089996,74.620003,76.529999,3788900,75.530204
2015-12-08,76.120003,76.639999,75.660004,76.309998,2424000,75.313077
2015-12-09,75.849998,76.589996,74.68,75.010002,2398300,74.030065
2015-12-10,75.190002,76.169998,75.07,75.440002,1540300,74.454448
2015-12-11,74.480003,75.400002,73.839996,74.199997,1985900,73.230642
2015-12-14,74.449997,75.199997,73.669998,74.089996,2141700,73.122078
2015-12-15,74.389999,74.739998,73.769997,73.980003,1994500,73.013522
2015-12-16,73.980003,74.889999,73.559998,74.730003,1906800,74.25559
2015-12-17,74.699997,74.739998,73.529999,73.669998,2057000,73.202314
2015-12-18,73.519997,74.199997,73.290001,73.620003,2078100,73.152636
2015-12-21,74.260002,74.5,73.919998,74.389999,1281500,73.917744
2015-12-22,74.589996,75.580002,74.169998,75.410004,1580200,74.931273
2015-12-23,75.629997,76.419998,75.360001,76.330002,1827700,75.845431
