Date,Open_PEG,High_PEG,Low_PEG,Close_PEG,Volume_PEG,AdjClose_PEG
2015-06-05,40.369999,40.470001,40.07,40.41,4170800,39.241743
2015-06-08,40.32,40.470001,40.139999,40.139999,3397100,38.979548
2015-06-09,40.099998,40.389999,40.02,40.139999,2624500,38.979548
2015-06-10,40.369999,40.73,40.220001,40.240002,3471800,39.076659
2015-06-11,40.450001,40.639999,40.169998,40.400002,3673100,39.232033
2015-06-12,40.18,40.34,39.669998,39.700001,1877900,38.55227
2015-06-15,39.68,40.220001,39.509998,40.009998,2691300,38.853305
2015-06-16,39.880001,40.220001,39.610001,40.189999,1933200,39.028102
2015-06-17,40.330002,40.52,40.009998,40.490002,2746600,39.319432
2015-06-18,40.439999,41.290001,40.419998,41.18,3438100,39.989482
2015-06-19,41.130001,41.419998,40.98,40.990002,3640500,39.804977
2015-06-22,41.099998,41.200001,40.619999,40.720001,2506500,39.542782
2015-06-23,40.950001,41.049999,40.099998,40.169998,2207600,39.008679
2015-06-24,40.18,40.310001,39.610001,39.610001,3326800,38.464872
2015-06-25,39.810001,39.970001,39.029999,39.139999,3999300,38.008458
2015-06-26,39.099998,39.619999,38.93,39.59,4075200,38.445449
2015-06-29,39.490002,40.200001,39.189999,39.220001,4046800,38.086147
2015-06-30,39.490002,39.5,39.110001,39.279999,3943600,38.14441
2015-07-01,39.34,39.529999,39.200001,39.450001,2580100,38.309497
2015-07-02,39.700001,40.200001,39.700001,39.939999,2732300,38.785329
2015-07-06,39.779999,40.380001,39.720001,40.330002,2647200,39.164057
2015-07-07,40.580002,41.779999,40.52,41.639999,3834800,40.436183
2015-07-08,41.52,41.82,41.25,41.380001,4249300,40.183701
2015-07-09,41.5,41.82,40.990002,41.200001,3297800,40.008905
2015-07-10,41.18,41.639999,41.0,41.259998,3190000,40.067168
2015-07-13,41.439999,41.439999,40.66,40.98,1955300,39.795264
2015-07-14,40.970001,41.34,40.75,40.880001,2457000,39.698156
2015-07-15,40.889999,41.049999,40.639999,41.049999,2335700,39.86324
2015-07-16,41.080002,41.919998,41.049999,41.889999,1813100,40.678955
2015-07-17,41.900002,41.900002,41.299999,41.41,2521100,40.212833
