Date,Open_ROST,High_ROST,Low_ROST,Close_ROST,Volume_ROST,AdjClose_ROST
2015-06-05,97.300003,98.300003,97.010002,97.599998,2412000,48.3349
2015-06-08,97.529999,98.529999,97.279999,97.580002,2662000,48.324997
2015-06-09,97.470001,98.059998,96.949997,97.5,2770400,48.285377
2015-06-10,97.660004,98.160004,97.160004,97.830002,1952600,48.448806
2015-06-11,98.120003,98.660004,97.599998,97.860001,1548600,48.463662
2015-06-12,48.48,49.080002,48.27,48.529999,1893400,48.067473
2015-06-15,48.220001,48.73,47.869999,48.689999,1900900,48.225948
2015-06-16,48.540001,49.18,48.459999,49.169998,1588200,48.701373
2015-06-17,49.049999,49.599998,48.919998,49.43,2120200,48.958897
2015-06-18,49.630001,50.259998,49.599998,50.16,1857000,49.681939
2015-06-19,50.119999,50.740002,49.84,50.470001,3949100,49.988986
2015-06-22,50.73,50.779999,50.25,50.310001,1559500,49.830511
2015-06-23,50.209999,50.599998,50.119999,50.540001,1689300,50.058318
2015-06-24,49.860001,50.700001,49.860001,50.080002,1715100,49.602703
2015-06-25,50.259998,50.279999,49.790001,49.790001,1477000,49.315466
2015-06-26,50.029999,50.57,49.849998,50.27,1925100,49.790891
2015-06-29,49.91,49.990002,48.5,48.549999,1996500,48.087283
2015-06-30,49.080002,49.27,48.279999,48.610001,2317700,48.146712
2015-07-01,48.959999,49.5,48.82,49.389999,1925300,48.919277
2015-07-02,50.330002,50.450001,48.970001,49.310001,2014900,48.840041
2015-07-06,48.860001,50.130001,48.860001,49.869999,2442800,49.394702
2015-07-07,50.02,50.630001,49.549999,50.57,3027500,50.088031
2015-07-08,50.41,50.639999,49.98,50.169998,2439200,49.691842
2015-07-09,50.689999,51.0,50.27,50.32,2495400,49.840414
2015-07-10,50.810001,51.0,50.5,50.860001,2092800,50.375268
2015-07-13,51.25,52.439999,51.139999,52.41,3136400,51.910495
2015-07-14,52.490002,52.490002,51.84,52.43,2546500,51.930304
2015-07-15,52.360001,52.75,52.080002,52.32,2020300,51.821352
2015-07-16,52.709999,53.0,52.32,52.959999,1827200,52.455252
2015-07-17,52.759998,52.82,52.060001,52.27,1757800,51.77183
2015-07-20,52.560001,52.93,52.380001,52.830002,1482200,52.326494
2015-07-21,52.939999,53.220001,52.43,52.860001,1703300,52.356207
2015-07-22,52.990002,53.5,52.950001,53.279999,2143200,52.772202
2015-07-23,53.290001,53.43,52.790001,52.889999,1167400,52.385919
2015-07-24,52.970001,53.040001,52.549999,52.689999,1505400,52.187825
2015-07-27,52.470001,52.689999,51.939999,52.080002,1773700,51.583642
2015-07-28,52.130001,52.259998,51.650002,52.009998,1956400,51.514305
2015-07-29,52.060001,52.849998,51.959999,52.790001,1912800,52.286874
2015-07-30,52.549999,52.880001,52.220001,52.75,1009200,52.247254
2015-07-31,53.009998,53.220001,52.560001,53.16,1194900,52.653347
2015-08-03,53.25,53.450001,52.759998,53.029999,1235700,52.524585
2015-08-04,52.98,53.389999,52.810001,53.189999,1476200,52.683059
2015-08-05,53.380001,54.139999,53.380001,53.810001,1371500,53.297153
2015-08-06,53.669998,55.220001,53.150002,53.57,2502200,53.059439
2015-08-07,53.459999,53.560001,52.400002,53.07,2361100,52.564204
2015-08-10,53.650002,54.060001,53.560001,53.73,1807000,53.217914
2015-08-11,53.450001,54.080002,53.34,53.82,1695600,53.307056
2015-08-12,53.470001,53.669998,52.73,53.560001,1658700,53.049536
2015-08-13,53.34,54.130001,53.23,53.630001,2604100,53.118868
2015-08-14,53.950001,54.27,53.459999,53.720001,2709000,53.208011
2015-08-17,53.93,54.560001,53.279999,54.5,2118500,53.980576
2015-08-18,55.529999,56.68,55.5,56.529999,4010600,55.991227
2015-08-19,56.139999,56.450001,55.220001,55.700001,2564800,55.169139
2015-08-20,55.25,55.950001,54.950001,55.25,3784100,54.723428
2015-08-21,51.259998,52.299999,49.950001,50.0,12828600,49.523464
2015-08-24,46.700001,49.91,46.599998,48.330002,6979900,47.869382
2015-08-25,49.279999,49.290001,47.169998,47.220001,4923000,46.76996
2015-08-26,48.75,48.93,47.189999,48.93,4159600,48.463662
2015-08-27,49.389999,49.880001,48.740002,49.68,3422900,49.206514
2015-08-28,49.32,50.049999,49.040001,49.400002,4007000,48.929184
2015-08-31,49.290001,49.549999,48.43,48.619999,3314500,48.156615
2015-09-01,47.619999,48.209999,47.32,47.470001,3998600,47.017578
2015-09-02,48.189999,49.490002,47.450001,48.450001,3003700,48.107823
2015-09-03,48.610001,49.200001,48.330002,48.48,2664500,48.13761
2015-09-04,47.82,48.73,47.689999,48.439999,3143200,48.097891
2015-09-08,49.419998,49.82,48.779999,49.77,2845700,49.4185
2015-09-09,50.139999,50.349998,49.240002,49.380001,3580300,49.031255
2015-09-10,49.25,50.25,49.25,49.84,2849700,49.488005
2015-09-11,49.619999,50.080002,49.18,50.060001,1722000,49.706453
2015-09-14,50.150002,50.200001,49.380001,49.459999,2702800,49.110688
2015-09-15,49.580002,49.860001,49.049999,49.419998,2113600,49.07097
2015-09-16,48.200001,49.830002,48.02,49.75,2094900,49.398641
2015-09-17,50.25,51.27,50.189999,50.490002,2771000,50.133416
2015-09-18,49.939999,50.09,49.040001,49.119999,4088800,48.773089
2015-09-21,49.380001,50.0,49.119999,49.439999,2465200,49.090829
2015-09-22,48.720001,49.009998,48.439999,48.919998,2791000,48.574501
2015-09-23,49.040001,49.41,48.779999,49.099998,1427900,48.75323
2015-09-24,48.639999,49.060001,48.34,48.880001,2044300,48.534786
2015-09-25,49.23,49.75,48.68,49.080002,2311400,48.733375
2015-09-28,48.77,49.57,47.330002,47.490002,2582800,47.154604
2015-09-29,47.5,47.93,46.970001,47.560001,2335300,47.224109
2015-09-30,48.139999,48.830002,47.77,48.470001,2875900,48.127682
2015-10-01,48.48,49.200001,47.299999,47.860001,4039300,47.52199
2015-10-02,47.52,48.75,47.119999,48.73,2302000,48.385844
2015-10-05,48.830002,49.240002,48.349998,49.150002,3194500,48.80288
2015-10-06,49.049999,49.150002,47.41,47.689999,2811400,47.353188
2015-10-07,47.970001,48.299999,47.360001,48.150002,3749100,47.809942
2015-10-08,48.049999,49.049999,47.91,49.02,2669000,48.673797
2015-10-09,48.98,49.110001,47.970001,49.040001,3011300,48.693656
2015-10-12,49.139999,50.700001,49.049999,50.529999,2859000,50.173131
2015-10-13,50.27,50.650002,49.369999,49.450001,2600300,49.10076
2015-10-14,50.169998,50.279999,48.310001,48.5,3381900,48.157469
2015-10-15,48.82,49.540001,48.68,49.34,2339600,48.991537
2015-10-16,49.57,50.639999,49.34,50.299999,3023100,49.944756
2015-10-19,50.259998,50.509998,49.869999,50.389999,2395500,50.03412
2015-10-20,50.169998,50.48,50.02,50.34,2121500,49.984474
2015-10-21,50.43,50.68,50.080002,50.18,1827400,49.825604
2015-10-22,50.5,51.490002,50.450001,51.040001,2080600,50.679531
2015-10-23,51.41,51.549999,48.970001,49.66,2969200,49.309276
2015-10-26,49.580002,50.200001,49.360001,49.880001,1785600,49.527724
2015-10-27,49.73,49.880001,48.790001,49.240002,2469200,48.892244
2015-10-28,49.43,50.389999,49.220001,50.349998,1536000,49.994402
2015-10-29,50.259998,50.380001,49.52,50.18,1376400,49.825604
2015-10-30,50.09,50.970001,49.93,50.580002,2179100,50.222781
2015-11-02,50.25,50.93,49.48,50.66,2498300,50.302214
2015-11-03,50.709999,51.84,50.529999,51.740002,2816600,51.374588
2015-11-04,51.790001,51.950001,51.25,51.619999,2416800,51.255433
2015-11-05,51.790001,51.91,51.16,51.540001,2476300,51.176
2015-11-06,51.5,51.549999,50.049999,50.400002,2175600,50.044052
2015-11-09,50.150002,50.290001,48.5,49.119999,3785400,48.773089
2015-11-10,49.049999,49.990002,48.860001,49.939999,2167500,49.587298
2015-11-11,49.970001,49.98,48.439999,48.52,3375200,48.177328
2015-11-12,48.099998,49.220001,48.07,48.110001,2970900,47.770224
2015-11-13,44.669998,46.5,43.470001,44.810001,9629900,44.493531
2015-11-16,44.869999,46.049999,44.470001,45.77,4936100,45.44675
2015-11-17,47.119999,47.32,45.450001,46.310001,4961000,45.982937
2015-11-18,46.360001,46.66,45.630001,46.419998,4260500,46.092157
2015-11-19,45.009998,46.630001,45.009998,46.200001,5138400,45.873713
2015-11-20,50.400002,51.0,49.060001,50.84,8054000,50.480943
2015-11-23,50.970001,51.25,50.57,51.130001,2787600,50.768896
2015-11-24,50.73,52.549999,50.599998,52.419998,4884300,52.049782
2015-11-25,52.330002,53.049999,52.139999,52.740002,3259300,52.367526
2015-11-27,52.860001,53.029999,52.25,52.66,1071200,52.288089
2015-11-30,52.830002,52.830002,51.740002,52.009998,3423400,51.642678
